,Dyes & Pigments
2019-03-24,41.0
2019-03-31,46.0
2019-04-07,43.0
2019-04-14,35.0
2019-04-21,35.0
2019-04-28,36.0
2019-05-05,43.0
2019-05-12,34.0
2019-05-19,42.0
2019-05-26,52.0
2019-06-02,43.0
2019-06-09,46.0
2019-06-16,44.0
2019-06-23,39.0
2019-06-30,55.0
2019-07-07,52.0
2019-07-14,47.0
2019-07-21,49.0
2019-07-28,43.0
2019-08-04,53.0
2019-08-11,48.0
2019-08-18,45.0
2019-08-25,46.0
2019-09-01,41.0
2019-09-08,42.0
2019-09-15,47.0
2019-09-22,33.0
2019-09-29,43.0
2019-10-06,31.0
2019-10-13,34.0
2019-10-20,47.0
2019-10-27,52.0
2019-11-03,44.0
2019-11-10,36.0
2019-11-17,41.0
2019-11-24,36.0
2019-12-01,45.0
2019-12-08,41.0
2019-12-15,38.0
2019-12-22,49.0
2019-12-29,42.0
2020-01-05,33.05283757338552
2020-01-12,48.477495107632095
2020-01-19,53.986301369863014
2020-01-26,51.782778864970645
2020-02-02,44.070450097847356
2020-02-09,31.951076320939336
2020-02-16,41.86692759295499
2020-02-23,39.663405088062625
2020-03-01,41.86692759295499
2020-03-08,38.56164383561644
2020-03-15,34.154598825831705
2020-03-22,31.951076320939336
2020-03-29,26.442270058708417
2020-04-05,31.951076320939336
2020-04-12,31.951076320939336
2020-04-19,40.765166340508806
2020-04-26,36.35812133072407
2020-05-03,29.747553816046967
2020-05-10,51.782778864970645
2020-05-17,50.681017612524464
2020-05-24,39.663405088062625
2020-05-31,36.35812133072407
2020-06-07,38.56164383561644
2020-06-14,36.35812133072407
2020-06-21,39.663405088062625
2020-06-28,31.951076320939336
2020-07-05,42.968688845401175
2020-07-12,47.375733855185906
2020-07-19,42.968688845401175
2020-07-26,45.172211350293544
2020-08-02,44.070450097847356
2020-08-09,42.968688845401175
2020-08-16,55.088062622309195
2020-08-23,42.968688845401175
2020-08-30,37.459882583170256
2020-09-06,50.681017612524464
2020-09-13,53.986301369863014
2020-09-20,58.39334637964775
2020-09-27,49.579256360078276
2020-10-04,52.88454011741683
2020-10-11,55.088062622309195
2020-10-18,48.477495107632095
2020-10-25,47.375733855185906
2020-11-01,40.765166340508806
2020-11-08,41.86692759295499
2020-11-15,42.968688845401175
2020-11-22,42.968688845401175
2020-11-29,46.273972602739725
2020-12-06,57.291585127201564
2020-12-13,48.477495107632095
2020-12-20,48.477495107632095
2020-12-27,44.070450097847356
2021-01-03,52.88454011741683
2021-01-10,47.375733855185906
2021-01-17,49.579256360078276
2021-01-24,45.172211350293544
2021-01-31,48.477495107632095
2021-02-07,48.477495107632095
2021-02-14,52.88454011741683
2021-02-21,44.070450097847356
2021-02-28,45.172211350293544
2021-03-07,45.172211350293544
2021-03-14,56.18982387475538
2021-03-21,48.477495107632095
2021-03-28,52.88454011741683
2021-04-04,41.86692759295499
2021-04-11,28.645792563600782
2021-04-18,45.172211350293544
2021-04-25,45.172211350293544
2021-05-02,52.88454011741683
2021-05-09,47.375733855185906
2021-05-16,45.172211350293544
2021-05-23,41.86692759295499
2021-05-30,61.6986301369863
2021-06-06,58.39334637964775
2021-06-13,55.088062622309195
2021-06-20,53.986301369863014
2021-06-27,51.782778864970645
2021-07-04,61.6986301369863
2021-07-11,51.782778864970645
2021-07-18,49.579256360078276
2021-07-25,49.579256360078276
2021-08-01,53.986301369863014
2021-08-08,53.986301369863014
2021-08-15,48.477495107632095
2021-08-22,59.495107632093934
2021-08-29,56.18982387475538
2021-09-05,56.18982387475538
2021-09-12,51.782778864970645
2021-09-19,52.88454011741683
2021-09-26,55.088062622309195
2021-10-03,51.782778864970645
2021-10-10,51.782778864970645
2021-10-17,41.86692759295499
2021-10-24,47.375733855185906
2021-10-31,46.273972602739725
2021-11-07,46.273972602739725
2021-11-14,44.070450097847356
2021-11-21,53.986301369863014
2021-11-28,41.86692759295499
2021-12-05,49.579256360078276
2021-12-12,42.968688845401175
2021-12-19,45.172211350293544
2021-12-26,42.968688845401175
2022-01-02,66.10567514677103
2022-01-09,53.986301369863014
2022-01-16,59.495107632093934
2022-01-23,110.17612524461839
2022-01-30,101.36203522504893
2022-02-06,94.75146771037181
2022-02-13,81.53033268101761
2022-02-20,79.32681017612525
2022-02-27,78.22504892367905
2022-03-06,67.20743639921722
2022-03-13,73.81800391389433
2022-03-20,70.51272015655577
2022-03-27,63.90215264187867
2022-04-03,62.800391389432484
2022-04-10,47.375733855185906
2022-04-17,58.39334637964775
2022-04-24,65.00391389432485
2022-05-01,66.10567514677103
2022-05-08,65.00391389432485
2022-05-15,59.495107632093934
2022-05-22,69.41095890410959
2022-05-29,60.596868884540115
2022-06-05,56.18982387475538
2022-06-12,44.070450097847356
2022-06-19,56.18982387475538
2022-06-26,60.596868884540115
2022-07-03,59.495107632093934
2022-07-10,67.20743639921722
2022-07-17,63.90215264187867
2022-07-24,58.39334637964775
2022-07-31,63.90215264187867
2022-08-07,57.291585127201564
2022-08-14,57.291585127201564
2022-08-21,69.41095890410959
2022-08-28,61.6986301369863
2022-09-04,63.90215264187867
2022-09-11,66.10567514677103
2022-09-18,59.495107632093934
2022-09-25,57.291585127201564
2022-10-02,60.596868884540115
2022-10-09,65.00391389432485
2022-10-16,68.30919765166341
2022-10-23,59.495107632093934
2022-10-30,56.18982387475538
2022-11-06,63.90215264187867
2022-11-13,48.477495107632095
2022-11-20,55.088062622309195
2022-11-27,63.90215264187867
2022-12-04,62.800391389432484
2022-12-11,55.088062622309195
2022-12-18,65.00391389432485
2022-12-25,49.579256360078276
2023-01-01,67.20743639921722
2023-01-08,73.81800391389433
2023-01-15,58.39334637964775
2023-01-22,47.375733855185906
2023-01-29,61.6986301369863
2023-02-05,56.18982387475538
2023-02-12,61.6986301369863
2023-02-19,68.30919765166341
2023-02-26,51.782778864970645
2023-03-05,48.477495107632095
2023-03-12,60.596868884540115
2023-03-19,50.681017612524464
2023-03-26,60.596868884540115
2023-04-02,57.291585127201564
2023-04-09,38.56164383561644
2023-04-16,44.070450097847356
2023-04-23,45.172211350293544
2023-04-30,50.681017612524464
2023-05-07,51.782778864970645
2023-05-14,50.681017612524464
2023-05-21,62.800391389432484
2023-05-28,68.30919765166341
2023-06-04,60.596868884540115
2023-06-11,57.291585127201564
2023-06-18,58.39334637964775
2023-06-25,58.39334637964775
2023-07-02,49.579256360078276
2023-07-09,59.495107632093934
2023-07-16,70.51272015655577
2023-07-23,59.495107632093934
2023-07-30,59.495107632093934
2023-08-06,52.88454011741683
2023-08-13,61.6986301369863
2023-08-20,62.800391389432484
2023-08-27,60.596868884540115
2023-09-03,55.088062622309195
2023-09-10,65.00391389432485
2023-09-17,63.90215264187867
2023-09-24,58.39334637964775
2023-10-01,57.291585127201564
2023-10-08,57.291585127201564
2023-10-15,62.800391389432484
2023-10-22,63.90215264187867
2023-10-29,57.291585127201564
2023-11-05,58.39334637964775
2023-11-12,58.39334637964775
2023-11-19,55.088062622309195
2023-11-26,49.579256360078276
2023-12-03,62.800391389432484
2023-12-10,56.18982387475538
2023-12-17,60.596868884540115
2023-12-24,55.088062622309195
2023-12-31,51.782778864970645
2024-01-07,52.79714980882864
2024-01-14,60.97698992005562
2024-01-21,58.74612443517554
2024-01-28,56.515258950295454
2024-02-04,52.79714980882864
2024-02-11,68.41320820298922
2024-02-18,63.95147723322906
2024-02-25,46.848175182481754
2024-03-03,65.43872088981578
2024-03-10,59.489746263468895
2024-03-17,50.566284323948565
2024-03-24,63.95147723322906
2024-03-31,57.25888077858881
2024-04-07,44.61730969760167
2024-04-14,55.77163712200209
2024-04-21,46.848175182481754
2024-04-28,49.07904066736184
2024-05-05,57.25888077858881
2024-05-12,69.1568300312826
2024-05-19,52.79714980882864
2024-05-26,41.64282238442823
2024-06-02,49.8226624956552
2024-06-09,63.95147723322906
2024-06-16,53.540771637122006
2024-06-23,49.8226624956552
2024-06-30,55.02801529370873
2024-07-07,54.28439346541537
2024-07-14,52.79714980882864
2024-07-21,63.95147723322906
2024-07-28,63.2078554049357
2024-08-04,60.23336809176226
2024-08-11,57.25888077858881
2024-08-18,58.002502606882175
2024-08-25,69.90045185957595
2024-09-01,47.59179701077512
2024-09-08,60.97698992005562
2024-09-15,50.566284323948565
2024-09-22,52.053527980535286
2024-09-29,46.1045533541884
2024-10-06,61.72061174834898
2024-10-13,55.77163712200209
2024-10-20,54.28439346541537
2024-10-27,51.30990615224192
2024-11-03,58.002502606882175
2024-11-10,60.97698992005562
2024-11-17,63.95147723322906
2024-11-24,47.59179701077512
2024-12-01,55.77163712200209
2024-12-08,59.489746263468895
2024-12-15,68.41320820298922
2024-12-22,58.74612443517554
2024-12-29,65.43872088981578
2025-01-05,64.69509906152243
2025-01-12,60.97698992005562
2025-01-19,54.28439346541537
2025-01-26,50.566284323948565
2025-02-02,58.74612443517554
2025-02-09,57.25888077858881
2025-02-16,60.23336809176226
2025-02-23,70.64407368786931
2025-03-02,58.74612443517554
2025-03-09,58.002502606882175
2025-03-16,62.46423357664234
2025-03-23,48.33541883906848
2025-03-30,66.18234271810915
2025-04-06,51.30990615224192
2025-04-13,49.8226624956552
2025-04-20,54.28439346541537
2025-04-27,41.64282238442823
2025-05-04,46.1045533541884
2025-05-11,61.72061174834898
2025-05-18,63.2078554049357
2025-05-25,58.74612443517554
2025-06-01,62.46423357664234
2025-06-08,52.053527980535286
2025-06-15,58.74612443517554
2025-06-22,70.64407368786931
2025-06-29,52.053527980535286
2025-07-06,52.053527980535286
2025-07-13,63.2078554049357
2025-07-20,54.28439346541537
2025-07-27,57.25888077858881
2025-08-03,74.36218282933612
2025-08-10,57.25888077858881
2025-08-17,52.053527980535286
2025-08-24,63.2078554049357
2025-08-31,54.28439346541537
2025-09-07,68.41320820298922
2025-09-14,51.30990615224192
2025-09-21,52.79714980882864
2025-09-28,60.23336809176226
2025-10-05,63.2078554049357
2025-10-12,71.38769551616268
2025-10-19,49.8226624956552
2025-10-26,60.97698992005562
2025-11-02,46.848175182481754
2025-11-09,46.1045533541884
2025-11-16,46.1045533541884
2025-11-23,43.13006604101495
2025-11-30,41.64282238442823
2025-12-07,49.07904066736184
2025-12-14,58.74612443517554
2025-12-21,47.59179701077512
2025-12-28,53.540771637122006
