,Unwanted Body & Facial Hair Removal
2017-07-23,5.0
2017-07-30,5.0
2017-08-06,5.0
2017-08-13,4.0
2017-08-20,5.0
2017-08-27,5.0
2017-09-03,4.0
2017-09-10,4.0
2017-09-17,5.0
2017-09-24,5.0
2017-10-01,5.0
2017-10-08,5.0
2017-10-15,5.0
2017-10-22,4.0
2017-10-29,4.0
2017-11-05,5.0
2017-11-12,5.0
2017-11-19,4.0
2017-11-26,5.0
2017-12-03,6.0
2017-12-10,5.0
2017-12-17,5.0
2017-12-24,6.0
2017-12-31,6.0
2018-01-07,5.0
2018-01-14,5.0
2018-01-21,6.0
2018-01-28,7.0
2018-02-04,6.0
2018-02-11,5.0
2018-02-18,4.0
2018-02-25,5.0
2018-03-04,5.0
2018-03-11,5.0
2018-03-18,6.0
2018-03-25,6.0
2018-04-01,14.0
2018-04-08,45.0
2018-04-15,61.0
2018-04-22,65.0
2018-04-29,71.0
2018-05-06,76.0
2018-05-13,93.0
2018-05-20,60.0
2018-05-27,20.0
2018-06-03,5.0
2018-06-10,4.0
2018-06-17,4.0
2018-06-24,5.0
2018-07-01,5.0
2018-07-08,4.0
2018-07-15,5.0
2018-07-22,4.0
2018-07-29,5.0
2018-08-05,5.0
2018-08-12,4.0
2018-08-19,5.0
2018-08-26,4.0
2018-09-02,5.0
2018-09-09,5.0
2018-09-16,5.0
2018-09-23,4.0
2018-09-30,4.0
2018-10-07,4.0
2018-10-14,5.0
2018-10-21,5.0
2018-10-28,4.0
2018-11-04,5.0
2018-11-11,4.0
2018-11-18,4.0
2018-11-25,4.0
2018-12-02,4.0
2018-12-09,5.0
2018-12-16,7.0
2018-12-23,5.0
2018-12-30,4.0
2019-01-06,5.0
2019-01-13,5.0
2019-01-20,5.0
2019-01-27,4.0
2019-02-03,4.0
2019-02-10,5.0
2019-02-17,5.0
2019-02-24,4.0
2019-03-03,5.0
2019-03-10,5.0
2019-03-17,15.0
2019-03-24,72.0
2019-03-31,92.0
2019-04-07,68.0
2019-04-14,68.0
2019-04-21,68.0
2019-04-28,100.0
2019-05-05,64.0
2019-05-12,34.0
2019-05-19,6.0
2019-05-26,5.0
2019-06-02,5.0
2019-06-09,5.0
2019-06-16,5.0
2019-06-23,4.0
2019-06-30,6.0
2019-07-07,5.0
2019-07-14,5.0
2019-07-21,5.0
2019-07-28,6.0
2019-08-04,5.0
2019-08-11,5.0
2019-08-18,5.0
2019-08-25,5.0
2019-09-01,5.0
2019-09-08,5.0
2019-09-15,5.0
2019-09-22,4.0
2019-09-29,4.0
2019-10-06,4.0
2019-10-13,4.0
2019-10-20,4.0
2019-10-27,4.0
2019-11-03,4.0
2019-11-10,5.0
2019-11-17,4.0
2019-11-24,4.0
2019-12-01,5.0
2019-12-08,5.0
2019-12-15,6.0
2019-12-22,6.0
2019-12-29,5.0
2020-01-05,4.251798561151079
2020-01-12,5.669064748201439
2020-01-19,4.251798561151079
2020-01-26,4.251798561151079
2020-02-02,4.251798561151079
2020-02-09,4.251798561151079
2020-02-16,5.669064748201439
2020-02-23,4.251798561151079
2020-03-01,5.669064748201439
2020-03-08,4.251798561151079
2020-03-15,4.251798561151079
2020-03-22,2.8345323741007196
2020-03-29,4.251798561151079
2020-04-05,5.669064748201439
2020-04-12,5.669064748201439
2020-04-19,5.669064748201439
2020-04-26,4.251798561151079
2020-05-03,4.251798561151079
2020-05-10,4.251798561151079
2020-05-17,5.669064748201439
2020-05-24,5.669064748201439
2020-05-31,5.669064748201439
2020-06-07,5.669064748201439
2020-06-14,5.669064748201439
2020-06-21,5.669064748201439
2020-06-28,4.251798561151079
2020-07-05,4.251798561151079
2020-07-12,4.251798561151079
2020-07-19,5.669064748201439
2020-07-26,4.251798561151079
2020-08-02,5.669064748201439
2020-08-09,5.669064748201439
2020-08-16,5.669064748201439
2020-08-23,5.669064748201439
2020-08-30,5.669064748201439
2020-09-06,5.669064748201439
2020-09-13,14.172661870503598
2020-09-20,42.517985611510795
2020-09-27,46.76978417266187
2020-10-04,55.27338129496403
2020-10-11,55.27338129496403
2020-10-18,59.52517985611511
2020-10-25,65.19424460431655
2020-11-01,55.27338129496403
2020-11-08,35.431654676258994
2020-11-15,7.086330935251799
2020-11-22,8.503597122302159
2020-11-29,8.503597122302159
2020-12-06,7.086330935251799
2020-12-13,7.086330935251799
2020-12-20,5.669064748201439
2020-12-27,4.251798561151079
2021-01-03,4.251798561151079
2021-01-10,5.669064748201439
2021-01-17,5.669064748201439
2021-01-24,4.251798561151079
2021-01-31,5.669064748201439
2021-02-07,4.251798561151079
2021-02-14,7.086330935251799
2021-02-21,4.251798561151079
2021-02-28,5.669064748201439
2021-03-07,5.669064748201439
2021-03-14,4.251798561151079
2021-03-21,5.669064748201439
2021-03-28,5.669064748201439
2021-04-04,26.928057553956837
2021-04-11,63.77697841726619
2021-04-18,79.36690647482015
2021-04-25,83.61870503597123
2021-05-02,36.84892086330935
2021-05-09,5.669064748201439
2021-05-16,5.669064748201439
2021-05-23,5.669064748201439
2021-05-30,7.086330935251799
2021-06-06,5.669064748201439
2021-06-13,7.086330935251799
2021-06-20,5.669064748201439
2021-06-27,5.669064748201439
2021-07-04,5.669064748201439
2021-07-11,5.669064748201439
2021-07-18,5.669064748201439
2021-07-25,5.669064748201439
2021-08-01,5.669064748201439
2021-08-08,5.669064748201439
2021-08-15,5.669064748201439
2021-08-22,5.669064748201439
2021-08-29,5.669064748201439
2021-09-05,5.669064748201439
2021-09-12,9.92086330935252
2021-09-19,93.53956834532374
2021-09-26,97.79136690647482
2021-10-03,107.71223021582735
2021-10-10,72.28057553956835
2021-10-17,7.086330935251799
2021-10-24,7.086330935251799
2021-10-31,5.669064748201439
2021-11-07,5.669064748201439
2021-11-14,4.251798561151079
2021-11-21,5.669064748201439
2021-11-28,5.669064748201439
2021-12-05,8.503597122302159
2021-12-12,8.503597122302159
2021-12-19,7.086330935251799
2021-12-26,5.669064748201439
2022-01-02,5.669064748201439
2022-01-09,5.669064748201439
2022-01-16,4.251798561151079
2022-01-23,5.669064748201439
2022-01-30,5.669064748201439
2022-02-06,8.503597122302159
2022-02-13,7.086330935251799
2022-02-20,5.669064748201439
2022-02-27,5.669064748201439
2022-03-06,7.086330935251799
2022-03-13,5.669064748201439
2022-03-20,8.503597122302159
2022-03-27,14.172661870503598
2022-04-03,15.589928057553958
2022-04-10,17.007194244604317
2022-04-17,17.007194244604317
2022-04-24,17.007194244604317
2022-05-01,18.424460431654676
2022-05-08,18.424460431654676
2022-05-15,17.007194244604317
2022-05-22,15.589928057553958
2022-05-29,9.92086330935252
2022-06-05,5.669064748201439
2022-06-12,5.669064748201439
2022-06-19,5.669064748201439
2022-06-26,5.669064748201439
2022-07-03,5.669064748201439
2022-07-10,7.086330935251799
2022-07-17,5.669064748201439
2022-07-24,5.669064748201439
2022-07-31,5.669064748201439
2022-08-07,5.669064748201439
2022-08-14,5.669064748201439
2022-08-21,5.669064748201439
2022-08-28,5.669064748201439
2022-09-04,5.669064748201439
2022-09-11,5.669064748201439
2022-09-18,5.669064748201439
2022-09-25,5.669064748201439
2022-10-02,4.251798561151079
2022-10-09,5.669064748201439
2022-10-16,5.669064748201439
2022-10-23,5.669064748201439
2022-10-30,5.669064748201439
2022-11-06,5.669064748201439
2022-11-13,7.086330935251799
2022-11-20,4.251798561151079
2022-11-27,5.669064748201439
2022-12-04,5.669064748201439
2022-12-11,7.086330935251799
2022-12-18,9.92086330935252
2022-12-25,7.086330935251799
2023-01-01,5.669064748201439
2023-01-08,7.086330935251799
2023-01-15,5.669064748201439
2023-01-22,5.669064748201439
2023-01-29,5.669064748201439
2023-02-05,5.669064748201439
2023-02-12,5.669064748201439
2023-02-19,5.669064748201439
2023-02-26,7.086330935251799
2023-03-05,7.086330935251799
2023-03-12,7.086330935251799
2023-03-19,7.086330935251799
2023-03-26,36.84892086330935
2023-04-02,80.78417266187051
2023-04-09,82.20143884892087
2023-04-16,100.62589928057554
2023-04-23,99.20863309352518
2023-04-30,121.88489208633094
2023-05-07,117.63309352517986
2023-05-14,141.72661870503597
2023-05-21,111.96402877697842
2023-05-28,75.11510791366906
2023-06-04,8.503597122302159
2023-06-11,8.503597122302159
2023-06-18,7.086330935251799
2023-06-25,7.086330935251799
2023-07-02,7.086330935251799
2023-07-09,7.086330935251799
2023-07-16,7.086330935251799
2023-07-23,7.086330935251799
2023-07-30,9.92086330935252
2023-08-06,8.503597122302159
2023-08-13,8.503597122302159
2023-08-20,7.086330935251799
2023-08-27,5.669064748201439
2023-09-03,5.669064748201439
2023-09-10,5.669064748201439
2023-09-17,5.669064748201439
2023-09-24,5.669064748201439
2023-10-01,4.251798561151079
2023-10-08,5.669064748201439
2023-10-15,5.669064748201439
2023-10-22,5.669064748201439
2023-10-29,4.251798561151079
2023-11-05,5.669064748201439
2023-11-12,5.669064748201439
2023-11-19,7.086330935251799
2023-11-26,7.086330935251799
2023-12-03,7.086330935251799
2023-12-10,7.086330935251799
2023-12-17,14.172661870503598
2023-12-24,7.086330935251799
2023-12-31,5.669064748201439
2024-01-07,7.086330935251802
2024-01-14,7.086330935251802
2024-01-21,7.086330935251802
2024-01-28,5.669064748201441
2024-02-04,5.669064748201441
2024-02-11,7.086330935251802
2024-02-18,7.086330935251802
2024-02-25,7.086330935251802
2024-03-03,8.50359712230216
2024-03-10,7.086330935251802
2024-03-17,36.84892086330937
2024-03-24,90.70503597122305
2024-03-31,80.78417266187053
2024-04-07,83.61870503597126
2024-04-14,97.79136690647485
2024-04-21,99.20863309352522
2024-04-28,100.62589928057558
2024-05-05,103.4604316546763
2024-05-12,110.5467625899281
2024-05-19,80.78417266187053
2024-05-26,31.179856115107924
2024-06-02,7.086330935251802
2024-06-09,7.086330935251802
2024-06-16,7.086330935251802
2024-06-23,7.086330935251802
2024-06-30,8.50359712230216
2024-07-07,8.50359712230216
2024-07-14,8.50359712230216
2024-07-21,7.086330935251802
2024-07-28,7.086330935251802
2024-08-04,7.086330935251802
2024-08-11,5.669064748201441
2024-08-18,7.086330935251802
2024-08-25,5.669064748201441
2024-09-01,7.086330935251802
2024-09-08,5.669064748201441
2024-09-15,5.669064748201441
2024-09-22,5.669064748201441
2024-09-29,5.669064748201441
2024-10-06,5.669064748201441
2024-10-13,5.669064748201441
2024-10-20,7.086330935251802
2024-10-27,7.086330935251802
2024-11-03,5.669064748201441
2024-11-10,5.669064748201441
2024-11-17,7.086330935251802
2024-11-24,18.424460431654683
2024-12-01,5.669064748201441
2024-12-08,7.086330935251802
2024-12-15,7.086330935251802
2024-12-22,7.086330935251802
2024-12-29,5.669064748201441
2025-01-05,7.086330935251802
2025-01-12,5.669064748201441
2025-01-19,7.086330935251802
2025-01-26,5.669064748201441
2025-02-02,7.086330935251802
2025-02-09,5.669064748201441
2025-02-16,5.669064748201441
2025-02-23,5.669064748201441
2025-03-02,7.086330935251802
2025-03-09,5.669064748201441
2025-03-16,8.50359712230216
2025-03-23,15.589928057553962
2025-03-30,12.755395683453242
2025-04-06,14.172661870503603
2025-04-13,15.589928057553962
2025-04-20,15.589928057553962
2025-04-27,17.00719424460432
2025-05-04,14.172661870503603
2025-05-11,8.50359712230216
2025-05-18,12.755395683453242
2025-05-25,14.172661870503603
2025-06-01,12.755395683453242
2025-06-08,5.669064748201441
2025-06-15,5.669064748201441
2025-06-22,5.669064748201441
2025-06-29,5.669064748201441
2025-07-06,5.669064748201441
2025-07-13,5.669064748201441
2025-07-20,5.669064748201441
2025-07-27,5.669064748201441
2025-08-03,7.086330935251802
2025-08-10,5.669064748201441
2025-08-17,5.669064748201441
2025-08-24,5.669064748201441
2025-08-31,5.669064748201441
2025-09-07,5.669064748201441
2025-09-14,5.669064748201441
2025-09-21,5.669064748201441
2025-09-28,4.25179856115108
2025-10-05,5.669064748201441
2025-10-12,5.669064748201441
2025-10-19,4.25179856115108
2025-10-26,5.669064748201441
2025-11-02,5.669064748201441
2025-11-09,7.086330935251802
2025-11-16,5.669064748201441
2025-11-23,5.669064748201441
2025-11-30,5.669064748201441
2025-12-07,5.669064748201441
2025-12-14,9.920863309352521
2025-12-21,7.086330935251802
2025-12-28,5.669064748201441
