,Home Financing
2021-10-17,75.14030093533957
2021-10-24,86.82879219194794
2021-10-31,71.80073200488003
2021-11-07,81.81943879625864
2021-11-14,86.82879219194794
2021-11-21,86.82879219194794
2021-11-28,83.4892232614884
2021-12-05,83.4892232614884
2021-12-12,81.81943879625864
2021-12-19,80.14965433102887
2021-12-26,83.4892232614884
2022-01-02,85.15900772671817
2022-01-09,88.49857665717771
2022-01-16,76.81008540056933
2022-01-23,113.54534363562423
2022-01-30,96.84749898332656
2022-02-06,125.23383489223262
2022-02-13,105.1964213094754
2022-02-20,100.1870679137861
2022-02-27,95.17771451809679
2022-03-06,101.85685237901586
2022-03-13,111.87555917039447
2022-03-20,108.53599023993493
2022-03-27,90.16836112240749
2022-04-03,100.1870679137861
2022-04-10,105.1964213094754
2022-04-17,140.26189507930053
2022-04-24,140.26189507930053
2022-05-01,135.2525416836112
2022-05-08,90.16836112240749
2022-05-15,111.87555917039447
2022-05-22,110.2057747051647
2022-05-29,95.17771451809679
2022-06-05,91.83814558763726
2022-06-12,81.81943879625864
2022-06-19,86.82879219194794
2022-06-26,96.84749898332656
2022-07-03,88.49857665717771
2022-07-10,68.4611630744205
2022-07-17,86.82879219194794
2022-07-24,91.83814558763726
2022-07-31,90.16836112240749
2022-08-07,85.15900772671817
2022-08-14,108.53599023993493
2022-08-21,101.85685237901586
2022-08-28,95.17771451809679
2022-09-04,100.1870679137861
2022-09-11,86.82879219194794
2022-09-18,96.84749898332656
2022-09-25,86.82879219194794
2022-10-02,78.4798698657991
2022-10-09,90.16836112240749
2022-10-16,83.4892232614884
2022-10-23,85.15900772671817
2022-10-30,91.83814558763726
2022-11-06,80.14965433102887
2022-11-13,81.81943879625864
2022-11-20,91.83814558763726
2022-11-27,95.17771451809679
2022-12-04,93.50793005286702
2022-12-11,93.50793005286702
2022-12-18,98.51728344855633
2022-12-25,91.83814558763726
2023-01-01,91.83814558763726
2023-01-08,98.51728344855633
2023-01-15,90.16836112240749
2023-01-22,95.17771451809679
2023-01-29,96.84749898332656
2023-02-05,83.4892232614884
2023-02-12,85.15900772671817
2023-02-19,100.1870679137861
2023-02-26,88.49857665717771
2023-03-05,93.50793005286702
2023-03-12,85.15900772671817
2023-03-19,93.50793005286702
2023-03-26,78.4798698657991
2023-04-02,100.1870679137861
2023-04-09,61.78202521350142
2023-04-16,86.82879219194794
2023-04-23,81.81943879625864
2023-04-30,81.81943879625864
2023-05-07,98.51728344855633
2023-05-14,93.50793005286702
2023-05-21,106.86620577470516
2023-05-28,106.86620577470516
2023-06-04,118.55469703131354
2023-06-11,116.88491256608377
2023-06-18,105.1964213094754
2023-06-25,103.52663684424563
2023-07-02,126.90361935746239
2023-07-09,143.60146400976006
2023-07-16,121.89426596177307
2023-07-23,130.24318828792192
2023-07-30,123.56405042700284
2023-08-06,121.89426596177307
2023-08-13,116.88491256608377
2023-08-20,98.51728344855633
2023-08-27,125.23383489223262
2023-09-03,98.51728344855633
2023-09-10,101.85685237901586
2023-09-17,110.2057747051647
2023-09-24,113.54534363562423
2023-10-01,106.86620577470516
2023-10-08,113.54534363562423
2023-10-15,96.84749898332656
2023-10-22,105.1964213094754
2023-10-29,98.51728344855633
2023-11-05,101.85685237901586
2023-11-12,101.85685237901586
2023-11-19,103.52663684424563
2023-11-26,103.52663684424563
2023-12-03,111.87555917039447
2023-12-10,105.1964213094754
2023-12-17,91.83814558763726
2023-12-24,86.82879219194794
2023-12-31,106.86620577470516
2024-01-07,113.1580703521873
2024-01-14,110.29330907744837
2024-01-21,110.29330907744837
2024-01-28,116.02283162692622
2024-02-04,107.42854780270946
2024-02-11,127.48187672588189
2024-02-18,103.13140589060107
2024-02-25,104.56378652797054
2024-03-03,116.02283162692622
2024-03-10,111.72568971481783
2024-03-17,118.88759290166513
2024-03-24,116.02283162692622
2024-03-31,98.8342639784927
2024-04-07,81.64569633005918
2024-04-14,78.78093505532027
2024-04-21,88.80759951690648
2024-04-28,104.56378652797054
2024-05-05,110.29330907744837
2024-05-12,121.75235417640405
2024-05-19,91.6723607916454
2024-05-26,118.88759290166513
2024-06-02,108.86092844007892
2024-06-09,107.42854780270946
2024-06-16,103.13140589060107
2024-06-23,118.88759290166513
2024-06-30,100.26664461586216
2024-07-07,90.23998015427594
2024-07-14,121.75235417640405
2024-07-21,105.99616716534
2024-07-28,105.99616716534
2024-08-04,100.26664461586216
2024-08-11,103.13140589060107
2024-08-18,90.23998015427594
2024-08-25,105.99616716534
2024-09-01,108.86092844007892
2024-09-08,94.53712206638433
2024-09-15,71.61903186847297
2024-09-22,87.37521887953703
2024-09-29,95.96950270375378
2024-10-06,100.26664461586216
2024-10-13,95.96950270375378
2024-10-20,94.53712206638433
2024-10-27,95.96950270375378
2024-11-03,100.26664461586216
2024-11-10,80.21331569268973
2024-11-17,95.96950270375378
2024-11-24,104.56378652797054
2024-12-01,108.86092844007892
2024-12-08,93.10474142901487
2024-12-15,91.6723607916454
2024-12-22,85.94283824216757
2024-12-29,97.40188334112324
2025-01-05,98.8342639784927
2025-01-12,130.3466380006208
2025-01-19,105.99616716534
2025-01-26,108.86092844007892
2025-02-02,104.56378652797054
2025-02-09,113.1580703521873
2025-02-16,116.02283162692622
2025-02-23,124.61711545114296
2025-03-02,121.75235417640405
2025-03-09,110.29330907744837
2025-03-16,110.29330907744837
2025-03-23,111.72568971481783
2025-03-30,101.69902525323162
2025-04-06,78.78093505532027
2025-04-13,83.07807696742864
2025-04-20,101.69902525323162
2025-04-27,105.99616716534
2025-05-04,94.53712206638433
2025-05-11,97.40188334112324
2025-05-18,117.45521226429567
2025-05-25,114.59045098955676
2025-06-01,114.59045098955676
2025-06-08,105.99616716534
2025-06-15,110.29330907744837
2025-06-22,114.59045098955676
2025-06-29,117.45521226429567
2025-07-06,113.1580703521873
2025-07-13,131.77901863799028
2025-07-20,123.18473481377352
2025-07-27,117.45521226429567
2025-08-03,108.86092844007892
2025-08-10,107.42854780270946
2025-08-17,107.42854780270946
2025-08-24,105.99616716534
2025-08-31,98.8342639784927
2025-09-07,105.99616716534
2025-09-14,91.6723607916454
2025-09-21,110.29330907744837
2025-09-28,104.56378652797054
2025-10-05,124.61711545114296
2025-10-12,113.1580703521873
2025-10-19,94.53712206638433
2025-10-26,95.96950270375378
2025-11-02,107.42854780270946
2025-11-09,111.72568971481783
2025-11-16,107.42854780270946
2025-11-23,73.05141250584244
2025-11-30,90.23998015427594
2025-12-07,108.86092844007892
2025-12-14,91.6723607916454
2025-12-21,95.96950270375378
2025-12-28,103.13140589060107
