,Mental Health
2022-11-06,50.0
2022-11-13,45.0
2022-11-20,49.0
2022-11-27,46.0
2022-12-04,46.0
2022-12-11,45.0
2022-12-18,48.0
2022-12-25,46.0
2023-01-01,54.0
2023-01-08,62.0
2023-01-15,45.0
2023-01-22,47.0
2023-01-29,61.0
2023-02-05,46.0
2023-02-12,52.0
2023-02-19,52.0
2023-02-26,57.0
2023-03-05,46.0
2023-03-12,59.0
2023-03-19,46.0
2023-03-26,57.0
2023-04-02,68.0
2023-04-09,60.0
2023-04-16,47.0
2023-04-23,57.0
2023-04-30,48.0
2023-05-07,57.0
2023-05-14,53.0
2023-05-21,39.0
2023-05-28,50.0
2023-06-04,56.0
2023-06-11,51.0
2023-06-18,44.0
2023-06-25,34.0
2023-07-02,52.0
2023-07-09,48.0
2023-07-16,41.0
2023-07-23,38.0
2023-07-30,42.0
2023-08-06,59.0
2023-08-13,65.0
2023-08-20,57.0
2023-08-27,50.0
2023-09-03,51.0
2023-09-10,53.0
2023-09-17,63.0
2023-09-24,47.0
2023-10-01,51.0
2023-10-08,60.0
2023-10-15,57.0
2023-10-22,67.0
2023-10-29,57.0
2023-11-05,57.0
2023-11-12,62.0
2023-11-19,57.0
2023-11-26,63.0
2023-12-03,63.0
2023-12-10,56.0
2023-12-17,61.0
2023-12-24,63.0
2023-12-31,48.0
2024-01-07,58.214901165737466
2024-01-14,52.465281297516476
2024-01-21,57.49619868220984
2024-01-28,52.465281297516476
2024-02-04,53.90268626457173
2024-02-11,66.83933096806894
2024-02-18,52.465281297516476
2024-02-25,52.465281297516476
2024-03-03,70.43284338570706
2024-03-10,46.715661429295494
2024-03-17,56.777496198682215
2024-03-24,62.527116066903204
2024-03-31,62.527116066903204
2024-04-07,51.746578813988855
2024-04-14,58.214901165737466
2024-04-21,53.90268626457173
2024-04-28,65.40192600101369
2024-05-05,58.93360364926509
2024-05-12,46.715661429295494
2024-05-19,61.808413583375575
2024-05-26,67.55803345159656
2024-06-02,53.90268626457173
2024-06-09,60.37100861632033
2024-06-16,40.96604156107451
2024-06-23,66.83933096806894
2024-06-30,56.05879371515459
2024-07-07,59.65230613279271
2024-07-14,56.777496198682215
2024-07-21,60.37100861632033
2024-07-28,54.62138874809935
2024-08-04,69.71414090217944
2024-08-11,71.15154586923468
2024-08-18,65.40192600101369
2024-08-25,52.465281297516476
2024-09-01,53.90268626457173
2024-09-08,66.83933096806894
2024-09-15,71.15154586923468
2024-09-22,53.183983781044105
2024-09-29,56.777496198682215
2024-10-06,70.43284338570706
2024-10-13,70.43284338570706
2024-10-20,71.8702483527623
2024-10-27,65.40192600101369
2024-11-03,54.62138874809935
2024-11-10,63.96452103395845
2024-11-17,62.527116066903204
2024-11-24,65.40192600101369
2024-12-01,46.715661429295494
2024-12-08,43.84085149518501
2024-12-15,61.808413583375575
2024-12-22,53.90268626457173
2024-12-29,43.12214901165738
2025-01-05,49.59047136340599
2025-01-12,63.96452103395845
2025-01-19,51.746578813988855
2025-01-26,45.27825646224025
2025-02-02,56.05879371515459
2025-02-09,53.90268626457173
2025-02-16,67.55803345159656
2025-02-23,46.715661429295494
2025-03-02,45.27825646224025
2025-03-09,56.05879371515459
2025-03-16,48.87176887987837
2025-03-23,54.62138874809935
2025-03-30,44.55955397871263
2025-04-06,57.49619868220984
2025-04-13,60.37100861632033
2025-04-20,65.40192600101369
2025-04-27,66.83933096806894
2025-05-04,59.65230613279271
2025-05-11,50.30917384693361
2025-05-18,58.93360364926509
2025-05-25,38.09123162696402
2025-06-01,42.403446528129756
2025-06-08,66.12062848454131
2025-06-15,65.40192600101369
2025-06-22,53.90268626457173
2025-06-29,51.746578813988855
2025-07-06,44.55955397871263
2025-07-13,43.84085149518501
2025-07-20,46.715661429295494
