,Weddings
2022-08-14,64.0
2022-08-21,61.0
2022-08-28,64.0
2022-09-04,61.0
2022-09-11,66.0
2022-09-18,63.0
2022-09-25,63.0
2022-10-02,66.0
2022-10-09,70.0
2022-10-16,68.0
2022-10-23,66.0
2022-10-30,73.0
2022-11-06,72.0
2022-11-13,77.0
2022-11-20,77.0
2022-11-27,81.0
2022-12-04,85.0
2022-12-11,77.0
2022-12-18,71.0
2022-12-25,70.0
2023-01-01,66.0
2023-01-08,65.0
2023-01-15,69.0
2023-01-22,79.0
2023-01-29,78.0
2023-02-05,89.0
2023-02-12,79.0
2023-02-19,77.0
2023-02-26,69.0
2023-03-05,66.0
2023-03-12,70.0
2023-03-19,66.0
2023-03-26,64.0
2023-04-02,61.0
2023-04-09,65.0
2023-04-16,63.0
2023-04-23,69.0
2023-04-30,78.0
2023-05-07,73.0
2023-05-14,68.0
2023-05-21,72.0
2023-05-28,70.0
2023-06-04,76.0
2023-06-11,69.0
2023-06-18,67.0
2023-06-25,68.0
2023-07-02,70.0
2023-07-09,64.0
2023-07-16,70.0
2023-07-23,74.0
2023-07-30,59.0
2023-08-06,60.0
2023-08-13,62.0
2023-08-20,64.0
2023-08-27,62.0
2023-09-03,69.0
2023-09-10,73.0
2023-09-17,75.0
2023-09-24,76.0
2023-10-01,70.0
2023-10-08,65.0
2023-10-15,66.0
2023-10-22,66.0
2023-10-29,72.0
2023-11-05,66.0
2023-11-12,67.0
2023-11-19,82.0
2023-11-26,87.0
2023-12-03,82.0
2023-12-10,83.0
2023-12-17,77.0
2023-12-24,87.0
2023-12-31,76.0
2024-01-07,80.32553407934894
2024-01-14,79.36927772126145
2024-01-21,87.01932858596135
2024-01-28,94.66937945066124
2024-02-04,95.62563580874873
2024-02-11,89.8880976602238
2024-02-18,86.06307222787386
2024-02-25,94.66937945066124
2024-03-03,87.97558494404883
2024-03-10,90.8443540183113
2024-03-17,87.97558494404883
2024-03-24,71.71922685656155
2024-03-31,71.71922685656155
2024-04-07,65.02543234994914
2024-04-14,70.76297049847406
2024-04-21,72.67548321464903
2024-04-28,69.80671414038657
2024-05-05,66.93794506612412
2024-05-12,62.156663275686675
2024-05-19,61.20040691759919
2024-05-26,59.287894201424216
2024-06-02,61.20040691759919
2024-06-09,61.20040691759919
2024-06-16,63.11291963377416
2024-06-23,63.11291963377416
2024-06-30,65.98168870803663
2024-07-07,72.67548321464903
2024-07-14,70.76297049847406
2024-07-21,65.98168870803663
2024-07-28,65.02543234994914
2024-08-04,65.02543234994914
2024-08-11,63.11291963377416
2024-08-18,71.71922685656155
2024-08-25,63.11291963377416
2024-09-01,63.11291963377416
2024-09-08,63.11291963377416
2024-09-15,64.06917599186166
2024-09-22,62.156663275686675
2024-09-29,58.33163784333673
2024-10-06,56.41912512716175
2024-10-13,64.06917599186166
2024-10-20,65.02543234994914
2024-10-27,59.287894201424216
2024-11-03,64.06917599186166
2024-11-10,71.71922685656155
2024-11-17,73.63173957273652
2024-11-24,72.67548321464903
2024-12-01,68.85045778229909
2024-12-08,63.11291963377416
2024-12-15,62.156663275686675
2024-12-22,65.98168870803663
2024-12-29,65.98168870803663
2025-01-05,56.41912512716175
2025-01-12,59.287894201424216
2025-01-19,65.02543234994914
2025-01-26,64.06917599186166
2025-02-02,62.156663275686675
2025-02-09,64.06917599186166
2025-02-16,67.8942014242116
2025-02-23,62.156663275686675
2025-03-02,61.20040691759919
2025-03-09,53.55035605289929
2025-03-16,55.46286876907426
2025-03-23,53.55035605289929
2025-03-30,51.637843336724316
2025-04-06,55.46286876907426
2025-04-13,63.11291963377416
2025-04-20,64.06917599186166
2025-04-27,62.156663275686675
2025-05-04,65.02543234994914
2025-05-11,61.20040691759919
2025-05-18,57.37538148524924
2025-05-25,55.46286876907426
2025-06-01,55.46286876907426
2025-06-08,54.506612410986776
2025-06-15,54.506612410986776
2025-06-22,55.46286876907426
2025-06-29,65.02543234994914
2025-07-06,52.5940996948118
2025-07-13,52.5940996948118
2025-07-20,50.68158697863683
2025-07-27,52.5940996948118
2025-08-03,49.72533062054934
2025-08-10,50.68158697863683
2025-08-17,54.506612410986776
2025-08-24,53.55035605289929
2025-08-31,53.55035605289929
2025-09-07,50.68158697863683
2025-09-14,51.637843336724316
2025-09-21,54.506612410986776
2025-09-28,49.72533062054934
2025-10-05,56.41912512716175
2025-10-12,58.33163784333673
2025-10-19,52.5940996948118
2025-10-26,61.20040691759919
2025-11-02,69.80671414038657
2025-11-09,65.98168870803663
2025-11-16,69.80671414038657
2025-11-23,69.80671414038657
2025-11-30,68.85045778229909
2025-12-07,64.06917599186166
2025-12-14,63.11291963377416
2025-12-21,60.2441505595117
2025-12-28,57.37538148524924
2026-01-04,54.506612410986776
