,Resumes & Portfolios
2023-11-19,128.95196156925542
2023-11-26,128.95196156925542
2023-12-03,137.66493194555645
2023-12-10,137.66493194555645
2023-12-17,132.43714971977582
2023-12-24,135.92233787029625
2023-12-31,139.40752602081665
2024-01-07,139.40752602081665
2024-01-14,135.92233787029622
2024-01-21,125.46677341873497
2024-01-28,148.12049639711768
2024-02-04,139.40752602081665
2024-02-11,142.89271417133705
2024-02-18,141.15012009607685
2024-02-25,144.63530824659728
2024-03-03,128.9519615692554
2024-03-10,130.69455564451562
2024-03-17,132.43714971977582
2024-03-24,123.72417934347477
2024-03-31,141.15012009607685
2024-04-07,132.43714971977582
2024-04-14,128.9519615692554
2024-04-21,132.43714971977582
2024-04-28,135.92233787029622
2024-05-05,139.40752602081665
2024-05-12,156.83346677341873
2024-05-19,141.15012009607685
2024-05-26,149.8630904723779
2024-06-02,135.92233787029622
2024-06-09,146.37790232185748
2024-06-16,153.3482786228983
2024-06-23,153.3482786228983
2024-06-30,149.8630904723779
2024-07-07,151.6056845476381
2024-07-14,160.31865492393914
2024-07-21,153.3482786228983
2024-07-28,165.54643714971976
2024-08-04,153.3482786228983
2024-08-11,139.40752602081665
2024-08-18,134.17974379503602
2024-08-25,142.89271417133705
2024-09-01,137.66493194555645
2024-09-08,130.69455564451562
2024-09-15,132.43714971977582
2024-09-22,135.92233787029622
2024-09-29,120.23899119295436
2024-10-06,108.0408326661329
2024-10-13,125.46677341873497
2024-10-20,121.98158526821456
2024-10-27,92.35748598879103
2024-11-03,115.01120896717373
2024-11-10,121.98158526821456
2024-11-17,116.75380304243394
2024-11-24,120.23899119295436
2024-12-01,121.98158526821456
2024-12-08,115.01120896717373
2024-12-15,125.46677341873497
2024-12-22,125.46677341873497
2024-12-29,115.01120896717373
2025-01-05,137.66493194555645
2025-01-12,116.75380304243394
2025-01-19,127.20936749399519
2025-01-26,127.20936749399519
2025-02-02,127.20936749399519
2025-02-09,121.98158526821456
2025-02-16,127.20936749399519
2025-02-23,123.72417934347477
2025-03-02,128.9519615692554
2025-03-09,113.26861489191353
2025-03-16,128.9519615692554
2025-03-23,118.49639711769414
2025-03-30,120.23899119295436
2025-04-06,120.23899119295436
2025-04-13,111.52602081665331
2025-04-20,116.75380304243394
2025-04-27,116.75380304243394
2025-05-04,108.0408326661329
2025-05-11,128.9519615692554
2025-05-18,125.46677341873497
2025-05-25,130.69455564451562
2025-06-01,127.20936749399519
2025-06-08,128.9519615692554
2025-06-15,135.92233787029622
2025-06-22,132.43714971977582
2025-06-29,137.66493194555645
2025-07-06,127.20936749399519
2025-07-13,132.43714971977582
2025-07-20,132.43714971977582
2025-07-27,130.69455564451562
2025-08-03,127.20936749399519
2025-08-10,115.01120896717373
2025-08-17,125.46677341873497
2025-08-24,118.49639711769414
2025-08-31,108.0408326661329
2025-09-07,116.75380304243394
2025-09-14,121.98158526821456
2025-09-21,108.0408326661329
2025-09-28,87.1297037630104
2025-10-05,106.29823859087269
2025-10-12,95.84267413931144
2025-10-19,81.90192153722978
2025-10-26,104.55564451561249
2025-11-02,108.0408326661329
2025-11-09,108.0408326661329
2025-11-16,108.0408326661329
2025-11-23,101.07045636509207
2025-11-30,97.58526821457166
2025-12-07,108.0408326661329
2025-12-14,109.7834267413931
2025-12-21,101.07045636509207
2025-12-28,99.32786228983186
2026-01-04,108.0408326661329
