,Home Appliances
2019-05-05,81.0
2019-05-12,62.0
2019-05-19,85.0
2019-05-26,63.0
2019-06-02,80.0
2019-06-09,51.0
2019-06-16,89.0
2019-06-23,95.0
2019-06-30,82.0
2019-07-07,64.0
2019-07-14,99.0
2019-07-21,74.0
2019-07-28,61.0
2019-08-04,72.0
2019-08-11,47.0
2019-08-18,75.0
2019-08-25,76.0
2019-09-01,62.0
2019-09-08,82.0
2019-09-15,62.0
2019-09-22,46.0
2019-09-29,62.0
2019-10-06,68.0
2019-10-13,75.0
2019-10-20,77.0
2019-10-27,63.0
2019-11-03,70.0
2019-11-10,59.0
2019-11-17,63.0
2019-11-24,56.0
2019-12-01,62.0
2019-12-08,67.0
2019-12-15,70.0
2019-12-22,70.0
2019-12-29,65.0
2020-01-05,75.53708439897697
2020-01-12,70.04347826086955
2020-01-19,86.5242966751918
2020-01-26,81.03069053708438
2020-02-02,76.91048593350382
2020-02-09,82.40409207161125
2020-02-16,74.16368286445011
2020-02-23,65.92327365728899
2020-03-01,78.28388746803067
2020-03-08,67.29667519181585
2020-03-15,76.91048593350382
2020-03-22,92.01790281329922
2020-03-29,74.16368286445011
2020-04-05,78.28388746803067
2020-04-12,59.05626598465472
2020-04-19,64.54987212276214
2020-04-26,52.18925831202045
2020-05-03,43.94884910485933
2020-05-10,57.682864450127866
2020-05-17,50.8158567774936
2020-05-24,54.93606138107416
2020-05-31,70.04347826086955
2020-06-07,64.54987212276214
2020-06-14,56.30946291560101
2020-06-21,50.8158567774936
2020-06-28,49.442455242966744
2020-07-05,72.79028132992326
2020-07-12,46.69565217391303
2020-07-19,67.29667519181585
2020-07-26,49.442455242966744
2020-08-02,71.41687979539641
2020-08-09,46.69565217391303
2020-08-16,61.80306905370843
2020-08-23,43.94884910485933
2020-08-30,48.06905370843989
2020-09-06,67.29667519181585
2020-09-13,64.54987212276214
2020-09-20,53.562659846547305
2020-09-27,65.92327365728899
2020-10-04,75.53708439897697
2020-10-11,65.92327365728899
2020-10-18,65.92327365728899
2020-10-25,64.54987212276214
2020-11-01,70.04347826086955
2020-11-08,81.03069053708438
2020-11-15,71.41687979539641
2020-11-22,82.40409207161125
2020-11-29,65.92327365728899
2020-12-06,93.39130434782606
2020-12-13,68.6700767263427
2020-12-20,65.92327365728899
2020-12-27,92.01790281329922
2021-01-03,76.91048593350382
2021-01-10,75.53708439897697
2021-01-17,50.8158567774936
2021-01-24,76.91048593350382
2021-01-31,76.91048593350382
2021-02-07,105.75191815856776
2021-02-14,90.64450127877237
2021-02-21,72.79028132992326
2021-02-28,83.7774936061381
2021-03-07,92.01790281329922
2021-03-14,97.51150895140664
2021-03-21,109.87212276214832
2021-03-28,137.3401534526854
2021-04-04,97.51150895140664
2021-04-11,103.00511508951405
2021-04-18,103.00511508951405
2021-04-25,83.7774936061381
2021-05-02,71.41687979539641
2021-05-09,70.04347826086955
2021-05-16,74.16368286445011
2021-05-23,67.29667519181585
2021-05-30,107.12531969309461
2021-06-06,64.54987212276214
2021-06-13,74.16368286445011
2021-06-20,89.2710997442455
2021-06-27,85.15089514066494
2021-07-04,92.01790281329922
2021-07-11,81.03069053708438
2021-07-18,89.2710997442455
2021-07-25,97.51150895140664
2021-08-01,90.64450127877237
2021-08-08,76.91048593350382
2021-08-15,90.64450127877237
2021-08-22,76.91048593350382
2021-08-29,90.64450127877237
2021-09-05,81.03069053708438
2021-09-12,92.01790281329922
2021-09-19,65.92327365728899
2021-09-26,101.6317135549872
2021-10-03,87.89769820971865
2021-10-10,60.42966751918158
2021-10-17,93.39130434782606
2021-10-24,105.75191815856776
2021-10-31,115.36572890025573
2021-11-07,89.2710997442455
2021-11-14,83.7774936061381
2021-11-21,97.51150895140664
2021-11-28,92.01790281329922
2021-12-05,94.76470588235293
2021-12-12,65.92327365728899
2021-12-19,108.49872122762146
2021-12-26,90.64450127877237
2022-01-02,85.15089514066494
2022-01-09,107.12531969309461
2022-01-16,81.03069053708438
2022-01-23,79.65728900255753
2022-01-30,116.7391304347826
2022-02-06,87.89769820971865
2022-02-13,89.2710997442455
2022-02-20,103.00511508951405
2022-02-27,90.64450127877237
2022-03-06,100.25831202046034
2022-03-13,107.12531969309461
2022-03-20,111.24552429667517
2022-03-27,120.85933503836316
2022-04-03,104.3785166240409
2022-04-10,109.87212276214832
2022-04-17,94.76470588235293
2022-04-24,79.65728900255753
2022-05-01,81.03069053708438
2022-05-08,63.17647058823528
2022-05-15,75.53708439897697
2022-05-22,96.13810741687978
2022-05-29,79.65728900255753
2022-06-05,76.91048593350382
2022-06-12,87.89769820971865
2022-06-19,74.16368286445011
2022-06-26,72.79028132992326
2022-07-03,76.91048593350382
2022-07-10,63.17647058823528
2022-07-17,92.01790281329922
2022-07-24,64.54987212276214
2022-07-31,74.16368286445011
2022-08-07,81.03069053708438
2022-08-14,105.75191815856776
2022-08-21,86.5242966751918
2022-08-28,87.89769820971865
2022-09-04,108.49872122762146
2022-09-11,82.40409207161125
2022-09-18,90.64450127877237
2022-09-25,78.28388746803067
2022-10-02,74.16368286445011
2022-10-09,65.92327365728899
2022-10-16,94.76470588235293
2022-10-23,87.89769820971865
2022-10-30,82.40409207161125
2022-11-06,72.79028132992326
2022-11-13,103.00511508951405
2022-11-20,96.13810741687978
2022-11-27,87.89769820971865
2022-12-04,93.39130434782606
2022-12-11,75.53708439897697
2022-12-18,87.89769820971865
2022-12-25,100.25831202046034
2023-01-01,75.53708439897697
2023-01-08,82.40409207161125
2023-01-15,100.25831202046034
2023-01-22,93.39130434782606
2023-01-29,79.65728900255753
2023-02-05,68.6700767263427
2023-02-12,103.00511508951405
2023-02-19,101.6317135549872
2023-02-26,86.5242966751918
2023-03-05,123.60613810741685
2023-03-12,124.97953964194372
2023-03-19,107.12531969309461
2023-03-26,93.39130434782606
2023-04-02,75.53708439897697
2023-04-09,86.5242966751918
2023-04-16,82.40409207161125
2023-04-23,75.53708439897697
2023-04-30,89.2710997442455
2023-05-07,89.2710997442455
2023-05-14,72.79028132992326
2023-05-21,82.40409207161125
2023-05-28,96.13810741687978
2023-06-04,113.99232736572888
2023-06-11,83.7774936061381
2023-06-18,67.29667519181585
2023-06-25,68.6700767263427
2023-07-02,63.17647058823528
2023-07-09,89.2710997442455
2023-07-16,75.53708439897697
2023-07-23,92.01790281329922
2023-07-30,86.5242966751918
2023-08-06,101.6317135549872
2023-08-13,83.7774936061381
2023-08-20,103.00511508951405
2023-08-27,87.89769820971865
2023-09-03,103.00511508951405
2023-09-10,92.01790281329922
2023-09-17,86.5242966751918
2023-09-24,68.6700767263427
2023-10-01,112.61892583120202
2023-10-08,123.60613810741685
2023-10-15,97.51150895140664
2023-10-22,112.61892583120202
2023-10-29,116.7391304347826
2023-11-05,93.39130434782606
2023-11-12,89.2710997442455
2023-11-19,98.88491048593349
2023-11-26,112.61892583120202
2023-12-03,100.25831202046034
2023-12-10,90.64450127877237
2023-12-17,94.76470588235293
2023-12-24,104.3785166240409
2023-12-31,107.12531969309461
2024-01-07,114.62252743695166
2024-01-14,122.39354624623653
2024-01-21,104.9087539253456
2024-01-28,124.33630094855774
2024-02-04,137.93558386480623
2024-02-11,194.27547023212145
2024-02-18,134.0500744601638
2024-02-25,134.0500744601638
2024-03-03,135.992829162485
2024-03-10,130.16456505552136
2024-03-17,132.1073197578426
2024-03-24,112.67977273463045
2024-03-31,106.8515086276668
2024-04-07,91.30947100909708
2024-04-14,83.53845219981223
2024-04-21,104.9087539253456
2024-04-28,116.56528213927288
2024-05-05,95.19498041373951
2024-05-12,104.9087539253456
2024-05-19,104.9087539253456
2024-05-26,95.19498041373951
2024-06-02,106.8515086276668
2024-06-09,106.8515086276668
2024-06-16,108.79426332998801
2024-06-23,114.62252743695166
2024-06-30,108.79426332998801
2024-07-07,106.8515086276668
2024-07-14,99.08048981838195
2024-07-21,112.67977273463045
2024-07-28,124.33630094855774
2024-08-04,104.9087539253456
2024-08-11,95.19498041373951
2024-08-18,134.0500744601638
2024-08-25,116.56528213927288
2024-09-01,108.79426332998801
2024-09-08,102.96599922302437
2024-09-15,106.8515086276668
2024-09-22,106.8515086276668
2024-09-29,89.36671630677587
2024-10-06,126.27905565087895
2024-10-13,112.67977273463045
2024-10-20,108.79426332998801
2024-10-27,120.4507915439153
2024-11-03,120.4507915439153
2024-11-10,97.13773511606072
2024-11-17,110.73701803230924
2024-11-24,122.39354624623653
2024-12-01,122.39354624623653
2024-12-08,106.8515086276668
2024-12-15,114.62252743695166
2024-12-22,120.4507915439153
2024-12-29,116.56528213927288
2025-01-05,118.50803684159409
2025-01-12,122.39354624623653
2025-01-19,118.50803684159409
2025-01-26,122.39354624623653
2025-02-02,139.87833856712746
2025-02-09,145.7066026740911
2025-02-16,134.0500744601638
2025-02-23,149.59211207873352
2025-03-02,112.67977273463045
2025-03-09,134.0500744601638
2025-03-16,114.62252743695166
2025-03-23,93.2522257114183
2025-03-30,112.67977273463045
2025-04-06,114.62252743695166
2025-04-13,93.2522257114183
2025-04-20,118.50803684159409
2025-04-27,106.8515086276668
2025-05-04,97.13773511606072
2025-05-11,99.08048981838195
2025-05-18,79.65294279516979
2025-05-25,110.73701803230924
2025-06-01,108.79426332998801
2025-06-08,91.30947100909708
2025-06-15,93.2522257114183
2025-06-22,102.96599922302437
2025-06-29,101.02324452070316
2025-07-06,134.0500744601638
2025-07-13,83.53845219981223
2025-07-20,85.48120690213344
2025-07-27,89.36671630677587
2025-08-03,116.56528213927288
2025-08-10,116.56528213927288
2025-08-17,120.4507915439153
2025-08-24,106.8515086276668
2025-08-31,122.39354624623653
2025-09-07,116.56528213927288
2025-09-14,110.73701803230924
2025-09-21,99.08048981838195
2025-09-28,95.19498041373951
2025-10-05,104.9087539253456
2025-10-12,114.62252743695166
2025-10-19,99.08048981838195
2025-10-26,112.67977273463045
2025-11-02,112.67977273463045
2025-11-09,114.62252743695166
2025-11-16,124.33630094855774
2025-11-23,120.4507915439153
2025-11-30,112.67977273463045
2025-12-07,112.67977273463045
2025-12-14,112.67977273463045
2025-12-21,122.39354624623653
2025-12-28,114.62252743695166
2026-01-04,137.93558386480623
