,Real Estate
2020-11-15,74.70812182741116
2020-11-22,74.70812182741116
2020-11-29,78.26565143824027
2020-12-06,84.19486745628878
2020-12-13,83.00902425267907
2020-12-20,90.12408347433728
2020-12-27,81.82318104906938
2021-01-03,90.12408347433728
2021-01-10,85.38071065989848
2021-01-17,90.12408347433728
2021-01-24,78.26565143824027
2021-01-31,86.56655386350818
2021-02-07,98.42498589960519
2021-02-14,87.75239706711788
2021-02-21,85.38071065989848
2021-02-28,85.38071065989848
2021-03-07,83.00902425267907
2021-03-14,93.68161308516639
2021-03-21,97.23914269599548
2021-03-28,92.49576988155668
2021-04-04,81.82318104906938
2021-04-11,78.26565143824027
2021-04-18,90.12408347433728
2021-04-25,88.93824027072758
2021-05-02,90.12408347433728
2021-05-09,84.19486745628878
2021-05-16,79.45149464184998
2021-05-23,75.89396503102087
2021-05-30,80.63733784545967
2021-06-06,81.82318104906938
2021-06-13,81.82318104906938
2021-06-20,87.75239706711788
2021-06-27,92.49576988155668
2021-07-04,92.49576988155668
2021-07-11,93.68161308516639
2021-07-18,103.16835871404399
2021-07-25,93.68161308516639
2021-08-01,86.56655386350818
2021-08-08,81.82318104906938
2021-08-15,80.63733784545967
2021-08-22,81.82318104906938
2021-08-29,94.86745628877608
2021-09-05,83.00902425267907
2021-09-12,94.86745628877608
2021-09-19,93.68161308516639
2021-09-26,91.30992667794699
2021-10-03,93.68161308516639
2021-10-10,87.75239706711788
2021-10-17,85.38071065989848
2021-10-24,86.56655386350818
2021-10-31,104.3542019176537
2021-11-07,109.0975747320925
2021-11-14,97.23914269599548
2021-11-21,91.30992667794699
2021-11-28,91.30992667794699
2021-12-05,92.49576988155668
2021-12-12,91.30992667794699
2021-12-19,97.23914269599548
2021-12-26,98.42498589960519
2022-01-02,118.58432036097011
2022-01-09,111.4692611393119
2022-01-16,96.05329949238579
2022-01-23,99.6108291032149
2022-01-30,107.9117315284828
2022-02-06,105.54004512126339
2022-02-13,107.9117315284828
2022-02-20,111.4692611393119
2022-02-27,100.79667230682459
2022-03-06,97.23914269599548
2022-03-13,107.9117315284828
2022-03-20,105.54004512126339
2022-03-27,87.75239706711788
2022-04-03,78.26565143824027
2022-04-10,74.70812182741116
2022-04-17,99.6108291032149
2022-04-24,101.9825155104343
2022-05-01,98.42498589960519
2022-05-08,85.38071065989848
2022-05-15,86.56655386350818
2022-05-22,88.93824027072758
2022-05-29,92.49576988155668
2022-06-05,90.12408347433728
2022-06-12,85.38071065989848
2022-06-19,85.38071065989848
2022-06-26,85.38071065989848
2022-07-03,79.45149464184998
2022-07-10,74.70812182741116
2022-07-17,81.82318104906938
2022-07-24,84.19486745628878
2022-07-31,88.93824027072758
2022-08-07,104.3542019176537
2022-08-14,99.6108291032149
2022-08-21,99.6108291032149
2022-08-28,99.6108291032149
2022-09-04,91.30992667794699
2022-09-11,91.30992667794699
2022-09-18,87.75239706711788
2022-09-25,93.68161308516639
2022-10-02,85.38071065989848
2022-10-09,88.93824027072758
2022-10-16,85.38071065989848
2022-10-23,85.38071065989848
2022-10-30,86.56655386350818
2022-11-06,85.38071065989848
2022-11-13,86.56655386350818
2022-11-20,84.19486745628878
2022-11-27,83.00902425267907
2022-12-04,91.30992667794699
2022-12-11,86.56655386350818
2022-12-18,96.05329949238579
2022-12-25,93.68161308516639
2023-01-01,90.12408347433728
2023-01-08,80.63733784545967
2023-01-15,92.49576988155668
2023-01-22,87.75239706711788
2023-01-29,85.38071065989848
2023-02-05,87.75239706711788
2023-02-12,87.75239706711788
2023-02-19,90.12408347433728
2023-02-26,80.63733784545967
2023-03-05,81.82318104906938
2023-03-12,90.12408347433728
2023-03-19,86.56655386350818
2023-03-26,86.56655386350818
2023-04-02,77.07980823463058
2023-04-09,75.89396503102087
2023-04-16,87.75239706711788
2023-04-23,88.93824027072758
2023-04-30,91.30992667794699
2023-05-07,87.75239706711788
2023-05-14,86.56655386350818
2023-05-21,79.45149464184998
2023-05-28,81.82318104906938
2023-06-04,94.86745628877608
2023-06-11,94.86745628877608
2023-06-18,90.12408347433728
2023-06-25,91.30992667794699
2023-07-02,91.30992667794699
2023-07-09,93.68161308516639
2023-07-16,94.86745628877608
2023-07-23,93.68161308516639
2023-07-30,86.56655386350818
2023-08-06,90.12408347433728
2023-08-13,93.68161308516639
2023-08-20,100.79667230682459
2023-08-27,92.49576988155668
2023-09-03,88.93824027072758
2023-09-10,86.56655386350818
2023-09-17,86.56655386350818
2023-09-24,87.75239706711788
2023-10-01,85.38071065989848
2023-10-08,86.56655386350818
2023-10-15,78.26565143824027
2023-10-22,79.45149464184998
2023-10-29,86.56655386350818
2023-11-05,90.12408347433728
2023-11-12,84.19486745628878
2023-11-19,87.75239706711788
2023-11-26,87.75239706711788
2023-12-03,90.12408347433728
2023-12-10,92.49576988155668
2023-12-17,96.05329949238579
2023-12-24,91.30992667794699
2023-12-31,90.12408347433728
2024-01-07,94.17431677653404
2024-01-14,89.84446313163593
2024-01-21,89.84446313163593
2024-01-28,92.009389954085
2024-02-04,94.17431677653404
2024-02-11,92.009389954085
2024-02-18,93.09185336530952
2024-02-25,95.25678018775858
2024-03-03,90.92692654286046
2024-03-10,88.7619997204114
2024-03-17,89.84446313163593
2024-03-24,87.67953630918687
2024-03-31,95.25678018775858
2024-04-07,79.01982901939064
2024-04-14,93.09185336530952
2024-04-21,90.92692654286046
2024-04-28,96.3392435989831
2024-05-05,95.25678018775858
2024-05-12,87.67953630918687
2024-05-19,81.18475584183969
2024-05-26,92.009389954085
2024-06-02,92.009389954085
2024-06-09,94.17431677653404
2024-06-16,85.51460948673781
2024-06-23,86.59707289796233
2024-06-30,92.009389954085
2024-07-07,92.009389954085
2024-07-14,97.42170701020764
2024-07-21,94.17431677653404
2024-07-28,88.7619997204114
2024-08-04,97.42170701020764
2024-08-11,100.66909724388123
2024-08-18,96.3392435989831
2024-08-25,89.84446313163593
2024-09-01,94.17431677653404
2024-09-08,89.84446313163593
2024-09-15,83.34968266428875
2024-09-22,76.85490219694158
2024-09-29,88.7619997204114
2024-10-06,89.84446313163593
2024-10-13,97.42170701020764
2024-10-20,84.43214607551329
2024-10-27,89.84446313163593
2024-11-03,85.51460948673781
2024-11-10,90.92692654286046
2024-11-17,93.09185336530952
2024-11-24,96.3392435989831
2024-12-01,99.58663383265669
2024-12-08,90.92692654286046
2024-12-15,95.25678018775858
2024-12-22,102.83402406633029
2024-12-29,107.1638777112284
2025-01-05,101.75156065510575
2025-01-12,97.42170701020764
2025-01-19,93.09185336530952
2025-01-26,93.09185336530952
2025-02-02,96.3392435989831
2025-02-09,93.09185336530952
2025-02-16,90.92692654286046
2025-02-23,89.84446313163593
2025-03-02,96.3392435989831
2025-03-09,89.84446313163593
2025-03-16,96.3392435989831
2025-03-23,93.09185336530952
2025-03-30,96.3392435989831
2025-04-06,93.09185336530952
2025-04-13,88.7619997204114
2025-04-20,103.91648747755481
2025-04-27,106.08141430000387
2025-05-04,93.09185336530952
2025-05-11,94.17431677653404
2025-05-18,97.42170701020764
2025-05-25,94.17431677653404
2025-06-01,95.25678018775858
2025-06-08,95.25678018775858
2025-06-15,97.42170701020764
2025-06-22,100.66909724388123
2025-06-29,94.17431677653404
2025-07-06,98.50417042143216
2025-07-13,102.83402406633029
2025-07-20,92.009389954085
2025-07-27,104.99895088877933
2025-08-03,99.58663383265669
2025-08-10,101.75156065510575
2025-08-17,97.42170701020764
2025-08-24,99.58663383265669
2025-08-31,94.17431677653404
2025-09-07,86.59707289796233
2025-09-14,106.08141430000387
2025-09-21,92.009389954085
2025-09-28,88.7619997204114
2025-10-05,90.92692654286046
2025-10-12,92.009389954085
2025-10-19,97.42170701020764
2025-10-26,88.7619997204114
2025-11-02,96.3392435989831
2025-11-09,99.58663383265669
2025-11-16,100.66909724388123
2025-11-23,92.009389954085
2025-11-30,85.51460948673781
2025-12-07,86.59707289796233
2025-12-14,95.25678018775858
2025-12-21,101.75156065510575
2025-12-28,108.24634112245293
