,Fast Food
2025-03-16,111.68009154510102
2025-03-23,117.77173290210654
2025-03-30,121.8328271401102
2025-04-06,111.68009154510102
2025-04-13,115.7411857831047
2025-04-20,105.5884501880955
2025-04-27,109.64954442609918
2025-05-04,111.68009154510102
2025-05-11,113.71063866410286
2025-05-18,125.89392137811387
2025-05-25,129.95501561611755
2025-06-01,111.68009154510102
2025-06-08,117.77173290210654
2025-06-15,121.8328271401102
2025-06-22,119.80228002110836
2025-06-29,127.92446849711571
2025-07-06,115.7411857831047
2025-07-13,119.80228002110836
2025-07-20,142.13829833012858
2025-07-27,129.95501561611755
2025-08-03,127.92446849711571
2025-08-10,127.92446849711571
2025-08-17,121.8328271401102
2025-08-24,134.01610985412123
2025-08-31,115.7411857831047
2025-09-07,113.71063866410286
2025-09-14,115.7411857831047
2025-09-21,125.89392137811387
2025-09-28,144.1688454491304
2025-10-05,138.0772040921249
2025-10-12,125.89392137811387
2025-10-19,140.10775121112673
2025-10-26,127.92446849711571
2025-11-02,115.7411857831047
2025-11-09,136.04665697312305
2025-11-16,138.0772040921249
2025-11-23,166.5048637581506
2025-11-30,129.95501561611755
2025-12-07,148.22993968713408
2025-12-14,146.19939256813225
2025-12-21,203.05471190018366
2025-12-28,196.96307054317816
