,Vehicle Licensing & Registration
2017-12-31,45.0
2018-01-07,42.0
2018-01-14,42.0
2018-01-21,38.0
2018-01-28,45.0
2018-02-04,41.0
2018-02-11,43.0
2018-02-18,41.0
2018-02-25,37.0
2018-03-04,42.0
2018-03-11,45.0
2018-03-18,45.0
2018-03-25,44.0
2018-04-01,45.0
2018-04-08,47.0
2018-04-15,42.0
2018-04-22,43.0
2018-04-29,43.0
2018-05-06,41.0
2018-05-13,44.0
2018-05-20,47.0
2018-05-27,49.0
2018-06-03,48.0
2018-06-10,47.0
2018-06-17,48.0
2018-06-24,48.0
2018-07-01,50.0
2018-07-08,48.0
2018-07-15,49.0
2018-07-22,51.0
2018-07-29,54.0
2018-08-05,50.0
2018-08-12,47.0
2018-08-19,51.0
2018-08-26,51.0
2018-09-02,52.0
2018-09-09,52.0
2018-09-16,57.0
2018-09-23,51.0
2018-09-30,53.0
2018-10-07,54.0
2018-10-14,49.0
2018-10-21,53.0
2018-10-28,54.0
2018-11-04,41.0
2018-11-11,52.0
2018-11-18,51.0
2018-11-25,50.0
2018-12-02,53.0
2018-12-09,50.0
2018-12-16,54.0
2018-12-23,56.0
2018-12-30,55.0
2019-01-06,55.0
2019-01-13,50.0
2019-01-20,51.0
2019-01-27,51.0
2019-02-03,49.0
2019-02-10,51.0
2019-02-17,51.0
2019-02-24,48.0
2019-03-03,50.0
2019-03-10,55.0
2019-03-17,53.0
2019-03-24,56.0
2019-03-31,51.0
2019-04-07,50.0
2019-04-14,47.0
2019-04-21,46.0
2019-04-28,48.0
2019-05-05,48.0
2019-05-12,51.0
2019-05-19,53.0
2019-05-26,57.0
2019-06-02,53.0
2019-06-09,58.0
2019-06-16,57.0
2019-06-23,56.0
2019-06-30,54.0
2019-07-07,56.0
2019-07-14,63.0
2019-07-21,60.0
2019-07-28,59.0
2019-08-04,53.0
2019-08-11,50.0
2019-08-18,58.0
2019-08-25,64.0
2019-09-01,92.0
2019-09-08,100.0
2019-09-15,92.0
2019-09-22,84.0
2019-09-29,77.0
2019-10-06,65.0
2019-10-13,67.0
2019-10-20,58.0
2019-10-27,55.0
2019-11-03,60.0
2019-11-10,59.0
2019-11-17,63.0
2019-11-24,62.0
2019-12-01,60.0
2019-12-08,55.0
2019-12-15,57.0
2019-12-22,61.0
2019-12-29,61.0
2020-01-05,59.64817320703653
2020-01-12,53.47767253044655
2020-01-19,58.61975642760487
2020-01-26,54.506089309878206
2020-02-02,54.506089309878206
2020-02-09,53.47767253044655
2020-02-16,55.53450608930987
2020-02-23,55.53450608930987
2020-03-01,55.53450608930987
2020-03-08,48.335588633288225
2020-03-15,49.36400541271989
2020-03-22,23.65358592692828
2020-03-29,20.568335588633285
2020-04-05,20.568335588633285
2020-04-12,26.738836265223274
2020-04-19,22.625169147496614
2020-04-26,26.738836265223274
2020-05-03,30.85250338294993
2020-05-10,30.85250338294993
2020-05-17,37.023004059539915
2020-05-24,38.05142083897158
2020-05-31,44.22192151556157
2020-06-07,49.36400541271989
2020-06-14,49.36400541271989
2020-06-21,55.53450608930987
2020-06-28,59.64817320703653
2020-07-05,56.56292286874154
2020-07-12,58.61975642760487
2020-07-19,56.56292286874154
2020-07-26,57.591339648173204
2020-08-02,56.56292286874154
2020-08-09,59.64817320703653
2020-08-16,59.64817320703653
2020-08-23,62.733423545331526
2020-08-30,64.79025710419485
2020-09-06,68.90392422192151
2020-09-13,64.79025710419485
2020-09-20,66.84709066305818
2020-09-27,76.10284167794316
2020-10-04,77.13125845737483
2020-10-11,71.9891745602165
2020-10-18,71.9891745602165
2020-10-25,67.87550744248985
2020-11-01,66.84709066305818
2020-11-08,59.64817320703653
2020-11-15,71.9891745602165
2020-11-22,78.15967523680649
2020-11-29,75.0744248985115
2020-12-06,76.10284167794316
2020-12-13,91.52909336941812
2020-12-20,89.47225981055479
2020-12-27,89.47225981055479
2021-01-03,83.30175913396481
2021-01-10,69.93234100135318
2021-01-17,79.18809201623816
2021-01-24,76.10284167794316
2021-01-31,77.13125845737483
2021-02-07,82.27334235453314
2021-02-14,76.10284167794316
2021-02-21,78.15967523680649
2021-02-28,80.21650879566981
2021-03-07,73.01759133964816
2021-03-14,71.9891745602165
2021-03-21,69.93234100135318
2021-03-28,62.733423545331526
2021-04-04,66.84709066305818
2021-04-11,59.64817320703653
2021-04-18,51.420838971583215
2021-04-25,44.22192151556157
2021-05-02,42.16508795669824
2021-05-09,40.108254397834905
2021-05-16,43.1935047361299
2021-05-23,44.22192151556157
2021-05-30,49.36400541271989
2021-06-06,57.591339648173204
2021-06-13,66.84709066305818
2021-06-20,69.93234100135318
2021-06-27,71.9891745602165
2021-07-04,73.01759133964816
2021-07-11,75.0744248985115
2021-07-18,71.9891745602165
2021-07-25,73.01759133964816
2021-08-01,73.01759133964816
2021-08-08,78.15967523680649
2021-08-15,67.87550744248985
2021-08-22,71.9891745602165
2021-08-29,73.01759133964816
2021-09-05,64.79025710419485
2021-09-12,68.90392422192151
2021-09-19,65.81867388362652
2021-09-26,67.87550744248985
2021-10-03,64.79025710419485
2021-10-10,56.56292286874154
2021-10-17,55.53450608930987
2021-10-24,57.591339648173204
2021-10-31,47.30717185385656
2021-11-07,53.47767253044655
2021-11-14,59.64817320703653
2021-11-21,60.676589986468194
2021-11-28,60.676589986468194
2021-12-05,60.676589986468194
2021-12-12,61.70500676589986
2021-12-19,65.81867388362652
2021-12-26,67.87550744248985
2022-01-02,76.10284167794316
2022-01-09,69.93234100135318
2022-01-16,63.761840324763185
2022-01-23,67.87550744248985
2022-01-30,81.24492557510148
2022-02-06,69.93234100135318
2022-02-13,74.04600811907983
2022-02-20,78.15967523680649
2022-02-27,83.30175913396481
2022-03-06,82.27334235453314
2022-03-13,70.96075778078483
2022-03-20,78.15967523680649
2022-03-27,71.9891745602165
2022-04-03,71.9891745602165
2022-04-10,68.90392422192151
2022-04-17,68.90392422192151
2022-04-24,69.93234100135318
2022-05-01,70.96075778078483
2022-05-08,78.15967523680649
2022-05-15,71.9891745602165
2022-05-22,76.10284167794316
2022-05-29,80.21650879566981
2022-06-05,76.10284167794316
2022-06-12,78.15967523680649
2022-06-19,83.30175913396481
2022-06-26,79.18809201623816
2022-07-03,78.15967523680649
2022-07-10,79.18809201623816
2022-07-17,80.21650879566981
2022-07-24,81.24492557510148
2022-07-31,79.18809201623816
2022-08-07,78.15967523680649
2022-08-14,78.15967523680649
2022-08-21,83.30175913396481
2022-08-28,74.04600811907983
2022-09-04,73.01759133964816
2022-09-11,73.01759133964816
2022-09-18,81.24492557510148
2022-09-25,82.27334235453314
2022-10-02,66.84709066305818
2022-10-09,74.04600811907983
2022-10-16,69.93234100135318
2022-10-23,61.70500676589986
2022-10-30,71.9891745602165
2022-11-06,76.10284167794316
2022-11-13,76.10284167794316
2022-11-20,69.93234100135318
2022-11-27,65.81867388362652
2022-12-04,68.90392422192151
2022-12-11,74.04600811907983
2022-12-18,73.01759133964816
2022-12-25,79.18809201623816
2023-01-01,75.0744248985115
2023-01-08,73.01759133964816
2023-01-15,77.13125845737483
2023-01-22,73.01759133964816
2023-01-29,81.24492557510148
2023-02-05,82.27334235453314
2023-02-12,77.13125845737483
2023-02-19,79.18809201623816
2023-02-26,76.10284167794316
2023-03-05,80.21650879566981
2023-03-12,85.35859269282814
2023-03-19,87.41542625169147
2023-03-26,87.41542625169147
2023-04-02,81.24492557510148
2023-04-09,80.21650879566981
2023-04-16,77.13125845737483
2023-04-23,87.41542625169147
2023-04-30,81.24492557510148
2023-05-07,81.24492557510148
2023-05-14,80.21650879566981
2023-05-21,79.18809201623816
2023-05-28,85.35859269282814
2023-06-04,85.35859269282814
2023-06-11,92.55751014884979
2023-06-18,98.72801082543978
2023-06-25,94.61434370771312
2023-07-02,102.84167794316643
2023-07-09,94.61434370771312
2023-07-16,88.44384303112314
2023-07-23,92.55751014884979
2023-07-30,93.58592692828145
2023-08-06,92.55751014884979
2023-08-13,86.3870094722598
2023-08-20,92.55751014884979
2023-08-27,83.30175913396481
2023-09-03,84.33017591339647
2023-09-10,85.35859269282814
2023-09-17,81.24492557510148
2023-09-24,79.18809201623816
2023-10-01,80.21650879566981
2023-10-08,79.18809201623816
2023-10-15,79.18809201623816
2023-10-22,70.96075778078483
2023-10-29,74.04600811907983
2023-11-05,73.01759133964816
2023-11-12,70.96075778078483
2023-11-19,71.9891745602165
2023-11-26,77.13125845737483
2023-12-03,80.21650879566981
2023-12-10,80.21650879566981
2023-12-17,89.47225981055479
2023-12-24,99.75642760487143
2023-12-31,93.58592692828145
2024-01-07,89.20170285300658
2024-01-14,82.75338698411454
2024-01-21,68.78203593484845
2024-01-28,87.05226423004257
2024-02-04,107.47193114820071
2024-02-11,104.24777321375468
2024-02-18,81.67866767263254
2024-02-25,77.3797904267045
2024-03-03,73.08091318077648
2024-03-10,76.3050711152225
2024-03-17,81.67866767263254
2024-03-24,68.78203593484845
2024-03-31,72.00619386929448
2024-04-07,65.55787800040243
2024-04-14,70.93147455781246
2024-04-21,64.48315868892043
2024-04-28,73.08091318077648
2024-05-05,74.15563249225849
2024-05-12,70.93147455781246
2024-05-19,78.45450973818652
2024-05-26,81.67866767263254
2024-06-02,72.00619386929448
2024-06-09,80.60394836115053
2024-06-16,73.08091318077648
2024-06-23,77.3797904267045
2024-06-30,79.52922904966852
2024-07-07,77.3797904267045
2024-07-14,77.3797904267045
2024-07-21,79.52922904966852
2024-07-28,82.75338698411454
2024-08-04,79.52922904966852
2024-08-11,85.97754491856057
2024-08-18,81.67866767263254
2024-08-25,77.3797904267045
2024-09-01,74.15563249225849
2024-09-08,73.08091318077648
2024-09-15,69.85675524633047
2024-09-22,78.45450973818652
2024-09-29,78.45450973818652
2024-10-06,61.2590007544744
2024-10-13,67.70731662336644
2024-10-20,66.63259731188444
2024-10-27,58.03484282002838
2024-11-03,69.85675524633047
2024-11-10,68.78203593484845
2024-11-17,67.70731662336644
2024-11-24,72.00619386929448
2024-12-01,68.78203593484845
2024-12-08,68.78203593484845
2024-12-15,74.15563249225849
2024-12-22,78.45450973818652
2024-12-29,80.60394836115053
2025-01-05,72.00619386929448
2025-01-12,67.70731662336644
2025-01-19,69.85675524633047
2025-01-26,72.00619386929448
2025-02-02,70.93147455781246
2025-02-09,74.15563249225849
2025-02-16,74.15563249225849
2025-02-23,73.08091318077648
2025-03-02,81.67866767263254
2025-03-09,74.15563249225849
2025-03-16,81.67866767263254
2025-03-23,77.3797904267045
2025-03-30,77.3797904267045
2025-04-06,69.85675524633047
2025-04-13,67.70731662336644
2025-04-20,74.15563249225849
2025-04-27,70.93147455781246
2025-05-04,69.85675524633047
2025-05-11,76.3050711152225
2025-05-18,78.45450973818652
2025-05-25,78.45450973818652
2025-06-01,79.52922904966852
2025-06-08,84.90282560707855
2025-06-15,89.20170285300658
2025-06-22,84.90282560707855
2025-06-29,88.12698354152458
2025-07-06,85.97754491856057
2025-07-13,88.12698354152458
2025-07-20,87.05226423004257
2025-07-27,83.82810629559656
2025-08-03,84.90282560707855
2025-08-10,94.57529941041662
2025-08-17,94.57529941041662
2025-08-24,78.45450973818652
2025-08-31,74.15563249225849
2025-09-07,87.05226423004257
2025-09-14,75.23035180374049
2025-09-21,74.15563249225849
2025-09-28,65.55787800040243
2025-10-05,75.23035180374049
2025-10-12,76.3050711152225
2025-10-19,64.48315868892043
2025-10-26,76.3050711152225
2025-11-02,77.3797904267045
2025-11-09,77.3797904267045
2025-11-16,79.52922904966852
2025-11-23,77.3797904267045
2025-11-30,80.60394836115053
2025-12-07,79.52922904966852
2025-12-14,78.45450973818652
2025-12-21,88.12698354152458
2025-12-28,91.35114147597059
2026-01-04,90.2764221644886
