,Manufacturing
2025-06-01,106.63182098283826
2025-06-08,111.33616602619878
2025-06-15,111.33616602619878
2025-06-22,103.49559095393126
2025-06-29,108.19993599729176
2025-07-06,111.33616602619878
2025-07-13,111.33616602619878
2025-07-20,106.63182098283826
2025-07-27,105.06370596838477
2025-08-03,100.35936092502425
2025-08-10,97.22313089611724
2025-08-17,125.44920115628031
2025-08-24,103.49559095393126
2025-08-31,98.79124591057075
2025-09-07,105.06370596838477
2025-09-14,156.8115014453504
2025-09-21,100.35936092502425
2025-09-28,86.24632579494272
2025-10-05,103.49559095393126
2025-10-12,92.51878585275674
2025-10-19,70.56517565040767
2025-10-26,95.65501588166373
2025-11-02,103.49559095393126
2025-11-09,108.19993599729176
2025-11-16,100.35936092502425
2025-11-23,98.79124591057075
2025-11-30,98.79124591057075
2025-12-07,95.65501588166373
2025-12-14,100.35936092502425
2025-12-21,100.35936092502425
2025-12-28,98.79124591057075
2026-01-04,100.35936092502425
