,Tobacco Products
2022-01-30,90.2232502011263
2022-02-06,98.13757039420756
2022-02-13,101.30329847144006
2022-02-20,80.7260659694288
2022-02-27,104.46902654867256
2022-03-06,83.8917940466613
2022-03-13,99.72043443282381
2022-03-20,110.80048270313756
2022-03-27,74.39460981496379
2022-04-03,93.3889782783588
2022-04-10,85.47465808527755
2022-04-17,106.05189058728881
2022-04-24,109.21761866452131
2022-05-01,101.30329847144006
2022-05-08,87.0575221238938
2022-05-15,107.63475462590506
2022-05-22,109.21761866452131
2022-05-29,117.13193885760256
2022-06-05,90.2232502011263
2022-06-12,93.3889782783588
2022-06-19,96.5547063555913
2022-06-26,107.63475462590506
2022-07-03,90.2232502011263
2022-07-10,96.5547063555913
2022-07-17,113.96621078037006
2022-07-24,110.80048270313756
2022-07-31,125.04625905068382
2022-08-07,121.88053097345131
2022-08-14,112.38334674175381
2022-08-21,118.71480289621881
2022-08-28,118.71480289621881
2022-09-04,98.13757039420756
2022-09-11,98.13757039420756
2022-09-18,109.21761866452131
2022-09-25,109.21761866452131
2022-10-02,112.38334674175381
2022-10-09,117.13193885760256
2022-10-16,106.05189058728881
2022-10-23,87.0575221238938
2022-10-30,106.05189058728881
2022-11-06,121.88053097345131
2022-11-13,123.46339501206756
2022-11-20,125.04625905068382
2022-11-27,106.05189058728881
2022-12-04,118.71480289621881
2022-12-11,131.37771520514883
2022-12-18,109.21761866452131
2022-12-25,113.96621078037006
2023-01-01,112.38334674175381
2023-01-08,96.5547063555913
2023-01-15,104.46902654867256
2023-01-22,112.38334674175381
2023-01-29,120.29766693483506
2023-02-05,107.63475462590506
2023-02-12,106.05189058728881
2023-02-19,102.88616251005631
2023-02-26,104.46902654867256
2023-03-05,118.71480289621881
2023-03-12,112.38334674175381
2023-03-19,113.96621078037006
2023-03-26,104.46902654867256
2023-04-02,99.72043443282381
2023-04-09,110.80048270313756
2023-04-16,117.13193885760256
2023-04-23,120.29766693483506
2023-04-30,98.13757039420756
2023-05-07,106.05189058728881
2023-05-14,104.46902654867256
2023-05-21,104.46902654867256
2023-05-28,106.05189058728881
2023-06-04,113.96621078037006
2023-06-11,117.13193885760256
2023-06-18,120.29766693483506
2023-06-25,126.62912308930007
2023-07-02,125.04625905068382
2023-07-09,117.13193885760256
2023-07-16,123.46339501206756
2023-07-23,120.29766693483506
2023-07-30,126.62912308930007
2023-08-06,123.46339501206756
2023-08-13,117.13193885760256
2023-08-20,129.79485116653257
2023-08-27,104.46902654867256
2023-09-03,121.88053097345131
2023-09-10,101.30329847144006
2023-09-17,106.05189058728881
2023-09-24,112.38334674175381
2023-10-01,109.21761866452131
2023-10-08,115.54907481898631
2023-10-15,96.5547063555913
2023-10-22,102.88616251005631
2023-10-29,99.72043443282381
2023-11-05,113.96621078037006
2023-11-12,102.88616251005631
2023-11-19,145.62349155269507
2023-11-26,120.29766693483506
2023-12-03,112.38334674175381
2023-12-10,106.05189058728881
2023-12-17,112.38334674175381
2023-12-24,104.46902654867256
2023-12-31,158.2864038616251
2024-01-07,129.79485116653257
2024-01-14,93.38897827835879
2024-01-21,109.2176186645213
2024-01-28,109.2176186645213
2024-02-04,121.8805309734513
2024-02-11,118.7148028962188
2024-02-18,110.80048270313755
2024-02-25,88.64038616251004
2024-03-03,102.8861625100563
2024-03-10,107.63475462590505
2024-03-17,98.13757039420754
2024-03-24,102.8861625100563
2024-03-31,91.80611423974254
2024-04-07,91.80611423974254
2024-04-14,90.22325020112629
2024-04-21,91.80611423974254
2024-04-28,101.30329847144004
2024-05-05,106.0518905872888
2024-05-12,101.30329847144004
2024-05-19,87.05752212389379
2024-05-26,104.46902654867255
2024-06-02,123.46339501206755
2024-06-09,113.96621078037005
2024-06-16,99.7204344328238
2024-06-23,91.80611423974254
2024-06-30,113.96621078037005
2024-07-07,112.3833467417538
2024-07-14,109.2176186645213
2024-07-21,110.80048270313755
2024-07-28,121.8805309734513
2024-08-04,113.96621078037005
2024-08-11,120.29766693483505
2024-08-18,102.8861625100563
2024-08-25,121.8805309734513
2024-09-01,99.7204344328238
2024-09-08,123.46339501206755
2024-09-15,98.13757039420754
2024-09-22,109.2176186645213
2024-09-29,91.80611423974254
2024-10-06,126.62912308930005
2024-10-13,106.0518905872888
2024-10-20,126.62912308930005
2024-10-27,104.46902654867255
2024-11-03,112.3833467417538
2024-11-10,125.0462590506838
2024-11-17,96.55470635559129
2024-11-24,109.2176186645213
2024-12-01,139.29203539823007
2024-12-08,101.30329847144004
2024-12-15,144.0406275140788
2024-12-22,128.2119871279163
2024-12-29,126.62912308930005
2025-01-05,126.62912308930005
2025-01-12,137.7091713596138
2025-01-19,136.12630732099757
2025-01-26,120.29766693483505
2025-02-02,120.29766693483505
2025-02-09,117.13193885760255
2025-02-16,129.79485116653257
2025-02-23,109.2176186645213
2025-03-02,112.3833467417538
2025-03-09,125.0462590506838
2025-03-16,113.96621078037005
2025-03-23,96.55470635559129
2025-03-30,107.63475462590505
2025-04-06,113.96621078037005
2025-04-13,101.30329847144004
2025-04-20,110.80048270313755
2025-04-27,106.0518905872888
2025-05-04,99.7204344328238
2025-05-11,87.05752212389379
2025-05-18,101.30329847144004
2025-05-25,107.63475462590505
2025-06-01,106.0518905872888
2025-06-08,110.80048270313755
2025-06-15,107.63475462590505
2025-06-22,123.46339501206755
2025-06-29,113.96621078037005
2025-07-06,93.38897827835879
2025-07-13,93.38897827835879
2025-07-20,106.0518905872888
2025-07-27,115.5490748189863
2025-08-03,94.97184231697504
2025-08-10,115.5490748189863
2025-08-17,121.8805309734513
2025-08-24,110.80048270313755
2025-08-31,115.5490748189863
2025-09-07,109.2176186645213
2025-09-14,88.64038616251004
2025-09-21,98.13757039420754
2025-09-28,101.30329847144004
2025-10-05,99.7204344328238
2025-10-12,102.8861625100563
2025-10-19,94.97184231697504
2025-10-26,94.97184231697504
2025-11-02,110.80048270313755
2025-11-09,104.46902654867255
2025-11-16,117.13193885760255
2025-11-23,83.89179404666129
2025-11-30,94.97184231697504
2025-12-07,107.63475462590505
2025-12-14,112.3833467417538
2025-12-21,120.29766693483505
2025-12-28,117.13193885760255
