,Enterprise Resource Planning (ERP)
2021-12-19,54.97132127005804
2021-12-26,54.97132127005804
2022-01-02,73.60566746329806
2022-01-09,71.74223284397405
2022-01-16,59.629907818368046
2022-01-23,72.67395015363606
2022-01-30,74.53738477296005
2022-02-06,74.53738477296005
2022-02-13,76.40081939228406
2022-02-20,76.40081939228406
2022-02-27,68.01536360532606
2022-03-06,76.40081939228406
2022-03-13,67.08364629566405
2022-03-20,76.40081939228406
2022-03-27,70.81051553431206
2022-04-03,65.22021167634006
2022-04-10,56.834755889382045
2022-04-17,68.01536360532606
2022-04-24,75.46910208262206
2022-05-01,73.60566746329806
2022-05-08,64.28849436667805
2022-05-15,69.87879822465005
2022-05-22,76.40081939228406
2022-05-29,89.44486172755207
2022-06-05,72.67395015363606
2022-06-12,60.561625128030045
2022-06-19,61.49334243769205
2022-06-26,68.94708091498805
2022-07-03,67.08364629566405
2022-07-10,67.08364629566405
2022-07-17,58.69819050870605
2022-07-24,76.40081939228406
2022-07-31,75.46910208262206
2022-08-07,73.60566746329806
2022-08-14,81.05940594059406
2022-08-21,77.33253670194605
2022-08-28,77.33253670194605
2022-09-04,66.15192898600205
2022-09-11,73.60566746329806
2022-09-18,84.78627517924207
2022-09-25,74.53738477296005
2022-10-02,68.94708091498805
2022-10-09,77.33253670194605
2022-10-16,79.19597132127006
2022-10-23,72.67395015363606
2022-10-30,73.60566746329806
2022-11-06,78.26425401160806
2022-11-13,79.19597132127006
2022-11-20,78.26425401160806
2022-11-27,67.08364629566405
2022-12-04,75.46910208262206
2022-12-11,72.67395015363606
2022-12-18,73.60566746329806
2022-12-25,87.58142710822807
2023-01-01,85.71799248890407
2023-01-08,83.85455786958006
2023-01-15,77.33253670194605
2023-01-22,87.58142710822807
2023-01-29,70.81051553431206
2023-02-05,74.53738477296005
2023-02-12,84.78627517924207
2023-02-19,79.19597132127006
2023-02-26,77.33253670194605
2023-03-05,77.33253670194605
2023-03-12,74.53738477296005
2023-03-19,89.44486172755207
2023-03-26,78.26425401160806
2023-04-02,66.15192898600205
2023-04-09,67.08364629566405
2023-04-16,68.94708091498805
2023-04-23,82.92284055991806
2023-04-30,68.94708091498805
2023-05-07,83.85455786958006
2023-05-14,79.19597132127006
2023-05-21,62.42505974735405
2023-05-28,78.26425401160806
2023-06-04,73.60566746329806
2023-06-11,66.15192898600205
2023-06-18,81.05940594059406
2023-06-25,77.33253670194605
2023-07-02,78.26425401160806
2023-07-09,93.17173096620007
2023-07-16,75.46910208262206
2023-07-23,69.87879822465005
2023-07-30,79.19597132127006
2023-08-06,86.64970979856606
2023-08-13,73.60566746329806
2023-08-20,74.53738477296005
2023-08-27,70.81051553431206
2023-09-03,79.19597132127006
2023-09-10,83.85455786958006
2023-09-17,74.53738477296005
2023-09-24,65.22021167634006
2023-10-01,81.99112325025607
2023-10-08,82.92284055991806
2023-10-15,76.40081939228406
2023-10-22,76.40081939228406
2023-10-29,73.60566746329806
2023-11-05,68.94708091498805
2023-11-12,78.26425401160806
2023-11-19,67.08364629566405
2023-11-26,75.46910208262206
2023-12-03,68.01536360532606
2023-12-10,78.26425401160806
2023-12-17,73.60566746329806
2023-12-24,65.22021167634006
2023-12-31,80.12768863093206
2024-01-07,77.33253670194605
2024-01-14,68.01536360532606
2024-01-21,78.26425401160806
2024-01-28,79.19597132127006
2024-02-04,79.19597132127006
2024-02-11,88.51314441789008
2024-02-18,81.99112325025607
2024-02-25,81.99112325025607
2024-03-03,84.78627517924207
2024-03-10,81.05940594059406
2024-03-17,79.19597132127006
2024-03-24,78.26425401160806
2024-03-31,80.12768863093206
2024-04-07,57.76647319904404
2024-04-14,66.15192898600205
2024-04-21,64.28849436667805
2024-04-28,86.64970979856606
2024-05-05,84.78627517924207
2024-05-12,81.05940594059406
2024-05-19,51.24445203141004
2024-05-26,79.19597132127006
2024-06-02,66.15192898600205
2024-06-09,86.64970979856606
2024-06-16,66.15192898600205
2024-06-23,84.78627517924207
2024-06-30,82.92284055991806
2024-07-07,86.64970979856606
2024-07-14,79.19597132127006
2024-07-21,76.40081939228406
2024-07-28,75.46910208262206
2024-08-04,73.60566746329806
2024-08-11,87.58142710822807
2024-08-18,68.94708091498805
2024-08-25,79.19597132127006
2024-09-01,89.44486172755207
2024-09-08,82.92284055991806
2024-09-15,59.629907818368046
2024-09-22,68.01536360532606
2024-09-29,71.74223284397405
2024-10-06,71.74223284397405
2024-10-13,76.40081939228406
2024-10-20,85.71799248890407
2024-10-27,90.37657903721407
2024-11-03,81.99112325025607
2024-11-10,66.15192898600205
2024-11-17,72.67395015363606
2024-11-24,90.37657903721407
2024-12-01,60.561625128030045
2024-12-08,83.85455786958006
2024-12-15,68.01536360532606
2024-12-22,70.81051553431206
2024-12-29,72.67395015363606
2025-01-05,81.05940594059406
2025-01-12,66.15192898600205
2025-01-19,60.561625128030045
2025-01-26,69.87879822465005
2025-02-02,67.08364629566405
2025-02-09,78.26425401160806
2025-02-16,70.81051553431206
2025-02-23,82.92284055991806
2025-03-02,80.12768863093206
2025-03-09,63.356777057016046
2025-03-16,77.33253670194605
2025-03-23,84.78627517924207
2025-03-30,74.53738477296005
2025-04-06,63.356777057016046
2025-04-13,46.58586548310004
2025-04-20,72.67395015363606
2025-04-27,68.01536360532606
2025-05-04,72.67395015363606
2025-05-11,64.28849436667805
2025-05-18,92.24001365653807
2025-05-25,75.46910208262206
2025-06-01,77.33253670194605
2025-06-08,80.12768863093206
2025-06-15,87.58142710822807
2025-06-22,68.94708091498805
2025-06-29,73.60566746329806
2025-07-06,71.74223284397405
2025-07-13,69.87879822465005
2025-07-20,80.12768863093206
2025-07-27,71.74223284397405
2025-08-03,74.53738477296005
2025-08-10,80.12768863093206
2025-08-17,82.92284055991806
2025-08-24,87.58142710822807
2025-08-31,64.28849436667805
2025-09-07,81.05940594059406
2025-09-14,79.19597132127006
2025-09-21,81.99112325025607
2025-09-28,85.71799248890407
2025-10-05,69.87879822465005
2025-10-12,81.99112325025607
2025-10-19,79.19597132127006
2025-10-26,60.561625128030045
2025-11-02,63.356777057016046
2025-11-09,68.01536360532606
2025-11-16,79.19597132127006
2025-11-23,57.76647319904404
2025-11-30,47.517582792762035
2025-12-07,74.53738477296005
2025-12-14,73.60566746329806
2025-12-21,60.561625128030045
2025-12-28,78.26425401160806
