,Recruitment
2024-11-03,65.94828087497476
2024-11-10,36.74261363034308
2024-11-17,56.527097892835506
2024-11-24,59.35345278747728
2024-12-01,62.179807682119055
2024-12-08,54.64286129640766
2024-12-15,59.35345278747728
2024-12-22,48.048033208910184
2024-12-29,46.16379661248233
2025-01-05,48.048033208910184
2025-01-12,79.13793704996971
2025-01-19,69.71675406783046
2025-01-26,65.00616257676083
2025-02-02,60.29557108569121
2025-02-09,59.35345278747728
2025-02-16,65.00616257676083
2025-02-23,63.12192598033298
2025-03-02,67.83251747140261
2025-03-09,63.12192598033298
2025-03-16,58.41133448926336
2025-03-23,52.758624699979805
2025-03-30,48.048033208910184
2025-04-06,48.990151507124104
2025-04-13,44.27956001605448
2025-04-20,61.237689383905135
2025-04-27,56.527097892835506
2025-05-04,73.48522726068616
2025-05-11,69.71675406783046
2025-05-18,53.70074299819373
2025-05-25,62.179807682119055
2025-06-01,68.77463576961654
2025-06-08,55.58497959462158
2025-06-15,74.42734555890009
2025-06-22,63.12192598033298
2025-06-29,65.94828087497476
2025-07-06,57.46921619104943
2025-07-13,81.96429194461149
2025-07-20,61.237689383905135
2025-07-27,69.71675406783046
2025-08-03,77.25370045354185
2025-08-10,72.54310896247223
2025-08-17,54.64286129640766
2025-08-24,53.70074299819373
2025-08-31,49.93226980533803
2025-09-07,40.51108682319878
2025-09-14,54.64286129640766
2025-09-21,51.816506401765885
2025-09-28,55.58497959462158
2025-10-05,54.64286129640766
2025-10-12,56.527097892835506
2025-10-19,56.527097892835506
2025-10-26,55.58497959462158
2025-11-02,78.19581875175578
2025-11-09,82.90641024282542
2025-11-16,91.38547492675073
2025-11-23,76.31158215532794
2025-11-30,76.31158215532794
2025-12-07,83.84852854103933
2025-12-14,76.31158215532794
2025-12-21,62.179807682119055
2025-12-28,62.179807682119055
