,Real Estate Agencies
2018-09-23,55.0
2018-09-30,68.0
2018-10-07,76.0
2018-10-14,92.0
2018-10-21,88.0
2018-10-28,68.0
2018-11-04,78.0
2018-11-11,75.0
2018-11-18,73.0
2018-11-25,75.0
2018-12-02,90.0
2018-12-09,75.0
2018-12-16,87.0
2018-12-23,81.0
2018-12-30,92.0
2019-01-06,79.0
2019-01-13,75.0
2019-01-20,83.0
2019-01-27,79.0
2019-02-03,80.0
2019-02-10,87.0
2019-02-17,73.0
2019-02-24,72.0
2019-03-03,77.0
2019-03-10,81.0
2019-03-17,60.0
2019-03-24,84.0
2019-03-31,82.0
2019-04-07,73.0
2019-04-14,80.0
2019-04-21,73.0
2019-04-28,68.0
2019-05-05,75.0
2019-05-12,66.0
2019-05-19,76.0
2019-05-26,68.0
2019-06-02,62.0
2019-06-09,83.0
2019-06-16,76.0
2019-06-23,92.0
2019-06-30,83.0
2019-07-07,76.0
2019-07-14,80.0
2019-07-21,77.0
2019-07-28,78.0
2019-08-04,91.0
2019-08-11,71.0
2019-08-18,96.0
2019-08-25,64.0
2019-09-01,70.0
2019-09-08,79.0
2019-09-15,81.0
2019-09-22,75.0
2019-09-29,82.0
2019-10-06,77.0
2019-10-13,82.0
2019-10-20,71.0
2019-10-27,75.0
2019-11-03,78.0
2019-11-10,65.0
2019-11-17,76.0
2019-11-24,73.0
2019-12-01,71.0
2019-12-08,67.0
2019-12-15,78.0
2019-12-22,99.0
2019-12-29,79.0
2020-01-05,87.89654057549305
2020-01-12,87.89654057549305
2020-01-19,81.43355965082444
2020-01-26,54.289039767216295
2020-02-02,94.35952150016166
2020-02-09,73.67798254122212
2020-02-16,115.0410604591012
2020-02-23,95.65211768509538
2020-03-01,105.99288716456515
2020-03-08,62.04461687681862
2020-03-15,60.7520206918849
2020-03-22,45.240866472680246
2020-03-29,59.45942450695118
2020-04-05,63.337213061752344
2020-04-12,56.87423213708374
2020-04-19,60.7520206918849
2020-04-26,49.11865502748141
2020-05-03,52.99644358228257
2020-05-10,67.21500161655351
2020-05-17,69.80019398642095
2020-05-24,77.55577109602328
2020-05-31,55.581635952150016
2020-06-07,76.26317491108955
2020-06-14,80.14096346589072
2020-06-21,85.3113482056256
2020-06-28,76.26317491108955
2020-07-05,98.23731005496282
2020-07-12,99.52990623989655
2020-07-19,71.09279017135466
2020-07-26,65.92240543161978
2020-08-02,81.43355965082444
2020-08-09,73.67798254122212
2020-08-16,82.72615583575816
2020-08-23,73.67798254122212
2020-08-30,74.97057872615584
2020-09-06,67.21500161655351
2020-09-13,77.55577109602328
2020-09-20,69.80019398642095
2020-09-27,72.3853863562884
2020-10-04,82.72615583575816
2020-10-11,85.3113482056256
2020-10-18,94.35952150016166
2020-10-25,82.72615583575816
2020-11-01,62.04461687681862
2020-11-08,60.7520206918849
2020-11-15,81.43355965082444
2020-11-22,71.09279017135466
2020-11-29,60.7520206918849
2020-12-06,81.43355965082444
2020-12-13,84.01875202069189
2020-12-20,81.43355965082444
2020-12-27,72.3853863562884
2021-01-03,91.7743291302942
2021-01-10,65.92240543161978
2021-01-17,90.48173294536049
2021-01-24,78.848367280957
2021-01-31,82.72615583575816
2021-02-07,80.14096346589072
2021-02-14,87.89654057549305
2021-02-21,95.65211768509538
2021-02-28,71.09279017135466
2021-03-07,65.92240543161978
2021-03-14,99.52990623989655
2021-03-21,102.11509860976398
2021-03-28,93.06692531522793
2021-04-04,85.3113482056256
2021-04-11,59.45942450695118
2021-04-18,87.89654057549305
2021-04-25,72.3853863562884
2021-05-02,91.7743291302942
2021-05-09,108.57807953443259
2021-05-16,99.52990623989655
2021-05-23,82.72615583575816
2021-05-30,80.14096346589072
2021-06-06,107.28548334949886
2021-06-13,107.28548334949886
2021-06-20,112.45586808923375
2021-06-27,129.25961849337213
2021-07-04,87.89654057549305
2021-07-11,95.65211768509538
2021-07-18,93.06692531522793
2021-07-25,111.16327190430003
2021-08-01,105.99288716456515
2021-08-08,84.01875202069189
2021-08-15,89.18913676042678
2021-08-22,99.52990623989655
2021-08-29,89.18913676042678
2021-09-05,98.23731005496282
2021-09-12,105.99288716456515
2021-09-19,111.16327190430003
2021-09-26,109.87067571936632
2021-10-03,107.28548334949886
2021-10-10,85.3113482056256
2021-10-17,87.89654057549305
2021-10-24,90.48173294536049
2021-10-31,91.7743291302942
2021-11-07,111.16327190430003
2021-11-14,76.26317491108955
2021-11-21,104.70029097963143
2021-11-28,100.82250242483026
2021-12-05,108.57807953443259
2021-12-12,96.94471387002909
2021-12-19,104.70029097963143
2021-12-26,91.7743291302942
2022-01-02,98.23731005496282
2022-01-09,118.91884901390236
2022-01-16,77.55577109602328
2022-01-23,117.62625282896863
2022-01-30,125.38182993857097
2022-02-06,100.82250242483026
2022-02-13,118.91884901390236
2022-02-20,96.94471387002909
2022-02-27,112.45586808923375
2022-03-06,100.82250242483026
2022-03-13,100.82250242483026
2022-03-20,103.4076947946977
2022-03-27,96.94471387002909
2022-04-03,69.80019398642095
2022-04-10,80.14096346589072
2022-04-17,99.52990623989655
2022-04-24,118.91884901390236
2022-05-01,86.60394439055932
2022-05-08,95.65211768509538
2022-05-15,100.82250242483026
2022-05-22,107.28548334949886
2022-05-29,95.65211768509538
2022-06-05,104.70029097963143
2022-06-12,89.18913676042678
2022-06-19,99.52990623989655
2022-06-26,91.7743291302942
2022-07-03,82.72615583575816
2022-07-10,85.3113482056256
2022-07-17,90.48173294536049
2022-07-24,91.7743291302942
2022-07-31,105.99288716456515
2022-08-07,94.35952150016166
2022-08-14,104.70029097963143
2022-08-21,94.35952150016166
2022-08-28,98.23731005496282
2022-09-04,100.82250242483026
2022-09-11,103.4076947946977
2022-09-18,109.87067571936632
2022-09-25,86.60394439055932
2022-10-02,76.26317491108955
2022-10-09,113.74846427416747
2022-10-16,87.89654057549305
2022-10-23,95.65211768509538
2022-10-30,108.57807953443259
2022-11-06,109.87067571936632
2022-11-13,87.89654057549305
2022-11-20,96.94471387002909
2022-11-27,95.65211768509538
2022-12-04,90.48173294536049
2022-12-11,96.94471387002909
2022-12-18,107.28548334949886
2022-12-25,107.28548334949886
2023-01-01,91.7743291302942
2023-01-08,84.01875202069189
2023-01-15,96.94471387002909
2023-01-22,99.52990623989655
2023-01-29,100.82250242483026
2023-02-05,96.94471387002909
2023-02-12,94.35952150016166
2023-02-19,117.62625282896863
2023-02-26,103.4076947946977
2023-03-05,108.57807953443259
2023-03-12,99.52990623989655
2023-03-19,94.35952150016166
2023-03-26,87.89654057549305
2023-04-02,90.48173294536049
2023-04-09,89.18913676042678
2023-04-16,91.7743291302942
2023-04-23,100.82250242483026
2023-04-30,87.89654057549305
2023-05-07,117.62625282896863
2023-05-14,91.7743291302942
2023-05-21,96.94471387002909
2023-05-28,90.48173294536049
2023-06-04,104.70029097963143
2023-06-11,103.4076947946977
2023-06-18,107.28548334949886
2023-06-25,104.70029097963143
2023-07-02,93.06692531522793
2023-07-09,108.57807953443259
2023-07-16,105.99288716456515
2023-07-23,107.28548334949886
2023-07-30,91.7743291302942
2023-08-06,126.67442612350469
2023-08-13,99.52990623989655
2023-08-20,111.16327190430003
2023-08-27,94.35952150016166
2023-09-03,80.14096346589072
2023-09-10,87.89654057549305
2023-09-17,103.4076947946977
2023-09-24,99.52990623989655
2023-10-01,85.3113482056256
2023-10-08,94.35952150016166
2023-10-15,94.35952150016166
2023-10-22,76.26317491108955
2023-10-29,99.52990623989655
2023-11-05,124.08923375363725
2023-11-12,113.74846427416747
2023-11-19,94.35952150016166
2023-11-26,116.33365664403492
2023-12-03,90.48173294536049
2023-12-10,107.28548334949886
2023-12-17,90.48173294536049
2023-12-24,103.4076947946977
2023-12-31,99.52990623989655
2024-01-07,98.74976145561054
2024-01-14,105.70397000882255
2024-01-21,104.31312829818015
2024-01-28,107.09481171946496
2024-02-04,104.31312829818015
2024-02-11,102.92228658753776
2024-02-18,102.92228658753776
2024-02-25,100.14060316625294
2024-03-03,101.53144487689535
2024-03-10,89.01386948111373
2024-03-17,100.14060316625294
2024-03-24,118.22154540460417
2024-03-31,107.09481171946496
2024-04-07,104.31312829818015
2024-04-14,111.26733685139216
2024-04-21,116.83070369396177
2024-04-28,102.92228658753776
2024-05-05,93.18639461304093
2024-05-12,101.53144487689535
2024-05-19,93.18639461304093
2024-05-26,104.31312829818015
2024-06-02,100.14060316625294
2024-06-09,115.43986198331937
2024-06-16,90.40471119175614
2024-06-23,104.31312829818015
2024-06-30,87.62302777047132
2024-07-07,95.96807803432574
2024-07-14,118.22154540460417
2024-07-21,112.65817856203456
2024-07-28,132.1299625110282
2024-08-04,91.79555290239854
2024-08-11,125.17575395781618
2024-08-18,104.31312829818015
2024-08-25,107.09481171946496
2024-09-01,104.31312829818015
2024-09-08,86.23218605982892
2024-09-15,105.70397000882255
2024-09-22,107.09481171946496
2024-09-29,100.14060316625294
2024-10-06,94.57723632368334
2024-10-13,94.57723632368334
2024-10-20,95.96807803432574
2024-10-27,82.05966092790172
2024-11-03,104.31312829818015
2024-11-10,118.22154540460417
2024-11-17,114.04902027267697
2024-11-24,115.43986198331937
2024-12-01,89.01386948111373
2024-12-08,122.39407053653137
2024-12-15,102.92228658753776
2024-12-22,127.95743737910098
2024-12-29,102.92228658753776
2025-01-05,116.83070369396177
2025-01-12,111.26733685139216
2025-01-19,130.7391208003858
2025-01-26,121.00322882588898
2025-02-02,115.43986198331937
2025-02-09,107.09481171946496
2025-02-16,109.87649514074975
2025-02-23,118.22154540460417
2025-03-02,108.48565343010736
2025-03-09,97.35891974496815
2025-03-16,115.43986198331937
2025-03-23,137.6933293535978
2025-03-30,119.61238711524658
2025-04-06,114.04902027267697
2025-04-13,101.53144487689535
2025-04-20,101.53144487689535
2025-04-27,125.17575395781618
2025-05-04,86.23218605982892
2025-05-11,107.09481171946496
2025-05-18,98.74976145561054
2025-05-25,111.26733685139216
2025-06-01,139.0841710642402
2025-06-08,123.78491224717378
2025-06-15,105.70397000882255
2025-06-22,129.3482790897434
2025-06-29,115.43986198331937
2025-07-06,97.35891974496815
2025-07-13,123.78491224717378
2025-07-20,94.57723632368334
2025-07-27,93.18639461304093
2025-08-03,107.09481171946496
2025-08-10,108.48565343010736
2025-08-17,102.92228658753776
2025-08-24,123.78491224717378
2025-08-31,90.40471119175614
2025-09-07,114.04902027267697
2025-09-14,102.92228658753776
2025-09-21,126.56659566845859
2025-09-28,98.74976145561054
2025-10-05,105.70397000882255
2025-10-12,89.01386948111373
2025-10-19,94.57723632368334
2025-10-26,107.09481171946496
2025-11-02,86.23218605982892
2025-11-09,114.04902027267697
2025-11-16,101.53144487689535
2025-11-23,97.35891974496815
2025-11-30,114.04902027267697
