,Maritime Transport
2019-03-10,75.0
2019-03-17,69.0
2019-03-24,75.0
2019-03-31,71.0
2019-04-07,64.0
2019-04-14,66.0
2019-04-21,64.0
2019-04-28,63.0
2019-05-05,65.0
2019-05-12,65.0
2019-05-19,63.0
2019-05-26,71.0
2019-06-02,65.0
2019-06-09,70.0
2019-06-16,66.0
2019-06-23,67.0
2019-06-30,62.0
2019-07-07,62.0
2019-07-14,66.0
2019-07-21,68.0
2019-07-28,72.0
2019-08-04,62.0
2019-08-11,62.0
2019-08-18,66.0
2019-08-25,72.0
2019-09-01,61.0
2019-09-08,61.0
2019-09-15,64.0
2019-09-22,73.0
2019-09-29,61.0
2019-10-06,56.0
2019-10-13,64.0
2019-10-20,54.0
2019-10-27,42.0
2019-11-03,58.0
2019-11-10,56.0
2019-11-17,62.0
2019-11-24,60.0
2019-12-01,60.0
2019-12-08,58.0
2019-12-15,60.0
2019-12-22,58.0
2019-12-29,60.0
2020-01-05,62.27876520112255
2020-01-12,55.723105706267546
2020-01-19,62.27876520112255
2020-01-26,57.3620205799813
2020-02-02,63.917680074836305
2020-02-09,62.27876520112255
2020-02-16,67.1955098222638
2020-02-23,60.6398503274088
2020-03-01,60.6398503274088
2020-03-08,50.80636108512629
2020-03-15,52.44527595884004
2020-03-22,31.139382600561277
2020-03-29,29.500467726847525
2020-04-05,29.500467726847525
2020-04-12,27.861552853133773
2020-04-19,32.77829747427503
2020-04-26,34.41721234798878
2020-05-03,36.05612722170253
2020-05-10,36.05612722170253
2020-05-17,42.61178671655753
2020-05-24,40.97287184284378
2020-05-31,45.889616463985035
2020-06-07,45.889616463985035
2020-06-14,45.889616463985035
2020-06-21,49.16744621141254
2020-06-28,50.80636108512629
2020-07-05,54.084190832553794
2020-07-12,57.3620205799813
2020-07-19,59.00093545369505
2020-07-26,57.3620205799813
2020-08-02,59.00093545369505
2020-08-09,55.723105706267546
2020-08-16,60.6398503274088
2020-08-23,60.6398503274088
2020-08-30,59.00093545369505
2020-09-06,62.27876520112255
2020-09-13,60.6398503274088
2020-09-20,65.55659494855006
2020-09-27,63.917680074836305
2020-10-04,59.00093545369505
2020-10-11,60.6398503274088
2020-10-18,57.3620205799813
2020-10-25,57.3620205799813
2020-11-01,59.00093545369505
2020-11-08,44.250701590271284
2020-11-15,50.80636108512629
2020-11-22,57.3620205799813
2020-11-29,60.6398503274088
2020-12-06,60.6398503274088
2020-12-13,65.55659494855006
2020-12-20,68.83442469597756
2020-12-27,65.55659494855006
2021-01-03,62.27876520112255
2021-01-10,60.6398503274088
2021-01-17,63.917680074836305
2021-01-24,57.3620205799813
2021-01-31,65.55659494855006
2021-02-07,67.1955098222638
2021-02-14,65.55659494855006
2021-02-21,65.55659494855006
2021-02-28,68.83442469597756
2021-03-07,67.1955098222638
2021-03-14,67.1955098222638
2021-03-21,75.39008419083257
2021-03-28,88.50140318054257
2021-04-04,73.75116931711881
2021-04-11,63.917680074836305
2021-04-18,59.00093545369505
2021-04-25,57.3620205799813
2021-05-02,63.917680074836305
2021-05-09,59.00093545369505
2021-05-16,68.83442469597756
2021-05-23,65.55659494855006
2021-05-30,65.55659494855006
2021-06-06,73.75116931711881
2021-06-13,98.33489242282508
2021-06-20,83.58465855940132
2021-06-27,70.4733395696913
2021-07-04,70.4733395696913
2021-07-11,75.39008419083257
2021-07-18,73.75116931711881
2021-07-25,75.39008419083257
2021-08-01,73.75116931711881
2021-08-08,73.75116931711881
2021-08-15,68.83442469597756
2021-08-22,67.1955098222638
2021-08-29,72.11225444340506
2021-09-05,67.1955098222638
2021-09-12,73.75116931711881
2021-09-19,72.11225444340506
2021-09-26,68.83442469597756
2021-10-03,73.75116931711881
2021-10-10,65.55659494855006
2021-10-17,68.83442469597756
2021-10-24,68.83442469597756
2021-10-31,40.97287184284378
2021-11-07,60.6398503274088
2021-11-14,67.1955098222638
2021-11-21,67.1955098222638
2021-11-28,63.917680074836305
2021-12-05,63.917680074836305
2021-12-12,68.83442469597756
2021-12-19,68.83442469597756
2021-12-26,68.83442469597756
2022-01-02,73.75116931711881
2022-01-09,65.55659494855006
2022-01-16,63.917680074836305
2022-01-23,80.30682881197382
2022-01-30,85.22357343311506
2022-02-06,78.66791393826006
2022-02-13,75.39008419083257
2022-02-20,73.75116931711881
2022-02-27,75.39008419083257
2022-03-06,73.75116931711881
2022-03-13,70.4733395696913
2022-03-20,77.02899906454631
2022-03-27,75.39008419083257
2022-04-03,80.30682881197382
2022-04-10,73.75116931711881
2022-04-17,78.66791393826006
2022-04-24,85.22357343311506
2022-05-01,75.39008419083257
2022-05-08,80.30682881197382
2022-05-15,75.39008419083257
2022-05-22,80.30682881197382
2022-05-29,77.02899906454631
2022-06-05,70.4733395696913
2022-06-12,77.02899906454631
2022-06-19,78.66791393826006
2022-06-26,77.02899906454631
2022-07-03,77.02899906454631
2022-07-10,81.94574368568756
2022-07-17,80.30682881197382
2022-07-24,80.30682881197382
2022-07-31,81.94574368568756
2022-08-07,75.39008419083257
2022-08-14,75.39008419083257
2022-08-21,81.94574368568756
2022-08-28,80.30682881197382
2022-09-04,78.66791393826006
2022-09-11,83.58465855940132
2022-09-18,86.86248830682882
2022-09-25,78.66791393826006
2022-10-02,68.83442469597756
2022-10-09,75.39008419083257
2022-10-16,77.02899906454631
2022-10-23,50.80636108512629
2022-10-30,75.39008419083257
2022-11-06,70.4733395696913
2022-11-13,75.39008419083257
2022-11-20,73.75116931711881
2022-11-27,70.4733395696913
2022-12-04,65.55659494855006
2022-12-11,75.39008419083257
2022-12-18,72.11225444340506
2022-12-25,80.30682881197382
2023-01-01,73.75116931711881
2023-01-08,73.75116931711881
2023-01-15,73.75116931711881
2023-01-22,90.14031805425633
2023-01-29,163.89148737137512
2023-02-05,144.22450888681013
2023-02-12,111.44621141253509
2023-02-19,108.16838166510759
2023-02-26,108.16838166510759
2023-03-05,95.05706267539757
2023-03-12,98.33489242282508
2023-03-19,93.41814780168383
2023-03-26,96.69597754911133
2023-04-02,88.50140318054257
2023-04-09,81.94574368568756
2023-04-16,83.58465855940132
2023-04-23,90.14031805425633
2023-04-30,83.58465855940132
2023-05-07,83.58465855940132
2023-05-14,80.30682881197382
2023-05-21,93.41814780168383
2023-05-28,78.66791393826006
2023-06-04,78.66791393826006
2023-06-11,83.58465855940132
2023-06-18,95.05706267539757
2023-06-25,81.94574368568756
2023-07-02,81.94574368568756
2023-07-09,85.22357343311506
2023-07-16,86.86248830682882
2023-07-23,78.66791393826006
2023-07-30,83.58465855940132
2023-08-06,85.22357343311506
2023-08-13,78.66791393826006
2023-08-20,78.66791393826006
2023-08-27,77.02899906454631
2023-09-03,73.75116931711881
2023-09-10,75.39008419083257
2023-09-17,67.1955098222638
2023-09-24,70.4733395696913
2023-10-01,67.1955098222638
2023-10-08,72.11225444340506
2023-10-15,70.4733395696913
2023-10-22,60.6398503274088
2023-10-29,65.55659494855006
2023-11-05,65.55659494855006
2023-11-12,54.084190832553794
2023-11-19,70.4733395696913
2023-11-26,80.30682881197382
2023-12-03,86.86248830682882
2023-12-10,98.33489242282508
2023-12-17,81.94574368568756
2023-12-24,132.75210477081384
2023-12-31,118.0018709073901
2024-01-07,96.69597754911133
2024-01-14,90.14031805425633
2024-01-21,75.39008419083257
2024-01-28,83.58465855940132
2024-02-04,78.66791393826006
2024-02-11,77.02899906454631
2024-02-18,77.02899906454631
2024-02-25,75.39008419083257
2024-03-03,72.11225444340506
2024-03-10,78.66791393826006
2024-03-17,77.02899906454631
2024-03-24,72.11225444340506
2024-03-31,70.4733395696913
2024-04-07,65.55659494855006
2024-04-14,63.917680074836305
2024-04-21,77.02899906454631
2024-04-28,80.30682881197382
2024-05-05,72.11225444340506
2024-05-12,77.02899906454631
2024-05-19,72.11225444340506
2024-05-26,75.39008419083257
2024-06-02,85.22357343311506
2024-06-09,80.30682881197382
2024-06-16,78.66791393826006
2024-06-23,81.94574368568756
2024-06-30,78.66791393826006
2024-07-07,88.50140318054257
2024-07-14,85.22357343311506
2024-07-21,80.30682881197382
2024-07-28,81.94574368568756
2024-08-04,78.66791393826006
2024-08-11,78.66791393826006
2024-08-18,77.02899906454631
2024-08-25,77.02899906454631
2024-09-01,75.39008419083257
2024-09-08,73.75116931711881
2024-09-15,81.94574368568756
2024-09-22,73.75116931711881
2024-09-29,67.1955098222638
2024-10-06,63.917680074836305
2024-10-13,65.55659494855006
2024-10-20,68.83442469597756
2024-10-27,50.80636108512629
2024-11-03,62.27876520112255
2024-11-10,65.55659494855006
2024-11-17,75.39008419083257
2024-11-24,75.39008419083257
2024-12-01,68.83442469597756
2024-12-08,67.1955098222638
2024-12-15,70.4733395696913
2024-12-22,70.4733395696913
2024-12-29,72.11225444340506
2025-01-05,70.4733395696913
2025-01-12,63.917680074836305
2025-01-19,67.1955098222638
2025-01-26,70.4733395696913
2025-02-02,67.1955098222638
2025-02-09,67.1955098222638
2025-02-16,70.4733395696913
2025-02-23,63.917680074836305
2025-03-02,73.75116931711881
2025-03-09,73.75116931711881
2025-03-16,75.39008419083257
2025-03-23,63.917680074836305
2025-03-30,63.917680074836305
2025-04-06,67.1955098222638
2025-04-13,62.27876520112255
2025-04-20,67.1955098222638
2025-04-27,70.4733395696913
2025-05-04,73.75116931711881
2025-05-11,106.52946679139383
2025-05-18,80.30682881197382
2025-05-25,81.94574368568756
2025-06-01,77.02899906454631
2025-06-08,90.14031805425633
2025-06-15,78.66791393826006
2025-06-22,75.39008419083257
2025-06-29,78.66791393826006
2025-07-06,80.30682881197382
2025-07-13,86.86248830682882
2025-07-20,73.75116931711881
2025-07-27,75.39008419083257
2025-08-03,77.02899906454631
2025-08-10,70.4733395696913
2025-08-17,75.39008419083257
2025-08-24,68.83442469597756
2025-08-31,68.83442469597756
2025-09-07,81.94574368568756
2025-09-14,75.39008419083257
2025-09-21,73.75116931711881
2025-09-28,62.27876520112255
2025-10-05,68.83442469597756
2025-10-12,68.83442469597756
2025-10-19,52.44527595884004
2025-10-26,72.11225444340506
2025-11-02,70.4733395696913
2025-11-09,70.4733395696913
2025-11-16,70.4733395696913
2025-11-23,68.83442469597756
2025-11-30,70.4733395696913
2025-12-07,72.11225444340506
2025-12-14,73.75116931711881
2025-12-21,77.02899906454631
2025-12-28,68.83442469597756
2026-01-04,72.11225444340506
