,Fitness
2022-07-24,78.39275766016712
2022-07-31,71.74930362116991
2022-08-07,90.35097493036211
2022-08-14,71.74930362116991
2022-08-21,81.05013927576601
2022-08-28,73.07799442896936
2022-09-04,83.7075208913649
2022-09-11,74.4066852367688
2022-09-18,73.07799442896936
2022-09-25,58.46239554317548
2022-10-02,69.09192200557102
2022-10-09,83.7075208913649
2022-10-16,71.74930362116991
2022-10-23,70.42061281337047
2022-10-30,82.37883008356546
2022-11-06,78.39275766016712
2022-11-13,70.42061281337047
2022-11-20,70.42061281337047
2022-11-27,71.74930362116991
2022-12-04,83.7075208913649
2022-12-11,82.37883008356546
2022-12-18,70.42061281337047
2022-12-25,89.02228412256267
2023-01-01,85.03621169916434
2023-01-08,82.37883008356546
2023-01-15,78.39275766016712
2023-01-22,77.06406685236769
2023-01-29,81.05013927576601
2023-02-05,90.35097493036211
2023-02-12,93.00835654596099
2023-02-19,82.37883008356546
2023-02-26,93.00835654596099
2023-03-05,71.74930362116991
2023-03-12,75.73537604456824
2023-03-19,66.43454038997214
2023-03-26,70.42061281337047
2023-04-02,73.07799442896936
2023-04-09,77.06406685236769
2023-04-16,79.72144846796657
2023-04-23,65.1058495821727
2023-04-30,71.74930362116991
2023-05-07,77.06406685236769
2023-05-14,75.73537604456824
2023-05-21,77.06406685236769
2023-05-28,75.73537604456824
2023-06-04,82.37883008356546
2023-06-11,83.7075208913649
2023-06-18,75.73537604456824
2023-06-25,59.79108635097493
2023-07-02,77.06406685236769
2023-07-09,71.74930362116991
2023-07-16,74.4066852367688
2023-07-23,75.73537604456824
2023-07-30,77.06406685236769
2023-08-06,75.73537604456824
2023-08-13,91.67966573816156
2023-08-20,78.39275766016712
2023-08-27,77.06406685236769
2023-09-03,86.36490250696379
2023-09-10,75.73537604456824
2023-09-17,90.35097493036211
2023-09-24,86.36490250696379
2023-10-01,78.39275766016712
2023-10-08,82.37883008356546
2023-10-15,69.09192200557102
2023-10-22,81.05013927576601
2023-10-29,89.02228412256267
