,Programming
2019-05-26,80.0
2019-06-02,77.0
2019-06-09,87.0
2019-06-16,83.0
2019-06-23,87.0
2019-06-30,88.0
2019-07-07,86.0
2019-07-14,97.0
2019-07-21,93.0
2019-07-28,97.0
2019-08-04,83.0
2019-08-11,75.0
2019-08-18,95.0
2019-08-25,93.0
2019-09-01,84.0
2019-09-08,90.0
2019-09-15,93.0
2019-09-22,95.0
2019-09-29,79.0
2019-10-06,75.0
2019-10-13,88.0
2019-10-20,77.0
2019-10-27,63.0
2019-11-03,83.0
2019-11-10,83.0
2019-11-17,92.0
2019-11-24,87.0
2019-12-01,82.0
2019-12-08,85.0
2019-12-15,85.0
2019-12-22,72.0
2019-12-29,75.0
2020-01-05,85.99044585987261
2020-01-12,74.43949044585987
2020-01-19,87.27388535031848
2020-01-26,83.42356687898089
2020-02-02,87.27388535031848
2020-02-09,88.55732484076434
2020-02-16,85.99044585987261
2020-02-23,85.99044585987261
2020-03-01,83.42356687898089
2020-03-08,70.5891719745223
2020-03-15,69.30573248407643
2020-03-22,59.038216560509554
2020-03-29,88.55732484076434
2020-04-05,101.39171974522293
2020-04-12,92.40764331210191
2020-04-19,89.8407643312102
2020-04-26,83.42356687898089
2020-05-03,91.12420382165605
2020-05-10,87.27388535031848
2020-05-17,84.70700636942675
2020-05-24,79.57324840764332
2020-05-31,79.57324840764332
2020-06-07,77.00636942675159
2020-06-14,75.72292993630573
2020-06-21,83.42356687898089
2020-06-28,83.42356687898089
2020-07-05,82.14012738853503
2020-07-12,84.70700636942675
2020-07-19,84.70700636942675
2020-07-26,82.14012738853503
2020-08-02,78.28980891719746
2020-08-09,82.14012738853503
2020-08-16,87.27388535031848
2020-08-23,89.8407643312102
2020-08-30,84.70700636942675
2020-09-06,92.40764331210191
2020-09-13,79.57324840764332
2020-09-20,82.14012738853503
2020-09-27,73.15605095541402
2020-10-04,80.85668789808918
2020-10-11,69.30573248407643
2020-10-18,69.30573248407643
2020-10-25,64.171974522293
2020-11-01,64.171974522293
2020-11-08,53.904458598726116
2020-11-15,53.904458598726116
2020-11-22,66.73885350318471
2020-11-29,64.171974522293
2020-12-06,68.02229299363057
2020-12-13,74.43949044585987
2020-12-20,66.73885350318471
2020-12-27,61.605095541401276
2021-01-03,71.87261146496816
2021-01-10,65.45541401273886
2021-01-17,71.87261146496816
2021-01-24,65.45541401273886
2021-01-31,69.30573248407643
2021-02-07,71.87261146496816
2021-02-14,73.15605095541402
2021-02-21,75.72292993630573
2021-02-28,75.72292993630573
2021-03-07,74.43949044585987
2021-03-14,82.14012738853503
2021-03-21,79.57324840764332
2021-03-28,70.5891719745223
2021-04-04,75.72292993630573
2021-04-11,71.87261146496816
2021-04-18,79.57324840764332
2021-04-25,74.43949044585987
2021-05-02,73.15605095541402
2021-05-09,75.72292993630573
2021-05-16,80.85668789808918
2021-05-23,78.28980891719746
2021-05-30,79.57324840764332
2021-06-06,79.57324840764332
2021-06-13,80.85668789808918
2021-06-20,79.57324840764332
2021-06-27,79.57324840764332
2021-07-04,83.42356687898089
2021-07-11,82.14012738853503
2021-07-18,87.27388535031848
2021-07-25,84.70700636942675
2021-08-01,83.42356687898089
2021-08-08,84.70700636942675
2021-08-15,82.14012738853503
2021-08-22,82.14012738853503
2021-08-29,78.28980891719746
2021-09-05,80.85668789808918
2021-09-12,88.55732484076434
2021-09-19,84.70700636942675
2021-09-26,82.14012738853503
2021-10-03,83.42356687898089
2021-10-10,69.30573248407643
2021-10-17,82.14012738853503
2021-10-24,77.00636942675159
2021-10-31,56.47133757961784
2021-11-07,75.72292993630573
2021-11-14,79.57324840764332
2021-11-21,82.14012738853503
2021-11-28,82.14012738853503
2021-12-05,83.42356687898089
2021-12-12,89.8407643312102
2021-12-19,88.55732484076434
2021-12-26,78.28980891719746
2022-01-02,101.39171974522293
2022-01-09,96.2579617834395
2022-01-16,89.8407643312102
2022-01-23,98.82484076433121
2022-01-30,105.24203821656052
2022-02-06,102.67515923566879
2022-02-13,116.79299363057325
2022-02-20,120.64331210191084
2022-02-27,114.22611464968153
2022-03-06,115.50955414012739
2022-03-13,101.39171974522293
2022-03-20,110.37579617834395
2022-03-27,115.50955414012739
2022-04-03,112.94267515923568
2022-04-10,105.24203821656052
2022-04-17,112.94267515923568
2022-04-24,114.22611464968153
2022-05-01,112.94267515923568
2022-05-08,114.22611464968153
2022-05-15,109.09235668789809
2022-05-22,111.65923566878982
2022-05-29,107.80891719745223
2022-06-05,112.94267515923568
2022-06-12,111.65923566878982
2022-06-19,115.50955414012739
2022-06-26,115.50955414012739
2022-07-03,118.07643312101911
2022-07-10,123.21019108280255
2022-07-17,128.343949044586
2022-07-24,121.9267515923567
2022-07-31,120.64331210191084
2022-08-07,109.09235668789809
2022-08-14,105.24203821656052
2022-08-21,123.21019108280255
2022-08-28,105.24203821656052
2022-09-04,111.65923566878982
2022-09-11,124.49363057324841
2022-09-18,124.49363057324841
2022-09-25,115.50955414012739
2022-10-02,97.54140127388536
2022-10-09,120.64331210191084
2022-10-16,110.37579617834395
2022-10-23,79.57324840764332
2022-10-30,116.79299363057325
2022-11-06,107.80891719745223
2022-11-13,119.35987261146498
2022-11-20,120.64331210191084
2022-11-27,114.22611464968153
2022-12-04,111.65923566878982
2022-12-11,119.35987261146498
2022-12-18,119.35987261146498
2022-12-25,110.37579617834395
2023-01-01,115.50955414012739
2023-01-08,111.65923566878982
2023-01-15,106.52547770700637
2023-01-22,111.65923566878982
2023-01-29,118.07643312101911
2023-02-05,114.22611464968153
2023-02-12,112.94267515923568
2023-02-19,118.07643312101911
2023-02-26,111.65923566878982
2023-03-05,96.2579617834395
2023-03-12,112.94267515923568
2023-03-19,111.65923566878982
2023-03-26,109.09235668789809
2023-04-02,103.95859872611466
2023-04-09,109.09235668789809
2023-04-16,111.65923566878982
2023-04-23,119.35987261146498
2023-04-30,103.95859872611466
2023-05-07,106.52547770700637
2023-05-14,109.09235668789809
2023-05-21,103.95859872611466
2023-05-28,107.80891719745223
2023-06-04,107.80891719745223
2023-06-11,107.80891719745223
2023-06-18,115.50955414012739
2023-06-25,111.65923566878982
2023-07-02,116.79299363057325
2023-07-09,120.64331210191084
2023-07-16,118.07643312101911
2023-07-23,118.07643312101911
2023-07-30,119.35987261146498
2023-08-06,124.49363057324841
2023-08-13,109.09235668789809
2023-08-20,116.79299363057325
2023-08-27,110.37579617834395
2023-09-03,110.37579617834395
2023-09-10,118.07643312101911
2023-09-17,109.09235668789809
2023-09-24,112.94267515923568
2023-10-01,110.37579617834395
2023-10-08,114.22611464968153
2023-10-15,110.37579617834395
2023-10-22,91.12420382165605
2023-10-29,103.95859872611466
2023-11-05,89.8407643312102
2023-11-12,74.43949044585987
2023-11-19,106.52547770700637
2023-11-26,114.22611464968153
2023-12-03,105.24203821656052
2023-12-10,111.65923566878982
2023-12-17,112.94267515923568
2023-12-24,94.97452229299364
2023-12-31,103.95859872611466
2024-01-07,106.11860066742952
2024-01-14,101.12478416543283
2024-01-21,98.6278759144345
2024-01-28,113.60932542042454
2024-02-04,113.60932542042454
2024-02-11,113.60932542042454
2024-02-18,108.61550891842786
2024-02-25,113.60932542042454
2024-03-03,112.36087129492537
2024-03-10,113.60932542042454
2024-03-17,103.62169241643117
2024-03-24,92.38560528693864
2024-03-31,101.12478416543283
2024-04-07,92.38560528693864
2024-04-14,91.13715116143946
2024-04-21,98.6278759144345
2024-04-28,94.88251353793697
2024-05-05,102.37323829093201
2024-05-12,94.88251353793697
2024-05-19,94.88251353793697
2024-05-26,97.37942178893532
2024-06-02,93.63405941243781
2024-06-09,99.87633003993366
2024-06-16,98.6278759144345
2024-06-23,101.12478416543283
2024-06-30,98.6278759144345
2024-07-07,101.12478416543283
2024-07-14,111.1124171694262
2024-07-21,109.86396304392703
2024-07-28,107.36705479292868
2024-08-04,107.36705479292868
2024-08-11,97.37942178893532
2024-08-18,104.87014654193035
2024-08-25,111.1124171694262
2024-09-01,103.62169241643117
2024-09-08,103.62169241643117
2024-09-15,102.37323829093201
2024-09-22,107.36705479292868
2024-09-29,92.38560528693864
2024-10-06,89.8886970359403
2024-10-13,98.6278759144345
2024-10-20,98.6278759144345
2024-10-27,68.6649769024544
2024-11-03,84.89488053394362
2024-11-10,101.12478416543283
2024-11-17,94.88251353793697
2024-11-24,94.88251353793697
2024-12-01,92.38560528693864
2024-12-08,92.38560528693864
2024-12-15,92.38560528693864
2024-12-22,91.13715116143946
2024-12-29,86.14333465944279
2025-01-05,97.37942178893532
2025-01-12,81.1495181574461
2025-01-19,97.37942178893532
2025-01-26,96.13096766343615
2025-02-02,89.8886970359403
2025-02-09,93.63405941243781
2025-02-16,93.63405941243781
2025-02-23,91.13715116143946
2025-03-02,98.6278759144345
2025-03-09,82.39797228294528
2025-03-16,94.88251353793697
2025-03-23,86.14333465944279
2025-03-30,88.64024291044113
2025-04-06,86.14333465944279
2025-04-13,82.39797228294528
2025-04-20,86.14333465944279
2025-04-27,78.65260990644776
2025-05-04,76.15570165544942
2025-05-11,86.14333465944279
2025-05-18,81.1495181574461
2025-05-25,81.1495181574461
2025-06-01,79.90106403194693
2025-06-08,81.1495181574461
2025-06-15,82.39797228294528
2025-06-22,83.64642640844444
2025-06-29,78.65260990644776
2025-07-06,84.89488053394362
2025-07-13,88.64024291044113
2025-07-20,92.38560528693864
2025-07-27,86.14333465944279
2025-08-03,84.89488053394362
2025-08-10,77.40415578094859
2025-08-17,86.14333465944279
2025-08-24,81.1495181574461
2025-08-31,81.1495181574461
2025-09-07,91.13715116143946
2025-09-14,86.14333465944279
2025-09-21,84.89488053394362
2025-09-28,66.16806865145605
2025-10-05,83.64642640844444
2025-10-12,74.90724752995024
2025-10-19,54.931981521963515
2025-10-26,76.15570165544942
2025-11-02,78.65260990644776
2025-11-09,78.65260990644776
2025-11-16,73.65879340445107
2025-11-23,72.41033927895191
2025-11-30,78.65260990644776
2025-12-07,74.90724752995024
2025-12-14,72.41033927895191
2025-12-21,67.41652277695522
2025-12-28,62.42270627495854
2026-01-04,73.65879340445107
