,Business Services
2017-10-01,75.0
2017-10-08,81.0
2017-10-15,80.0
2017-10-22,77.0
2017-10-29,79.0
2017-11-05,82.0
2017-11-12,83.0
2017-11-19,77.0
2017-11-26,76.0
2017-12-03,74.0
2017-12-10,77.0
2017-12-17,78.0
2017-12-24,72.0
2017-12-31,72.0
2018-01-07,72.0
2018-01-14,71.0
2018-01-21,71.0
2018-01-28,71.0
2018-02-04,75.0
2018-02-11,73.0
2018-02-18,75.0
2018-02-25,74.0
2018-03-04,74.0
2018-03-11,72.0
2018-03-18,70.0
2018-03-25,73.0
2018-04-01,70.0
2018-04-08,55.0
2018-04-15,60.0
2018-04-22,69.0
2018-04-29,67.0
2018-05-06,75.0
2018-05-13,76.0
2018-05-20,72.0
2018-05-27,74.0
2018-06-03,73.0
2018-06-10,76.0
2018-06-17,72.0
2018-06-24,68.0
2018-07-01,73.0
2018-07-08,79.0
2018-07-15,85.0
2018-07-22,77.0
2018-07-29,79.0
2018-08-05,77.0
2018-08-12,82.0
2018-08-19,78.0
2018-08-26,80.0
2018-09-02,78.0
2018-09-09,78.0
2018-09-16,84.0
2018-09-23,82.0
2018-09-30,82.0
2018-10-07,88.0
2018-10-14,77.0
2018-10-21,77.0
2018-10-28,95.0
2018-11-04,85.0
2018-11-11,85.0
2018-11-18,78.0
2018-11-25,83.0
2018-12-02,83.0
2018-12-09,86.0
2018-12-16,83.0
2018-12-23,79.0
2018-12-30,84.0
2019-01-06,82.0
2019-01-13,79.0
2019-01-20,82.0
2019-01-27,79.0
2019-02-03,81.0
2019-02-10,77.0
2019-02-17,76.0
2019-02-24,77.0
2019-03-03,80.0
2019-03-10,81.0
2019-03-17,75.0
2019-03-24,79.0
2019-03-31,82.0
2019-04-07,66.0
2019-04-14,60.0
2019-04-21,89.0
2019-04-28,97.0
2019-05-05,94.0
2019-05-12,100.0
2019-05-19,92.0
2019-05-26,84.0
2019-06-02,84.0
2019-06-09,81.0
2019-06-16,85.0
2019-06-23,83.0
2019-06-30,91.0
2019-07-07,86.0
2019-07-14,86.0
2019-07-21,90.0
2019-07-28,93.0
2019-08-04,85.0
2019-08-11,77.0
2019-08-18,84.0
2019-08-25,83.0
2019-09-01,86.0
2019-09-08,77.0
2019-09-15,81.0
2019-09-22,88.0
2019-09-29,81.0
2019-10-06,83.0
2019-10-13,83.0
2019-10-20,93.0
2019-10-27,84.0
2019-11-03,85.0
2019-11-10,81.0
2019-11-17,95.0
2019-11-24,90.0
2019-12-01,87.0
2019-12-08,87.0
2019-12-15,93.0
2019-12-22,87.0
2019-12-29,84.0
2020-01-05,79.45584817970565
2020-01-12,79.45584817970565
2020-01-19,82.83694810224632
2020-01-26,79.45584817970565
2020-02-02,77.76529821843533
2020-02-09,84.52749806351666
2020-02-16,84.52749806351666
2020-02-23,87.90859798605733
2020-03-01,77.76529821843533
2020-03-08,76.074748257165
2020-03-15,72.69364833462433
2020-03-22,77.76529821843533
2020-03-29,89.59914794732767
2020-04-05,84.52749806351666
2020-04-12,76.074748257165
2020-04-19,82.83694810224632
2020-04-26,87.90859798605733
2020-05-03,76.074748257165
2020-05-10,91.28969790859799
2020-05-17,87.90859798605733
2020-05-24,86.218048024787
2020-05-31,86.218048024787
2020-06-07,87.90859798605733
2020-06-14,79.45584817970565
2020-06-21,91.28969790859799
2020-06-28,89.59914794732767
2020-07-05,87.90859798605733
2020-07-12,99.74244771494966
2020-07-19,87.90859798605733
2020-07-26,84.52749806351666
2020-08-02,84.52749806351666
2020-08-09,91.28969790859799
2020-08-16,79.45584817970565
2020-08-23,81.14639814097599
2020-08-30,76.074748257165
2020-09-06,79.45584817970565
2020-09-13,79.45584817970565
2020-09-20,79.45584817970565
2020-09-27,82.83694810224632
2020-10-04,82.83694810224632
2020-10-11,84.52749806351666
2020-10-18,84.52749806351666
2020-10-25,84.52749806351666
2020-11-01,84.52749806351666
2020-11-08,91.28969790859799
2020-11-15,84.52749806351666
2020-11-22,81.14639814097599
2020-11-29,89.59914794732767
2020-12-06,84.52749806351666
2020-12-13,84.52749806351666
2020-12-20,87.90859798605733
2020-12-27,86.218048024787
2021-01-03,82.83694810224632
2021-01-10,82.83694810224632
2021-01-17,81.14639814097599
2021-01-24,84.52749806351666
2021-01-31,84.52749806351666
2021-02-07,82.83694810224632
2021-02-14,86.218048024787
2021-02-21,84.52749806351666
2021-02-28,79.45584817970565
2021-03-07,81.14639814097599
2021-03-14,87.90859798605733
2021-03-21,79.45584817970565
2021-03-28,91.28969790859799
2021-04-04,82.83694810224632
2021-04-11,67.62199845081332
2021-04-18,94.67079783113866
2021-04-25,86.218048024787
2021-05-02,94.67079783113866
2021-05-09,96.36134779240899
2021-05-16,104.81409759876065
2021-05-23,92.98024786986832
2021-05-30,106.50464756003099
2021-06-06,109.88574748257166
2021-06-13,123.41014717273433
2021-06-20,116.64794732765299
2021-06-27,109.88574748257166
2021-07-04,109.88574748257166
2021-07-11,103.12354763749032
2021-07-18,103.12354763749032
2021-07-25,89.59914794732767
2021-08-01,92.98024786986832
2021-08-08,101.43299767622
2021-08-15,108.19519752130132
2021-08-22,101.43299767622
2021-08-29,99.74244771494966
2021-09-05,98.05189775367933
2021-09-12,99.74244771494966
2021-09-19,114.95739736638265
2021-09-26,99.74244771494966
2021-10-03,96.36134779240899
2021-10-10,96.36134779240899
2021-10-17,91.28969790859799
2021-10-24,92.98024786986832
2021-10-31,98.05189775367933
2021-11-07,108.19519752130132
2021-11-14,98.05189775367933
2021-11-21,92.98024786986832
2021-11-28,98.05189775367933
2021-12-05,96.36134779240899
2021-12-12,92.98024786986832
2021-12-19,103.12354763749032
2021-12-26,96.36134779240899
2022-01-02,125.10069713400466
2022-01-09,111.576297443842
2022-01-16,123.41014717273433
2022-01-23,121.71959721146399
2022-01-30,123.41014717273433
2022-02-06,126.79124709527498
2022-02-13,128.48179705654533
2022-02-20,135.24399690162664
2022-02-27,133.5534469403563
2022-03-06,126.79124709527498
2022-03-13,136.93454686289698
2022-03-20,143.69674670797832
2022-03-27,125.10069713400466
2022-04-03,140.31564678543765
2022-04-10,103.12354763749032
2022-04-17,145.38729666924866
2022-04-24,136.93454686289698
2022-05-01,140.31564678543765
2022-05-08,140.31564678543765
2022-05-15,152.14949651433
2022-05-22,147.077846630519
2022-05-29,143.69674670797832
2022-06-05,135.24399690162664
2022-06-12,133.5534469403563
2022-06-19,153.84004647560033
2022-06-26,143.69674670797832
2022-07-03,143.69674670797832
2022-07-10,155.53059643687067
2022-07-17,169.05499612703332
2022-07-24,135.24399690162664
2022-07-31,142.00619674670799
2022-08-07,145.38729666924866
2022-08-14,153.84004647560033
2022-08-21,145.38729666924866
2022-08-28,138.62509682416731
2022-09-04,142.00619674670799
2022-09-11,136.93454686289698
2022-09-18,158.9116963594113
2022-09-25,126.79124709527498
2022-10-02,133.5534469403563
2022-10-09,136.93454686289698
2022-10-16,138.62509682416731
2022-10-23,131.862896979086
2022-10-30,128.48179705654533
2022-11-06,125.10069713400466
2022-11-13,131.862896979086
2022-11-20,143.69674670797832
2022-11-27,125.10069713400466
2022-12-04,125.10069713400466
2022-12-11,133.5534469403563
2022-12-18,158.9116963594113
2022-12-25,121.71959721146399
2023-01-01,126.79124709527498
2023-01-08,125.10069713400466
2023-01-15,138.62509682416731
2023-01-22,131.862896979086
2023-01-29,121.71959721146399
2023-02-05,128.48179705654533
2023-02-12,135.24399690162664
2023-02-19,147.077846630519
2023-02-26,133.5534469403563
2023-03-05,125.10069713400466
2023-03-12,128.48179705654533
2023-03-19,133.5534469403563
2023-03-26,128.48179705654533
2023-04-02,125.10069713400466
2023-04-09,120.02904725019366
2023-04-16,116.64794732765299
2023-04-23,128.48179705654533
2023-04-30,108.19519752130132
2023-05-07,125.10069713400466
2023-05-14,136.93454686289698
2023-05-21,133.5534469403563
2023-05-28,128.48179705654533
2023-06-04,130.17234701781567
2023-06-11,133.5534469403563
2023-06-18,152.14949651433
2023-06-25,133.5534469403563
2023-07-02,131.862896979086
2023-07-09,138.62509682416731
2023-07-16,148.76839659178933
2023-07-23,138.62509682416731
2023-07-30,131.862896979086
2023-08-06,136.93454686289698
2023-08-13,145.38729666924866
2023-08-20,133.5534469403563
2023-08-27,131.862896979086
2023-09-03,131.862896979086
2023-09-10,131.862896979086
2023-09-17,148.76839659178933
2023-09-24,135.24399690162664
2023-10-01,130.17234701781567
2023-10-08,131.862896979086
2023-10-15,135.24399690162664
2023-10-22,125.10069713400466
2023-10-29,130.17234701781567
2023-11-05,125.10069713400466
2023-11-12,135.24399690162664
2023-11-19,135.24399690162664
2023-11-26,136.93454686289698
2023-12-03,138.62509682416731
2023-12-10,136.93454686289698
2023-12-17,145.38729666924866
2023-12-24,123.41014717273433
2023-12-31,140.31564678543765
2024-01-07,139.45243700355286
2024-01-14,142.69551693386802
2024-01-21,132.96627714292248
2024-01-28,134.58781710808006
2024-02-04,142.69551693386802
2024-02-11,145.9385968641832
2024-02-18,132.96627714292248
2024-02-25,136.20935707323767
2024-03-03,137.83089703839525
2024-03-10,132.96627714292248
2024-03-17,162.15399651575913
2024-03-24,134.58781710808006
2024-03-31,129.7231972126073
2024-04-07,124.85857731713453
2024-04-14,116.75087749134657
2024-04-21,123.23703735197694
2024-04-28,118.37241745650417
2024-05-05,134.58781710808006
2024-05-12,145.9385968641832
2024-05-19,116.75087749134657
2024-05-26,142.69551693386802
2024-06-02,131.3447371777649
2024-06-09,142.69551693386802
2024-06-16,137.83089703839525
2024-06-23,136.20935707323767
2024-06-30,145.9385968641832
2024-07-07,144.31705689902563
2024-07-14,144.31705689902563
2024-07-21,152.4247567248136
2024-07-28,144.31705689902563
2024-08-04,139.45243700355286
2024-08-11,152.4247567248136
2024-08-18,145.9385968641832
2024-08-25,131.3447371777649
2024-09-01,126.48011728229211
2024-09-08,119.99395742166175
2024-09-15,124.85857731713453
2024-09-22,132.96627714292248
2024-09-29,126.48011728229211
2024-10-06,126.48011728229211
2024-10-13,129.7231972126073
2024-10-20,141.07397696871044
2024-10-27,124.85857731713453
2024-11-03,121.61549738681934
2024-11-10,116.75087749134657
2024-11-17,137.83089703839525
2024-11-24,139.45243700355286
2024-12-01,124.85857731713453
2024-12-08,131.3447371777649
2024-12-15,136.20935707323767
2024-12-22,123.23703735197694
2024-12-29,129.7231972126073
2025-01-05,134.58781710808006
2025-01-12,131.3447371777649
2025-01-19,149.1816767944984
2025-01-26,131.3447371777649
2025-02-02,136.20935707323767
2025-02-09,124.85857731713453
2025-02-16,154.04629668997117
2025-02-23,132.96627714292248
2025-03-02,131.3447371777649
2025-03-09,118.37241745650417
2025-03-16,144.31705689902563
2025-03-23,124.85857731713453
2025-03-30,123.23703735197694
2025-04-06,131.3447371777649
2025-04-13,115.12933752618898
2025-04-20,126.48011728229211
2025-04-27,121.61549738681934
2025-05-04,116.75087749134657
2025-05-11,110.2647176307162
2025-05-18,137.83089703839525
2025-05-25,132.96627714292248
2025-06-01,132.96627714292248
2025-06-08,124.85857731713453
2025-06-15,147.5601368293408
2025-06-22,142.69551693386802
2025-06-29,132.96627714292248
2025-07-06,116.75087749134657
2025-07-13,134.58781710808006
2025-07-20,139.45243700355286
2025-07-27,139.45243700355286
2025-08-03,145.9385968641832
2025-08-10,136.20935707323767
2025-08-17,126.48011728229211
2025-08-24,128.1016572474497
2025-08-31,119.99395742166175
2025-09-07,115.12933752618898
2025-09-14,123.23703735197694
2025-09-21,139.45243700355286
2025-09-28,129.7231972126073
2025-10-05,113.50779756103138
2025-10-12,123.23703735197694
2025-10-19,124.85857731713453
2025-10-26,111.8862575958738
2025-11-02,121.61549738681934
2025-11-09,116.75087749134657
2025-11-16,134.58781710808006
2025-11-23,107.02163770040102
2025-11-30,102.15701780492824
2025-12-07,124.85857731713453
2025-12-14,132.96627714292248
2025-12-21,124.85857731713453
2025-12-28,131.3447371777649
