,Business & Industrial
2023-01-08,98.67963825705674
2023-01-15,97.43052891203071
2023-01-22,94.93231022197864
2023-01-29,111.17073170731709
2023-02-05,108.67251301726502
2023-02-12,101.17785694710881
2023-02-19,102.42696629213484
2023-02-26,103.67607563716088
2023-03-05,87.43765415182243
2023-03-12,98.67963825705674
2023-03-19,98.67963825705674
2023-03-26,96.18141956700467
2023-04-02,97.43052891203071
2023-04-09,98.67963825705674
2023-04-16,94.93231022197864
2023-04-23,102.42696629213484
2023-04-30,96.18141956700467
2023-05-07,96.18141956700467
2023-05-14,97.43052891203071
2023-05-21,103.67607563716088
2023-05-28,97.43052891203071
2023-06-04,101.17785694710881
2023-06-11,113.66895039736916
2023-06-18,107.42340367223898
2023-06-25,98.67963825705674
2023-07-02,114.91805974239519
2023-07-09,113.66895039736916
2023-07-16,112.41984105234312
2023-07-23,103.67607563716088
2023-07-30,108.67251301726502
2023-08-06,109.92162236229105
2023-08-13,102.42696629213484
2023-08-20,124.91093450260347
2023-08-27,107.42340367223898
2023-09-03,102.42696629213484
2023-09-10,106.17429432721295
2023-09-17,101.17785694710881
2023-09-24,108.67251301726502
2023-10-01,103.67607563716088
2023-10-08,102.42696629213484
2023-10-15,97.43052891203071
2023-10-22,86.18854480679639
2023-10-29,96.18141956700467
2023-11-05,89.9358728418745
2023-11-12,84.93943546177036
2023-11-19,104.9251849821869
2023-11-26,101.17785694710881
2023-12-03,103.67607563716088
2023-12-10,109.92162236229105
2023-12-17,113.66895039736916
2023-12-24,108.67251301726502
2023-12-31,106.17429432721295
2024-01-07,107.42340367223896
2024-01-14,104.92518498218689
2024-01-21,98.67963825705672
2024-01-28,106.17429432721293
2024-02-04,103.67607563716086
2024-02-11,102.42696629213482
2024-02-18,101.1778569471088
2024-02-25,106.17429432721293
2024-03-03,106.17429432721293
2024-03-10,106.17429432721293
2024-03-17,99.92874760208275
2024-03-24,88.68676349684844
2024-03-31,96.18141956700465
2024-04-07,89.93587284187448
2024-04-14,88.68676349684844
2024-04-21,92.43409153192655
2024-04-28,96.18141956700465
2024-05-05,93.68320087695258
2024-05-12,98.67963825705672
2024-05-19,96.18141956700465
2024-05-26,102.42696629213482
2024-06-02,94.93231022197861
2024-06-09,99.92874760208275
2024-06-16,101.1778569471088
2024-06-23,94.93231022197861
2024-06-30,103.67607563716086
2024-07-07,106.17429432721293
2024-07-14,108.67251301726499
2024-07-21,108.67251301726499
2024-07-28,106.17429432721293
2024-08-04,103.67607563716086
2024-08-11,101.1778569471088
2024-08-18,102.42696629213482
2024-08-25,101.1778569471088
2024-09-01,102.42696629213482
2024-09-08,99.92874760208275
2024-09-15,101.1778569471088
2024-09-22,108.67251301726499
2024-09-29,98.67963825705672
2024-10-06,101.1778569471088
2024-10-13,96.18141956700465
2024-10-20,101.1778569471088
2024-10-27,78.69388873664018
2024-11-03,89.93587284187448
2024-11-10,91.18498218690051
2024-11-17,91.18498218690051
2024-11-24,91.18498218690051
2024-12-01,94.93231022197861
2024-12-08,92.43409153192655
2024-12-15,94.93231022197861
2024-12-22,99.92874760208275
2024-12-29,97.43052891203068
