,Internet & Telecom
2022-09-04,97.62468604233943
2022-09-11,91.4589163975601
2022-09-18,89.40365984930033
2022-09-25,89.40365984930033
2022-10-02,93.51417294581988
2022-10-09,90.4312881234302
2022-10-16,87.34840330104055
2022-10-23,92.48654467168998
2022-10-30,91.4589163975601
2022-11-06,88.37603157517043
2022-11-13,90.4312881234302
2022-11-20,88.37603157517043
2022-11-27,85.29314675278077
2022-12-04,85.29314675278077
2022-12-11,87.34840330104055
2022-12-18,88.37603157517043
2022-12-25,91.4589163975601
2023-01-01,84.26551847865088
2023-01-08,82.2102619303911
2023-01-15,83.237890204521
2023-01-22,85.29314675278077
2023-01-29,90.4312881234302
2023-02-05,96.59705776820954
2023-02-12,91.4589163975601
2023-02-19,90.4312881234302
2023-02-26,89.40365984930033
2023-03-05,87.34840330104055
2023-03-12,91.4589163975601
2023-03-19,88.37603157517043
2023-03-26,85.29314675278077
2023-04-02,79.12737710800144
2023-04-09,68.85109436670255
2023-04-16,80.15500538213132
2023-04-23,85.29314675278077
2023-04-30,75.01686401148189
2023-05-07,85.29314675278077
2023-05-14,91.4589163975601
2023-05-21,87.34840330104055
2023-05-28,86.32077502691065
2023-06-04,91.4589163975601
2023-06-11,92.48654467168998
2023-06-18,94.54180121994976
2023-06-25,88.37603157517043
2023-07-02,91.4589163975601
2023-07-09,98.65231431646933
2023-07-16,97.62468604233943
2023-07-23,93.51417294581988
2023-07-30,90.4312881234302
2023-08-06,96.59705776820954
2023-08-13,97.62468604233943
2023-08-20,92.48654467168998
2023-08-27,89.40365984930033
2023-09-03,95.56942949407966
2023-09-10,93.51417294581988
2023-09-17,94.54180121994976
2023-09-24,87.34840330104055
2023-10-01,93.51417294581988
2023-10-08,92.48654467168998
2023-10-15,95.56942949407966
2023-10-22,87.34840330104055
2023-10-29,83.237890204521
2023-11-05,87.34840330104055
2023-11-12,92.48654467168998
2023-11-19,87.34840330104055
2023-11-26,89.40365984930033
2023-12-03,89.40365984930033
2023-12-10,92.48654467168998
2023-12-17,97.62468604233943
2023-12-24,87.34840330104055
2023-12-31,98.65231431646933
2024-01-07,95.83928235755123
2024-01-14,89.65610285061244
2024-01-21,84.50345326149679
2024-01-28,100.9919319466669
2024-02-04,95.83928235755123
2024-02-11,94.8087524397281
2024-02-18,87.59504301496618
2024-02-25,93.77822252190496
2024-03-03,92.74769260408183
2024-03-10,94.8087524397281
2024-03-17,93.77822252190496
2024-03-24,95.83928235755123
2024-03-31,92.74769260408183
2024-04-07,76.25921391891173
2024-04-14,80.38133359020426
2024-04-21,86.56451309714305
2024-04-28,89.65610285061244
2024-05-05,92.74769260408183
2024-05-12,95.83928235755123
2024-05-19,86.56451309714305
2024-05-26,96.86981227537436
2024-06-02,96.86981227537436
2024-06-09,98.93087211102062
2024-06-16,88.62557293278931
2024-06-23,99.96140202884376
2024-06-30,99.96140202884376
2024-07-07,98.93087211102062
2024-07-14,92.74769260408183
2024-07-21,98.93087211102062
2024-07-28,96.86981227537436
2024-08-04,98.93087211102062
2024-08-11,102.02246186449003
2024-08-18,95.83928235755123
2024-08-25,95.83928235755123
2024-09-01,97.90034219319749
2024-09-08,97.90034219319749
2024-09-15,84.50345326149679
2024-09-22,85.53398317931992
2024-09-29,93.77822252190496
2024-10-06,92.74769260408183
2024-10-13,89.65610285061244
2024-10-20,94.8087524397281
2024-10-27,93.77822252190496
2024-11-03,93.77822252190496
2024-11-10,89.65610285061244
2024-11-17,93.77822252190496
2024-11-24,103.05299178231316
2024-12-01,95.83928235755123
2024-12-08,94.8087524397281
2024-12-15,99.96140202884376
2024-12-22,96.86981227537436
2024-12-29,97.90034219319749
2025-01-05,95.83928235755123
2025-01-12,86.56451309714305
2025-01-19,98.93087211102062
2025-01-26,93.77822252190496
2025-02-02,91.7171626862587
2025-02-09,88.62557293278931
2025-02-16,89.65610285061244
2025-02-23,95.83928235755123
2025-03-02,94.8087524397281
2025-03-09,88.62557293278931
2025-03-16,91.7171626862587
2025-03-23,93.77822252190496
2025-03-30,88.62557293278931
2025-04-06,81.4118635080274
2025-04-13,72.1370942476192
2025-04-20,93.77822252190496
2025-04-27,88.62557293278931
2025-05-04,86.56451309714305
2025-05-11,77.28974383673487
2025-05-18,93.77822252190496
2025-05-25,92.74769260408183
2025-06-01,92.74769260408183
2025-06-08,87.59504301496618
2025-06-15,93.77822252190496
2025-06-22,93.77822252190496
2025-06-29,90.68663276843557
2025-07-06,86.56451309714305
2025-07-13,93.77822252190496
2025-07-20,89.65610285061244
2025-07-27,91.7171626862587
2025-08-03,83.47292334367366
2025-08-10,92.74769260408183
2025-08-17,89.65610285061244
2025-08-24,88.62557293278931
2025-08-31,86.56451309714305
2025-09-07,87.59504301496618
2025-09-14,88.62557293278931
2025-09-21,92.74769260408183
2025-09-28,89.65610285061244
2025-10-05,85.53398317931992
2025-10-12,88.62557293278931
2025-10-19,85.53398317931992
2025-10-26,85.53398317931992
2025-11-02,83.47292334367366
2025-11-09,94.8087524397281
2025-11-16,88.62557293278931
2025-11-23,80.38133359020426
2025-11-30,82.44239342585053
2025-12-07,92.74769260408183
2025-12-14,92.74769260408183
2025-12-21,90.68663276843557
2025-12-28,98.93087211102062
