,Exportation
2023-07-02,85.76102322450353
2023-07-09,98.37293840457758
2023-07-16,81.97744867048132
2023-07-23,89.54459777852576
2023-07-30,79.45506563446651
2023-08-06,81.97744867048132
2023-08-13,102.1565129585998
2023-08-20,104.6788959946146
2023-08-27,89.54459777852576
2023-09-03,89.54459777852576
2023-09-10,76.9326825984517
2023-09-17,81.97744867048132
2023-09-24,73.14910804442948
2023-10-01,83.23864018848873
2023-10-08,81.97744867048132
2023-10-15,78.1938741164591
2023-10-22,84.49983170649612
2023-10-29,76.9326825984517
2023-11-05,73.14910804442948
2023-11-12,78.1938741164591
2023-11-19,93.32817233254796
2023-11-26,79.45506563446651
2023-12-03,92.06698081454056
2023-12-10,71.88791652642207
2023-12-17,73.14910804442948
2023-12-24,52.97004375631101
2023-12-31,83.23864018848873
2024-01-07,83.42464215001526
2024-01-14,74.52601365401364
2024-01-21,62.290399472011394
2024-01-28,61.17807091001119
2024-02-04,58.953413786010785
2024-02-11,61.17807091001119
2024-02-18,64.5150565960118
2024-02-25,57.841085224010584
2024-03-03,73.41368509201342
2024-03-10,81.19998502601486
2024-03-17,80.08765646401466
2024-03-24,77.86299934001424
2024-03-31,67.8520422820124
2024-04-07,65.627385158012
2024-04-14,63.402728034011595
2024-04-21,75.63834221601384
2024-04-28,71.18902796801302
2024-05-05,84.53697071201546
2024-05-12,73.41368509201342
2024-05-19,74.52601365401364
2024-05-26,76.75067077801404
2024-06-02,67.8520422820124
2024-06-09,63.402728034011595
2024-06-16,70.07669940601282
2024-06-23,63.402728034011595
2024-06-30,61.17807091001119
2024-07-07,66.7397137200122
2024-07-14,74.52601365401364
2024-07-21,76.75067077801404
2024-07-28,65.627385158012
2024-08-04,63.402728034011595
2024-08-11,70.07669940601282
2024-08-18,63.402728034011595
2024-08-25,68.96437084401262
2024-09-01,61.17807091001119
2024-09-08,67.8520422820124
2024-09-15,61.17807091001119
2024-09-22,63.402728034011595
2024-09-29,83.42464215001526
2024-10-06,88.98628496001628
2024-10-13,65.627385158012
2024-10-20,65.627385158012
2024-10-27,68.96437084401262
2024-11-03,68.96437084401262
2024-11-10,62.290399472011394
2024-11-17,83.42464215001526
2024-11-24,80.08765646401466
2024-12-01,81.19998502601486
2024-12-08,70.07669940601282
2024-12-15,86.76162783601588
2024-12-22,64.5150565960118
2024-12-29,62.290399472011394
2025-01-05,64.5150565960118
2025-01-12,77.86299934001424
2025-01-19,84.53697071201546
2025-01-26,86.76162783601588
2025-02-02,86.76162783601588
2025-02-09,74.52601365401364
2025-02-16,80.08765646401466
2025-02-23,82.31231358801506
2025-03-02,75.63834221601384
2025-03-09,70.07669940601282
2025-03-16,82.31231358801506
2025-03-23,86.76162783601588
2025-03-30,111.23285620002035
2025-04-06,85.64929927401566
2025-04-13,64.5150565960118
2025-04-20,74.52601365401364
2025-04-27,76.75067077801404
2025-05-04,67.8520422820124
2025-05-11,64.5150565960118
2025-05-18,75.63834221601384
2025-05-25,74.52601365401364
2025-06-01,76.75067077801404
2025-06-08,70.07669940601282
2025-06-15,72.30135653001322
2025-06-22,80.08765646401466
2025-06-29,67.8520422820124
2025-07-06,78.97532790201444
2025-07-13,76.75067077801404
2025-07-20,77.86299934001424
2025-07-27,80.08765646401466
2025-08-03,85.64929927401566
2025-08-10,86.76162783601588
2025-08-17,85.64929927401566
2025-08-24,87.87395639801608
2025-08-31,68.96437084401262
2025-09-07,82.31231358801506
2025-09-14,66.7397137200122
2025-09-21,70.07669940601282
2025-09-28,71.18902796801302
2025-10-05,70.07669940601282
2025-10-12,70.07669940601282
2025-10-19,71.18902796801302
2025-10-26,68.96437084401262
2025-11-02,84.53697071201546
2025-11-09,97.8849134560179
2025-11-16,91.21094208401668
2025-11-23,91.21094208401668
2025-11-30,77.86299934001424
2025-12-07,80.08765646401466
2025-12-14,77.86299934001424
2025-12-21,63.402728034011595
2025-12-28,80.08765646401466
2026-01-04,75.63834221601384
2026-01-11,72.30135653001322
2026-01-18,75.63834221601384
2026-01-25,80.08765646401466
