,Ticket Sales
2022-04-17,172.16326530612247
2022-04-24,144.9795918367347
2022-05-01,163.10204081632654
2022-05-08,90.61224489795919
2022-05-15,117.79591836734694
2022-05-22,117.79591836734694
2022-05-29,308.0816326530612
2022-06-05,326.2040816326531
2022-06-12,217.46938775510205
2022-06-19,244.65306122448982
2022-06-26,117.79591836734694
2022-07-03,90.61224489795919
2022-07-10,99.6734693877551
2022-07-17,81.55102040816327
2022-07-24,90.61224489795919
2022-07-31,72.48979591836735
2022-08-07,117.79591836734694
2022-08-14,135.9183673469388
2022-08-21,126.85714285714286
2022-08-28,135.9183673469388
2022-09-04,108.73469387755102
2022-09-11,117.79591836734694
2022-09-18,135.9183673469388
2022-09-25,280.8979591836735
2022-10-02,208.40816326530614
2022-10-09,163.10204081632654
2022-10-16,181.22448979591837
2022-10-23,154.0408163265306
2022-10-30,135.9183673469388
2022-11-06,181.22448979591837
2022-11-13,154.0408163265306
2022-11-20,135.9183673469388
2022-11-27,108.73469387755102
2022-12-04,108.73469387755102
2022-12-11,163.10204081632654
2022-12-18,172.16326530612247
2022-12-25,172.16326530612247
2023-01-01,289.9591836734694
2023-01-08,326.2040816326531
2023-01-15,226.53061224489795
2023-01-22,199.3469387755102
2023-01-29,190.28571428571428
2023-02-05,190.28571428571428
2023-02-12,199.3469387755102
2023-02-19,163.10204081632654
2023-02-26,99.6734693877551
2023-03-05,108.73469387755102
2023-03-12,99.6734693877551
2023-03-19,108.73469387755102
2023-03-26,108.73469387755102
2023-04-02,99.6734693877551
2023-04-09,90.61224489795919
2023-04-16,108.73469387755102
2023-04-23,181.22448979591837
2023-04-30,163.10204081632654
2023-05-07,135.9183673469388
2023-05-14,135.9183673469388
2023-05-21,117.79591836734694
2023-05-28,108.73469387755102
2023-06-04,117.79591836734694
2023-06-11,117.79591836734694
2023-06-18,117.79591836734694
2023-06-25,117.79591836734694
2023-07-02,108.73469387755102
2023-07-09,144.9795918367347
2023-07-16,144.9795918367347
2023-07-23,172.16326530612247
2023-07-30,217.46938775510205
2023-08-06,371.51020408163265
2023-08-13,371.51020408163265
2023-08-20,208.40816326530614
2023-08-27,190.28571428571428
2023-09-03,253.71428571428572
2023-09-10,353.38775510204084
2023-09-17,181.22448979591837
2023-09-24,208.40816326530614
2023-10-01,217.46938775510205
2023-10-08,444.0
2023-10-15,906.1224489795918
2023-10-22,244.65306122448982
2023-10-29,172.16326530612247
2023-11-05,135.9183673469388
2023-11-12,126.85714285714286
2023-11-19,117.79591836734694
2023-11-26,99.6734693877551
2023-12-03,108.73469387755102
2023-12-10,144.9795918367347
2023-12-17,172.16326530612247
2023-12-24,144.9795918367347
2023-12-31,126.85714285714286
2024-01-07,181.22448979591837
2024-01-14,181.22448979591837
2024-01-21,144.9795918367347
2024-01-28,117.79591836734694
2024-02-04,144.9795918367347
2024-02-11,154.0408163265306
2024-02-18,163.10204081632654
2024-02-25,108.73469387755102
2024-03-03,108.73469387755102
2024-03-10,99.6734693877551
2024-03-17,99.6734693877551
2024-03-24,117.79591836734694
2024-03-31,117.79591836734694
2024-04-07,126.85714285714286
2024-04-14,135.9183673469388
2024-04-21,144.9795918367347
2024-04-28,144.9795918367347
2024-05-05,154.0408163265306
2024-05-12,117.79591836734694
2024-05-19,108.73469387755102
2024-05-26,99.6734693877551
2024-06-02,99.6734693877551
2024-06-09,108.73469387755102
2024-06-16,117.79591836734694
2024-06-23,154.0408163265306
2024-06-30,144.9795918367347
2024-07-07,190.28571428571428
2024-07-14,217.46938775510205
2024-07-21,271.8367346938776
2024-07-28,217.46938775510205
2024-08-04,154.0408163265306
2024-08-11,163.10204081632654
2024-08-18,154.0408163265306
2024-08-25,199.3469387755102
2024-09-01,670.530612244898
2024-09-08,208.40816326530614
2024-09-15,144.9795918367347
2024-09-22,154.0408163265306
2024-09-29,126.85714285714286
2024-10-06,190.28571428571428
2024-10-13,172.16326530612247
2024-10-20,135.9183673469388
2024-10-27,244.65306122448982
2024-11-03,217.46938775510205
2024-11-10,253.71428571428572
2024-11-17,144.9795918367347
2024-11-24,108.73469387755102
2024-12-01,144.9795918367347
2024-12-08,144.9795918367347
2024-12-15,135.9183673469388
2024-12-22,163.10204081632654
2024-12-29,126.85714285714286
2025-01-05,117.79591836734694
2025-01-12,163.10204081632654
2025-01-19,108.73469387755102
2025-01-26,126.85714285714286
2025-02-02,217.46938775510205
2025-02-09,135.9183673469388
2025-02-16,144.9795918367347
2025-02-23,163.10204081632654
2025-03-02,99.6734693877551
2025-03-09,99.6734693877551
2025-03-16,126.85714285714286
2025-03-23,135.9183673469388
2025-03-30,126.85714285714286
2025-04-06,172.16326530612247
2025-04-13,181.22448979591837
2025-04-20,126.85714285714286
2025-04-27,208.40816326530614
2025-05-04,154.0408163265306
2025-05-11,135.9183673469388
2025-05-18,117.79591836734694
2025-05-25,108.73469387755102
2025-06-01,163.10204081632654
2025-06-08,135.9183673469388
2025-06-15,108.73469387755102
2025-06-22,117.79591836734694
2025-06-29,163.10204081632654
2025-07-06,172.16326530612247
2025-07-13,126.85714285714286
2025-07-20,154.0408163265306
2025-07-27,163.10204081632654
2025-08-03,208.40816326530614
2025-08-10,462.12244897959187
2025-08-17,163.10204081632654
2025-08-24,117.79591836734694
2025-08-31,208.40816326530614
2025-09-07,181.22448979591837
2025-09-14,126.85714285714286
2025-09-21,117.79591836734694
2025-09-28,144.9795918367347
2025-10-05,135.9183673469388
2025-10-12,208.40816326530614
2025-10-19,190.28571428571428
2025-10-26,154.0408163265306
2025-11-02,126.85714285714286
2025-11-09,126.85714285714286
2025-11-16,126.85714285714286
2025-11-23,108.73469387755102
2025-11-30,90.61224489795919
2025-12-07,154.0408163265306
2025-12-14,144.9795918367347
2025-12-21,199.3469387755102
2025-12-28,199.3469387755102
2026-01-04,489.30612244897964
