,Swimming Pools & Spas
2023-01-22,77.57462457860865
2023-01-29,83.36377566656452
2023-02-05,78.73245479619982
2023-02-12,94.94207784247625
2023-02-19,76.41679436101748
2023-02-26,76.41679436101748
2023-03-05,75.2589641434263
2023-03-12,85.67943610174687
2023-03-19,75.2589641434263
2023-03-26,78.73245479619982
2023-04-02,81.04811523138217
2023-04-09,96.09990806006743
2023-04-16,96.09990806006743
2023-04-23,93.78424762488508
2023-04-30,84.52160588415569
2023-05-07,71.78547349065278
2023-05-14,83.36377566656452
2023-05-21,76.41679436101748
2023-05-28,89.1529267545204
2023-06-04,96.09990806006743
2023-06-11,85.67943610174687
2023-06-18,94.94207784247625
2023-06-25,94.94207784247625
2023-07-02,89.1529267545204
2023-07-09,92.62641740729391
2023-07-16,91.46858718970273
2023-07-23,90.31075697211156
2023-07-30,92.62641740729391
2023-08-06,105.36254980079683
2023-08-13,100.73122893043212
2023-08-20,107.67821023597917
2023-08-27,108.83604045357035
2023-09-03,83.36377566656452
2023-09-10,90.31075697211156
2023-09-17,71.78547349065278
2023-09-24,90.31075697211156
2023-10-01,70.62764327306161
2023-10-08,67.15415262028809
2023-10-15,70.62764327306161
2023-10-22,72.94330370824396
2023-10-29,77.57462457860865
2023-11-05,90.31075697211156
2023-11-12,70.62764327306161
2023-11-19,76.41679436101748
2023-11-26,86.83726631933804
2023-12-03,81.04811523138217
2023-12-10,94.94207784247625
2023-12-17,86.83726631933804
2023-12-24,115.78302175911739
2023-12-31,90.31075697211156
2024-01-07,89.8669593806493
2024-01-14,98.70633243448366
2024-01-21,98.70633243448366
2024-01-28,109.01893433062375
2024-02-04,101.65279011909512
2024-02-11,89.8669593806493
2024-02-18,98.70633243448366
2024-02-25,100.17956127678939
2024-03-03,100.17956127678939
2024-03-10,85.44727285373213
2024-03-17,86.92050169603785
2024-03-24,92.81341706526075
2024-03-31,81.02758632681494
2024-04-07,114.91184969984664
2024-04-14,122.27799391137528
2024-04-21,114.91184969984664
2024-04-28,111.9653920152352
2024-05-05,98.70633243448366
2024-05-12,89.8669593806493
2024-05-19,82.50081516912067
2024-05-26,82.50081516912067
2024-06-02,85.44727285373213
2024-06-09,79.55435748450921
2024-06-16,98.70633243448366
2024-06-23,76.60789979989777
2024-06-30,82.50081516912067
2024-07-07,94.28664590756648
2024-07-14,113.43862085754093
2024-07-21,103.12601896140083
2024-07-28,100.17956127678939
2024-08-04,107.54570548831802
2024-08-11,119.33153622676383
2024-08-18,106.07247664601229
2024-08-25,111.9653920152352
2024-09-01,89.8669593806493
2024-09-08,88.39373053834358
2024-09-15,114.91184969984664
2024-09-22,82.50081516912067
2024-09-29,75.13467095759204
2024-10-06,70.71498443067486
2024-10-13,81.02758632681494
