,Enterprise Technology
2022-10-30,110.24057450628368
2022-11-06,89.48940754039499
2022-11-13,92.08330341113107
2022-11-20,90.78635547576303
2022-11-27,102.45888689407542
2022-12-04,97.27109515260325
2022-12-11,92.08330341113107
2022-12-18,76.51992818671455
2022-12-25,105.05278276481151
2023-01-01,97.27109515260325
2023-01-08,89.48940754039499
2023-01-15,77.8168761220826
2023-01-22,89.48940754039499
2023-01-29,119.31921005385999
2023-02-05,90.78635547576303
2023-02-12,83.00466786355477
2023-02-19,66.14434470377022
2023-02-26,105.05278276481151
2023-03-05,103.75583482944347
2023-03-12,81.70771992818673
2023-03-19,86.8955116696589
2023-03-26,99.86499102333933
2023-04-02,99.86499102333933
2023-04-09,90.78635547576303
2023-04-16,68.73824057450629
2023-04-23,77.8168761220826
2023-04-30,94.67719928186716
2023-05-07,81.70771992818673
2023-05-14,72.62908438061042
2023-05-21,75.22298025134651
2023-05-28,97.27109515260325
2023-06-04,94.67719928186716
2023-06-11,86.8955116696589
2023-06-18,71.33213644524238
2023-06-25,57.065709156193904
2023-07-02,88.19245960502694
2023-07-09,90.78635547576303
2023-07-16,64.84739676840216
2023-07-23,70.03518850987435
2023-07-30,108.94362657091564
2023-08-06,98.56804308797129
2023-08-13,81.70771992818673
2023-08-20,86.8955116696589
2023-08-27,110.24057450628368
2023-09-03,114.13141831238781
2023-09-10,70.03518850987435
2023-09-17,79.11382405745064
2023-09-24,106.34973070017955
2023-10-01,99.86499102333933
2023-10-08,103.75583482944347
2023-10-15,80.41077199281868
2023-10-22,75.22298025134651
2023-10-29,107.6466786355476
2023-11-05,101.16193895870738
2023-11-12,88.19245960502694
2023-11-19,86.8955116696589
2023-11-26,115.42836624775586
2023-12-03,120.61615798922803
2023-12-10,80.41077199281868
2023-12-17,85.59856373429086
2023-12-24,112.83447037701977
2023-12-31,116.7253141831239
2024-01-07,111.11971862156983
2024-01-14,85.37246674584023
2024-01-21,100.27877046336789
2024-01-28,119.25042974022128
2024-02-04,107.05436306224411
2024-02-11,101.63388898314314
2024-02-18,75.88663710741353
2024-02-25,104.34412602269362
2024-03-03,96.21341490404217
2024-03-10,92.14805934471644
2024-03-17,96.21341490404217
2024-03-24,107.05436306224411
2024-03-31,108.40948158201934
2024-04-07,89.43782230516595
2024-04-14,84.017348226065
2024-04-21,100.27877046336789
2024-04-28,115.18507418089555
2024-05-05,102.98900750291837
2024-05-12,81.3071111865145
2024-05-19,88.08270378539072
2024-05-26,126.02602233909748
2024-06-02,108.40948158201934
2024-06-09,107.05436306224411
2024-06-16,77.24175562718878
2024-06-23,88.08270378539072
2024-06-30,117.89531122044603
2024-07-07,98.92365194359265
2024-07-14,101.63388898314314
2024-07-21,94.85829638426692
2024-07-28,126.02602233909748
2024-08-04,121.96066677977176
2024-08-11,109.76460010179458
2024-08-18,100.27877046336789
2024-08-25,104.34412602269362
2024-09-01,100.27877046336789
2024-09-08,104.34412602269362
2024-09-15,89.43782230516595
2024-09-22,101.63388898314314
2024-09-29,120.60554825999652
2024-10-06,128.73625937864796
2024-10-13,111.11971862156983
2024-10-20,98.92365194359265
2024-10-27,111.11971862156983
2024-11-03,92.14805934471644
2024-11-10,89.43782230516595
2024-11-17,89.43782230516595
2024-11-24,90.7929408249412
2024-12-01,115.18507418089555
2024-12-08,96.21341490404217
2024-12-15,88.08270378539072
2024-12-22,89.43782230516595
2024-12-29,108.40948158201934
2025-01-05,96.21341490404217
2025-01-12,96.21341490404217
2025-01-19,97.56853342381741
2025-01-26,112.47483714134506
2025-02-02,100.27877046336789
2025-02-09,92.14805934471644
2025-02-16,94.85829638426692
2025-02-23,100.27877046336789
2025-03-02,126.02602233909748
2025-03-09,81.3071111865145
2025-03-16,63.69057042943636
2025-03-23,90.7929408249412
2025-03-30,88.08270378539072
2025-04-06,117.89531122044603
2025-04-13,89.43782230516595
2025-04-20,98.92365194359265
2025-04-27,112.47483714134506
2025-05-04,100.27877046336789
2025-05-11,85.37246674584023
2025-05-18,82.66222970628975
2025-05-25,94.85829638426692
2025-06-01,113.82995566112031
2025-06-08,90.7929408249412
2025-06-15,97.56853342381741
2025-06-22,89.43782230516595
2025-06-29,135.51185197752417
2025-07-06,113.82995566112031
2025-07-13,81.3071111865145
2025-07-20,88.08270378539072
2025-07-27,98.92365194359265
2025-08-03,101.63388898314314
2025-08-10,98.92365194359265
2025-08-17,90.7929408249412
2025-08-24,100.27877046336789
2025-08-31,111.11971862156983
2025-09-07,78.59687414696403
2025-09-14,73.17640006786306
2025-09-21,85.37246674584023
2025-09-28,119.25042974022128
2025-10-05,107.05436306224411
2025-10-12,85.37246674584023
2025-10-19,90.7929408249412
2025-10-26,98.92365194359265
2025-11-02,108.40948158201934
2025-11-09,97.56853342381741
2025-11-16,93.50317786449169
2025-11-23,96.21341490404217
2025-11-30,111.11971862156983
2025-12-07,93.50317786449169
2025-12-14,85.37246674584023
2025-12-21,98.92365194359265
2025-12-28,109.76460010179458
2026-01-04,90.7929408249412
