,Consumer Electronics
2016-11-13,81.0
2016-11-20,85.0
2016-11-27,85.0
2016-12-04,87.0
2016-12-11,81.0
2016-12-18,89.0
2016-12-25,93.0
2017-01-01,90.0
2017-01-08,81.0
2017-01-15,100.0
2017-01-22,81.0
2017-01-29,76.0
2017-02-05,75.0
2017-02-12,80.0
2017-02-19,82.0
2017-02-26,82.0
2017-03-05,76.0
2017-03-12,87.0
2017-03-19,88.0
2017-03-26,85.0
2017-04-02,87.0
2017-04-09,77.0
2017-04-16,82.0
2017-04-23,84.0
2017-04-30,76.0
2017-05-07,75.0
2017-05-14,76.0
2017-05-21,81.0
2017-05-28,77.0
2017-06-04,68.0
2017-06-11,78.0
2017-06-18,80.0
2017-06-25,73.0
2017-07-02,83.0
2017-07-09,81.0
2017-07-16,78.0
2017-07-23,84.0
2017-07-30,78.0
2017-08-06,79.0
2017-08-13,86.0
2017-08-20,84.0
2017-08-27,79.0
2017-09-03,84.0
2017-09-10,81.0
2017-09-17,86.0
2017-09-24,76.0
2017-10-01,78.0
2017-10-08,80.0
2017-10-15,81.0
2017-10-22,80.0
2017-10-29,82.0
2017-11-05,86.0
2017-11-12,84.0
2017-11-19,84.0
2017-11-26,84.0
2017-12-03,82.0
2017-12-10,80.0
2017-12-17,84.0
2017-12-24,87.0
2017-12-31,81.0
2018-01-07,77.0
2018-01-14,82.0
2018-01-21,76.0
2018-01-28,75.0
2018-02-04,74.0
2018-02-11,74.0
2018-02-18,74.0
2018-02-25,71.0
2018-03-04,70.0
2018-03-11,70.0
2018-03-18,76.0
2018-03-25,77.0
2018-04-01,75.0
2018-04-08,66.0
2018-04-15,71.0
2018-04-22,73.0
2018-04-29,77.0
2018-05-06,76.0
2018-05-13,69.0
2018-05-20,76.0
2018-05-27,74.0
2018-06-03,74.0
2018-06-10,76.0
2018-06-17,77.0
2018-06-24,76.0
2018-07-01,74.0
2018-07-08,77.0
2018-07-15,75.0
2018-07-22,70.0
2018-07-29,80.0
2018-08-05,79.0
2018-08-12,75.0
2018-08-19,74.0
2018-08-26,77.0
2018-09-02,80.0
2018-09-09,78.0
2018-09-16,78.0
2018-09-23,77.0
2018-09-30,82.0
2018-10-07,83.0
2018-10-14,84.0
2018-10-21,76.0
2018-10-28,77.0
2018-11-04,76.0
2018-11-11,73.0
2018-11-18,75.0
2018-11-25,79.0
2018-12-02,83.0
2018-12-09,78.0
2018-12-16,83.0
2018-12-23,84.0
2018-12-30,79.0
2019-01-06,76.0
2019-01-13,74.0
2019-01-20,73.0
2019-01-27,74.0
2019-02-03,72.0
2019-02-10,77.0
2019-02-17,74.0
2019-02-24,73.0
2019-03-03,72.0
2019-03-10,75.0
2019-03-17,72.0
2019-03-24,80.0
2019-03-31,77.0
2019-04-07,73.0
2019-04-14,72.0
2019-04-21,64.0
2019-04-28,74.0
2019-05-05,72.0
2019-05-12,70.0
2019-05-19,71.0
2019-05-26,73.0
2019-06-02,76.0
2019-06-09,77.0
2019-06-16,79.0
2019-06-23,79.0
2019-06-30,80.0
2019-07-07,83.0
2019-07-14,83.0
2019-07-21,83.0
2019-07-28,83.0
2019-08-04,89.0
2019-08-11,78.0
2019-08-18,84.0
2019-08-25,81.0
2019-09-01,83.0
2019-09-08,79.0
2019-09-15,78.0
2019-09-22,79.0
2019-09-29,74.0
2019-10-06,75.0
2019-10-13,78.0
2019-10-20,78.0
2019-10-27,77.0
2019-11-03,72.0
2019-11-10,73.0
2019-11-17,79.0
2019-11-24,80.0
2019-12-01,80.0
2019-12-08,80.0
2019-12-15,91.0
2019-12-22,85.0
2019-12-29,82.0
2020-01-05,78.37130801687763
2020-01-12,74.1350210970464
2020-01-19,76.25316455696202
2020-01-26,69.89873417721519
2020-02-02,76.25316455696202
2020-02-09,74.1350210970464
2020-02-16,72.0168776371308
2020-02-23,65.66244725738396
2020-03-01,72.0168776371308
2020-03-08,67.78059071729957
2020-03-15,65.66244725738396
2020-03-22,50.835443037974684
2020-03-29,52.95358649789029
2020-04-05,57.189873417721515
2020-04-12,57.189873417721515
2020-04-19,59.30801687763713
2020-04-26,59.30801687763713
2020-05-03,61.42616033755274
2020-05-10,74.1350210970464
2020-05-17,76.25316455696202
2020-05-24,76.25316455696202
2020-05-31,80.48945147679325
2020-06-07,84.72573839662446
2020-06-14,86.84388185654008
2020-06-21,91.08016877637131
2020-06-28,82.60759493670885
2020-07-05,82.60759493670885
2020-07-12,88.9620253164557
2020-07-19,93.19831223628691
2020-07-26,86.84388185654008
2020-08-02,84.72573839662446
2020-08-09,82.60759493670885
2020-08-16,78.37130801687763
2020-08-23,74.1350210970464
2020-08-30,78.37130801687763
2020-09-06,78.37130801687763
2020-09-13,76.25316455696202
2020-09-20,78.37130801687763
2020-09-27,74.1350210970464
2020-10-04,74.1350210970464
2020-10-11,86.84388185654008
2020-10-18,86.84388185654008
2020-10-25,76.25316455696202
2020-11-01,72.0168776371308
2020-11-08,86.84388185654008
2020-11-15,86.84388185654008
2020-11-22,112.26160337552741
2020-11-29,118.61603375527426
2020-12-06,108.0253164556962
2020-12-13,103.78902953586497
2020-12-20,93.19831223628691
2020-12-27,88.9620253164557
2021-01-03,88.9620253164557
2021-01-10,80.48945147679325
2021-01-17,80.48945147679325
2021-01-24,82.60759493670885
2021-01-31,84.72573839662446
2021-02-07,78.37130801687763
2021-02-14,82.60759493670885
2021-02-21,76.25316455696202
2021-02-28,86.84388185654008
2021-03-07,76.25316455696202
2021-03-14,86.84388185654008
2021-03-21,82.60759493670885
2021-03-28,88.9620253164557
2021-04-04,78.37130801687763
2021-04-11,67.78059071729957
2021-04-18,80.48945147679325
2021-04-25,82.60759493670885
2021-05-02,86.84388185654008
2021-05-09,84.72573839662446
2021-05-16,88.9620253164557
2021-05-23,74.1350210970464
2021-05-30,84.72573839662446
2021-06-06,93.19831223628691
2021-06-13,101.67088607594937
2021-06-20,108.0253164556962
2021-06-27,110.14345991561181
2021-07-04,105.90717299578058
2021-07-11,99.55274261603375
2021-07-18,112.26160337552741
2021-07-25,108.0253164556962
2021-08-01,91.08016877637131
2021-08-08,91.08016877637131
2021-08-15,95.31645569620252
2021-08-22,82.60759493670885
2021-08-29,91.08016877637131
2021-09-05,99.55274261603375
2021-09-12,131.32489451476792
2021-09-19,110.14345991561181
2021-09-26,103.78902953586497
2021-10-03,120.73417721518987
2021-10-10,110.14345991561181
2021-10-17,84.72573839662446
2021-10-24,93.19831223628691
2021-10-31,91.08016877637131
2021-11-07,91.08016877637131
2021-11-14,88.9620253164557
2021-11-21,86.84388185654008
2021-11-28,86.84388185654008
2021-12-05,124.97046413502109
2021-12-12,118.61603375527426
2021-12-19,122.85232067510547
2021-12-26,103.78902953586497
2022-01-02,129.2067510548523
2022-01-09,114.37974683544303
2022-01-16,99.55274261603375
2022-01-23,103.78902953586497
2022-01-30,108.0253164556962
2022-02-06,120.73417721518987
2022-02-13,120.73417721518987
2022-02-20,116.49789029535864
2022-02-27,118.61603375527426
2022-03-06,116.49789029535864
2022-03-13,116.49789029535864
2022-03-20,112.26160337552741
2022-03-27,112.26160337552741
2022-04-03,101.67088607594937
2022-04-10,110.14345991561181
2022-04-17,108.0253164556962
2022-04-24,112.26160337552741
2022-05-01,120.73417721518987
2022-05-08,99.55274261603375
2022-05-15,105.90717299578058
2022-05-22,105.90717299578058
2022-05-29,114.37974683544303
2022-06-05,97.43459915611814
2022-06-12,105.90717299578058
2022-06-19,110.14345991561181
2022-06-26,114.37974683544303
2022-07-03,114.37974683544303
2022-07-10,116.49789029535864
2022-07-17,118.61603375527426
2022-07-24,114.37974683544303
2022-07-31,129.2067510548523
2022-08-07,110.14345991561181
2022-08-14,112.26160337552741
2022-08-21,112.26160337552741
2022-08-28,110.14345991561181
2022-09-04,114.37974683544303
2022-09-11,116.49789029535864
2022-09-18,108.0253164556962
2022-09-25,112.26160337552741
2022-10-02,110.14345991561181
2022-10-09,118.61603375527426
2022-10-16,108.0253164556962
2022-10-23,110.14345991561181
2022-10-30,114.37974683544303
2022-11-06,110.14345991561181
2022-11-13,114.37974683544303
2022-11-20,103.78902953586497
2022-11-27,105.90717299578058
2022-12-04,146.1518987341772
2022-12-11,141.915611814346
2022-12-18,160.9789029535865
2022-12-25,124.97046413502109
2023-01-01,108.0253164556962
2023-01-08,110.14345991561181
2023-01-15,99.55274261603375
2023-01-22,108.0253164556962
2023-01-29,110.14345991561181
2023-02-05,108.0253164556962
2023-02-12,108.0253164556962
2023-02-19,101.67088607594937
2023-02-26,105.90717299578058
2023-03-05,101.67088607594937
2023-03-12,105.90717299578058
2023-03-19,114.37974683544303
2023-03-26,110.14345991561181
2023-04-02,105.90717299578058
2023-04-09,101.67088607594937
2023-04-16,101.67088607594937
2023-04-23,108.0253164556962
2023-04-30,101.67088607594937
2023-05-07,110.14345991561181
2023-05-14,108.0253164556962
2023-05-21,112.26160337552741
2023-05-28,108.0253164556962
2023-06-04,118.61603375527426
2023-06-11,114.37974683544303
2023-06-18,114.37974683544303
2023-06-25,120.73417721518987
2023-07-02,114.37974683544303
2023-07-09,118.61603375527426
2023-07-16,120.73417721518987
2023-07-23,114.37974683544303
2023-07-30,209.69620253164555
2023-08-06,205.45991561181432
2023-08-13,211.81434599156117
2023-08-20,137.67932489451476
2023-08-27,120.73417721518987
2023-09-03,118.61603375527426
2023-09-10,112.26160337552741
2023-09-17,112.26160337552741
2023-09-24,118.61603375527426
2023-10-01,112.26160337552741
2023-10-08,108.0253164556962
2023-10-15,112.26160337552741
2023-10-22,108.0253164556962
2023-10-29,112.26160337552741
2023-11-05,105.90717299578058
2023-11-12,110.14345991561181
2023-11-19,112.26160337552741
2023-11-26,114.37974683544303
2023-12-03,122.85232067510547
2023-12-10,127.0886075949367
2023-12-17,133.44303797468353
2023-12-24,129.2067510548523
2023-12-31,122.85232067510547
2024-01-07,116.25157588543662
2024-01-14,106.76165132336016
2024-01-21,111.50661360439838
2024-01-28,116.25157588543662
2024-02-04,111.50661360439838
2024-02-11,111.50661360439838
2024-02-18,111.50661360439838
2024-02-25,111.50661360439838
2024-03-03,109.13413246387927
2024-03-10,109.13413246387927
2024-03-17,111.50661360439838
2024-03-24,118.62405702595574
2024-03-31,120.99653816647485
2024-04-07,109.13413246387927
2024-04-14,111.50661360439838
2024-04-21,106.76165132336016
2024-04-28,113.8790947449175
2024-05-05,118.62405702595574
2024-05-12,123.36901930699396
2024-05-19,104.38917018284104
2024-05-26,116.25157588543662
2024-06-02,118.62405702595574
2024-06-09,116.25157588543662
2024-06-16,113.8790947449175
2024-06-23,113.8790947449175
2024-06-30,237.24811405191147
2024-07-07,220.64074606827765
2024-07-14,230.13067063035413
2024-07-21,151.83879299322334
2024-07-28,125.74150044751308
2024-08-04,125.74150044751308
2024-08-11,128.1139815880322
2024-08-18,123.36901930699396
2024-08-25,120.99653816647485
2024-09-01,123.36901930699396
2024-09-08,120.99653816647485
2024-09-15,116.25157588543662
2024-09-22,109.13413246387927
2024-09-29,116.25157588543662
2024-10-06,123.36901930699396
2024-10-13,120.99653816647485
2024-10-20,120.99653816647485
2024-10-27,125.74150044751308
2024-11-03,116.25157588543662
2024-11-10,120.99653816647485
2024-11-17,123.36901930699396
2024-11-24,139.97638729062777
2024-12-01,130.48646272855132
2024-12-08,132.85894386907043
2024-12-15,139.97638729062777
2024-12-22,139.97638729062777
2024-12-29,132.85894386907043
2025-01-05,123.36901930699396
2025-01-12,120.99653816647485
2025-01-19,123.36901930699396
2025-01-26,120.99653816647485
2025-02-02,116.25157588543662
2025-02-09,116.25157588543662
2025-02-16,116.25157588543662
2025-02-23,118.62405702595574
2025-03-02,120.99653816647485
2025-03-09,113.8790947449175
2025-03-16,120.99653816647485
2025-03-23,120.99653816647485
2025-03-30,120.99653816647485
2025-04-06,118.62405702595574
2025-04-13,99.64420790180282
2025-04-20,125.74150044751308
2025-04-27,116.25157588543662
2025-05-04,113.8790947449175
2025-05-11,109.13413246387927
2025-05-18,120.99653816647485
2025-05-25,116.25157588543662
2025-06-01,118.62405702595574
2025-06-08,116.25157588543662
2025-06-15,116.25157588543662
2025-06-22,120.99653816647485
2025-06-29,123.36901930699396
2025-07-06,118.62405702595574
2025-07-13,123.36901930699396
2025-07-20,118.62405702595574
2025-07-27,120.99653816647485
2025-08-03,123.36901930699396
2025-08-10,116.25157588543662
2025-08-17,118.62405702595574
2025-08-24,118.62405702595574
2025-08-31,120.99653816647485
2025-09-07,123.36901930699396
2025-09-14,120.99653816647485
2025-09-21,123.36901930699396
2025-09-28,118.62405702595574
2025-10-05,116.25157588543662
2025-10-12,120.99653816647485
2025-10-19,123.36901930699396
2025-10-26,113.8790947449175
2025-11-02,111.50661360439838
2025-11-09,123.36901930699396
2025-11-16,128.1139815880322
2025-11-23,120.99653816647485
2025-11-30,104.38917018284104
2025-12-07,120.99653816647485
2025-12-14,130.48646272855132
2025-12-21,147.0938307121851
2025-12-28,137.60390615010866
