,Fashion & Style
2020-08-23,19.323943661971832
2020-08-30,25.76525821596244
2020-09-06,34.35367762128325
2020-09-13,27.912363067292645
2020-09-20,32.20657276995305
2020-09-27,30.059467918622847
2020-10-04,40.79499217527386
2020-10-11,36.50078247261346
2020-10-18,36.50078247261346
2020-10-25,51.53051643192488
2020-11-01,36.50078247261346
2020-11-08,40.79499217527386
2020-11-15,40.79499217527386
2020-11-22,47.23630672926447
2020-11-29,55.82472613458529
2020-12-06,49.383411580594675
2020-12-13,51.53051643192488
2020-12-20,40.79499217527386
2020-12-27,68.7073552425665
2021-01-03,51.53051643192488
2021-01-10,49.383411580594675
2021-01-17,64.4131455399061
2021-01-24,68.7073552425665
2021-01-31,49.383411580594675
2021-02-07,47.23630672926447
2021-02-14,53.677621283255085
2021-02-21,62.2660406885759
2021-02-28,60.118935837245694
2021-03-07,49.383411580594675
2021-03-14,49.383411580594675
2021-03-21,64.4131455399061
2021-03-28,64.4131455399061
2021-04-04,73.00156494522692
2021-04-11,36.50078247261346
2021-04-18,57.97183098591549
2021-04-25,49.383411580594675
2021-05-02,45.08920187793427
2021-05-09,55.82472613458529
2021-05-16,62.2660406885759
2021-05-23,57.97183098591549
2021-05-30,45.08920187793427
2021-06-06,57.97183098591549
2021-06-13,53.677621283255085
2021-06-20,60.118935837245694
2021-06-27,60.118935837245694
2021-07-04,60.118935837245694
2021-07-11,64.4131455399061
2021-07-18,51.53051643192488
2021-07-25,49.383411580594675
2021-08-01,57.97183098591549
2021-08-08,51.53051643192488
2021-08-15,51.53051643192488
2021-08-22,45.08920187793427
2021-08-29,53.677621283255085
2021-09-05,49.383411580594675
2021-09-12,51.53051643192488
2021-09-19,60.118935837245694
2021-09-26,55.82472613458529
2021-10-03,49.383411580594675
2021-10-10,57.97183098591549
2021-10-17,66.56025039123631
2021-10-24,53.677621283255085
2021-10-31,64.4131455399061
2021-11-07,55.82472613458529
2021-11-14,47.23630672926447
2021-11-21,70.8544600938967
2021-11-28,49.383411580594675
2021-12-05,45.08920187793427
2021-12-12,49.383411580594675
2021-12-19,47.23630672926447
2021-12-26,57.97183098591549
2022-01-02,88.03129890453833
2022-01-09,66.56025039123631
2022-01-16,57.97183098591549
2022-01-23,57.97183098591549
2022-01-30,57.97183098591549
2022-02-06,57.97183098591549
2022-02-13,60.118935837245694
2022-02-20,73.00156494522692
2022-02-27,57.97183098591549
2022-03-06,64.4131455399061
2022-03-13,68.7073552425665
2022-03-20,51.53051643192488
2022-03-27,55.82472613458529
2022-04-03,53.677621283255085
2022-04-10,70.8544600938967
2022-04-17,60.118935837245694
2022-04-24,57.97183098591549
2022-05-01,62.2660406885759
2022-05-08,57.97183098591549
2022-05-15,53.677621283255085
2022-05-22,55.82472613458529
2022-05-29,49.383411580594675
2022-06-05,51.53051643192488
2022-06-12,64.4131455399061
2022-06-19,73.00156494522692
2022-06-26,53.677621283255085
2022-07-03,51.53051643192488
2022-07-10,36.50078247261346
2022-07-17,55.82472613458529
2022-07-24,55.82472613458529
2022-07-31,53.677621283255085
2022-08-07,55.82472613458529
2022-08-14,62.2660406885759
2022-08-21,42.94209702660407
2022-08-28,45.08920187793427
2022-09-04,55.82472613458529
2022-09-11,34.35367762128325
2022-09-18,60.118935837245694
2022-09-25,60.118935837245694
2022-10-02,53.677621283255085
2022-10-09,42.94209702660407
2022-10-16,53.677621283255085
2022-10-23,38.647887323943664
2022-10-30,47.23630672926447
2022-11-06,38.647887323943664
2022-11-13,49.383411580594675
2022-11-20,45.08920187793427
2022-11-27,51.53051643192488
2022-12-04,49.383411580594675
2022-12-11,49.383411580594675
2022-12-18,60.118935837245694
2022-12-25,77.29577464788733
2023-01-01,60.118935837245694
2023-01-08,64.4131455399061
2023-01-15,62.2660406885759
2023-01-22,68.7073552425665
2023-01-29,64.4131455399061
2023-02-05,68.7073552425665
2023-02-12,57.97183098591549
2023-02-19,62.2660406885759
2023-02-26,60.118935837245694
2023-03-05,66.56025039123631
2023-03-12,42.94209702660407
2023-03-19,55.82472613458529
2023-03-26,40.79499217527386
2023-04-02,55.82472613458529
2023-04-09,51.53051643192488
2023-04-16,60.118935837245694
2023-04-23,53.677621283255085
2023-04-30,79.44287949921753
2023-05-07,55.82472613458529
2023-05-14,49.383411580594675
2023-05-21,53.677621283255085
2023-05-28,57.97183098591549
2023-06-04,62.2660406885759
2023-06-11,53.677621283255085
2023-06-18,38.647887323943664
2023-06-25,49.383411580594675
2023-07-02,40.79499217527386
2023-07-09,62.2660406885759
2023-07-16,53.677621283255085
2023-07-23,42.94209702660407
2023-07-30,42.94209702660407
2023-08-06,62.2660406885759
2023-08-13,57.97183098591549
2023-08-20,57.97183098591549
2023-08-27,51.53051643192488
2023-09-03,66.56025039123631
2023-09-10,60.118935837245694
2023-09-17,77.29577464788733
2023-09-24,81.58998435054772
2023-10-01,90.17840375586854
2023-10-08,79.44287949921753
2023-10-15,62.2660406885759
2023-10-22,94.47261345852894
2023-10-29,111.64945226917058
2023-11-05,128.8262910798122
2023-11-12,118.09076682316119
2023-11-19,118.09076682316119
2023-11-26,130.9733959311424
2023-12-03,161.03286384976525
2023-12-10,141.7089201877934
2023-12-17,141.7089201877934
2023-12-24,186.79812206572768
2023-12-31,214.71048513302034
2024-01-07,171.76838810641627
2024-01-14,173.91549295774647
2024-01-21,161.03286384976525
2024-01-28,163.17996870109545
2024-02-04,184.65101721439748
2024-02-11,178.2097026604069
2024-02-18,152.44444444444443
2024-02-25,152.44444444444443
2024-03-03,167.47417840375587
2024-03-10,167.47417840375587
2024-03-17,139.5618153364632
2024-03-24,171.76838810641627
2024-03-31,158.88575899843505
2024-04-07,156.73865414710485
2024-04-14,130.9733959311424
2024-04-21,139.5618153364632
2024-04-28,161.03286384976525
2024-05-05,167.47417840375587
2024-05-12,152.44444444444443
2024-05-19,161.03286384976525
2024-05-26,186.79812206572768
2024-06-02,154.59154929577466
2024-06-09,184.65101721439748
2024-06-16,161.03286384976525
2024-06-23,158.88575899843505
2024-06-30,176.06259780907666
2024-07-07,191.0923317683881
2024-07-14,146.00312989045383
2024-07-21,124.5320813771518
2024-07-28,169.62128325508607
2024-08-04,156.73865414710485
2024-08-11,178.2097026604069
2024-08-18,148.15023474178403
2024-08-25,171.76838810641627
2024-09-01,141.7089201877934
2024-09-08,130.9733959311424
2024-09-15,146.00312989045383
2024-09-22,107.35524256651017
2024-09-29,139.5618153364632
2024-10-06,163.17996870109545
2024-10-13,163.17996870109545
2024-10-20,141.7089201877934
2024-10-27,171.76838810641627
2024-11-03,158.88575899843505
2024-11-10,137.414710485133
2024-11-17,126.679186228482
2024-11-24,115.94366197183098
2024-12-01,143.85602503912364
2024-12-08,124.5320813771518
2024-12-15,107.35524256651017
2024-12-22,126.679186228482
2024-12-29,150.29733959311423
2025-01-05,130.9733959311424
2025-01-12,115.94366197183098
2025-01-19,113.79655712050078
2025-01-26,120.23787167449139
2025-02-02,113.79655712050078
2025-02-09,139.5618153364632
2025-02-16,105.20813771517996
2025-02-23,113.79655712050078
2025-03-02,107.35524256651017
2025-03-09,109.50234741784037
2025-03-16,109.50234741784037
2025-03-23,105.20813771517996
2025-03-30,118.09076682316119
2025-04-06,109.50234741784037
2025-04-13,105.20813771517996
2025-04-20,94.47261345852894
2025-04-27,111.64945226917058
2025-05-04,90.17840375586854
2025-05-11,75.14866979655712
2025-05-18,100.91392801251956
2025-05-25,92.32550860719874
2025-06-01,96.61971830985915
2025-06-08,103.06103286384976
2025-06-15,83.73708920187794
2025-06-22,85.88419405320813
2025-06-29,100.91392801251956
2025-07-06,98.76682316118935
2025-07-13,90.17840375586854
2025-07-20,92.32550860719874
2025-07-27,107.35524256651017
2025-08-03,94.47261345852894
2025-08-10,100.91392801251956
2025-08-17,92.32550860719874
2025-08-24,126.679186228482
2025-08-31,90.17840375586854
2025-09-07,90.17840375586854
2025-09-14,70.8544600938967
2025-09-21,88.03129890453833
2025-09-28,81.58998435054772
2025-10-05,98.76682316118935
2025-10-12,130.9733959311424
2025-10-19,103.06103286384976
2025-10-26,111.64945226917058
2025-11-02,111.64945226917058
2025-11-09,111.64945226917058
2025-11-16,120.23787167449139
2025-11-23,113.79655712050078
2025-11-30,130.9733959311424
2025-12-07,118.09076682316119
2025-12-14,94.47261345852894
2025-12-21,135.26760563380282
2025-12-28,143.85602503912364
2026-01-04,130.9733959311424
