,Credit & Lending
2022-07-03,44.0
2022-07-10,41.0
2022-07-17,64.0
2022-07-24,55.0
2022-07-31,66.0
2022-08-07,58.0
2022-08-14,58.0
2022-08-21,50.0
2022-08-28,62.0
2022-09-04,57.0
2022-09-11,43.0
2022-09-18,60.0
2022-09-25,44.0
2022-10-02,58.0
2022-10-09,56.0
2022-10-16,57.0
2022-10-23,38.0
2022-10-30,52.0
2022-11-06,53.0
2022-11-13,62.0
2022-11-20,52.0
2022-11-27,57.0
2022-12-04,53.0
2022-12-11,60.0
2022-12-18,49.0
2022-12-25,54.0
2023-01-01,58.0
2023-01-08,66.0
2023-01-15,59.0
2023-01-22,65.0
2023-01-29,73.0
2023-02-05,63.0
2023-02-12,66.0
2023-02-19,61.0
2023-02-26,63.0
2023-03-05,53.0
2023-03-12,55.0
2023-03-19,50.0
2023-03-26,57.0
2023-04-02,56.0
2023-04-09,47.0
2023-04-16,53.0
2023-04-23,50.0
2023-04-30,50.0
2023-05-07,53.0
2023-05-14,60.0
2023-05-21,59.0
2023-05-28,62.0
2023-06-04,57.0
2023-06-11,58.0
2023-06-18,51.0
2023-06-25,48.0
2023-07-02,56.0
2023-07-09,61.0
2023-07-16,52.0
2023-07-23,63.0
2023-07-30,62.0
2023-08-06,74.0
2023-08-13,68.0
2023-08-20,69.0
2023-08-27,68.0
2023-09-03,66.0
2023-09-10,58.0
2023-09-17,70.0
2023-09-24,57.0
2023-10-01,72.0
2023-10-08,70.0
2023-10-15,60.0
2023-10-22,83.0
2023-10-29,91.0
2023-11-05,80.0
2023-11-12,72.0
2023-11-19,72.0
2023-11-26,68.0
2023-12-03,73.0
2023-12-10,78.0
2023-12-17,61.0
2023-12-24,73.0
2023-12-31,69.0
2024-01-07,66.08246289169873
2024-01-14,71.58933479934029
2024-01-21,67.00027487630565
2024-01-28,78.9318306761957
2024-02-04,71.58933479934029
2024-02-11,73.42495876855415
2024-02-18,73.42495876855415
2024-02-25,80.76745464540956
2024-03-03,68.83589884551951
2024-03-10,63.32902693787795
2024-03-17,63.32902693787795
2024-03-24,84.43870258383727
2024-03-31,69.75371083012644
2024-04-07,70.67152281473336
2024-04-14,85.3565145684442
2024-04-21,83.52089059923034
2024-04-28,79.84964266080263
2024-05-05,78.9318306761957
2024-05-12,74.34277075316108
2024-05-19,65.1646509070918
2024-05-26,79.84964266080263
2024-06-02,69.75371083012644
2024-06-09,67.00027487630565
2024-06-16,51.3974711379879
2024-06-23,67.00027487630565
2024-06-30,67.00027487630565
2024-07-07,74.34277075316108
2024-07-14,70.67152281473336
2024-07-21,73.42495876855415
2024-07-28,81.68526663001649
2024-08-04,78.01401869158877
2024-08-11,85.3565145684442
2024-08-18,76.17839472237493
2024-08-25,69.75371083012644
2024-09-01,65.1646509070918
2024-09-08,87.19213853765805
2024-09-15,66.08246289169873
2024-09-22,74.34277075316108
2024-09-29,60.57559098405717
2024-10-06,69.75371083012644
2024-10-13,71.58933479934029
2024-10-20,78.01401869158877
2024-10-27,82.60307861462341
2024-11-03,74.34277075316108
2024-11-10,69.75371083012644
2024-11-17,71.58933479934029
2024-11-24,78.01401869158877
