,Luggage
2023-12-17,84.93795514127585
2023-12-24,83.90212642004079
2023-12-31,82.86629769880571
2024-01-07,95.0560408534583
2024-01-14,91.03958842303048
2024-01-21,101.75012823750465
2024-01-28,76.31259617812849
2024-02-04,73.63496122450995
2024-02-11,69.61850879408213
2024-02-18,101.75012823750465
2024-02-25,91.03958842303048
2024-03-03,87.02313599260266
2024-03-10,85.6843185157934
2024-03-17,78.99023113174704
2024-03-24,80.3290486085563
2024-03-31,91.03958842303048
2024-04-07,96.39485833026757
2024-04-14,85.6843185157934
2024-04-21,87.02313599260266
2024-04-28,101.75012823750465
2024-05-05,70.9573262708914
2024-05-12,72.29614374770068
2024-05-19,87.02313599260266
2024-05-26,62.92442141003578
2024-06-02,73.63496122450995
2024-06-09,88.36195346941193
2024-06-16,95.0560408534583
2024-06-23,77.65141365493776
2024-06-30,101.75012823750465
2024-07-07,84.34550103898412
2024-07-14,95.0560408534583
2024-07-21,99.0724932838861
2024-07-28,91.03958842303048
2024-08-04,112.46066805197883
2024-08-11,117.81593795921592
2024-08-18,111.12185057516956
2024-08-25,93.71722337664903
2024-09-01,115.13830300559738
2024-09-08,91.03958842303048
2024-09-15,72.29614374770068
2024-09-22,77.65141365493776
2024-09-29,80.3290486085563
2024-10-06,72.29614374770068
2024-10-13,80.3290486085563
2024-10-20,74.97377870131922
2024-10-27,76.31259617812849
2024-11-03,112.46066805197883
2024-11-10,91.03958842303048
2024-11-17,74.97377870131922
2024-11-24,96.39485833026757
2024-12-01,87.02313599260266
2024-12-08,87.02313599260266
2024-12-15,107.10539814474174
2024-12-22,87.02313599260266
2024-12-29,100.41131076069539
2025-01-05,115.13830300559738
2025-01-12,115.13830300559738
2025-01-19,111.12185057516956
2025-01-26,109.78303309836028
2025-02-02,88.36195346941193
2025-02-09,100.41131076069539
2025-02-16,93.71722337664903
2025-02-23,101.75012823750465
2025-03-02,87.02313599260266
2025-03-09,89.70077094622121
2025-03-16,91.03958842303048
2025-03-23,92.37840589983975
2025-03-30,95.0560408534583
2025-04-06,91.03958842303048
2025-04-13,97.73367580707684
2025-04-20,88.36195346941193
2025-04-27,88.36195346941193
2025-05-04,69.61850879408213
2025-05-11,95.0560408534583
2025-05-18,74.97377870131922
2025-05-25,89.70077094622121
2025-06-01,78.99023113174704
2025-06-08,91.03958842303048
2025-06-15,78.99023113174704
2025-06-22,77.65141365493776
2025-06-29,101.75012823750465
2025-07-06,74.97377870131922
2025-07-13,91.03958842303048
2025-07-20,104.4277631911232
2025-07-27,100.41131076069539
2025-08-03,111.12185057516956
2025-08-10,120.49357291283445
2025-08-17,100.41131076069539
2025-08-24,87.02313599260266
2025-08-31,89.70077094622121
2025-09-07,97.73367580707684
2025-09-14,104.4277631911232
2025-09-21,87.02313599260266
2025-09-28,104.4277631911232
2025-10-05,99.0724932838861
2025-10-12,95.0560408534583
2025-10-19,65.60205636365431
2025-10-26,87.02313599260266
2025-11-02,107.10539814474174
2025-11-09,129.86529525049937
2025-11-16,109.78303309836028
2025-11-23,125.84884282007155
2025-11-30,133.88174768092716
2025-12-07,121.83239038964373
2025-12-14,113.7994855287881
2025-12-21,108.44421562155101
2025-12-28,123.171207866453
