,Consulting
2018-06-03,85.0
2018-06-10,84.0
2018-06-17,81.0
2018-06-24,89.0
2018-07-01,89.0
2018-07-08,92.0
2018-07-15,90.0
2018-07-22,91.0
2018-07-29,92.0
2018-08-05,93.0
2018-08-12,84.0
2018-08-19,89.0
2018-08-26,88.0
2018-09-02,93.0
2018-09-09,85.0
2018-09-16,92.0
2018-09-23,89.0
2018-09-30,83.0
2018-10-07,90.0
2018-10-14,71.0
2018-10-21,87.0
2018-10-28,86.0
2018-11-04,57.0
2018-11-11,83.0
2018-11-18,84.0
2018-11-25,88.0
2018-12-02,82.0
2018-12-09,81.0
2018-12-16,85.0
2018-12-23,80.0
2018-12-30,80.0
2019-01-06,82.0
2019-01-13,72.0
2019-01-20,78.0
2019-01-27,84.0
2019-02-03,82.0
2019-02-10,79.0
2019-02-17,84.0
2019-02-24,77.0
2019-03-03,79.0
2019-03-10,80.0
2019-03-17,75.0
2019-03-24,83.0
2019-03-31,81.0
2019-04-07,77.0
2019-04-14,74.0
2019-04-21,77.0
2019-04-28,79.0
2019-05-05,83.0
2019-05-12,83.0
2019-05-19,83.0
2019-05-26,92.0
2019-06-02,83.0
2019-06-09,87.0
2019-06-16,89.0
2019-06-23,96.0
2019-06-30,84.0
2019-07-07,94.0
2019-07-14,100.0
2019-07-21,99.0
2019-07-28,96.0
2019-08-04,90.0
2019-08-11,82.0
2019-08-18,98.0
2019-08-25,93.0
2019-09-01,85.0
2019-09-08,90.0
2019-09-15,94.0
2019-09-22,89.0
2019-09-29,83.0
2019-10-06,75.0
2019-10-13,82.0
2019-10-20,70.0
2019-10-27,70.0
2019-11-03,84.0
2019-11-10,80.0
2019-11-17,88.0
2019-11-24,82.0
2019-12-01,82.0
2019-12-08,79.0
2019-12-15,78.0
2019-12-22,77.0
2019-12-29,77.0
2020-01-05,81.07692307692308
2020-01-12,75.11538461538461
2020-01-19,85.84615384615384
2020-01-26,79.88461538461539
2020-02-02,82.26923076923077
2020-02-09,85.84615384615384
2020-02-16,83.46153846153847
2020-02-23,79.88461538461539
2020-03-01,78.6923076923077
2020-03-08,64.38461538461539
2020-03-15,58.42307692307692
2020-03-22,27.423076923076923
2020-03-29,31.0
2020-04-05,33.38461538461539
2020-04-12,29.807692307692307
2020-04-19,33.38461538461539
2020-04-26,31.0
2020-05-03,36.96153846153846
2020-05-10,36.96153846153846
2020-05-17,41.73076923076923
2020-05-24,44.11538461538461
2020-05-31,53.65384615384615
2020-06-07,52.46153846153846
2020-06-14,50.07692307692307
2020-06-21,57.230769230769226
2020-06-28,63.19230769230769
2020-07-05,58.42307692307692
2020-07-12,60.80769230769231
2020-07-19,62.0
2020-07-26,58.42307692307692
2020-08-02,58.42307692307692
2020-08-09,62.0
2020-08-16,66.76923076923077
2020-08-23,67.96153846153847
2020-08-30,66.76923076923077
2020-09-06,69.15384615384615
2020-09-13,69.15384615384615
2020-09-20,70.34615384615384
2020-09-27,69.15384615384615
2020-10-04,69.15384615384615
2020-10-11,70.34615384615384
2020-10-18,63.19230769230769
2020-10-25,66.76923076923077
2020-11-01,63.19230769230769
2020-11-08,53.65384615384615
2020-11-15,60.80769230769231
2020-11-22,62.0
2020-11-29,69.15384615384615
2020-12-06,66.76923076923077
2020-12-13,73.92307692307692
2020-12-20,71.53846153846153
2020-12-27,65.57692307692308
2021-01-03,76.3076923076923
2021-01-10,65.57692307692308
2021-01-17,76.3076923076923
2021-01-24,72.73076923076923
2021-01-31,79.88461538461539
2021-02-07,75.11538461538461
2021-02-14,70.34615384615384
2021-02-21,77.5
2021-02-28,75.11538461538461
2021-03-07,70.34615384615384
2021-03-14,77.5
2021-03-21,70.34615384615384
2021-03-28,66.76923076923077
2021-04-04,69.15384615384615
2021-04-11,62.0
2021-04-18,59.61538461538461
2021-04-25,56.03846153846154
2021-05-02,54.84615384615385
2021-05-09,53.65384615384615
2021-05-16,59.61538461538461
2021-05-23,63.19230769230769
2021-05-30,71.53846153846153
2021-06-06,71.53846153846153
2021-06-13,71.53846153846153
2021-06-20,78.6923076923077
2021-06-27,78.6923076923077
2021-07-04,84.65384615384615
2021-07-11,83.46153846153847
2021-07-18,84.65384615384615
2021-07-25,84.65384615384615
2021-08-01,81.07692307692308
2021-08-08,85.84615384615384
2021-08-15,79.88461538461539
2021-08-22,77.5
2021-08-29,75.11538461538461
2021-09-05,73.92307692307692
2021-09-12,82.26923076923077
2021-09-19,78.6923076923077
2021-09-26,76.3076923076923
2021-10-03,75.11538461538461
2021-10-10,60.80769230769231
2021-10-17,65.57692307692308
2021-10-24,65.57692307692308
2021-10-31,50.07692307692307
2021-11-07,69.15384615384615
2021-11-14,70.34615384615384
2021-11-21,70.34615384615384
2021-11-28,64.38461538461539
2021-12-05,72.73076923076923
2021-12-12,69.15384615384615
2021-12-19,73.92307692307692
2021-12-26,66.76923076923077
2022-01-02,82.26923076923077
2022-01-09,75.11538461538461
2022-01-16,77.5
2022-01-23,87.03846153846153
2022-01-30,97.76923076923077
2022-02-06,88.23076923076923
2022-02-13,95.38461538461539
2022-02-20,98.96153846153847
2022-02-27,95.38461538461539
2022-03-06,93.0
2022-03-13,81.07692307692308
2022-03-20,89.42307692307692
2022-03-27,88.23076923076923
2022-04-03,88.23076923076923
2022-04-10,81.07692307692308
2022-04-17,85.84615384615384
2022-04-24,84.65384615384615
2022-05-01,84.65384615384615
2022-05-08,87.03846153846153
2022-05-15,85.84615384615384
2022-05-22,91.8076923076923
2022-05-29,87.03846153846153
2022-06-05,85.84615384615384
2022-06-12,88.23076923076923
2022-06-19,93.0
2022-06-26,88.23076923076923
2022-07-03,94.1923076923077
2022-07-10,91.8076923076923
2022-07-17,100.15384615384615
2022-07-24,98.96153846153847
2022-07-31,98.96153846153847
2022-08-07,88.23076923076923
2022-08-14,88.23076923076923
2022-08-21,98.96153846153847
2022-08-28,90.61538461538461
2022-09-04,88.23076923076923
2022-09-11,95.38461538461539
2022-09-18,97.76923076923077
2022-09-25,83.46153846153847
2022-10-02,75.11538461538461
2022-10-09,88.23076923076923
2022-10-16,73.92307692307692
2022-10-23,63.19230769230769
2022-10-30,85.84615384615384
2022-11-06,83.46153846153847
2022-11-13,85.84615384615384
2022-11-20,78.6923076923077
2022-11-27,85.84615384615384
2022-12-04,73.92307692307692
2022-12-11,81.07692307692308
2022-12-18,79.88461538461539
2022-12-25,72.73076923076923
2023-01-01,90.61538461538461
2023-01-08,85.84615384615384
2023-01-15,84.65384615384615
2023-01-22,79.88461538461539
2023-01-29,93.0
2023-02-05,82.26923076923077
2023-02-12,81.07692307692308
2023-02-19,90.61538461538461
2023-02-26,88.23076923076923
2023-03-05,76.3076923076923
2023-03-12,84.65384615384615
2023-03-19,85.84615384615384
2023-03-26,84.65384615384615
2023-04-02,83.46153846153847
2023-04-09,79.88461538461539
2023-04-16,76.3076923076923
2023-04-23,85.84615384615384
2023-04-30,81.07692307692308
2023-05-07,77.5
2023-05-14,82.26923076923077
2023-05-21,81.07692307692308
2023-05-28,85.84615384615384
2023-06-04,85.84615384615384
2023-06-11,89.42307692307692
2023-06-18,93.0
2023-06-25,93.0
2023-07-02,96.57692307692308
2023-07-09,95.38461538461539
2023-07-16,96.57692307692308
2023-07-23,96.57692307692308
2023-07-30,98.96153846153847
2023-08-06,107.3076923076923
2023-08-13,88.23076923076923
2023-08-20,85.84615384615384
2023-08-27,87.03846153846153
2023-09-03,87.03846153846153
2023-09-10,89.42307692307692
2023-09-17,85.84615384615384
2023-09-24,83.46153846153847
2023-10-01,84.65384615384615
2023-10-08,81.07692307692308
2023-10-15,75.11538461538461
2023-10-22,66.76923076923077
2023-10-29,85.84615384615384
2023-11-05,119.23076923076923
2023-11-12,79.88461538461539
2023-11-19,89.42307692307692
2023-11-26,83.46153846153847
2023-12-03,78.6923076923077
2023-12-10,82.26923076923077
2023-12-17,81.07692307692308
2023-12-24,76.3076923076923
2023-12-31,81.07692307692308
2024-01-07,83.46153846153844
2024-01-14,78.69230769230768
2024-01-21,71.53846153846152
2024-01-28,101.34615384615383
2024-02-04,92.99999999999999
2024-02-11,88.23076923076921
2024-02-18,84.65384615384613
2024-02-25,87.03846153846152
2024-03-03,87.03846153846152
2024-03-10,90.6153846153846
2024-03-17,87.03846153846152
2024-03-24,77.49999999999999
2024-03-31,83.46153846153844
2024-04-07,77.49999999999999
2024-04-14,79.88461538461537
2024-04-21,78.69230769230768
2024-04-28,79.88461538461537
2024-05-05,84.65384615384613
2024-05-12,83.46153846153844
2024-05-19,82.26923076923076
2024-05-26,88.23076923076921
2024-06-02,82.26923076923076
2024-06-09,89.4230769230769
2024-06-16,89.4230769230769
2024-06-23,85.84615384615383
2024-06-30,90.6153846153846
2024-07-07,92.99999999999999
2024-07-14,92.99999999999999
2024-07-21,96.57692307692305
2024-07-28,96.57692307692305
2024-08-04,90.6153846153846
2024-08-11,88.23076923076921
2024-08-18,88.23076923076921
2024-08-25,90.6153846153846
2024-09-01,85.84615384615383
2024-09-08,87.03846153846152
2024-09-15,83.46153846153844
2024-09-22,83.46153846153844
2024-09-29,77.49999999999999
2024-10-06,67.96153846153845
2024-10-13,78.69230769230768
2024-10-20,78.69230769230768
2024-10-27,54.84615384615383
2024-11-03,72.73076923076921
2024-11-10,75.1153846153846
2024-11-17,73.9230769230769
2024-11-24,75.1153846153846
2024-12-01,75.1153846153846
2024-12-08,70.34615384615383
2024-12-15,72.73076923076921
2024-12-22,71.53846153846152
2024-12-29,67.96153846153845
2025-01-05,78.69230769230768
2025-01-12,70.34615384615383
2025-01-19,78.69230769230768
2025-01-26,79.88461538461537
2025-02-02,76.30769230769229
2025-02-09,73.9230769230769
2025-02-16,75.1153846153846
2025-02-23,76.30769230769229
2025-03-02,72.73076923076921
2025-03-09,69.15384615384615
2025-03-16,78.69230769230768
2025-03-23,77.49999999999999
2025-03-30,72.73076923076921
2025-04-06,73.9230769230769
2025-04-13,75.1153846153846
2025-04-20,75.1153846153846
2025-04-27,72.73076923076921
2025-05-04,69.15384615384615
2025-05-11,77.49999999999999
2025-05-18,75.1153846153846
2025-05-25,78.69230769230768
2025-06-01,76.30769230769229
2025-06-08,76.30769230769229
2025-06-15,82.26923076923076
2025-06-22,83.46153846153844
2025-06-29,81.07692307692307
2025-07-06,83.46153846153844
2025-07-13,82.26923076923076
2025-07-20,81.07692307692307
2025-07-27,81.07692307692307
2025-08-03,73.9230769230769
2025-08-10,67.96153846153845
2025-08-17,79.88461538461537
2025-08-24,71.53846153846152
2025-08-31,72.73076923076921
2025-09-07,73.9230769230769
2025-09-14,77.49999999999999
2025-09-21,69.15384615384615
2025-09-28,56.038461538461526
2025-10-05,65.57692307692307
2025-10-12,65.57692307692307
2025-10-19,51.26923076923076
2025-10-26,67.96153846153845
2025-11-02,66.76923076923076
2025-11-09,70.34615384615383
2025-11-16,70.34615384615383
2025-11-23,64.38461538461537
2025-11-30,65.57692307692307
2025-12-07,67.96153846153845
2025-12-14,67.96153846153845
2025-12-21,61.999999999999986
2025-12-28,59.615384615384606
2026-01-04,67.96153846153845
