,Professional & Trade Associations
2018-10-07,0.0
2018-10-14,0.0
2018-10-21,57.0
2018-10-28,62.0
2018-11-04,52.0
2018-11-11,34.0
2018-11-18,34.0
2018-11-25,36.0
2018-12-02,35.0
2018-12-09,48.0
2018-12-16,30.0
2018-12-23,0.0
2018-12-30,0.0
2019-01-06,0.0
2019-01-13,46.0
2019-01-20,37.0
2019-01-27,37.0
2019-02-03,0.0
2019-02-10,58.0
2019-02-17,100.0
2019-02-24,81.0
2019-03-03,64.0
2019-03-10,55.0
2019-03-17,50.0
2019-03-24,63.0
2019-03-31,36.0
2019-04-07,42.0
2019-04-14,54.0
2019-04-21,59.0
2019-04-28,28.0
2019-05-05,0.0
2019-05-12,30.0
2019-05-19,45.0
2019-05-26,28.0
2019-06-02,25.0
2019-06-09,27.0
2019-06-16,59.0
2019-06-23,86.0
2019-06-30,39.0
2019-07-07,25.0
2019-07-14,33.0
2019-07-21,43.0
2019-07-28,66.0
2019-08-04,66.0
2019-08-11,28.0
2019-08-18,46.0
2019-08-25,46.0
2019-09-01,27.0
2019-09-08,47.0
2019-09-15,46.0
2019-09-22,42.0
2019-09-29,25.0
2019-10-06,48.0
2019-10-13,51.0
2019-10-20,25.0
2019-10-27,54.0
2019-11-03,41.0
2019-11-10,40.0
2019-11-17,78.0
2019-11-24,57.0
2019-12-01,48.0
2019-12-08,40.0
2019-12-15,0.0
2019-12-22,0.0
2019-12-29,27.0
2020-01-05,0.0
2020-01-12,50.91412429378531
2020-01-19,68.29943502824858
2020-01-26,69.5412429378531
2020-02-02,75.7502824858757
2020-02-09,95.61920903954801
2020-02-16,58.36497175141242
2020-02-23,43.46327683615819
2020-03-01,48.430508474576264
2020-03-08,50.91412429378531
2020-03-15,65.81581920903953
2020-03-22,36.01242937853107
2020-03-29,0.0
2020-04-05,0.0
2020-04-12,0.0
2020-04-19,0.0
2020-04-26,0.0
2020-05-03,0.0
2020-05-10,0.0
2020-05-17,28.56158192090395
2020-05-24,21.110734463276835
2020-05-31,38.49604519774011
2020-06-07,62.09039548022598
2020-06-14,36.01242937853107
2020-06-21,59.606779661016944
2020-06-28,83.2011299435028
2020-07-05,104.31186440677965
2020-07-12,96.86101694915253
2020-07-19,83.2011299435028
2020-07-26,53.39774011299434
2020-08-02,96.86101694915253
2020-08-09,49.67231638418078
2020-08-16,57.1231638418079
2020-08-23,65.81581920903953
2020-08-30,47.18870056497175
2020-09-06,23.594350282485873
2020-09-13,50.91412429378531
2020-09-20,65.81581920903953
2020-09-27,60.84858757062146
2020-10-04,55.881355932203384
2020-10-11,31.04519774011299
2020-10-18,54.63954802259886
2020-10-25,39.73785310734463
2020-11-01,36.01242937853107
2020-11-08,80.71751412429377
2020-11-15,59.606779661016944
2020-11-22,62.09039548022598
2020-11-29,48.430508474576264
2020-12-06,40.979661016949144
2020-12-13,70.78305084745762
2020-12-20,52.155932203389824
2020-12-27,47.18870056497175
2021-01-03,36.01242937853107
2021-01-10,33.52881355932203
2021-01-17,75.7502824858757
2021-01-24,113.00451977401129
2021-01-31,67.05762711864406
2021-02-07,44.705084745762704
2021-02-14,60.84858757062146
2021-02-21,53.39774011299434
2021-02-28,37.254237288135585
2021-03-07,38.49604519774011
2021-03-14,64.57401129943501
2021-03-21,45.94689265536722
2021-03-28,44.705084745762704
2021-04-04,32.28700564971751
2021-04-11,36.01242937853107
2021-04-18,43.46327683615819
2021-04-25,42.22146892655367
2021-05-02,32.28700564971751
2021-05-09,37.254237288135585
2021-05-16,36.01242937853107
2021-05-23,64.57401129943501
2021-05-30,76.99209039548022
2021-06-06,57.1231638418079
2021-06-13,42.22146892655367
2021-06-20,37.254237288135585
2021-06-27,59.606779661016944
2021-07-04,0.0
2021-07-11,22.352542372881352
2021-07-18,23.594350282485873
2021-07-25,0.0
2021-08-01,0.0
2021-08-08,62.09039548022598
2021-08-15,88.16836158192089
2021-08-22,70.78305084745762
2021-08-29,62.09039548022598
2021-09-05,39.73785310734463
2021-09-12,37.254237288135585
2021-09-19,36.01242937853107
2021-09-26,55.881355932203384
2021-10-03,52.155932203389824
2021-10-10,62.09039548022598
2021-10-17,28.56158192090395
2021-10-24,33.52881355932203
2021-10-31,38.49604519774011
2021-11-07,58.36497175141242
2021-11-14,69.5412429378531
2021-11-21,80.71751412429377
2021-11-28,55.881355932203384
2021-12-05,49.67231638418078
2021-12-12,45.94689265536722
2021-12-19,60.84858757062146
2021-12-26,0.0
2022-01-02,42.22146892655367
2022-01-09,47.18870056497175
2022-01-16,48.430508474576264
2022-01-23,58.36497175141242
2022-01-30,78.23389830508474
2022-02-06,62.09039548022598
2022-02-13,72.02485875706213
2022-02-20,64.57401129943501
2022-02-27,44.705084745762704
2022-03-06,40.979661016949144
2022-03-13,39.73785310734463
2022-03-20,33.52881355932203
2022-03-27,62.09039548022598
2022-04-03,45.94689265536722
2022-04-10,64.57401129943501
2022-04-17,60.84858757062146
2022-04-24,39.73785310734463
2022-05-01,21.110734463276835
2022-05-08,88.16836158192089
2022-05-15,88.16836158192089
2022-05-22,122.93898305084744
2022-05-29,95.61920903954801
2022-06-05,101.82824858757061
2022-06-12,57.1231638418079
2022-06-19,69.5412429378531
2022-06-26,54.63954802259886
2022-07-03,32.28700564971751
2022-07-10,33.52881355932203
2022-07-17,52.155932203389824
2022-07-24,45.94689265536722
2022-07-31,64.57401129943501
2022-08-07,91.89378531073444
2022-08-14,101.82824858757061
2022-08-21,64.57401129943501
2022-08-28,65.81581920903953
2022-09-04,70.78305084745762
2022-09-11,67.05762711864406
2022-09-18,70.78305084745762
2022-09-25,65.81581920903953
2022-10-02,47.18870056497175
2022-10-09,65.81581920903953
2022-10-16,54.63954802259886
2022-10-23,44.705084745762704
2022-10-30,69.5412429378531
2022-11-06,72.02485875706213
2022-11-13,88.16836158192089
2022-11-20,78.23389830508474
2022-11-27,70.78305084745762
2022-12-04,49.67231638418078
2022-12-11,63.3322033898305
2022-12-18,86.92655367231637
2022-12-25,0.0
2023-01-01,26.077966101694912
2023-01-08,39.73785310734463
2023-01-15,50.91412429378531
2023-01-22,57.1231638418079
2023-01-29,67.05762711864406
2023-02-05,58.36497175141242
2023-02-12,64.57401129943501
2023-02-19,65.81581920903953
2023-02-26,38.49604519774011
2023-03-05,57.1231638418079
2023-03-12,59.606779661016944
2023-03-19,52.155932203389824
2023-03-26,31.04519774011299
2023-04-02,50.91412429378531
2023-04-09,55.881355932203384
2023-04-16,40.979661016949144
2023-04-23,47.18870056497175
2023-04-30,49.67231638418078
2023-05-07,39.73785310734463
2023-05-14,65.81581920903953
2023-05-21,89.41016949152541
2023-05-28,69.5412429378531
2023-06-04,55.881355932203384
2023-06-11,43.46327683615819
2023-06-18,70.78305084745762
2023-06-25,18.627118644067792
2023-07-02,21.110734463276835
2023-07-09,26.077966101694912
2023-07-16,24.83615819209039
2023-07-23,24.83615819209039
2023-07-30,63.3322033898305
2023-08-06,47.18870056497175
2023-08-13,124.18079096045196
2023-08-20,93.13559322033898
2023-08-27,58.36497175141242
2023-09-03,65.81581920903953
2023-09-10,59.606779661016944
2023-09-17,57.1231638418079
2023-09-24,34.77062146892655
2023-10-01,40.979661016949144
2023-10-08,70.78305084745762
2023-10-15,80.71751412429377
2023-10-22,78.23389830508474
2023-10-29,54.63954802259886
2023-11-05,55.881355932203384
2023-11-12,98.10282485875705
2023-11-19,84.44293785310734
2023-11-26,81.95932203389829
2023-12-03,83.2011299435028
2023-12-10,43.46327683615819
2023-12-17,39.73785310734463
2023-12-24,43.46327683615819
2023-12-31,37.254237288135585
2024-01-07,44.5283700346367
2024-01-14,47.07284832233022
2024-01-21,75.062109486959
2024-01-28,87.78450092542664
2024-02-04,89.0567400692734
2024-02-11,69.97315291157196
2024-02-18,82.69554435003958
2024-02-25,47.07284832233022
2024-03-03,69.97315291157196
2024-03-10,52.161804897717275
2024-03-17,67.42867462387844
2024-03-24,40.71165260309641
2024-03-31,24.172543733088496
2024-04-07,24.172543733088496
2024-04-14,69.97315291157196
2024-04-21,59.795239760797855
2024-04-28,48.34508746617699
2024-05-05,68.7009137677252
2024-05-12,72.51763119926548
2024-05-19,77.60658777465254
2024-05-26,94.14569664466045
2024-06-02,106.86808808312807
2024-06-09,81.42330520619282
2024-06-16,40.71165260309641
2024-06-23,77.60658777465254
2024-06-30,55.978522329257565
2024-07-07,118.31824037774895
2024-07-14,34.3504568838626
2024-07-21,52.161804897717275
2024-07-28,34.3504568838626
2024-08-04,61.06747890464462
2024-08-11,91.60121835696692
2024-08-18,80.15106606234606
2024-08-25,100.50689236389427
2024-09-01,64.8841963361849
2024-09-08,86.51226178157987
2024-09-15,89.0567400692734
2024-09-22,57.250761473104326
2024-09-29,22.90030458924173
2024-10-06,73.78987034311224
2024-10-13,69.97315291157196
2024-10-20,63.61195719233814
2024-10-27,68.7009137677252
2024-11-03,83.96778349388634
2024-11-10,43.25613089078993
2024-11-17,75.062109486959
2024-11-24,80.15106606234606
2024-12-01,80.15106606234606
2024-12-08,54.706283185410804
2024-12-15,44.5283700346367
2024-12-22,91.60121835696692
2024-12-29,43.25613089078993
2025-01-05,45.80060917848346
2025-01-12,48.34508746617699
2025-01-19,67.42867462387844
2025-01-26,50.889565753870514
2025-02-02,68.7009137677252
2025-02-09,97.96241407620074
2025-02-16,71.24539205541872
2025-02-23,81.42330520619282
2025-03-02,38.16717431540289
2025-03-09,52.161804897717275
2025-03-16,55.978522329257565
2025-03-23,0.0
2025-03-30,22.90030458924173
2025-04-06,62.33971804849138
2025-04-13,69.97315291157196
2025-04-20,77.60658777465254
2025-04-27,68.7009137677252
2025-05-04,67.42867462387844
2025-05-11,80.15106606234606
2025-05-18,77.60658777465254
2025-05-25,127.22391438467628
2025-06-01,95.41793578850721
2025-06-08,99.2346532200475
2025-06-15,92.87345750081369
2025-06-22,75.062109486959
2025-06-29,62.33971804849138
2025-07-06,44.5283700346367
2025-07-13,72.51763119926548
2025-07-20,33.07821774001583
2025-07-27,47.07284832233022
2025-08-03,55.978522329257565
2025-08-10,87.78450092542664
2025-08-17,111.95704465851513
2025-08-24,90.32897921312016
2025-08-31,110.68480551466837
2025-09-07,95.41793578850721
2025-09-14,86.51226178157987
2025-09-21,77.60658777465254
2025-09-28,55.978522329257565
2025-10-05,59.795239760797855
2025-10-12,75.062109486959
2025-10-19,73.78987034311224
2025-10-26,55.978522329257565
2025-11-02,75.062109486959
2025-11-09,90.32897921312016
2025-11-16,66.15643548003166
2025-11-23,55.978522329257565
2025-11-30,49.61732661002375
2025-12-07,48.34508746617699
2025-12-14,53.434044041564036
2025-12-21,63.61195719233814
2025-12-28,38.16717431540289
2026-01-04,24.172543733088496
