,Building Materials & Supplies
2025-02-09,77.48731274839498
2025-02-16,77.48731274839498
2025-02-23,76.33078569244879
2025-03-02,79.80036686028737
2025-03-09,76.33078569244879
2025-03-16,91.3656374197493
2025-03-23,83.26994802812595
2025-03-30,86.73952919596454
2025-04-06,97.14827269948027
2025-04-13,89.05258330785692
2025-04-20,94.83521858758789
2025-04-27,93.67869153164169
2025-05-04,77.48731274839498
2025-05-11,89.05258330785692
2025-05-18,100.61785386731886
2025-05-25,87.89605625191072
2025-06-01,83.26994802812595
2025-06-08,102.93090797921124
2025-06-15,90.20911036380312
2025-06-22,85.58300214001834
2025-06-29,79.80036686028737
2025-07-06,76.33078569244879
2025-07-13,79.80036686028737
2025-07-20,78.64383980434117
2025-07-27,80.95689391623357
2025-08-03,76.33078569244879
2025-08-10,71.70467746866402
2025-08-17,78.64383980434117
2025-08-24,75.1742586365026
2025-08-31,85.58300214001834
2025-09-07,71.70467746866402
2025-09-14,74.0177315805564
2025-09-21,75.1742586365026
2025-09-28,65.92204218893305
2025-10-05,71.70467746866402
2025-10-12,70.54815041271782
2025-10-19,57.82635279730969
2025-10-26,70.54815041271782
2025-11-02,72.8612045246102
2025-11-09,69.39162335677163
2025-11-16,72.8612045246102
2025-11-23,65.92204218893305
2025-11-30,68.23509630082543
2025-12-07,70.54815041271782
2025-12-14,71.70467746866402
2025-12-21,72.8612045246102
2025-12-28,76.33078569244879
2026-01-04,75.1742586365026
