,Food & Drink
2024-01-07,109.00117397436453
2024-01-14,104.75437498835034
2024-01-21,101.92317566434086
2024-01-28,111.832373298374
2024-02-04,110.41677363636927
2024-02-11,113.24797296037873
2024-02-18,109.00117397436453
2024-02-25,111.832373298374
2024-03-03,107.5855743123598
2024-03-10,106.16997465035506
2024-03-17,114.66357262238347
2024-03-24,120.3259712704024
2024-03-31,107.5855743123598
2024-04-07,109.00117397436453
2024-04-14,106.16997465035506
2024-04-21,100.50757600233612
2024-04-28,110.41677363636927
2024-05-05,104.75437498835034
2024-05-12,114.66357262238347
2024-05-19,100.50757600233612
2024-05-26,111.832373298374
2024-06-02,109.00117397436453
2024-06-09,111.832373298374
2024-06-16,111.832373298374
2024-06-23,109.00117397436453
2024-06-30,110.41677363636927
2024-07-07,114.66357262238347
2024-07-14,121.74157093240714
2024-07-21,118.91037160839767
2024-07-28,118.91037160839767
2024-08-04,116.0791722843882
2024-08-11,125.98836991842134
2024-08-18,118.91037160839767
2024-08-25,117.49477194639294
2024-09-01,113.24797296037873
2024-09-08,111.832373298374
2024-09-15,107.5855743123598
2024-09-22,101.92317566434086
2024-09-29,110.41677363636927
2024-10-06,113.24797296037873
2024-10-13,109.00117397436453
2024-10-20,110.41677363636927
2024-10-27,111.832373298374
2024-11-03,109.00117397436453
2024-11-10,113.24797296037873
2024-11-17,113.24797296037873
2024-11-24,111.832373298374
2024-12-01,117.49477194639294
2024-12-08,121.74157093240714
2024-12-15,123.15717059441188
2024-12-22,141.5599662004734
2024-12-29,133.06636822844501
2025-01-05,117.49477194639294
2025-01-12,118.91037160839767
2025-01-19,109.00117397436453
2025-01-26,111.832373298374
2025-02-02,114.66357262238347
2025-02-09,118.91037160839767
2025-02-16,110.41677363636927
2025-02-23,110.41677363636927
2025-03-02,117.49477194639294
2025-03-09,113.24797296037873
2025-03-16,116.0791722843882
2025-03-23,118.91037160839767
2025-03-30,114.66357262238347
2025-04-06,109.00117397436453
2025-04-13,104.75437498835034
2025-04-20,109.00117397436453
2025-04-27,110.41677363636927
2025-05-04,107.5855743123598
2025-05-11,100.50757600233612
2025-05-18,111.832373298374
2025-05-25,111.832373298374
2025-06-01,118.91037160839767
2025-06-08,111.832373298374
2025-06-15,116.0791722843882
2025-06-22,113.24797296037873
2025-06-29,118.91037160839767
2025-07-06,117.49477194639294
2025-07-13,114.66357262238347
2025-07-20,118.91037160839767
2025-07-27,117.49477194639294
2025-08-03,120.3259712704024
2025-08-10,121.74157093240714
2025-08-17,117.49477194639294
2025-08-24,111.832373298374
2025-08-31,113.24797296037873
2025-09-07,109.00117397436453
2025-09-14,113.24797296037873
2025-09-21,114.66357262238347
2025-09-28,111.832373298374
2025-10-05,107.5855743123598
2025-10-12,113.24797296037873
2025-10-19,111.832373298374
2025-10-26,109.00117397436453
2025-11-02,106.16997465035506
2025-11-09,109.00117397436453
2025-11-16,114.66357262238347
2025-11-23,106.16997465035506
2025-11-30,100.50757600233612
