,Apartments & Residential Rentals
2023-07-09,130.89320388349515
2023-07-16,133.90224305323065
2023-07-23,123.37060595915634
2023-07-30,132.3977234683629
2023-08-06,130.89320388349515
2023-08-13,127.88416471375962
2023-08-20,124.87512554402409
2023-08-27,124.87512554402409
2023-09-03,123.37060595915634
2023-09-10,121.86608637428857
2023-09-17,123.37060595915634
2023-09-24,120.3615667894208
2023-10-01,126.37964512889185
2023-10-08,121.86608637428857
2023-10-15,123.37060595915634
2023-10-22,112.83896886508201
2023-10-29,114.34348844994977
2023-11-05,109.8299296953465
2023-11-12,123.37060595915634
2023-11-19,121.86608637428857
2023-11-26,129.38868429862737
2023-12-03,121.86608637428857
2023-12-10,127.88416471375962
2023-12-17,133.90224305323065
2023-12-24,129.38868429862737
2023-12-31,130.89320388349515
2024-01-07,136.54056486676564
2024-01-14,129.27776886321428
2024-01-21,123.46753206037319
2024-01-28,136.54056486676564
2024-02-04,127.82520966250401
2024-02-11,120.56241365895264
2024-02-18,122.01497285966292
2024-02-25,123.46753206037319
2024-03-03,117.6572952575321
2024-03-10,114.75217685611155
2024-03-17,106.03682165184992
2024-03-24,120.56241365895264
2024-03-31,106.03682165184992
2024-04-07,95.86890724687801
2024-04-14,113.29961765540128
2024-04-21,120.56241365895264
2024-04-28,132.18288726463481
2024-05-05,132.18288726463481
2024-05-12,123.46753206037319
2024-05-19,119.10985445824237
2024-05-26,122.01497285966292
2024-06-02,123.46753206037319
2024-06-09,117.6572952575321
2024-06-16,111.84705845469101
2024-06-23,126.37265046179373
2024-06-30,135.08800566605538
2024-07-07,124.92009126108346
2024-07-14,136.54056486676564
2024-07-21,123.46753206037319
2024-07-28,132.18288726463481
2024-08-04,136.54056486676564
2024-08-11,145.25592007102728
2024-08-18,132.18288726463481
2024-08-25,124.92009126108346
2024-09-01,122.01497285966292
2024-09-08,117.6572952575321
2024-09-15,95.86890724687801
2024-09-22,113.29961765540128
2024-09-29,116.20473605682182
2024-10-06,122.01497285966292
2024-10-13,123.46753206037319
2024-10-20,123.46753206037319
2024-10-27,132.18288726463481
2024-11-03,130.73032806392456
2024-11-10,120.56241365895264
2024-11-17,122.01497285966292
2024-11-24,124.92009126108346
2024-12-01,132.18288726463481
2024-12-08,130.73032806392456
2024-12-15,133.6354464653451
2024-12-22,129.27776886321428
2024-12-29,136.54056486676564
2025-01-05,137.99312406747592
2025-01-12,136.54056486676564
2025-01-19,132.18288726463481
2025-01-26,122.01497285966292
2025-02-02,126.37265046179373
2025-02-09,108.94194005327046
2025-02-16,126.37265046179373
2025-02-23,122.01497285966292
2025-03-02,114.75217685611155
2025-03-09,111.84705845469101
2025-03-16,114.75217685611155
2025-03-23,126.37265046179373
2025-03-30,123.46753206037319
2025-04-06,106.03682165184992
2025-04-13,110.39449925398073
2025-04-20,129.27776886321428
2025-04-27,133.6354464653451
2025-05-04,124.92009126108346
2025-05-11,129.27776886321428
2025-05-18,129.27776886321428
2025-05-25,136.54056486676564
2025-06-01,143.803360870317
2025-06-08,139.4456832681862
2025-06-15,142.35080166960674
2025-06-22,129.27776886321428
2025-06-29,129.27776886321428
2025-07-06,137.99312406747592
2025-07-13,137.99312406747592
2025-07-20,129.27776886321428
2025-07-27,124.92009126108346
2025-08-03,117.6572952575321
2025-08-10,130.73032806392456
2025-08-17,145.25592007102728
2025-08-24,126.37265046179373
2025-08-31,133.6354464653451
2025-09-07,126.37265046179373
2025-09-14,127.82520966250401
2025-09-21,122.01497285966292
2025-09-28,120.56241365895264
2025-10-05,113.29961765540128
2025-10-12,124.92009126108346
2025-10-19,117.6572952575321
2025-10-26,127.82520966250401
2025-11-02,132.18288726463481
2025-11-09,122.01497285966292
2025-11-16,123.46753206037319
2025-11-23,107.48938085256019
2025-11-30,117.6572952575321
2025-12-07,120.56241365895264
2025-12-14,127.82520966250401
2025-12-21,123.46753206037319
2025-12-28,127.82520966250401
