,Insurance
2018-03-11,65.0
2018-03-18,68.0
2018-03-25,72.0
2018-04-01,71.0
2018-04-08,54.0
2018-04-15,53.0
2018-04-22,74.0
2018-04-29,63.0
2018-05-06,67.0
2018-05-13,72.0
2018-05-20,76.0
2018-05-27,70.0
2018-06-03,72.0
2018-06-10,69.0
2018-06-17,77.0
2018-06-24,73.0
2018-07-01,72.0
2018-07-08,71.0
2018-07-15,80.0
2018-07-22,71.0
2018-07-29,84.0
2018-08-05,77.0
2018-08-12,72.0
2018-08-19,72.0
2018-08-26,79.0
2018-09-02,74.0
2018-09-09,72.0
2018-09-16,74.0
2018-09-23,72.0
2018-09-30,79.0
2018-10-07,74.0
2018-10-14,81.0
2018-10-21,78.0
2018-10-28,73.0
2018-11-04,68.0
2018-11-11,68.0
2018-11-18,69.0
2018-11-25,87.0
2018-12-02,90.0
2018-12-09,90.0
2018-12-16,80.0
2018-12-23,85.0
2018-12-30,84.0
2019-01-06,93.0
2019-01-13,73.0
2019-01-20,79.0
2019-01-27,80.0
2019-02-03,74.0
2019-02-10,82.0
2019-02-17,78.0
2019-02-24,94.0
2019-03-03,77.0
2019-03-10,85.0
2019-03-17,84.0
2019-03-24,91.0
2019-03-31,86.0
2019-04-07,70.0
2019-04-14,63.0
2019-04-21,74.0
2019-04-28,72.0
2019-05-05,93.0
2019-05-12,75.0
2019-05-19,78.0
2019-05-26,85.0
2019-06-02,85.0
2019-06-09,89.0
2019-06-16,84.0
2019-06-23,94.0
2019-06-30,88.0
2019-07-07,82.0
2019-07-14,92.0
2019-07-21,96.0
2019-07-28,96.0
2019-08-04,98.0
2019-08-11,75.0
2019-08-18,94.0
2019-08-25,97.0
2019-09-01,96.0
2019-09-08,87.0
2019-09-15,98.0
2019-09-22,94.0
2019-09-29,97.0
2019-10-06,93.0
2019-10-13,90.0
2019-10-20,90.0
2019-10-27,92.0
2019-11-03,87.0
2019-11-10,75.0
2019-11-17,87.0
2019-11-24,93.0
2019-12-01,92.0
2019-12-08,83.0
2019-12-15,100.0
2019-12-22,86.0
2019-12-29,99.0
2020-01-05,84.26479203280608
2020-01-12,86.89806678383127
2020-01-19,97.43116578793203
2020-01-26,97.43116578793203
2020-02-02,76.36496777973052
2020-02-09,92.16461628588165
2020-02-16,89.53134153485647
2020-02-23,97.43116578793203
2020-03-01,85.58142940831868
2020-03-08,86.89806678383127
2020-03-15,72.41505565319272
2020-03-22,56.61540714704159
2020-03-29,64.51523140011716
2020-04-05,61.88195664909197
2020-04-12,52.665495020503805
2020-04-19,60.56531927357938
2020-04-26,64.51523140011716
2020-05-03,57.932044522554186
2020-05-10,72.41505565319272
2020-05-17,76.36496777973052
2020-05-24,76.36496777973052
2020-05-31,69.78178090216754
2020-06-07,86.89806678383127
2020-06-14,97.43116578793203
2020-06-21,93.48125366139425
2020-06-28,98.74780316344463
2020-07-05,100.06444053895723
2020-07-12,82.94815465729349
2020-07-19,89.53134153485647
2020-07-26,101.38107791446983
2020-08-02,76.36496777973052
2020-08-09,100.06444053895723
2020-08-16,93.48125366139425
2020-08-23,94.79789103690685
2020-08-30,86.89806678383127
2020-09-06,93.48125366139425
2020-09-13,94.79789103690685
2020-09-20,89.53134153485647
2020-09-27,88.21470415934387
2020-10-04,80.3148799062683
2020-10-11,81.6315172817809
2020-10-18,78.9982425307557
2020-10-25,78.9982425307557
2020-11-01,63.19859402460456
2020-11-08,81.6315172817809
2020-11-15,77.6816051552431
2020-11-22,80.3148799062683
2020-11-29,84.26479203280608
2020-12-06,81.6315172817809
2020-12-13,84.26479203280608
2020-12-20,85.58142940831868
2020-12-27,84.26479203280608
2021-01-03,85.58142940831868
2021-01-10,77.6816051552431
2021-01-17,88.21470415934387
2021-01-24,85.58142940831868
2021-01-31,80.3148799062683
2021-02-07,96.11452841241945
2021-02-14,92.16461628588165
2021-02-21,89.53134153485647
2021-02-28,93.48125366139425
2021-03-07,78.9982425307557
2021-03-14,92.16461628588165
2021-03-21,97.43116578793203
2021-03-28,98.74780316344463
2021-04-04,98.74780316344463
2021-04-11,56.61540714704159
2021-04-18,94.79789103690685
2021-04-25,92.16461628588165
2021-05-02,94.79789103690685
2021-05-09,92.16461628588165
2021-05-16,94.79789103690685
2021-05-23,85.58142940831868
2021-05-30,98.74780316344463
2021-06-06,102.69771528998241
2021-06-13,97.43116578793203
2021-06-20,102.69771528998241
2021-06-27,111.91417691857058
2021-07-04,102.69771528998241
2021-07-11,101.38107791446983
2021-07-18,98.74780316344463
2021-07-25,111.91417691857058
2021-08-01,93.48125366139425
2021-08-08,100.06444053895723
2021-08-15,101.38107791446983
2021-08-22,88.21470415934387
2021-08-29,90.84797891036906
2021-09-05,92.16461628588165
2021-09-12,101.38107791446983
2021-09-19,94.79789103690685
2021-09-26,113.23081429408317
2021-10-03,105.33099004100761
2021-10-10,88.21470415934387
2021-10-17,82.94815465729349
2021-10-24,104.01435266549501
2021-10-31,98.74780316344463
2021-11-07,102.69771528998241
2021-11-14,100.06444053895723
2021-11-21,105.33099004100761
2021-11-28,105.33099004100761
2021-12-05,96.11452841241945
2021-12-12,89.53134153485647
2021-12-19,97.43116578793203
2021-12-26,111.91417691857058
2022-01-02,130.3471001757469
2022-01-09,105.33099004100761
2022-01-16,96.11452841241945
2022-01-23,127.71382542472172
2022-01-30,122.44727592267134
2022-02-06,110.59753954305799
2022-02-13,119.81400117164615
2022-02-20,126.39718804920912
2022-02-27,122.44727592267134
2022-03-06,121.13063854715875
2022-03-13,107.9642647920328
2022-03-20,115.86408904510837
2022-03-27,102.69771528998241
2022-04-03,98.74780316344463
2022-04-10,61.88195664909197
2022-04-17,85.58142940831868
2022-04-24,121.13063854715875
2022-05-01,104.01435266549501
2022-05-08,89.53134153485647
2022-05-15,93.48125366139425
2022-05-22,109.28090216754539
2022-05-29,118.49736379613356
2022-06-05,98.74780316344463
2022-06-12,88.21470415934387
2022-06-19,100.06444053895723
2022-06-26,121.13063854715875
2022-07-03,100.06444053895723
2022-07-10,93.48125366139425
2022-07-17,98.74780316344463
2022-07-24,111.91417691857058
2022-07-31,115.86408904510837
2022-08-07,94.79789103690685
2022-08-14,117.18072642062096
2022-08-21,117.18072642062096
2022-08-28,122.44727592267134
2022-09-04,100.06444053895723
2022-09-11,110.59753954305799
2022-09-18,119.81400117164615
2022-09-25,119.81400117164615
2022-10-02,109.28090216754539
2022-10-09,102.69771528998241
2022-10-16,109.28090216754539
2022-10-23,115.86408904510837
2022-10-30,114.54745166959577
2022-11-06,92.16461628588165
2022-11-13,110.59753954305799
2022-11-20,111.91417691857058
2022-11-27,115.86408904510837
2022-12-04,100.06444053895723
2022-12-11,110.59753954305799
2022-12-18,106.6476274165202
2022-12-25,122.44727592267134
2023-01-01,97.43116578793203
2023-01-08,111.91417691857058
2023-01-15,111.91417691857058
2023-01-22,121.13063854715875
2023-01-29,114.54745166959577
2023-02-05,110.59753954305799
2023-02-12,113.23081429408317
2023-02-19,118.49736379613356
2023-02-26,129.03046280023432
2023-03-05,110.59753954305799
2023-03-12,113.23081429408317
2023-03-19,107.9642647920328
2023-03-26,118.49736379613356
2023-04-02,92.16461628588165
2023-04-09,76.36496777973052
2023-04-16,94.79789103690685
2023-04-23,117.18072642062096
2023-04-30,106.6476274165202
2023-05-07,114.54745166959577
2023-05-14,119.81400117164615
2023-05-21,113.23081429408317
2023-05-28,119.81400117164615
2023-06-04,107.9642647920328
2023-06-11,111.91417691857058
2023-06-18,122.44727592267134
2023-06-25,126.39718804920912
2023-07-02,115.86408904510837
2023-07-09,130.3471001757469
2023-07-16,115.86408904510837
2023-07-23,121.13063854715875
2023-07-30,122.44727592267134
2023-08-06,130.3471001757469
2023-08-13,131.66373755125952
2023-08-20,123.76391329818394
2023-08-27,122.44727592267134
2023-09-03,118.49736379613356
2023-09-10,114.54745166959577
2023-09-17,113.23081429408317
2023-09-24,115.86408904510837
2023-10-01,115.86408904510837
2023-10-08,115.86408904510837
2023-10-15,111.91417691857058
2023-10-22,101.38107791446983
2023-10-29,114.54745166959577
2023-11-05,104.01435266549501
2023-11-12,100.06444053895723
2023-11-19,104.01435266549501
2023-11-26,119.81400117164615
2023-12-03,104.01435266549501
2023-12-10,113.23081429408317
2023-12-17,110.59753954305799
2023-12-24,102.69771528998241
2023-12-31,105.33099004100761
2024-01-07,115.29746700454194
2024-01-14,109.53259365431484
2024-01-21,109.53259365431484
2024-01-28,128.26843204255292
2024-02-04,115.29746700454194
2024-02-11,119.62112201721226
2024-02-18,113.85624866698517
2024-02-25,144.12183375567741
2024-03-03,113.85624866698517
2024-03-10,122.50355869232581
2024-03-17,116.7386853420987
2024-03-24,118.17990367965548
2024-03-31,109.53259365431484
2024-04-07,85.03188191584968
2024-04-14,89.35553692852
2024-04-21,99.44406529141742
2024-04-28,112.41503032942839
2024-05-05,110.97381199187161
2024-05-12,109.53259365431484
2024-05-19,90.79675526607677
2024-05-26,115.29746700454194
2024-06-02,106.65015697920128
2024-06-09,109.53259365431484
2024-06-16,102.32650196653097
2024-06-23,112.41503032942839
2024-06-30,110.97381199187161
2024-07-07,112.41503032942839
2024-07-14,112.41503032942839
2024-07-21,118.17990367965548
2024-07-28,125.38599536743935
2024-08-04,109.53259365431484
2024-08-11,109.53259365431484
2024-08-18,113.85624866698517
2024-08-25,118.17990367965548
2024-09-01,102.32650196653097
2024-09-08,106.65015697920128
2024-09-15,92.23797360363355
2024-09-22,105.20893864164452
2024-09-29,116.7386853420987
2024-10-06,108.09137531675806
2024-10-13,102.32650196653097
2024-10-20,113.85624866698517
2024-10-27,113.85624866698517
2024-11-03,102.32650196653097
2024-11-10,92.23797360363355
2024-11-17,110.97381199187161
2024-11-24,106.65015697920128
2024-12-01,113.85624866698517
2024-12-08,108.09137531675806
2024-12-15,125.38599536743935
2024-12-22,116.7386853420987
2024-12-29,116.7386853420987
2025-01-05,115.29746700454194
2025-01-12,123.94477702988259
2025-01-19,139.7981787430071
2025-01-26,119.62112201721226
2025-02-02,110.97381199187161
2025-02-09,109.53259365431484
2025-02-16,115.29746700454194
2025-02-23,122.50355869232581
2025-03-02,105.20893864164452
2025-03-09,105.20893864164452
2025-03-16,113.85624866698517
2025-03-23,112.41503032942839
2025-03-30,98.00284695386064
2025-04-06,102.32650196653097
2025-04-13,86.47310025340646
2025-04-20,109.53259365431484
2025-04-27,115.29746700454194
2025-05-04,109.53259365431484
2025-05-11,93.67919194119033
2025-05-18,115.29746700454194
2025-05-25,110.97381199187161
2025-06-01,119.62112201721226
2025-06-08,106.65015697920128
2025-06-15,118.17990367965548
2025-06-22,126.82721370499613
2025-06-29,118.17990367965548
2025-07-06,105.20893864164452
2025-07-13,109.53259365431484
2025-07-20,115.29746700454194
2025-07-27,119.62112201721226
2025-08-03,105.20893864164452
2025-08-10,109.53259365431484
2025-08-17,112.41503032942839
2025-08-24,121.06234035476903
2025-08-31,102.32650196653097
2025-09-07,98.00284695386064
2025-09-14,108.09137531675806
2025-09-21,103.76772030408775
2025-09-28,100.8852836289742
2025-10-05,95.1204102787471
2025-10-12,109.53259365431484
2025-10-19,99.44406529141742
2025-10-26,108.09137531675806
2025-11-02,100.8852836289742
2025-11-09,112.41503032942839
2025-11-16,106.65015697920128
2025-11-23,106.65015697920128
2025-11-30,109.53259365431484
2025-12-07,123.94477702988259
2025-12-14,113.85624866698517
2025-12-21,122.50355869232581
2025-12-28,132.59208705522323
