,Photo & Video Services
2022-09-25,129.2686935086278
2022-10-02,132.50041084634347
2022-10-09,117.95768282662286
2022-10-16,111.49424815119147
2022-10-23,121.18940016433855
2022-10-30,126.0369761709121
2022-11-06,132.50041084634347
2022-11-13,117.95768282662286
2022-11-20,109.87838948233362
2022-11-27,124.42111750205424
2022-12-04,111.49424815119147
2022-12-11,124.42111750205424
2022-12-18,117.95768282662286
2022-12-25,111.49424815119147
2023-01-01,109.87838948233362
2023-01-08,124.42111750205424
2023-01-15,113.11010682004931
2023-01-22,124.42111750205424
2023-01-29,134.11626951520134
2023-02-05,130.88455217748563
2023-02-12,143.8114215283484
2023-02-19,124.42111750205424
2023-02-26,119.5735414954807
2023-03-05,113.11010682004931
2023-03-12,116.341824157765
2023-03-19,122.8052588331964
2023-03-26,122.8052588331964
2023-04-02,119.5735414954807
2023-04-09,95.33566146261299
2023-04-16,106.64667214461792
2023-04-23,101.79909613804438
2023-04-30,98.56737880032868
2023-05-07,111.49424815119147
2023-05-14,113.11010682004931
2023-05-21,116.341824157765
2023-05-28,109.87838948233362
2023-06-04,126.0369761709121
2023-06-11,119.5735414954807
2023-06-18,122.8052588331964
2023-06-25,134.11626951520134
2023-07-02,129.2686935086278
2023-07-09,111.49424815119147
2023-07-16,137.34798685291702
2023-07-23,121.18940016433855
2023-07-30,130.88455217748563
2023-08-06,132.50041084634347
2023-08-13,161.58586688578472
2023-08-20,135.73212818405918
2023-08-27,140.57970419063273
2023-09-03,134.11626951520134
2023-09-10,122.8052588331964
2023-09-17,124.42111750205424
2023-09-24,122.8052588331964
2023-10-01,135.73212818405918
2023-10-08,119.5735414954807
2023-10-15,114.72596548890716
2023-10-22,116.341824157765
2023-10-29,100.18323746918654
2023-11-05,116.341824157765
2023-11-12,109.87838948233362
2023-11-19,111.49424815119147
2023-11-26,109.87838948233362
2023-12-03,113.11010682004931
2023-12-10,116.341824157765
2023-12-17,106.64667214461792
2023-12-24,116.341824157765
2023-12-31,135.73212818405918
2024-01-07,138.96384552177486
2024-01-14,119.57354149548068
2024-01-21,121.18940016433854
2024-01-28,135.73212818405915
2024-02-04,140.5797041906327
2024-02-11,142.19556285949054
2024-02-18,132.50041084634347
2024-02-25,114.72596548890715
2024-03-03,137.34798685291702
2024-03-10,129.26869350862776
2024-03-17,138.96384552177486
2024-03-24,114.72596548890715
2024-03-31,122.80525883319638
2024-04-07,88.87222678718159
2024-04-14,98.56737880032867
2024-04-21,100.18323746918652
2024-04-28,121.18940016433854
2024-05-05,122.80525883319638
2024-05-12,130.88455217748563
2024-05-19,116.34182415776499
2024-05-26,117.95768282662284
2024-06-02,130.88455217748563
2024-06-09,114.72596548890715
2024-06-16,108.26253081347576
2024-06-23,127.65283483976992
2024-06-30,119.57354149548068
2024-07-07,114.72596548890715
2024-07-14,121.18940016433854
2024-07-21,130.88455217748563
2024-07-28,134.1162695152013
2024-08-04,132.50041084634347
2024-08-11,114.72596548890715
2024-08-18,135.73212818405915
2024-08-25,124.42111750205423
2024-09-01,127.65283483976992
2024-09-08,117.95768282662284
2024-09-15,119.57354149548068
2024-09-22,96.95152013147083
2024-09-29,113.1101068200493
2024-10-06,114.72596548890715
2024-10-13,140.5797041906327
2024-10-20,127.65283483976992
2024-10-27,121.18940016433854
2024-11-03,113.1101068200493
2024-11-10,134.1162695152013
2024-11-17,121.18940016433854
2024-11-24,113.1101068200493
2024-12-01,122.80525883319638
2024-12-08,124.42111750205423
2024-12-15,119.57354149548068
2024-12-22,126.03697617091207
2024-12-29,156.73829087921118
2025-01-05,140.5797041906327
2025-01-12,135.73212818405915
2025-01-19,155.12243221035334
2025-01-26,148.65899753492192
2025-02-02,122.80525883319638
2025-02-09,129.26869350862776
2025-02-16,150.2748562037798
2025-02-23,130.88455217748563
2025-03-02,148.65899753492192
2025-03-09,140.5797041906327
2025-03-16,148.65899753492192
2025-03-23,126.03697617091207
2025-03-30,121.18940016433854
2025-04-06,127.65283483976992
2025-04-13,93.71980279375514
2025-04-20,134.1162695152013
2025-04-27,124.42111750205423
2025-05-04,121.18940016433854
2025-05-11,113.1101068200493
2025-05-18,126.03697617091207
2025-05-25,134.1162695152013
2025-06-01,132.50041084634347
2025-06-08,130.88455217748563
2025-06-15,127.65283483976992
2025-06-22,135.73212818405915
2025-06-29,129.26869350862776
2025-07-06,114.72596548890715
2025-07-13,121.18940016433854
2025-07-20,111.49424815119146
2025-07-27,98.56737880032867
2025-08-03,137.34798685291702
2025-08-10,142.19556285949054
2025-08-17,132.50041084634347
2025-08-24,122.80525883319638
2025-08-31,106.64667214461791
2025-09-07,119.57354149548068
2025-09-14,119.57354149548068
2025-09-21,124.42111750205423
2025-09-28,106.64667214461791
2025-10-05,117.95768282662284
2025-10-12,113.1101068200493
2025-10-19,127.65283483976992
2025-10-26,113.1101068200493
2025-11-02,129.26869350862776
2025-11-09,117.95768282662284
2025-11-16,143.8114215283484
2025-11-23,105.03081347576007
2025-11-30,95.33566146261298
2025-12-07,121.18940016433854
2025-12-14,130.88455217748563
2025-12-21,121.18940016433854
2025-12-28,126.03697617091207
2026-01-04,132.50041084634347
