,Apparel
2018-02-11,83.0
2018-02-18,80.0
2018-02-25,78.0
2018-03-04,77.0
2018-03-11,76.0
2018-03-18,78.0
2018-03-25,90.0
2018-04-01,81.0
2018-04-08,73.0
2018-04-15,73.0
2018-04-22,71.0
2018-04-29,80.0
2018-05-06,84.0
2018-05-13,85.0
2018-05-20,86.0
2018-05-27,90.0
2018-06-03,88.0
2018-06-10,84.0
2018-06-17,74.0
2018-06-24,75.0
2018-07-01,81.0
2018-07-08,84.0
2018-07-15,88.0
2018-07-22,83.0
2018-07-29,88.0
2018-08-05,89.0
2018-08-12,93.0
2018-08-19,84.0
2018-08-26,82.0
2018-09-02,82.0
2018-09-09,81.0
2018-09-16,85.0
2018-09-23,77.0
2018-09-30,77.0
2018-10-07,87.0
2018-10-14,83.0
2018-10-21,83.0
2018-10-28,85.0
2018-11-04,86.0
2018-11-11,80.0
2018-11-18,84.0
2018-11-25,86.0
2018-12-02,90.0
2018-12-09,95.0
2018-12-16,90.0
2018-12-23,93.0
2018-12-30,84.0
2019-01-06,87.0
2019-01-13,85.0
2019-01-20,80.0
2019-01-27,79.0
2019-02-03,79.0
2019-02-10,81.0
2019-02-17,80.0
2019-02-24,80.0
2019-03-03,88.0
2019-03-10,80.0
2019-03-17,78.0
2019-03-24,82.0
2019-03-31,82.0
2019-04-07,80.0
2019-04-14,72.0
2019-04-21,72.0
2019-04-28,81.0
2019-05-05,85.0
2019-05-12,79.0
2019-05-19,89.0
2019-05-26,87.0
2019-06-02,80.0
2019-06-09,83.0
2019-06-16,77.0
2019-06-23,81.0
2019-06-30,85.0
2019-07-07,83.0
2019-07-14,90.0
2019-07-21,86.0
2019-07-28,89.0
2019-08-04,93.0
2019-08-11,87.0
2019-08-18,86.0
2019-08-25,83.0
2019-09-01,84.0
2019-09-08,83.0
2019-09-15,81.0
2019-09-22,77.0
2019-09-29,82.0
2019-10-06,83.0
2019-10-13,81.0
2019-10-20,86.0
2019-10-27,77.0
2019-11-03,75.0
2019-11-10,77.0
2019-11-17,82.0
2019-11-24,86.0
2019-12-01,88.0
2019-12-08,88.0
2019-12-15,94.0
2019-12-22,90.0
2019-12-29,90.0
2020-01-05,85.97342192691029
2020-01-12,82.39119601328902
2020-01-19,87.16749723145071
2020-01-26,77.61489479512734
2020-02-02,80.00304540420818
2020-02-09,78.80897009966776
2020-02-16,78.80897009966776
2020-02-23,75.2267441860465
2020-03-01,76.42081949058692
2020-03-08,68.06229235880397
2020-03-15,54.92746400885935
2020-03-22,46.5689368770764
2020-03-29,41.792635658914726
2020-04-05,46.5689368770764
2020-04-12,44.180786267995565
2020-04-19,47.76301218161683
2020-04-26,48.95708748615725
2020-05-03,48.95708748615725
2020-05-10,57.31561461794019
2020-05-17,60.89784053156146
2020-05-24,62.091915836101876
2020-05-31,70.45044296788483
2020-06-07,71.64451827242524
2020-06-14,72.83859357696566
2020-06-21,81.1971207087486
2020-06-28,78.80897009966776
2020-07-05,82.39119601328902
2020-07-12,85.97342192691029
2020-07-19,89.55564784053155
2020-07-26,89.55564784053155
2020-08-02,87.16749723145071
2020-08-09,83.58527131782945
2020-08-16,82.39119601328902
2020-08-23,78.80897009966776
2020-08-30,77.61489479512734
2020-09-06,78.80897009966776
2020-09-13,77.61489479512734
2020-09-20,76.42081949058692
2020-09-27,77.61489479512734
2020-10-04,76.42081949058692
2020-10-11,77.61489479512734
2020-10-18,76.42081949058692
2020-10-25,70.45044296788483
2020-11-01,71.64451827242524
2020-11-08,72.83859357696566
2020-11-15,70.45044296788483
2020-11-22,69.25636766334439
2020-11-29,74.03266888150608
2020-12-06,82.39119601328902
2020-12-13,81.1971207087486
2020-12-20,89.55564784053155
2020-12-27,83.58527131782945
2021-01-03,85.97342192691029
2021-01-10,81.1971207087486
2021-01-17,78.80897009966776
2021-01-24,75.2267441860465
2021-01-31,75.2267441860465
2021-02-07,75.2267441860465
2021-02-14,78.80897009966776
2021-02-21,76.42081949058692
2021-02-28,81.1971207087486
2021-03-07,82.39119601328902
2021-03-14,82.39119601328902
2021-03-21,83.58527131782945
2021-03-28,87.16749723145071
2021-04-04,87.16749723145071
2021-04-11,75.2267441860465
2021-04-18,88.36157253599113
2021-04-25,83.58527131782945
2021-05-02,82.39119601328902
2021-05-09,76.42081949058692
2021-05-16,70.45044296788483
2021-05-23,64.48006644518271
2021-05-30,75.2267441860465
2021-06-06,71.64451827242524
2021-06-13,71.64451827242524
2021-06-20,75.2267441860465
2021-06-27,80.00304540420818
2021-07-04,85.97342192691029
2021-07-11,91.94379844961239
2021-07-18,94.33194905869323
2021-07-25,88.36157253599113
2021-08-01,84.77934662236987
2021-08-08,80.00304540420818
2021-08-15,71.64451827242524
2021-08-22,63.285991140642295
2021-08-29,70.45044296788483
2021-09-05,70.45044296788483
2021-09-12,77.61489479512734
2021-09-19,81.1971207087486
2021-09-26,82.39119601328902
2021-10-03,99.10825027685492
2021-10-10,77.61489479512734
2021-10-17,80.00304540420818
2021-10-24,85.97342192691029
2021-10-31,88.36157253599113
2021-11-07,89.55564784053155
2021-11-14,89.55564784053155
2021-11-21,94.33194905869323
2021-11-28,91.94379844961239
2021-12-05,91.94379844961239
2021-12-12,96.72009966777408
2021-12-19,93.1378737541528
2021-12-26,97.9141749723145
2022-01-02,108.66085271317829
2022-01-09,107.46677740863785
2022-01-16,94.33194905869323
2022-01-23,97.9141749723145
2022-01-30,100.30232558139534
2022-02-06,101.49640088593576
2022-02-13,111.04900332225913
2022-02-20,107.46677740863785
2022-02-27,106.27270210409743
2022-03-06,103.8845514950166
2022-03-13,107.46677740863785
2022-03-20,102.69047619047618
2022-03-27,94.33194905869323
2022-04-03,96.72009966777408
2022-04-10,95.52602436323366
2022-04-17,112.24307862679954
2022-04-24,115.8253045404208
2022-05-01,112.24307862679954
2022-05-08,96.72009966777408
2022-05-15,97.9141749723145
2022-05-22,101.49640088593576
2022-05-29,100.30232558139534
2022-06-05,96.72009966777408
2022-06-12,91.94379844961239
2022-06-19,96.72009966777408
2022-06-26,93.1378737541528
2022-07-03,100.30232558139534
2022-07-10,93.1378737541528
2022-07-17,100.30232558139534
2022-07-24,99.10825027685492
2022-07-31,102.69047619047618
2022-08-07,108.66085271317829
2022-08-14,102.69047619047618
2022-08-21,106.27270210409743
2022-08-28,102.69047619047618
2022-09-04,99.10825027685492
2022-09-11,96.72009966777408
2022-09-18,100.30232558139534
2022-09-25,99.10825027685492
2022-10-02,97.9141749723145
2022-10-09,107.46677740863785
2022-10-16,105.07862679955701
2022-10-23,102.69047619047618
2022-10-30,100.30232558139534
2022-11-06,100.30232558139534
2022-11-13,105.07862679955701
2022-11-20,105.07862679955701
2022-11-27,103.8845514950166
2022-12-04,111.04900332225913
2022-12-11,107.46677740863785
2022-12-18,113.43715393133996
2022-12-25,108.66085271317829
2023-01-01,95.52602436323366
2023-01-08,105.07862679955701
2023-01-15,96.72009966777408
2023-01-22,102.69047619047618
2023-01-29,105.07862679955701
2023-02-05,93.1378737541528
2023-02-12,100.30232558139534
2023-02-19,101.49640088593576
2023-02-26,102.69047619047618
2023-03-05,107.46677740863785
2023-03-12,105.07862679955701
2023-03-19,105.07862679955701
2023-03-26,106.27270210409743
2023-04-02,119.40753045404206
2023-04-09,97.9141749723145
2023-04-16,105.07862679955701
2023-04-23,101.49640088593576
2023-04-30,90.74972314507197
2023-05-07,102.69047619047618
2023-05-14,108.66085271317829
2023-05-21,103.8845514950166
2023-05-28,100.30232558139534
2023-06-04,101.49640088593576
2023-06-11,109.8549280177187
2023-06-18,107.46677740863785
2023-06-25,102.69047619047618
2023-07-02,107.46677740863785
2023-07-09,103.8845514950166
2023-07-16,105.07862679955701
2023-07-23,106.27270210409743
2023-07-30,103.8845514950166
2023-08-06,105.07862679955701
2023-08-13,111.04900332225913
2023-08-20,103.8845514950166
2023-08-27,99.10825027685492
2023-09-03,95.52602436323366
2023-09-10,90.74972314507197
2023-09-17,90.74972314507197
2023-09-24,96.72009966777408
2023-10-01,99.10825027685492
2023-10-08,90.74972314507197
2023-10-15,95.52602436323366
2023-10-22,95.52602436323366
2023-10-29,100.30232558139534
2023-11-05,97.9141749723145
2023-11-12,101.49640088593576
2023-11-19,105.07862679955701
2023-11-26,102.69047619047618
2023-12-03,106.27270210409743
2023-12-10,113.43715393133996
2023-12-17,114.63122923588038
2023-12-24,117.01937984496122
2023-12-31,103.8845514950166
2024-01-07,101.49640088593574
2024-01-14,99.10825027685489
2024-01-21,99.10825027685489
2024-01-28,97.91417497231447
2024-02-04,99.10825027685489
2024-02-11,96.72009966777405
2024-02-18,96.72009966777405
2024-02-25,96.72009966777405
2024-03-03,101.49640088593574
2024-03-10,95.52602436323363
2024-03-17,99.10825027685489
2024-03-24,118.21345514950163
2024-03-31,112.24307862679952
2024-04-07,96.72009966777405
2024-04-14,103.88455149501658
2024-04-21,107.46677740863784
2024-04-28,100.30232558139532
2024-05-05,107.46677740863784
2024-05-12,103.88455149501658
2024-05-19,103.88455149501658
2024-05-26,102.69047619047616
2024-06-02,101.49640088593574
2024-06-09,103.88455149501658
2024-06-16,97.91417497231447
2024-06-23,95.52602436323363
2024-06-30,102.69047619047616
2024-07-07,95.52602436323363
2024-07-14,103.88455149501658
2024-07-21,97.91417497231447
2024-07-28,102.69047619047616
2024-08-04,105.078626799557
2024-08-11,106.27270210409742
2024-08-18,101.49640088593574
2024-08-25,94.33194905869321
2024-09-01,99.10825027685489
2024-09-08,96.72009966777405
2024-09-15,87.1674972314507
2024-09-22,84.77934662236986
2024-09-29,91.94379844961237
2024-10-06,96.72009966777405
2024-10-13,99.10825027685489
2024-10-20,100.30232558139532
2024-10-27,102.69047619047616
2024-11-03,96.72009966777405
2024-11-10,97.91417497231447
2024-11-17,102.69047619047616
2024-11-24,114.63122923588037
2024-12-01,108.66085271317826
2024-12-08,108.66085271317826
2024-12-15,115.82530454042079
2024-12-22,117.01937984496121
2024-12-29,107.46677740863784
2025-01-05,107.46677740863784
2025-01-12,105.078626799557
2025-01-19,102.69047619047616
2025-01-26,96.72009966777405
2025-02-02,96.72009966777405
2025-02-09,97.91417497231447
2025-02-16,97.91417497231447
2025-02-23,95.52602436323363
2025-03-02,101.49640088593574
2025-03-09,103.88455149501658
2025-03-16,107.46677740863784
2025-03-23,111.0490033222591
2025-03-30,114.63122923588037
2025-04-06,109.85492801771868
2025-04-13,101.49640088593574
2025-04-20,107.46677740863784
2025-04-27,102.69047619047616
2025-05-04,102.69047619047616
2025-05-11,87.1674972314507
2025-05-18,108.66085271317826
2025-05-25,100.30232558139532
2025-06-01,99.10825027685489
2025-06-08,90.74972314507195
2025-06-15,100.30232558139532
2025-06-22,97.91417497231447
2025-06-29,101.49640088593574
2025-07-06,89.55564784053153
2025-07-13,99.10825027685489
2025-07-20,100.30232558139532
2025-07-27,100.30232558139532
2025-08-03,103.88455149501658
2025-08-10,100.30232558139532
2025-08-17,99.10825027685489
2025-08-24,100.30232558139532
2025-08-31,96.72009966777405
2025-09-07,88.36157253599112
2025-09-14,94.33194905869321
2025-09-21,95.52602436323363
2025-09-28,96.72009966777405
2025-10-05,95.52602436323363
2025-10-12,103.88455149501658
2025-10-19,97.91417497231447
2025-10-26,99.10825027685489
2025-11-02,97.91417497231447
2025-11-09,100.30232558139532
2025-11-16,105.078626799557
2025-11-23,89.55564784053153
2025-11-30,83.58527131782942
2025-12-07,100.30232558139532
2025-12-14,107.46677740863784
2025-12-21,117.01937984496121
2025-12-28,112.24307862679952
