,Birthday
2021-12-12,59.38788659793814
2021-12-19,57.56056701030928
2021-12-26,60.301546391752574
2022-01-02,60.301546391752574
2022-01-09,58.47422680412371
2022-01-16,52.99226804123711
2022-01-23,52.07860824742268
2022-01-30,56.646907216494846
2022-02-06,53.90592783505154
2022-02-13,64.86984536082474
2022-02-20,54.819587628865975
2022-02-27,59.38788659793814
2022-03-06,55.733247422680414
2022-03-13,52.99226804123711
2022-03-20,52.07860824742268
2022-03-27,50.251288659793815
2022-04-03,54.819587628865975
2022-04-10,52.07860824742268
2022-04-17,62.128865979381445
2022-04-24,55.733247422680414
2022-05-01,60.301546391752574
2022-05-08,56.646907216494846
2022-05-15,57.56056701030928
2022-05-22,55.733247422680414
2022-05-29,63.95618556701031
2022-06-05,55.733247422680414
2022-06-12,52.99226804123711
2022-06-19,62.128865979381445
2022-06-26,52.99226804123711
2022-07-03,56.646907216494846
2022-07-10,55.733247422680414
2022-07-17,52.99226804123711
2022-07-24,52.99226804123711
2022-07-31,57.56056701030928
2022-08-07,63.04252577319588
2022-08-14,58.47422680412371
2022-08-21,55.733247422680414
2022-08-28,55.733247422680414
2022-09-04,61.215206185567006
2022-09-11,61.215206185567006
2022-09-18,61.215206185567006
2022-09-25,56.646907216494846
2022-10-02,64.86984536082474
2022-10-09,68.52448453608247
2022-10-16,59.38788659793814
2022-10-23,58.47422680412371
2022-10-30,58.47422680412371
2022-11-06,62.128865979381445
2022-11-13,56.646907216494846
2022-11-20,51.16494845360825
2022-11-27,52.07860824742268
2022-12-04,52.99226804123711
2022-12-11,51.16494845360825
2022-12-18,52.07860824742268
2022-12-25,56.646907216494846
2023-01-01,53.90592783505154
2023-01-08,54.819587628865975
2023-01-15,49.33762886597938
2023-01-22,52.99226804123711
2023-01-29,47.51030927835051
2023-02-05,42.94201030927835
2023-02-12,50.251288659793815
2023-02-19,46.59664948453608
2023-02-26,47.51030927835051
2023-03-05,50.251288659793815
2023-03-12,49.33762886597938
2023-03-19,47.51030927835051
2023-03-26,46.59664948453608
2023-04-02,50.251288659793815
2023-04-09,48.423969072164944
2023-04-16,47.51030927835051
2023-04-23,44.769329896907216
2023-04-30,53.90592783505154
2023-05-07,50.251288659793815
2023-05-14,50.251288659793815
2023-05-21,48.423969072164944
2023-05-28,50.251288659793815
2023-06-04,51.16494845360825
2023-06-11,48.423969072164944
2023-06-18,51.16494845360825
2023-06-25,44.769329896907216
2023-07-02,48.423969072164944
2023-07-09,43.855670103092784
2023-07-16,45.68298969072165
2023-07-23,47.51030927835051
2023-07-30,42.02835051546391
2023-08-06,44.769329896907216
2023-08-13,44.769329896907216
2023-08-20,44.769329896907216
2023-08-27,49.33762886597938
2023-09-03,48.423969072164944
2023-09-10,42.94201030927835
2023-09-17,51.16494845360825
2023-09-24,91.3659793814433
2023-10-01,45.68298969072165
2023-10-08,47.51030927835051
2023-10-15,44.769329896907216
2023-10-22,44.769329896907216
2023-10-29,44.769329896907216
2023-11-05,47.51030927835051
2023-11-12,46.59664948453608
2023-11-19,42.02835051546391
2023-11-26,45.68298969072165
2023-12-03,45.68298969072165
2023-12-10,47.51030927835051
2023-12-17,39.28737113402062
2023-12-24,45.68298969072165
2023-12-31,45.68298969072165
2024-01-07,46.59664948453607
2024-01-14,46.59664948453607
2024-01-21,42.02835051546391
2024-01-28,37.460051546391746
2024-02-04,39.28737113402061
2024-02-11,40.20103092783505
2024-02-18,38.37371134020618
2024-02-25,37.460051546391746
2024-03-03,40.20103092783505
2024-03-10,38.37371134020618
2024-03-17,38.37371134020618
2024-03-24,39.28737113402061
2024-03-31,37.460051546391746
2024-04-07,38.37371134020618
2024-04-14,37.460051546391746
2024-04-21,38.37371134020618
2024-04-28,38.37371134020618
2024-05-05,41.11469072164948
2024-05-12,41.11469072164948
2024-05-19,39.28737113402061
