,Mass Merchants & Department Stores
2022-01-16,72.61143298570876
2022-01-23,79.46156817303978
2022-01-30,89.0517574353032
2022-02-06,112.34221707222866
2022-02-13,109.60216299729625
2022-02-20,72.61143298570876
2022-02-27,97.27191966010042
2022-03-06,76.72151409810738
2022-03-13,80.83159521050598
2022-03-20,86.3117033603708
2022-03-27,71.24140594824256
2022-04-03,53.43105446118192
2022-04-10,73.98146002317498
2022-04-17,83.5716492854384
2022-04-24,73.98146002317498
2022-05-01,71.24140594824256
2022-05-08,79.46156817303978
2022-05-15,73.98146002317498
2022-05-22,65.76129779837775
2022-05-29,83.5716492854384
2022-06-05,105.49208188489764
2022-06-12,71.24140594824256
2022-06-19,69.87137891077636
2022-06-26,89.0517574353032
2022-07-03,87.681730397837
2022-07-10,58.911162611046734
2022-07-17,87.681730397837
2022-07-24,82.20162224797218
2022-07-31,112.34221707222866
2022-08-07,83.5716492854384
2022-08-14,71.24140594824256
2022-08-21,72.61143298570876
2022-08-28,75.35148706064118
2022-09-04,78.09154113557358
2022-09-11,67.13132483584396
2022-09-18,75.35148706064118
2022-09-25,68.50135187331016
2022-10-02,60.281189648512935
2022-10-09,75.35148706064118
2022-10-16,87.681730397837
2022-10-23,67.13132483584396
2022-10-30,72.61143298570876
2022-11-06,67.13132483584396
2022-11-13,86.3117033603708
2022-11-20,71.24140594824256
2022-11-27,63.021243723445345
2022-12-04,72.61143298570876
2022-12-11,78.09154113557358
2022-12-18,94.53186558516802
2022-12-25,79.46156817303978
2023-01-01,67.13132483584396
2023-01-08,42.4708381614523
2023-01-15,80.83159521050598
2023-01-22,63.021243723445345
2023-01-29,87.681730397837
2023-02-05,87.681730397837
2023-02-12,73.98146002317498
2023-02-19,68.50135187331016
2023-02-26,69.87137891077636
2023-03-05,86.3117033603708
2023-03-12,64.39127076091155
2023-03-19,57.54113557358053
2023-03-26,57.54113557358053
2023-04-02,72.61143298570876
2023-04-09,83.5716492854384
2023-04-16,73.98146002317498
2023-04-23,84.9416763229046
2023-04-30,73.98146002317498
2023-05-07,72.61143298570876
2023-05-14,72.61143298570876
2023-05-21,73.98146002317498
2023-05-28,83.5716492854384
2023-06-04,95.90189262263422
2023-06-11,71.24140594824256
2023-06-18,73.98146002317498
2023-06-25,82.20162224797218
2023-07-02,104.12205484743144
2023-07-09,56.17110853611433
2023-07-16,94.53186558516802
2023-07-23,87.681730397837
2023-07-30,100.01197373503283
2023-08-06,97.27191966010042
2023-08-13,95.90189262263422
2023-08-20,84.9416763229046
2023-08-27,90.4217844727694
2023-09-03,67.13132483584396
2023-09-10,78.09154113557358
2023-09-17,68.50135187331016
2023-09-24,78.09154113557358
2023-10-01,95.90189262263422
2023-10-08,57.54113557358053
2023-10-15,67.13132483584396
2023-10-22,73.98146002317498
2023-10-29,80.83159521050598
2023-11-05,89.0517574353032
2023-11-12,89.0517574353032
2023-11-19,64.39127076091155
2023-11-26,67.13132483584396
2023-12-03,106.86210892236384
2023-12-10,87.681730397837
2023-12-17,94.53186558516802
2023-12-24,89.0517574353032
2023-12-31,91.7918115102356
2024-01-07,83.0273858579852
2024-01-14,96.63843271994998
2024-01-21,70.77744368221688
2024-01-28,83.0273858579852
2024-02-04,92.55511866136055
2024-02-11,78.94407179939576
2024-02-18,89.83290928896758
2024-02-25,66.69412962362745
2024-03-03,110.24947958191477
2024-03-10,99.36064209234294
2024-03-17,69.41633899602041
2024-03-24,107.52727020952182
2024-03-31,83.0273858579852
2024-04-07,85.74959523037815
2024-04-14,126.58273581627252
2024-04-21,72.13854836841337
2024-04-28,127.94384050246899
2024-05-05,119.77721238529011
2024-05-12,103.44395615093238
2024-05-19,91.19401397516407
2024-05-26,83.0273858579852
2024-06-02,81.66628117178871
2024-06-09,76.2218624270028
2024-06-16,65.33302493743098
2024-06-23,96.63843271994998
2024-06-30,76.2218624270028
2024-07-07,54.44418744785914
2024-07-14,74.86075774080632
2024-07-21,76.2218624270028
2024-07-28,65.33302493743098
2024-08-04,117.05500301289716
2024-08-11,103.44395615093238
2024-08-18,84.38849054418168
2024-08-25,97.99953740614646
2024-09-01,69.41633899602041
2024-09-08,80.30517648559224
2024-09-15,85.74959523037815
2024-09-22,72.13854836841337
2024-09-29,78.94407179939576
2024-10-06,88.47180460277112
2024-10-13,93.91622334755702
2024-10-20,80.30517648559224
2024-10-27,83.0273858579852
2024-11-03,74.86075774080632
2024-11-10,69.41633899602041
2024-11-17,80.30517648559224
2024-11-24,88.47180460277112
2024-12-01,76.2218624270028
2024-12-08,84.38849054418168
2024-12-15,70.77744368221688
2024-12-22,95.2773280337535
2024-12-29,80.30517648559224
2025-01-05,104.80506083712885
2025-01-12,114.3327936405042
2025-01-19,83.0273858579852
2025-01-26,91.19401397516407
2025-02-02,72.13854836841337
2025-02-09,66.69412962362745
2025-02-16,115.69389832670068
2025-02-23,103.44395615093238
2025-03-02,136.11046861964786
2025-03-09,115.69389832670068
2025-03-16,112.97168895430772
2025-03-23,80.30517648559224
2025-03-30,117.05500301289716
2025-04-06,97.99953740614646
2025-04-13,108.88837489571829
2025-04-20,81.66628117178871
2025-04-27,77.58296711319929
2025-05-04,87.11069991657463
2025-05-11,74.86075774080632
2025-05-18,81.66628117178871
2025-05-25,83.0273858579852
2025-06-01,76.2218624270028
2025-06-08,83.0273858579852
2025-06-15,78.94407179939576
2025-06-22,68.05523430982393
2025-06-29,106.16616552332533
2025-07-06,62.61081556503802
2025-07-13,87.11069991657463
2025-07-20,68.05523430982393
2025-07-27,58.52750150644858
2025-08-03,80.30517648559224
2025-08-10,81.66628117178871
2025-08-17,59.88860619264506
2025-08-24,59.88860619264506
2025-08-31,97.99953740614646
2025-09-07,74.86075774080632
2025-09-14,48.99976870307323
2025-09-21,76.2218624270028
2025-09-28,87.11069991657463
2025-10-05,96.63843271994998
2025-10-12,73.49965305460985
2025-10-19,72.13854836841337
2025-10-26,77.58296711319929
2025-11-02,78.94407179939576
2025-11-09,91.19401397516407
2025-11-16,95.2773280337535
2025-11-23,110.24947958191477
2025-11-30,104.80506083712885
2025-12-07,85.74959523037815
2025-12-14,85.74959523037815
2025-12-21,97.99953740614646
2025-12-28,121.1383170714866
2026-01-04,111.61058426811125
