,Cruises & Charters
2022-12-11,72.32408940397352
2022-12-18,76.26903973509934
2022-12-25,118.34850993377485
2023-01-01,86.78890728476823
2023-01-08,82.84395695364239
2023-01-15,77.58402317880795
2023-01-22,122.29346026490067
2023-01-29,106.51365894039736
2023-02-05,94.67880794701988
2023-02-12,73.63907284768213
2023-02-19,86.78890728476823
2023-02-26,93.36382450331126
2023-03-05,95.99379139072849
2023-03-12,82.84395695364239
2023-03-19,89.41887417218544
2023-03-26,57.85927152317881
2023-04-02,86.78890728476823
2023-04-09,90.73385761589405
2023-04-16,65.74917218543047
2023-04-23,73.63907284768213
2023-04-30,59.174254966887425
2023-05-07,65.74917218543047
2023-05-14,68.37913907284769
2023-05-21,68.37913907284769
2023-05-28,53.91432119205299
2023-06-04,84.158940397351
2023-06-11,81.52897350993378
2023-06-18,80.21399006622518
2023-06-25,118.34850993377485
2023-07-02,90.73385761589405
2023-07-09,68.37913907284769
2023-07-16,74.95405629139074
2023-07-23,59.174254966887425
2023-07-30,95.99379139072849
2023-08-06,88.10389072847683
2023-08-13,93.36382450331126
2023-08-20,74.95405629139074
2023-08-27,84.158940397351
2023-09-03,82.84395695364239
2023-09-10,78.89900662251657
2023-09-17,68.37913907284769
2023-09-24,90.73385761589405
2023-10-01,82.84395695364239
2023-10-08,97.3087748344371
2023-10-15,84.158940397351
2023-10-22,64.43418874172187
2023-10-29,71.0091059602649
2023-11-05,119.66349337748346
2023-11-12,90.73385761589405
2023-11-19,88.10389072847683
2023-11-26,81.52897350993378
2023-12-03,69.6941225165563
2023-12-10,93.36382450331126
2023-12-17,120.97847682119206
2023-12-24,128.86837748344374
2023-12-31,109.14362582781459
2024-01-07,131.37037790105668
2024-01-14,106.8479073595261
2024-01-21,129.61877286237592
2024-01-28,112.10272247556837
2024-02-04,101.59309224348384
2024-02-11,103.34469728216459
2024-02-18,105.09630232084535
2024-02-25,84.07704185667627
2024-03-03,96.33827712744157
2024-03-10,96.33827712744157
2024-03-17,129.61877286237592
2024-03-24,89.33185697271854
2024-03-31,78.82222674063401
2024-04-07,127.86716782369517
2024-04-14,119.10914263029139
2024-04-21,106.8479073595261
2024-04-28,98.08988216612232
2024-05-05,91.0834620113993
2024-05-12,82.32543681799552
2024-05-19,84.07704185667627
2024-05-26,89.33185697271854
2024-06-02,101.59309224348384
2024-06-09,119.10914263029139
2024-06-16,119.10914263029139
2024-06-23,78.82222674063401
2024-06-30,105.09630232084535
2024-07-07,84.07704185667627
2024-07-14,68.31259650854948
2024-07-21,112.10272247556837
2024-07-28,105.09630232084535
2024-08-04,94.5866720887608
2024-08-11,110.35111743688762
2024-08-18,91.0834620113993
