,Accounting & Auditing
2019-04-28,53.0
2019-05-05,60.0
2019-05-12,53.0
2019-05-19,55.0
2019-05-26,60.0
2019-06-02,59.0
2019-06-09,63.0
2019-06-16,63.0
2019-06-23,66.0
2019-06-30,63.0
2019-07-07,67.0
2019-07-14,70.0
2019-07-21,74.0
2019-07-28,69.0
2019-08-04,72.0
2019-08-11,64.0
2019-08-18,100.0
2019-08-25,74.0
2019-09-01,71.0
2019-09-08,63.0
2019-09-15,85.0
2019-09-22,66.0
2019-09-29,59.0
2019-10-06,60.0
2019-10-13,66.0
2019-10-20,65.0
2019-10-27,62.0
2019-11-03,63.0
2019-11-10,49.0
2019-11-17,60.0
2019-11-24,90.0
2019-12-01,68.0
2019-12-08,57.0
2019-12-15,63.0
2019-12-22,60.0
2019-12-29,84.0
2020-01-05,73.25825471698114
2020-01-12,77.2181603773585
2020-01-19,81.17806603773586
2020-01-26,75.23820754716982
2020-02-02,63.358490566037744
2020-02-09,61.378537735849065
2020-02-16,67.3183962264151
2020-02-23,71.27830188679246
2020-03-01,61.378537735849065
2020-03-08,55.438679245283026
2020-03-15,59.398584905660385
2020-03-22,31.679245283018872
2020-03-29,35.63915094339623
2020-04-05,39.59905660377359
2020-04-12,37.61910377358491
2020-04-19,45.53891509433963
2020-04-26,47.51886792452831
2020-05-03,41.57900943396227
2020-05-10,47.51886792452831
2020-05-17,45.53891509433963
2020-05-24,49.49882075471699
2020-05-31,43.55896226415095
2020-06-07,53.45872641509435
2020-06-14,57.418632075471706
2020-06-21,55.438679245283026
2020-06-28,61.378537735849065
2020-07-05,61.378537735849065
2020-07-12,59.398584905660385
2020-07-19,57.418632075471706
2020-07-26,55.438679245283026
2020-08-02,49.49882075471699
2020-08-09,65.33844339622642
2020-08-16,61.378537735849065
2020-08-23,57.418632075471706
2020-08-30,59.398584905660385
2020-09-06,65.33844339622642
2020-09-13,65.33844339622642
2020-09-20,61.378537735849065
2020-09-27,61.378537735849065
2020-10-04,51.47877358490567
2020-10-11,53.45872641509435
2020-10-18,53.45872641509435
2020-10-25,57.418632075471706
2020-11-01,51.47877358490567
2020-11-08,49.49882075471699
2020-11-15,61.378537735849065
2020-11-22,55.438679245283026
2020-11-29,53.45872641509435
2020-12-06,51.47877358490567
2020-12-13,53.45872641509435
2020-12-20,47.51886792452831
2020-12-27,51.47877358490567
2021-01-03,55.438679245283026
2021-01-10,53.45872641509435
2021-01-17,57.418632075471706
2021-01-24,61.378537735849065
2021-01-31,63.358490566037744
2021-02-07,61.378537735849065
2021-02-14,65.33844339622642
2021-02-21,63.358490566037744
2021-02-28,59.398584905660385
2021-03-07,63.358490566037744
2021-03-14,69.29834905660378
2021-03-21,65.33844339622642
2021-03-28,63.358490566037744
2021-04-04,53.45872641509435
2021-04-11,35.63915094339623
2021-04-18,59.398584905660385
2021-04-25,55.438679245283026
2021-05-02,73.25825471698114
2021-05-09,59.398584905660385
2021-05-16,59.398584905660385
2021-05-23,53.45872641509435
2021-05-30,59.398584905660385
2021-06-06,61.378537735849065
2021-06-13,59.398584905660385
2021-06-20,55.438679245283026
2021-06-27,65.33844339622642
2021-07-04,67.3183962264151
2021-07-11,65.33844339622642
2021-07-18,63.358490566037744
2021-07-25,65.33844339622642
2021-08-01,63.358490566037744
2021-08-08,61.378537735849065
2021-08-15,57.418632075471706
2021-08-22,55.438679245283026
2021-08-29,65.33844339622642
2021-09-05,59.398584905660385
2021-09-12,59.398584905660385
2021-09-19,63.358490566037744
2021-09-26,61.378537735849065
2021-10-03,59.398584905660385
2021-10-10,65.33844339622642
2021-10-17,53.45872641509435
2021-10-24,65.33844339622642
2021-10-31,59.398584905660385
2021-11-07,59.398584905660385
2021-11-14,61.378537735849065
2021-11-21,61.378537735849065
2021-11-28,63.358490566037744
2021-12-05,59.398584905660385
2021-12-12,71.27830188679246
2021-12-19,59.398584905660385
2021-12-26,69.29834905660378
2022-01-02,91.07783018867926
2022-01-09,79.19811320754718
2022-01-16,79.19811320754718
2022-01-23,95.03773584905662
2022-01-30,79.19811320754718
2022-02-06,91.07783018867926
2022-02-13,91.07783018867926
2022-02-20,97.0176886792453
2022-02-27,104.93750000000001
2022-03-06,100.97759433962266
2022-03-13,100.97759433962266
2022-03-20,97.0176886792453
2022-03-27,81.17806603773586
2022-04-03,69.29834905660378
2022-04-10,49.49882075471699
2022-04-17,87.1179245283019
2022-04-24,95.03773584905662
2022-05-01,83.15801886792454
2022-05-08,91.07783018867926
2022-05-15,81.17806603773586
2022-05-22,79.19811320754718
2022-05-29,100.97759433962266
2022-06-05,91.07783018867926
2022-06-12,81.17806603773586
2022-06-19,89.09787735849058
2022-06-26,83.15801886792454
2022-07-03,83.15801886792454
2022-07-10,79.19811320754718
2022-07-17,91.07783018867926
2022-07-24,83.15801886792454
2022-07-31,93.05778301886794
2022-08-07,89.09787735849058
2022-08-14,95.03773584905662
2022-08-21,83.15801886792454
2022-08-28,100.97759433962266
2022-09-04,85.13797169811322
2022-09-11,83.15801886792454
2022-09-18,91.07783018867926
2022-09-25,98.99764150943398
2022-10-02,100.97759433962266
2022-10-09,130.67688679245285
2022-10-16,102.95754716981133
2022-10-23,93.05778301886794
2022-10-30,91.07783018867926
2022-11-06,83.15801886792454
2022-11-13,95.03773584905662
2022-11-20,97.0176886792453
2022-11-27,97.0176886792453
2022-12-04,83.15801886792454
2022-12-11,85.13797169811322
2022-12-18,85.13797169811322
2022-12-25,79.19811320754718
2023-01-01,95.03773584905662
2023-01-08,100.97759433962266
2023-01-15,97.0176886792453
2023-01-22,114.83726415094341
2023-01-29,112.85731132075473
2023-02-05,110.87735849056605
2023-02-12,98.99764150943398
2023-02-19,110.87735849056605
2023-02-26,102.95754716981133
2023-03-05,85.13797169811322
2023-03-12,97.0176886792453
2023-03-19,106.9174528301887
2023-03-26,95.03773584905662
2023-04-02,73.25825471698114
2023-04-09,55.438679245283026
2023-04-16,102.95754716981133
2023-04-23,95.03773584905662
2023-04-30,69.29834905660378
2023-05-07,93.05778301886794
2023-05-14,95.03773584905662
2023-05-21,97.0176886792453
2023-05-28,91.07783018867926
2023-06-04,102.95754716981133
2023-06-11,106.9174528301887
2023-06-18,95.03773584905662
2023-06-25,89.09787735849058
2023-07-02,87.1179245283019
2023-07-09,102.95754716981133
2023-07-16,100.97759433962266
2023-07-23,102.95754716981133
2023-07-30,98.99764150943398
2023-08-06,102.95754716981133
2023-08-13,108.89740566037737
2023-08-20,95.03773584905662
2023-08-27,87.1179245283019
2023-09-03,91.07783018867926
2023-09-10,91.07783018867926
2023-09-17,97.0176886792453
2023-09-24,83.15801886792454
2023-10-01,87.1179245283019
2023-10-08,130.67688679245285
2023-10-15,93.05778301886794
2023-10-22,89.09787735849058
2023-10-29,98.99764150943398
2023-11-05,97.0176886792453
2023-11-12,110.87735849056605
2023-11-19,110.87735849056605
2023-11-26,132.65683962264154
2023-12-03,118.79716981132077
2023-12-10,120.77712264150945
2023-12-17,108.89740566037737
2023-12-24,116.81721698113209
2023-12-31,197.99528301886795
2024-01-07,155.41892376648445
2024-01-14,134.41636650074332
2024-01-21,123.91508786787276
2024-01-28,128.11559932102097
2024-02-04,128.11559932102097
2024-02-11,134.41636650074332
2024-02-18,107.11304205527983
2024-02-25,107.11304205527983
2024-03-03,98.71201914898337
2024-03-10,98.71201914898337
2024-03-17,98.71201914898337
2024-03-24,105.01278632870572
2024-03-31,115.5140649615763
2024-04-07,69.30843897694578
2024-04-14,79.80971760981635
2024-04-21,98.71201914898337
2024-04-28,109.21329778185395
2024-05-05,105.01278632870572
2024-05-12,113.41380923500218
2024-05-19,86.11048478953869
2024-05-26,117.6143206881504
2024-06-02,117.6143206881504
2024-06-09,109.21329778185395
2024-06-16,94.51150769583515
2024-06-23,105.01278632870572
2024-06-30,105.01278632870572
2024-07-07,119.71457641472452
2024-07-14,119.71457641472452
2024-07-21,115.5140649615763
2024-07-28,111.31355350842806
2024-08-04,119.71457641472452
2024-08-11,119.71457641472452
2024-08-18,94.51150769583515
2024-08-25,92.41125196926103
2024-09-01,105.01278632870572
2024-09-08,100.81227487555749
2024-09-15,69.30843897694578
2024-09-22,94.51150769583515
2024-09-29,128.11559932102097
2024-10-06,109.21329778185395
2024-10-13,105.01278632870572
2024-10-20,111.31355350842806
2024-10-27,105.01278632870572
2024-11-03,102.91253060213161
2024-11-10,98.71201914898337
2024-11-17,123.91508786787276
2024-11-24,210.02557265741143
2024-12-01,144.9176451336139
2024-12-08,119.71457641472452
2024-12-15,128.11559932102097
2024-12-22,98.71201914898337
2024-12-29,102.91253060213161
2025-01-05,111.31355350842806
2025-01-12,102.91253060213161
2025-01-19,132.3161107741692
2025-01-26,126.01534359444686
2025-02-02,107.11304205527983
2025-02-09,92.41125196926103
2025-02-16,113.41380923500218
2025-02-23,115.5140649615763
2025-03-02,100.81227487555749
2025-03-09,96.61176342240927
2025-03-16,105.01278632870572
2025-03-23,119.71457641472452
2025-03-30,123.91508786787276
2025-04-06,117.6143206881504
2025-04-13,81.90997333639046
2025-04-20,132.3161107741692
2025-04-27,140.71713368046568
2025-05-04,119.71457641472452
2025-05-11,94.51150769583515
2025-05-18,126.01534359444686
2025-05-25,115.5140649615763
2025-06-01,121.81483214129864
2025-06-08,115.5140649615763
2025-06-15,121.81483214129864
2025-06-22,117.6143206881504
2025-06-29,105.01278632870572
2025-07-06,105.01278632870572
2025-07-13,109.21329778185395
2025-07-20,123.91508786787276
2025-07-27,111.31355350842806
2025-08-03,98.71201914898337
2025-08-10,98.71201914898337
2025-08-17,94.51150769583515
2025-08-24,96.61176342240927
2025-08-31,92.41125196926103
2025-09-07,98.71201914898337
2025-09-14,123.91508786787276
2025-09-21,119.71457641472452
2025-09-28,123.91508786787276
2025-10-05,98.71201914898337
2025-10-12,107.11304205527983
2025-10-19,102.91253060213161
2025-10-26,105.01278632870572
2025-11-02,102.91253060213161
2025-11-09,115.5140649615763
2025-11-16,123.91508786787276
2025-11-23,151.21841231333624
2025-11-30,107.11304205527983
2025-12-07,109.21329778185395
2025-12-14,109.21329778185395
2025-12-21,98.71201914898337
2025-12-28,115.5140649615763
2026-01-04,113.41380923500218
