,Beauty & Fitness
2022-01-02,76.31156930126002
2022-01-09,76.31156930126002
2022-01-16,68.68041237113401
2022-01-23,76.31156930126002
2022-01-30,72.49599083619702
2022-02-06,76.31156930126002
2022-02-13,82.03493699885452
2022-02-20,80.12714776632302
2022-02-27,80.12714776632302
2022-03-06,78.21935853379152
2022-03-13,78.21935853379152
2022-03-20,83.94272623138602
2022-03-27,127.82187857961053
2022-04-03,129.72966781214203
2022-04-10,135.45303550973654
2022-04-17,146.89977090492553
2022-04-24,160.25429553264604
2022-05-01,179.33218785796103
2022-05-08,156.43871706758304
2022-05-15,152.62313860252004
2022-05-22,137.36082474226802
2022-05-29,99.20504009163803
2022-06-05,74.40378006872852
2022-06-12,76.31156930126002
2022-06-19,80.12714776632302
2022-06-26,76.31156930126002
2022-07-03,85.85051546391752
2022-07-10,85.85051546391752
2022-07-17,83.94272623138602
2022-07-24,80.12714776632302
2022-07-31,80.12714776632302
2022-08-07,82.03493699885452
2022-08-14,78.21935853379152
2022-08-21,78.21935853379152
2022-08-28,78.21935853379152
2022-09-04,72.49599083619702
2022-09-11,72.49599083619702
2022-09-18,70.58820160366551
2022-09-25,72.49599083619702
2022-10-02,72.49599083619702
2022-10-09,74.40378006872852
2022-10-16,72.49599083619702
2022-10-23,72.49599083619702
2022-10-30,74.40378006872852
2022-11-06,72.49599083619702
2022-11-13,78.21935853379152
2022-11-20,72.49599083619702
2022-11-27,74.40378006872852
2022-12-04,76.31156930126002
2022-12-11,76.31156930126002
2022-12-18,82.03493699885452
2022-12-25,83.94272623138602
2023-01-01,72.49599083619702
2023-01-08,78.21935853379152
2023-01-15,78.21935853379152
2023-01-22,80.12714776632302
2023-01-29,78.21935853379152
2023-02-05,76.31156930126002
2023-02-12,80.12714776632302
2023-02-19,82.03493699885452
2023-02-26,76.31156930126002
2023-03-05,78.21935853379152
2023-03-12,78.21935853379152
2023-03-19,76.31156930126002
2023-03-26,97.29725085910653
2023-04-02,135.45303550973654
2023-04-09,141.17640320733102
2023-04-16,160.25429553264604
2023-04-23,150.71534936998853
2023-04-30,171.70103092783503
2023-05-07,165.97766323024055
2023-05-14,190.77892325315005
2023-05-21,173.60882016036655
2023-05-28,150.71534936998853
2023-06-04,83.94272623138602
2023-06-11,82.03493699885452
2023-06-18,82.03493699885452
2023-06-25,89.66609392898052
2023-07-02,80.12714776632302
2023-07-09,80.12714776632302
2023-07-16,82.03493699885452
2023-07-23,80.12714776632302
2023-07-30,80.12714776632302
2023-08-06,83.94272623138602
2023-08-13,82.03493699885452
2023-08-20,82.03493699885452
2023-08-27,74.40378006872852
2023-09-03,78.21935853379152
2023-09-10,74.40378006872852
2023-09-17,72.49599083619702
2023-09-24,76.31156930126002
2023-10-01,72.49599083619702
2023-10-08,74.40378006872852
2023-10-15,74.40378006872852
2023-10-22,74.40378006872852
2023-10-29,78.21935853379152
2023-11-05,76.31156930126002
2023-11-12,76.31156930126002
2023-11-19,78.21935853379152
2023-11-26,80.12714776632302
2023-12-03,78.21935853379152
2023-12-10,82.03493699885452
2023-12-17,89.66609392898052
2023-12-24,87.75830469644902
2023-12-31,83.94272623138602
2024-01-07,82.03493699885452
2024-01-14,80.12714776632302
2024-01-21,76.31156930126002
2024-01-28,82.03493699885452
2024-02-04,80.12714776632302
2024-02-11,83.94272623138602
2024-02-18,83.94272623138602
2024-02-25,82.03493699885452
2024-03-03,83.94272623138602
2024-03-10,82.03493699885452
2024-03-17,104.92840778923252
2024-03-24,146.89977090492553
2024-03-31,146.89977090492553
2024-04-07,144.99198167239405
2024-04-14,156.43871706758304
2024-04-21,171.70103092783503
2024-04-28,171.70103092783503
2024-05-05,175.51660939289803
2024-05-12,183.14776632302403
2024-05-19,150.71534936998853
2024-05-26,97.29725085910653
2024-06-02,80.12714776632302
2024-06-09,83.94272623138602
2024-06-16,82.03493699885452
2024-06-23,78.21935853379152
2024-06-30,80.12714776632302
2024-07-07,82.03493699885452
2024-07-14,82.03493699885452
2024-07-21,83.94272623138602
2024-07-28,80.12714776632302
2024-08-04,82.03493699885452
2024-08-11,83.94272623138602
2024-08-18,80.12714776632302
2024-08-25,83.94272623138602
2024-09-01,80.12714776632302
2024-09-08,80.12714776632302
2024-09-15,74.40378006872852
2024-09-22,70.58820160366551
2024-09-29,70.58820160366551
2024-10-06,78.21935853379152
2024-10-13,76.31156930126002
2024-10-20,76.31156930126002
2024-10-27,78.21935853379152
2024-11-03,80.12714776632302
2024-11-10,80.12714776632302
2024-11-17,78.21935853379152
2024-11-24,91.57388316151201
2024-12-01,82.03493699885452
2024-12-08,85.85051546391752
2024-12-15,93.48167239404353
2024-12-22,97.29725085910653
2024-12-29,89.66609392898052
2025-01-05,82.03493699885452
2025-01-12,82.03493699885452
2025-01-19,80.12714776632302
2025-01-26,82.03493699885452
2025-02-02,83.94272623138602
2025-02-09,78.21935853379152
2025-02-16,76.31156930126002
2025-02-23,78.21935853379152
2025-03-02,76.31156930126002
2025-03-09,80.12714776632302
2025-03-16,95.38946162657503
2025-03-23,141.17640320733102
2025-03-30,152.62313860252004
2025-04-06,139.26861397479954
2025-04-13,141.17640320733102
2025-04-20,144.99198167239405
2025-04-27,156.43871706758304
2025-05-04,127.82187857961053
2025-05-11,85.85051546391752
2025-05-18,143.08419243986253
2025-05-25,156.43871706758304
2025-06-01,131.63745704467354
2025-06-08,82.03493699885452
2025-06-15,80.12714776632302
2025-06-22,80.12714776632302
2025-06-29,78.21935853379152
2025-07-06,78.21935853379152
2025-07-13,76.31156930126002
2025-07-20,78.21935853379152
2025-07-27,78.21935853379152
2025-08-03,85.85051546391752
2025-08-10,80.12714776632302
2025-08-17,78.21935853379152
2025-08-24,78.21935853379152
2025-08-31,78.21935853379152
2025-09-07,70.58820160366551
2025-09-14,70.58820160366551
2025-09-21,70.58820160366551
2025-09-28,70.58820160366551
2025-10-05,74.40378006872852
2025-10-12,74.40378006872852
2025-10-19,74.40378006872852
2025-10-26,72.49599083619702
2025-11-02,78.21935853379152
2025-11-09,78.21935853379152
2025-11-16,78.21935853379152
2025-11-23,66.77262313860251
2025-11-30,68.68041237113401
2025-12-07,82.03493699885452
2025-12-14,87.75830469644902
2025-12-21,89.66609392898052
2025-12-28,87.75830469644902
2026-01-04,80.12714776632302
