,Autos & Vehicles
2023-11-12,87.02780837004407
2023-11-19,90.4185022026432
2023-11-26,98.33012114537446
2023-12-03,97.19988986784143
2023-12-10,94.93942731277535
2023-12-17,99.4603524229075
2023-12-24,111.89289647577095
2023-12-31,102.85104625550663
2024-01-07,94.80154727827963
2024-01-14,93.68623495735869
2024-01-21,90.34029799459589
2024-01-28,91.45561031551682
2024-02-04,93.68623495735869
2024-02-11,89.22498567367495
2024-02-18,91.45561031551682
2024-02-25,86.99436103183307
2024-03-03,90.34029799459589
2024-03-10,85.87904871091213
2024-03-17,90.34029799459589
2024-03-24,86.99436103183307
2024-03-31,91.45561031551682
2024-04-07,91.45561031551682
2024-04-14,86.99436103183307
2024-04-21,92.57092263643776
2024-04-28,90.34029799459589
2024-05-05,90.34029799459589
2024-05-12,89.22498567367495
2024-05-19,92.57092263643776
2024-05-26,86.99436103183307
2024-06-02,86.99436103183307
2024-06-09,91.45561031551682
2024-06-16,94.80154727827963
2024-06-23,89.22498567367495
2024-06-30,95.91685959920056
2024-07-07,92.57092263643776
2024-07-14,94.80154727827963
2024-07-21,95.91685959920056
2024-07-28,100.3781088828843
2024-08-04,91.45561031551682
2024-08-11,99.26279656196337
2024-08-18,94.80154727827963
2024-08-25,93.68623495735869
2024-09-01,86.99436103183307
2024-09-08,92.57092263643776
2024-09-15,92.57092263643776
2024-09-22,90.34029799459589
2024-09-29,93.68623495735869
2024-10-06,89.22498567367495
2024-10-13,92.57092263643776
2024-10-20,90.34029799459589
2024-10-27,84.7637363899912
2024-11-03,88.109673352754
2024-11-10,89.22498567367495
2024-11-17,81.41779942722839
2024-11-24,85.87904871091213
2024-12-01,82.53311174814932
2024-12-08,83.64842406907026
2024-12-15,83.64842406907026
2024-12-22,91.45561031551682
2024-12-29,84.7637363899912
2025-01-05,83.64842406907026
2025-01-12,80.30248710630745
2025-01-19,81.41779942722839
2025-01-26,84.7637363899912
2025-02-02,82.53311174814932
2025-02-09,82.53311174814932
2025-02-16,85.87904871091213
2025-02-23,82.53311174814932
2025-03-02,78.07186246446558
2025-03-09,76.95655014354463
2025-03-16,84.7637363899912
2025-03-23,86.99436103183307
2025-03-30,107.06998280840993
2025-04-06,85.87904871091213
2025-04-13,83.64842406907026
2025-04-20,81.41779942722839
2025-04-27,101.49342120380526
2025-05-04,80.30248710630745
2025-05-11,80.30248710630745
2025-05-18,89.22498567367495
2025-05-25,84.7637363899912
2025-06-01,82.53311174814932
2025-06-08,86.99436103183307
2025-06-15,91.45561031551682
2025-06-22,93.68623495735869
2025-06-29,90.34029799459589
2025-07-06,89.22498567367495
2025-07-13,91.45561031551682
2025-07-20,88.109673352754
2025-07-27,90.34029799459589
2025-08-03,84.7637363899912
2025-08-10,86.99436103183307
2025-08-17,89.22498567367495
2025-08-24,83.64842406907026
2025-08-31,86.99436103183307
2025-09-07,88.109673352754
2025-09-14,86.99436103183307
2025-09-21,93.68623495735869
2025-09-28,84.7637363899912
2025-10-05,89.22498567367495
2025-10-12,90.34029799459589
2025-10-19,80.30248710630745
2025-10-26,84.7637363899912
2025-11-02,93.68623495735869
2025-11-09,84.7637363899912
2025-11-16,86.99436103183307
2025-11-23,85.87904871091213
2025-11-30,82.53311174814932
2025-12-07,86.99436103183307
2025-12-14,84.7637363899912
2025-12-21,95.91685959920056
2025-12-28,86.99436103183307
2026-01-04,97.0321719201215
