,Textiles & Nonwovens
2024-04-14,92.36847809342132
2024-04-21,101.30736307020402
2024-04-28,105.77680555859537
2024-05-05,107.26661972139249
2024-05-12,110.24624804698674
2024-05-19,99.8175489074069
2024-05-26,110.24624804698674
2024-06-02,111.73606220978385
2024-06-09,114.71569053537809
2024-06-16,99.8175489074069
2024-06-23,107.26661972139249
2024-06-30,111.73606220978385
2024-07-07,117.69531886097232
2024-07-14,113.22587637258097
2024-07-21,116.2055046981752
2024-07-28,108.75643388418962
2024-08-04,108.75643388418962
2024-08-11,120.67494718656656
2024-08-18,122.16476134936367
2024-08-25,107.26661972139249
2024-09-01,111.73606220978385
2024-09-08,102.79717723300114
2024-09-15,92.36847809342132
2024-09-22,95.34810641901555
2024-09-29,102.79717723300114
2024-10-06,101.30736307020402
2024-10-13,101.30736307020402
2024-10-20,105.77680555859537
2024-10-27,101.30736307020402
2024-11-03,108.75643388418962
2024-11-10,99.8175489074069
2024-11-17,114.71569053537809
2024-11-24,116.2055046981752
2024-12-01,116.2055046981752
2024-12-08,110.24624804698674
2024-12-15,122.16476134936367
2024-12-22,110.24624804698674
2024-12-29,104.28699139579825
2025-01-05,110.24624804698674
2025-01-12,122.16476134936367
2025-01-19,110.24624804698674
2025-01-26,108.75643388418962
2025-02-02,116.2055046981752
2025-02-09,116.2055046981752
2025-02-16,117.69531886097232
2025-02-23,120.67494718656656
2025-03-02,126.63420383775502
2025-03-09,126.63420383775502
2025-03-16,129.61383216334926
2025-03-23,137.06290297733486
2025-03-30,134.08327465174062
2025-04-06,123.65457551216079
2025-04-13,107.26661972139249
2025-04-20,129.61383216334926
2025-04-27,126.63420383775502
2025-05-04,125.1443896749579
2025-05-11,107.26661972139249
2025-05-18,129.61383216334926
2025-05-25,131.1036463261464
2025-06-01,141.5323454657262
2025-06-08,114.71569053537809
2025-06-15,131.1036463261464
2025-06-22,128.12401800055216
2025-06-29,126.63420383775502
2025-07-06,129.61383216334926
2025-07-13,125.1443896749579
2025-07-20,131.1036463261464
2025-07-27,122.16476134936367
2025-08-03,117.69531886097232
2025-08-10,126.63420383775502
2025-08-17,123.65457551216079
2025-08-24,129.61383216334926
2025-08-31,117.69531886097232
2025-09-07,108.75643388418962
2025-09-14,120.67494718656656
2025-09-21,119.18513302376944
2025-09-28,126.63420383775502
2025-10-05,116.2055046981752
2025-10-12,137.06290297733486
2025-10-19,132.5934604889435
2025-10-26,126.63420383775502
2025-11-02,147.4916021169147
2025-11-09,122.16476134936367
2025-11-16,132.5934604889435
2025-11-23,110.24624804698674
2025-11-30,99.8175489074069
2025-12-07,135.57308881453773
2025-12-14,132.5934604889435
2025-12-21,144.51197379132046
2025-12-28,132.5934604889435
