,Advertising & Marketing
2023-01-08,137.7373304782298
2023-01-15,128.75446109921484
2023-01-22,139.2344753747323
2023-01-29,131.74875089221982
2023-02-05,122.76588151320485
2023-02-12,131.74875089221982
2023-02-19,134.74304068522483
2023-02-26,134.74304068522483
2023-03-05,131.74875089221982
2023-03-12,125.76017130620984
2023-03-19,122.76588151320485
2023-03-26,128.75446109921484
2023-04-02,122.76588151320485
2023-04-09,115.28015703069235
2023-04-16,128.75446109921484
2023-04-23,136.24018558172733
2023-04-30,122.76588151320485
2023-05-07,140.73162027123482
2023-05-14,137.7373304782298
2023-05-21,134.74304068522483
2023-05-28,131.74875089221982
2023-06-04,139.2344753747323
2023-06-11,134.74304068522483
2023-06-18,137.7373304782298
2023-06-25,134.74304068522483
2023-07-02,139.2344753747323
2023-07-09,146.7201998572448
2023-07-16,149.71448965024982
2023-07-23,142.22876516773732
2023-07-30,139.2344753747323
2023-08-06,136.24018558172733
2023-08-13,142.22876516773732
2023-08-20,140.73162027123482
2023-08-27,134.74304068522483
2023-09-03,130.25160599571734
2023-09-10,118.27444682369735
2023-09-17,139.2344753747323
2023-09-24,134.74304068522483
2023-10-01,124.26302640970734
2023-10-08,124.26302640970734
2023-10-15,119.77159172019984
2023-10-22,128.75446109921484
2023-10-29,140.73162027123482
2023-11-05,130.25160599571734
2023-11-12,131.74875089221982
2023-11-19,125.76017130620984
2023-11-26,134.74304068522483
2023-12-03,130.25160599571734
2023-12-10,125.76017130620984
2023-12-17,133.24589578872232
2023-12-24,145.2230549607423
2023-12-31,142.22876516773732
2024-01-07,142.2287651677373
2024-01-14,134.7430406852248
2024-01-21,130.2516059957173
2024-01-28,137.7373304782298
2024-02-04,134.7430406852248
2024-02-11,140.7316202712348
2024-02-18,130.2516059957173
2024-02-25,134.7430406852248
2024-03-03,133.2458957887223
2024-03-10,128.7544610992148
2024-03-17,130.2516059957173
2024-03-24,133.2458957887223
2024-03-31,128.7544610992148
2024-04-07,112.28586723768734
2024-04-14,127.25731620271232
2024-04-21,128.7544610992148
2024-04-28,127.25731620271232
2024-05-05,130.2516059957173
2024-05-12,125.76017130620981
2024-05-19,125.76017130620981
2024-05-26,146.72019985724478
2024-06-02,142.2287651677373
2024-06-09,142.2287651677373
2024-06-16,127.25731620271232
2024-06-23,133.2458957887223
2024-06-30,142.2287651677373
2024-07-07,134.7430406852248
2024-07-14,130.2516059957173
2024-07-21,149.7144896502498
2024-07-28,130.2516059957173
2024-08-04,130.2516059957173
2024-08-11,128.7544610992148
2024-08-18,121.26873661670233
2024-08-25,110.78872234118484
2024-09-01,116.77730192719483
2024-09-08,118.27444682369733
2024-09-15,113.78301213418983
2024-09-22,121.26873661670233
2024-09-29,115.28015703069234
2024-10-06,116.77730192719483
2024-10-13,118.27444682369733
2024-10-20,127.25731620271232
2024-10-27,118.27444682369733
2024-11-03,107.79443254817984
2024-11-10,110.78872234118484
2024-11-17,113.78301213418983
2024-11-24,109.29157744468235
2024-12-01,115.28015703069234
2024-12-08,115.28015703069234
2024-12-15,124.26302640970732
2024-12-22,119.77159172019982
2024-12-29,119.77159172019982
2025-01-05,110.78872234118484
2025-01-12,119.77159172019982
2025-01-19,119.77159172019982
2025-01-26,110.78872234118484
2025-02-02,110.78872234118484
2025-02-09,119.77159172019982
2025-02-16,115.28015703069234
2025-02-23,118.27444682369733
2025-03-02,118.27444682369733
2025-03-09,103.30299785867236
2025-03-16,113.78301213418983
2025-03-23,112.28586723768734
2025-03-30,121.26873661670233
2025-04-06,116.77730192719483
2025-04-13,98.81156316916486
2025-04-20,115.28015703069234
2025-04-27,113.78301213418983
2025-05-04,106.29728765167735
2025-05-11,104.80014275517485
2025-05-18,119.77159172019982
2025-05-25,110.78872234118484
2025-06-01,113.78301213418983
2025-06-08,104.80014275517485
2025-06-15,127.25731620271232
2025-06-22,116.77730192719483
2025-06-29,119.77159172019982
2025-07-06,113.78301213418983
