,Libraries & Museums
2017-03-12,45.0
2017-03-19,45.0
2017-03-26,41.0
2017-04-02,48.0
2017-04-09,37.0
2017-04-16,56.0
2017-04-23,56.0
2017-04-30,65.0
2017-05-07,42.0
2017-05-14,44.0
2017-05-21,49.0
2017-05-28,50.0
2017-06-04,39.0
2017-06-11,58.0
2017-06-18,54.0
2017-06-25,62.0
2017-07-02,62.0
2017-07-09,58.0
2017-07-16,53.0
2017-07-23,48.0
2017-07-30,59.0
2017-08-06,59.0
2017-08-13,54.0
2017-08-20,60.0
2017-08-27,51.0
2017-09-03,48.0
2017-09-10,55.0
2017-09-17,45.0
2017-09-24,49.0
2017-10-01,48.0
2017-10-08,64.0
2017-10-15,67.0
2017-10-22,61.0
2017-10-29,47.0
2017-11-05,44.0
2017-11-12,55.0
2017-11-19,48.0
2017-11-26,58.0
2017-12-03,53.0
2017-12-10,56.0
2017-12-17,45.0
2017-12-24,40.0
2017-12-31,52.0
2018-01-07,54.0
2018-01-14,52.0
2018-01-21,50.0
2018-01-28,50.0
2018-02-04,53.0
2018-02-11,40.0
2018-02-18,56.0
2018-02-25,64.0
2018-03-04,58.0
2018-03-11,43.0
2018-03-18,56.0
2018-03-25,53.0
2018-04-01,38.0
2018-04-08,32.0
2018-04-15,50.0
2018-04-22,51.0
2018-04-29,41.0
2018-05-06,77.0
2018-05-13,62.0
2018-05-20,62.0
2018-05-27,63.0
2018-06-03,44.0
2018-06-10,54.0
2018-06-17,59.0
2018-06-24,51.0
2018-07-01,52.0
2018-07-08,73.0
2018-07-15,62.0
2018-07-22,54.0
2018-07-29,60.0
2018-08-05,59.0
2018-08-12,68.0
2018-08-19,62.0
2018-08-26,63.0
2018-09-02,60.0
2018-09-09,59.0
2018-09-16,57.0
2018-09-23,55.0
2018-09-30,62.0
2018-10-07,57.0
2018-10-14,65.0
2018-10-21,50.0
2018-10-28,57.0
2018-11-04,63.0
2018-11-11,58.0
2018-11-18,59.0
2018-11-25,57.0
2018-12-02,51.0
2018-12-09,67.0
2018-12-16,71.0
2018-12-23,58.0
2018-12-30,62.0
2019-01-06,57.0
2019-01-13,55.0
2019-01-20,54.0
2019-01-27,50.0
2019-02-03,57.0
2019-02-10,70.0
2019-02-17,69.0
2019-02-24,51.0
2019-03-03,60.0
2019-03-10,62.0
2019-03-17,60.0
2019-03-24,63.0
2019-03-31,49.0
2019-04-07,53.0
2019-04-14,47.0
2019-04-21,44.0
2019-04-28,35.0
2019-05-05,100.0
2019-05-12,50.0
2019-05-19,52.0
2019-05-26,61.0
2019-06-02,49.0
2019-06-09,64.0
2019-06-16,56.0
2019-06-23,74.0
2019-06-30,64.0
2019-07-07,56.0
2019-07-14,69.0
2019-07-21,64.0
2019-07-28,62.0
2019-08-04,72.0
2019-08-11,56.0
2019-08-18,69.0
2019-08-25,61.0
2019-09-01,64.0
2019-09-08,63.0
2019-09-15,55.0
2019-09-22,55.0
2019-09-29,51.0
2019-10-06,52.0
2019-10-13,60.0
2019-10-20,58.0
2019-10-27,57.0
2019-11-03,55.0
2019-11-10,54.0
2019-11-17,57.0
2019-11-24,56.0
2019-12-01,59.0
2019-12-08,59.0
2019-12-15,73.0
2019-12-22,71.0
2019-12-29,71.0
2020-01-05,59.14123630672927
2020-01-12,55.52034428794993
2020-01-19,72.41784037558686
2020-01-26,57.93427230046949
2020-02-02,65.17605633802818
2020-02-09,66.38302034428796
2020-02-16,78.45266040688577
2020-02-23,66.38302034428796
2020-03-01,76.0387323943662
2020-03-08,82.07355242566511
2020-03-15,62.76212832550861
2020-03-22,37.41588419405321
2020-03-29,43.45070422535212
2020-04-05,42.24374021909234
2020-04-12,41.03677621283256
2020-04-19,44.6576682316119
2020-04-26,66.38302034428796
2020-05-03,51.89945226917059
2020-05-10,53.10641627543037
2020-05-17,57.93427230046949
2020-05-24,48.278560250391244
2020-05-31,55.52034428794993
2020-06-07,51.89945226917059
2020-06-14,50.69248826291081
2020-06-21,54.31338028169015
2020-06-28,57.93427230046949
2020-07-05,53.10641627543037
2020-07-12,60.34820031298905
2020-07-19,57.93427230046949
2020-07-26,60.34820031298905
2020-08-02,48.278560250391244
2020-08-09,57.93427230046949
2020-08-16,54.31338028169015
2020-08-23,59.14123630672927
2020-08-30,67.58998435054774
2020-09-06,63.969092331768394
2020-09-13,71.21087636932708
2020-09-20,60.34820031298905
2020-09-27,56.72730829420971
2020-10-04,51.89945226917059
2020-10-11,50.69248826291081
2020-10-18,50.69248826291081
2020-10-25,45.86463223787168
2020-11-01,47.07159624413146
2020-11-08,45.86463223787168
2020-11-15,48.278560250391244
2020-11-22,53.10641627543037
2020-11-29,63.969092331768394
2020-12-06,53.10641627543037
2020-12-13,53.10641627543037
2020-12-20,50.69248826291081
2020-12-27,55.52034428794993
2021-01-03,42.24374021909234
2021-01-10,53.10641627543037
2021-01-17,56.72730829420971
2021-01-24,56.72730829420971
2021-01-31,45.86463223787168
2021-02-07,54.31338028169015
2021-02-14,50.69248826291081
2021-02-21,51.89945226917059
2021-02-28,51.89945226917059
2021-03-07,60.34820031298905
2021-03-14,47.07159624413146
2021-03-21,60.34820031298905
2021-03-28,61.55516431924883
2021-04-04,51.89945226917059
2021-04-11,42.24374021909234
2021-04-18,63.969092331768394
2021-04-25,48.278560250391244
2021-05-02,51.89945226917059
2021-05-09,56.72730829420971
2021-05-16,59.14123630672927
2021-05-23,54.31338028169015
2021-05-30,55.52034428794993
2021-06-06,72.41784037558686
2021-06-13,60.34820031298905
2021-06-20,68.79694835680752
2021-06-27,61.55516431924883
2021-07-04,62.76212832550861
2021-07-11,67.58998435054774
2021-07-18,59.14123630672927
2021-07-25,53.10641627543037
2021-08-01,61.55516431924883
2021-08-08,50.69248826291081
2021-08-15,56.72730829420971
2021-08-22,51.89945226917059
2021-08-29,57.93427230046949
2021-09-05,62.76212832550861
2021-09-12,120.6964006259781
2021-09-19,63.969092331768394
2021-09-26,60.34820031298905
2021-10-03,67.58998435054774
2021-10-10,59.14123630672927
2021-10-17,63.969092331768394
2021-10-24,66.38302034428796
2021-10-31,77.24569640062599
2021-11-07,68.79694835680752
2021-11-14,66.38302034428796
2021-11-21,67.58998435054774
2021-11-28,65.17605633802818
2021-12-05,68.79694835680752
2021-12-12,73.62480438184664
2021-12-19,73.62480438184664
2021-12-26,89.3153364632238
2022-01-02,92.93622848200314
2022-01-09,94.14319248826293
2022-01-16,80.86658841940533
2022-01-23,89.3153364632238
2022-01-30,94.14319248826293
2022-02-06,94.14319248826293
2022-02-13,111.04068857589986
2022-02-20,105.00586854460096
2022-02-27,97.76408450704227
2022-03-06,95.35015649452271
2022-03-13,100.17801251956183
2022-03-20,89.3153364632238
2022-03-27,89.3153364632238
2022-04-03,74.83176838810643
2022-04-10,66.38302034428796
2022-04-17,86.90140845070424
2022-04-24,82.07355242566511
2022-05-01,120.6964006259781
2022-05-08,97.76408450704227
2022-05-15,82.07355242566511
2022-05-22,105.00586854460096
2022-05-29,91.72926447574336
2022-06-05,88.10837245696402
2022-06-12,79.65962441314555
2022-06-19,89.3153364632238
2022-06-26,85.69444444444446
2022-07-03,94.14319248826293
2022-07-10,84.48748043818468
2022-07-17,91.72926447574336
2022-07-24,86.90140845070424
2022-07-31,89.3153364632238
2022-08-07,100.17801251956183
2022-08-14,105.00586854460096
2022-08-21,90.52230046948358
2022-08-28,83.2805164319249
2022-09-04,91.72926447574336
2022-09-11,92.93622848200314
2022-09-18,94.14319248826293
2022-09-25,98.97104851330205
2022-10-02,115.86854460093898
2022-10-09,103.79890453834118
2022-10-16,109.83372456964008
2022-10-23,98.97104851330205
2022-10-30,108.6267605633803
2022-11-06,114.66158059467921
2022-11-13,96.55712050078249
2022-11-20,89.3153364632238
2022-11-27,86.90140845070424
2022-12-04,72.41784037558686
2022-12-11,88.10837245696402
2022-12-18,84.48748043818468
2022-12-25,89.3153364632238
2023-01-01,76.0387323943662
2023-01-08,91.72926447574336
2023-01-15,89.3153364632238
2023-01-22,88.10837245696402
2023-01-29,97.76408450704227
2023-02-05,88.10837245696402
2023-02-12,85.69444444444446
2023-02-19,100.17801251956183
2023-02-26,89.3153364632238
2023-03-05,97.76408450704227
2023-03-12,91.72926447574336
2023-03-19,94.14319248826293
2023-03-26,86.90140845070424
2023-04-02,91.72926447574336
2023-04-09,50.69248826291081
2023-04-16,79.65962441314555
2023-04-23,91.72926447574336
2023-04-30,114.66158059467921
2023-05-07,92.93622848200314
2023-05-14,91.72926447574336
2023-05-21,88.10837245696402
2023-05-28,94.14319248826293
2023-06-04,89.3153364632238
2023-06-11,95.35015649452271
2023-06-18,92.93622848200314
2023-06-25,86.90140845070424
2023-07-02,96.55712050078249
2023-07-09,94.14319248826293
2023-07-16,103.79890453834118
2023-07-23,101.38497652582161
2023-07-30,96.55712050078249
2023-08-06,100.17801251956183
2023-08-13,117.07550860719876
2023-08-20,113.45461658841943
2023-08-27,107.41979655712052
2023-09-03,103.79890453834118
2023-09-10,90.52230046948358
2023-09-17,107.41979655712052
2023-09-24,98.97104851330205
2023-10-01,111.04068857589986
2023-10-08,86.90140845070424
2023-10-15,95.35015649452271
2023-10-22,91.72926447574336
2023-10-29,80.86658841940533
2023-11-05,86.90140845070424
2023-11-12,90.52230046948358
2023-11-19,88.10837245696402
2023-11-26,98.97104851330205
2023-12-03,92.93622848200314
2023-12-10,91.72926447574336
2023-12-17,89.3153364632238
2023-12-24,74.83176838810643
2023-12-31,97.76408450704227
2024-01-07,97.3644037054467
2024-01-14,103.26527665729196
2024-01-21,92.93874899156276
2024-01-28,100.31484018136933
2024-02-04,94.41396722952408
2024-02-11,103.26527665729196
2024-02-18,91.46353075360145
2024-02-25,98.83962194340802
2024-03-03,87.0378760397175
2024-03-10,98.83962194340802
2024-03-17,113.59180432302115
2024-03-24,94.41396722952408
2024-03-31,92.93874899156276
2024-04-07,72.28569366010437
2024-04-14,92.93874899156276
2024-04-21,101.79005841933065
2024-04-28,89.98831251564013
2024-05-05,147.52182379613137
2024-05-12,113.59180432302115
2024-05-19,82.61222132583356
2024-05-26,103.26527665729196
2024-06-02,91.46353075360145
2024-06-09,92.93874899156276
2024-06-16,98.83962194340802
2024-06-23,91.46353075360145
2024-06-30,115.06702256098247
2024-07-07,119.49267727486641
2024-07-14,98.83962194340802
2024-07-21,107.69093137117589
2024-07-28,106.21571313321459
2024-08-04,113.59180432302115
2024-08-11,119.49267727486641
2024-08-18,104.74049489525328
2024-08-25,92.93874899156276
2024-09-01,94.41396722952408
2024-09-08,92.93874899156276
2024-09-15,82.61222132583356
2024-09-22,85.56265780175619
2024-09-29,95.88918546748539
2024-10-06,101.79005841933065
2024-10-13,98.83962194340802
2024-10-20,109.16614960913721
2024-10-27,106.21571313321459
2024-11-03,92.93874899156276
2024-11-10,88.51309427767882
2024-11-17,94.41396722952408
2024-11-24,103.26527665729196
2024-12-01,84.08743956379487
2024-12-08,91.46353075360145
2024-12-15,95.88918546748539
2024-12-22,95.88918546748539
2024-12-29,92.93874899156276
2025-01-05,103.26527665729196
2025-01-12,88.51309427767882
2025-01-19,91.46353075360145
2025-01-26,100.31484018136933
2025-02-02,95.88918546748539
2025-02-09,103.26527665729196
2025-02-16,103.26527665729196
2025-02-23,91.46353075360145
2025-03-02,101.79005841933065
2025-03-09,88.51309427767882
2025-03-16,138.67051436836348
2025-03-23,98.83962194340802
2025-03-30,73.76091189806569
2025-04-06,88.51309427767882
2025-04-13,70.81047542214306
2025-04-20,84.08743956379487
2025-04-27,84.08743956379487
2025-05-04,131.2944231785569
2025-05-11,85.56265780175619
2025-05-18,91.46353075360145
2025-05-25,107.69093137117589
2025-06-01,85.56265780175619
2025-06-08,82.61222132583356
2025-06-15,94.41396722952408
2025-06-22,97.3644037054467
2025-06-29,92.93874899156276
2025-07-06,100.31484018136933
2025-07-13,91.46353075360145
2025-07-20,87.0378760397175
2025-07-27,98.83962194340802
2025-08-03,103.26527665729196
2025-08-10,100.31484018136933
2025-08-17,98.83962194340802
2025-08-24,92.93874899156276
2025-08-31,95.88918546748539
2025-09-07,88.51309427767882
2025-09-14,94.41396722952408
2025-09-21,98.83962194340802
2025-09-28,95.88918546748539
2025-10-05,101.79005841933065
2025-10-12,97.3644037054467
2025-10-19,125.39355022671167
2025-10-26,94.41396722952408
2025-11-02,95.88918546748539
2025-11-09,88.51309427767882
2025-11-16,91.46353075360145
2025-11-23,79.66178484991094
2025-11-30,84.08743956379487
2025-12-07,81.13700308787226
2025-12-14,97.3644037054467
2025-12-21,85.56265780175619
2025-12-28,95.88918546748539
2026-01-04,97.3644037054467
