,Travel
2023-12-10,87.5034965034965
2023-12-17,94.13254926891291
2023-12-24,102.0874125874126
2023-12-31,88.8293070565798
2024-01-07,93.31353319345872
2024-01-14,81.9085458031471
2024-01-21,83.98217987411286
2024-01-28,74.65082655476698
2024-02-04,75.68764359024986
2024-02-11,76.72446062573273
2024-02-18,73.61400951928411
2024-02-25,73.61400951928411
2024-03-03,75.68764359024986
2024-03-10,71.54037544831836
2024-03-17,82.94536283862998
2024-03-24,87.09263098056148
2024-03-31,80.87172876766422
2024-04-07,79.83491173218135
2024-04-14,86.0558139450786
2024-04-21,92.27671615797586
2024-04-28,89.16626505152723
2024-05-05,92.27671615797586
2024-05-12,91.23989912249297
2024-05-19,100.57125244183885
2024-05-26,99.53443540635598
2024-06-02,82.94536283862998
2024-06-09,89.16626505152723
2024-06-16,88.12944801604435
2024-06-23,82.94536283862998
2024-06-30,79.83491173218135
2024-07-07,77.7612776612156
2024-07-14,79.83491173218135
2024-07-21,75.68764359024986
2024-07-28,76.72446062573273
2024-08-04,74.65082655476698
2024-08-11,81.9085458031471
2024-08-18,78.79809469669848
2024-08-25,79.83491173218135
2024-09-01,73.61400951928411
2024-09-08,75.68764359024986
2024-09-15,75.68764359024986
2024-09-22,73.61400951928411
2024-09-29,72.57719248380123
2024-10-06,77.7612776612156
2024-10-13,96.42398429990735
2024-10-20,99.53443540635598
2024-10-27,81.9085458031471
2024-11-03,77.7612776612156
2024-11-10,76.72446062573273
2024-11-17,70.50355841283549
2024-11-24,72.57719248380123
2024-12-01,68.42992434186974
2024-12-08,71.54037544831836
2024-12-15,74.65082655476698
2024-12-22,94.35035022894161
2024-12-29,83.98217987411286
2025-01-05,72.57719248380123
2025-01-12,73.61400951928411
2025-01-19,71.54037544831836
2025-01-26,77.7612776612156
2025-02-02,71.54037544831836
2025-02-09,72.57719248380123
2025-02-16,71.54037544831836
2025-02-23,65.31947323542111
2025-03-02,83.98217987411286
2025-03-09,83.98217987411286
2025-03-16,82.94536283862998
2025-03-23,76.72446062573273
2025-03-30,87.09263098056148
2025-04-06,78.79809469669848
2025-04-13,81.9085458031471
2025-04-20,90.2030820870101
2025-04-27,81.9085458031471
2025-05-04,78.79809469669848
2025-05-11,75.68764359024986
2025-05-18,77.7612776612156
2025-05-25,85.01899690959573
2025-06-01,76.72446062573273
2025-06-08,83.98217987411286
2025-06-15,79.83491173218135
2025-06-22,72.57719248380123
2025-06-29,69.4667413773526
2025-07-06,71.54037544831836
2025-07-13,70.50355841283549
2025-07-20,71.54037544831836
2025-07-27,68.42992434186974
2025-08-03,71.54037544831836
2025-08-10,74.65082655476698
2025-08-17,70.50355841283549
2025-08-24,66.35629027090398
2025-08-31,64.28265619993823
2025-09-07,63.24583916445536
2025-09-14,63.24583916445536
2025-09-21,66.35629027090398
2025-09-28,65.31947323542111
2025-10-05,66.35629027090398
2025-10-12,65.31947323542111
2025-10-19,63.24583916445536
2025-10-26,73.61400951928411
2025-11-02,72.57719248380123
2025-11-09,69.4667413773526
2025-11-16,69.4667413773526
2025-11-23,68.42992434186974
2025-11-30,76.72446062573273
2025-12-07,71.54037544831836
2025-12-14,80.87172876766422
2025-12-21,89.16626505152723
2025-12-28,81.9085458031471
2026-01-04,74.65082655476698
