,Civil Engineering
2022-08-28,68.02286773794808
2022-09-04,72.34177997527811
2022-09-11,88.53770086526575
2022-09-18,77.74042027194066
2022-09-25,87.45797280593324
2022-10-02,78.82014833127317
2022-10-09,78.82014833127317
2022-10-16,64.78368355995055
2022-10-23,73.42150803461062
2022-10-30,79.89987639060568
2022-11-06,66.94313967861557
2022-11-13,80.97960444993818
2022-11-20,78.82014833127317
2022-11-27,76.66069221260815
2022-12-04,72.34177997527811
2022-12-11,76.66069221260815
2022-12-18,75.58096415327564
2022-12-25,74.50123609394313
2023-01-01,63.70395550061804
2023-01-08,84.21878862793571
2023-01-15,69.10259579728059
2023-01-22,70.1823238566131
2023-01-29,70.1823238566131
2023-02-05,75.58096415327564
2023-02-12,80.97960444993818
2023-02-19,74.50123609394313
2023-02-26,72.34177997527811
2023-03-05,72.34177997527811
2023-03-12,77.74042027194066
2023-03-19,63.70395550061804
2023-03-26,66.94313967861557
2023-04-02,51.82694684796044
2023-04-09,52.906674907292945
2023-04-16,68.02286773794808
2023-04-23,73.42150803461062
2023-04-30,64.78368355995055
2023-05-07,74.50123609394313
2023-05-14,64.78368355995055
2023-05-21,82.05933250927069
2023-05-28,72.34177997527811
2023-06-04,73.42150803461062
2023-06-11,77.74042027194066
2023-06-18,79.89987639060568
2023-06-25,68.02286773794808
2023-07-02,82.05933250927069
2023-07-09,101.49443757725587
2023-07-16,87.45797280593324
2023-07-23,86.37824474660073
2023-07-30,92.85661310259579
2023-08-06,77.74042027194066
2023-08-13,101.49443757725587
2023-08-20,83.1390605686032
2023-08-27,74.50123609394313
2023-09-03,74.50123609394313
2023-09-10,80.97960444993818
2023-09-17,82.05933250927069
2023-09-24,73.42150803461062
2023-10-01,71.2620519159456
2023-10-08,76.66069221260815
2023-10-15,64.78368355995055
2023-10-22,62.624227441285534
2023-10-29,65.86341161928306
2023-11-05,69.10259579728059
2023-11-12,77.74042027194066
2023-11-19,59.385043263288004
2023-11-26,65.86341161928306
2023-12-03,77.74042027194066
2023-12-10,78.82014833127317
2023-12-17,70.1823238566131
2023-12-24,84.21878862793571
2023-12-31,69.10259579728059
2024-01-07,64.8681936861187
2024-01-14,84.12593868668519
2024-01-21,68.92245579150112
2024-01-28,83.11237316033959
2024-02-04,96.28872500283245
2024-02-11,84.12593868668519
2024-02-18,76.01741447592035
2024-02-25,84.12593868668519
2024-03-03,80.07167658130277
2024-03-10,85.13950421303079
2024-03-17,78.04454552861156
2024-03-24,97.30229052917805
2024-03-31,81.08524210764838
2024-04-07,60.81393158073628
2024-04-14,75.00384894957475
2024-04-21,73.99028342322914
2024-04-28,72.97671789688354
2024-05-05,71.96315237053794
2024-05-12,60.81393158073628
2024-05-19,55.74610394900826
2024-05-26,64.8681936861187
2024-06-02,62.84106263342749
2024-06-09,64.8681936861187
2024-06-16,69.93602131784672
2024-06-23,61.82749710708189
2024-06-30,65.8817592124643
2024-07-07,87.16663526572201
2024-07-14,72.97671789688354
2024-07-21,81.08524210764838
2024-07-28,93.24802842379563
2024-08-04,81.08524210764838
2024-08-11,76.01741447592035
2024-08-18,79.05811105495717
2024-08-25,76.01741447592035
2024-09-01,65.8817592124643
2024-09-08,65.8817592124643
2024-09-15,64.8681936861187
2024-09-22,65.8817592124643
2024-09-29,68.92245579150112
2024-10-06,77.03098000226596
2024-10-13,59.80036605439068
2024-10-20,82.09880763399399
2024-10-27,69.93602131784672
2024-11-03,73.99028342322914
2024-11-10,54.73253842266266
2024-11-17,75.00384894957475
2024-11-24,70.94958684419232
2024-12-01,75.00384894957475
2024-12-08,81.08524210764838
2024-12-15,87.16663526572201
2024-12-22,80.07167658130277
2024-12-29,78.04454552861156
2025-01-05,77.03098000226596
2025-01-12,76.01741447592035
2025-01-19,67.90889026515552
2025-01-26,78.04454552861156
2025-02-02,71.96315237053794
2025-02-09,76.01741447592035
2025-02-16,79.05811105495717
2025-02-23,73.99028342322914
2025-03-02,85.13950421303079
2025-03-09,68.92245579150112
2025-03-16,72.97671789688354
2025-03-23,57.77323500169947
2025-03-30,81.08524210764838
2025-04-06,59.80036605439068
2025-04-13,68.92245579150112
2025-04-20,64.8681936861187
2025-04-27,61.82749710708189
2025-05-04,51.69184184362584
2025-05-11,75.00384894957475
2025-05-18,67.90889026515552
2025-05-25,81.08524210764838
2025-06-01,65.8817592124643
2025-06-08,86.1530697393764
2025-06-15,56.75966947535386
2025-06-22,64.8681936861187
2025-06-29,81.08524210764838
2025-07-06,67.90889026515552
2025-07-13,63.8546281597731
2025-07-20,79.05811105495717
2025-07-27,57.77323500169947
2025-08-03,71.96315237053794
2025-08-10,72.97671789688354
2025-08-17,81.08524210764838
2025-08-24,75.00384894957475
2025-08-31,66.8953247388099
2025-09-07,64.8681936861187
2025-09-14,59.80036605439068
2025-09-21,69.93602131784672
2025-09-28,64.8681936861187
2025-10-05,70.94958684419232
2025-10-12,62.84106263342749
2025-10-19,66.8953247388099
2025-10-26,78.04454552861156
2025-11-02,67.90889026515552
2025-11-09,73.99028342322914
2025-11-16,66.8953247388099
2025-11-23,84.12593868668519
2025-11-30,67.90889026515552
2025-12-07,57.77323500169947
2025-12-14,59.80036605439068
2025-12-21,66.8953247388099
2025-12-28,64.8681936861187
