,Travel Agencies & Services
2016-10-09,13.0
2016-10-16,23.0
2016-10-23,19.0
2016-10-30,19.0
2016-11-06,16.0
2016-11-13,18.0
2016-11-20,11.0
2016-11-27,0.0
2016-12-04,15.0
2016-12-11,24.0
2016-12-18,13.0
2016-12-25,24.0
2017-01-01,18.0
2017-01-08,29.0
2017-01-15,16.0
2017-01-22,20.0
2017-01-29,25.0
2017-02-05,39.0
2017-02-12,46.0
2017-02-19,47.0
2017-02-26,51.0
2017-03-05,40.0
2017-03-12,34.0
2017-03-19,28.0
2017-03-26,42.0
2017-04-02,45.0
2017-04-09,41.0
2017-04-16,55.0
2017-04-23,51.0
2017-04-30,37.0
2017-05-07,47.0
2017-05-14,43.0
2017-05-21,45.0
2017-05-28,25.0
2017-06-04,34.0
2017-06-11,32.0
2017-06-18,27.0
2017-06-25,35.0
2017-07-02,42.0
2017-07-09,37.0
2017-07-16,37.0
2017-07-23,39.0
2017-07-30,44.0
2017-08-06,39.0
2017-08-13,43.0
2017-08-20,37.0
2017-08-27,28.0
2017-09-03,36.0
2017-09-10,34.0
2017-09-17,46.0
2017-09-24,47.0
2017-10-01,48.0
2017-10-08,52.0
2017-10-15,57.0
2017-10-22,48.0
2017-10-29,63.0
2017-11-05,62.0
2017-11-12,66.0
2017-11-19,62.0
2017-11-26,80.0
2017-12-03,46.0
2017-12-10,49.0
2017-12-17,57.0
2017-12-24,46.0
2017-12-31,50.0
2018-01-07,39.0
2018-01-14,56.0
2018-01-21,59.0
2018-01-28,50.0
2018-02-04,71.0
2018-02-11,67.0
2018-02-18,58.0
2018-02-25,44.0
2018-03-04,66.0
2018-03-11,63.0
2018-03-18,64.0
2018-03-25,69.0
2018-04-01,60.0
2018-04-08,85.0
2018-04-15,50.0
2018-04-22,54.0
2018-04-29,61.0
2018-05-06,73.0
2018-05-13,54.0
2018-05-20,65.0
2018-05-27,43.0
2018-06-03,38.0
2018-06-10,42.0
2018-06-17,38.0
2018-06-24,39.0
2018-07-01,46.0
2018-07-08,48.0
2018-07-15,54.0
2018-07-22,47.0
2018-07-29,50.0
2018-08-05,54.0
2018-08-12,51.0
2018-08-19,46.0
2018-08-26,45.0
2018-09-02,48.0
2018-09-09,44.0
2018-09-16,46.0
2018-09-23,59.0
2018-09-30,73.0
2018-10-07,69.0
2018-10-14,86.0
2018-10-21,76.0
2018-10-28,77.0
2018-11-04,80.0
2018-11-11,65.0
2018-11-18,72.0
2018-11-25,80.0
2018-12-02,53.0
2018-12-09,64.0
2018-12-16,67.0
2018-12-23,77.0
2018-12-30,76.0
2019-01-06,69.0
2019-01-13,84.0
2019-01-20,76.0
2019-01-27,68.0
2019-02-03,89.0
2019-02-10,75.0
2019-02-17,83.0
2019-02-24,87.0
2019-03-03,74.0
2019-03-10,79.0
2019-03-17,89.0
2019-03-24,73.0
2019-03-31,63.0
2019-04-07,75.0
2019-04-14,84.0
2019-04-21,66.0
2019-04-28,78.0
2019-05-05,46.0
2019-05-12,47.0
2019-05-19,51.0
2019-05-26,44.0
2019-06-02,58.0
2019-06-09,53.0
2019-06-16,48.0
2019-06-23,50.0
2019-06-30,49.0
2019-07-07,51.0
2019-07-14,72.0
2019-07-21,67.0
2019-07-28,55.0
2019-08-04,52.0
2019-08-11,51.0
2019-08-18,69.0
2019-08-25,64.0
2019-09-01,54.0
2019-09-08,49.0
2019-09-15,60.0
2019-09-22,100.0
2019-09-29,73.0
2019-10-06,74.0
2019-10-13,65.0
2019-10-20,54.0
2019-10-27,69.0
2019-11-03,77.0
2019-11-10,68.0
2019-11-17,63.0
2019-11-24,88.0
2019-12-01,77.0
2019-12-08,71.0
2019-12-15,83.0
2019-12-22,69.0
2019-12-29,70.0
2020-01-05,77.92436687200546
2020-01-12,70.73134839151265
2020-01-19,71.93018480492813
2020-01-26,65.93600273785079
2020-02-02,65.93600273785079
2020-02-09,59.94182067077344
2020-02-16,74.32785763175906
2020-02-23,80.3220396988364
2020-03-01,82.71971252566735
2020-03-08,119.88364134154688
2020-03-15,98.30458590006843
2020-03-22,26.374401095140314
2020-03-29,19.1813826146475
2020-04-05,19.1813826146475
2020-04-12,21.579055441478438
2020-04-19,17.982546201232033
2020-04-26,11.988364134154688
2020-05-03,16.783709787816562
2020-05-10,17.982546201232033
2020-05-17,11.988364134154688
2020-05-24,13.187200547570157
2020-05-31,14.386036960985624
2020-06-07,16.783709787816562
2020-06-14,11.988364134154688
2020-06-21,11.988364134154688
2020-06-28,16.783709787816562
2020-07-05,21.579055441478438
2020-07-12,27.57323750855578
2020-07-19,23.976728268309376
2020-07-26,16.783709787816562
2020-08-02,15.584873374401093
2020-08-09,25.175564681724843
2020-08-16,20.380219028062967
2020-08-23,20.380219028062967
2020-08-30,13.187200547570157
2020-09-06,15.584873374401093
2020-09-13,23.976728268309376
2020-09-20,20.380219028062967
2020-09-27,22.777891854893905
2020-10-04,28.77207392197125
2020-10-11,22.777891854893905
2020-10-18,22.777891854893905
2020-10-25,29.97091033538672
2020-11-01,27.57323750855578
2020-11-08,28.77207392197125
2020-11-15,31.169746748802186
2020-11-22,19.1813826146475
2020-11-29,32.368583162217654
2020-12-06,33.567419575633124
2020-12-13,28.77207392197125
2020-12-20,40.760438056125935
2020-12-27,47.95345653661875
2021-01-03,47.95345653661875
2021-01-10,40.760438056125935
2021-01-17,35.965092402464066
2021-01-24,46.75462012320328
2021-01-31,45.55578370978781
2021-02-07,41.959274469541405
2021-02-14,46.75462012320328
2021-02-21,46.75462012320328
2021-02-28,50.35112936344969
2021-03-07,55.14647501711156
2021-03-14,62.33949349760437
2021-03-21,58.74298425735797
2021-03-28,46.75462012320328
2021-04-04,53.94763860369609
2021-04-11,49.152292950034216
2021-04-18,43.158110882956876
2021-04-25,53.94763860369609
2021-05-02,43.158110882956876
2021-05-09,52.74880219028063
2021-05-16,50.35112936344969
2021-05-23,52.74880219028063
2021-05-30,56.34531143052703
2021-06-06,44.35694729637235
2021-06-13,29.97091033538672
2021-06-20,32.368583162217654
2021-06-27,37.16392881587953
2021-07-04,41.959274469541405
2021-07-11,49.152292950034216
2021-07-18,50.35112936344969
2021-07-25,59.94182067077344
2021-08-01,57.5441478439425
2021-08-08,51.54996577686516
2021-08-15,52.74880219028063
2021-08-22,59.94182067077344
2021-08-29,50.35112936344969
2021-09-05,59.94182067077344
2021-09-12,57.5441478439425
2021-09-19,74.32785763175906
2021-09-26,68.33367556468171
2021-10-03,62.33949349760437
2021-10-10,80.3220396988364
2021-10-17,87.51505817932922
2021-10-24,75.52669404517454
2021-10-31,93.50924024640656
2021-11-07,92.3104038329911
2021-11-14,97.10574948665297
2021-11-21,100.70225872689937
2021-11-28,77.92436687200546
2021-12-05,79.12320328542094
2021-12-12,80.3220396988364
2021-12-19,52.74880219028063
2021-12-26,87.51505817932922
2022-01-02,76.72553045859
2022-01-09,63.538329911019844
2022-01-16,79.12320328542094
2022-01-23,79.12320328542094
2022-01-30,77.92436687200546
2022-02-06,71.93018480492813
2022-02-13,77.92436687200546
2022-02-20,80.3220396988364
2022-02-27,68.33367556468171
2022-03-06,64.73716632443531
2022-03-13,82.71971252566735
2022-03-20,71.93018480492813
2022-03-27,87.51505817932922
2022-04-03,57.5441478439425
2022-04-10,79.12320328542094
2022-04-17,64.73716632443531
2022-04-24,55.14647501711156
2022-05-01,52.74880219028063
2022-05-08,65.93600273785079
2022-05-15,61.14065708418891
2022-05-22,57.5441478439425
2022-05-29,52.74880219028063
2022-06-05,38.362765229295
2022-06-12,46.75462012320328
2022-06-19,51.54996577686516
2022-06-26,46.75462012320328
2022-07-03,41.959274469541405
2022-07-10,41.959274469541405
2022-07-17,49.152292950034216
2022-07-24,49.152292950034216
2022-07-31,43.158110882956876
2022-08-07,56.34531143052703
2022-08-14,56.34531143052703
2022-08-21,52.74880219028063
2022-08-28,43.158110882956876
2022-09-04,52.74880219028063
2022-09-11,51.54996577686516
2022-09-18,45.55578370978781
2022-09-25,55.14647501711156
2022-10-02,55.14647501711156
2022-10-09,67.13483915126625
2022-10-16,68.33367556468171
2022-10-23,67.13483915126625
2022-10-30,69.53251197809719
2022-11-06,58.74298425735797
2022-11-13,71.93018480492813
2022-11-20,79.12320328542094
2022-11-27,63.538329911019844
2022-12-04,76.72553045859
2022-12-11,55.14647501711156
2022-12-18,55.14647501711156
2022-12-25,69.53251197809719
2023-01-01,65.93600273785079
2023-01-08,67.13483915126625
2023-01-15,67.13483915126625
2023-01-22,67.13483915126625
2023-01-29,65.93600273785079
2023-02-05,79.12320328542094
2023-02-12,68.33367556468171
2023-02-19,75.52669404517454
2023-02-26,69.53251197809719
2023-03-05,76.72553045859
2023-03-12,67.13483915126625
2023-03-19,71.93018480492813
2023-03-26,56.34531143052703
2023-04-02,67.13483915126625
2023-04-09,70.73134839151265
2023-04-16,58.74298425735797
2023-04-23,62.33949349760437
2023-04-30,59.94182067077344
2023-05-07,62.33949349760437
2023-05-14,38.362765229295
2023-05-21,56.34531143052703
2023-05-28,50.35112936344969
2023-06-04,53.94763860369609
2023-06-11,49.152292950034216
2023-06-18,41.959274469541405
2023-06-25,45.55578370978781
2023-07-02,45.55578370978781
2023-07-09,53.94763860369609
2023-07-16,50.35112936344969
2023-07-23,45.55578370978781
2023-07-30,49.152292950034216
2023-08-06,67.13483915126625
2023-08-13,62.33949349760437
2023-08-20,68.33367556468171
2023-08-27,61.14065708418891
2023-09-03,61.14065708418891
2023-09-10,69.53251197809719
2023-09-17,68.33367556468171
2023-09-24,63.538329911019844
2023-10-01,71.93018480492813
2023-10-08,69.53251197809719
2023-10-15,68.33367556468171
2023-10-22,69.53251197809719
2023-10-29,63.538329911019844
2023-11-05,83.91854893908281
2023-11-12,99.50342231348391
2023-11-19,89.91273100616016
2023-11-26,83.91854893908281
2023-12-03,89.91273100616016
2023-12-10,71.93018480492813
2023-12-17,70.73134839151265
2023-12-24,80.3220396988364
2023-12-31,83.91854893908281
2024-01-07,92.52927396718347
2024-01-14,85.08438985488135
2024-01-21,87.2114996012534
2024-01-28,88.2750544744394
2024-02-04,99.97415807948559
2024-02-11,94.65638371355551
2024-02-18,102.10126782585763
2024-02-25,84.02083498169534
2024-03-03,80.83017036213728
2024-03-10,80.83017036213728
2024-03-17,101.03771295267161
2024-03-24,94.65638371355551
2024-03-31,82.95728010850932
2024-04-07,94.65638371355551
2024-04-14,82.95728010850932
2024-04-21,76.57595086939322
2024-04-28,70.19462163027711
2024-05-05,69.1310667570911
2024-05-12,77.63950574257923
2024-05-19,64.87684726434703
2024-05-26,71.25817650346313
2024-06-02,59.55907289841695
2024-06-09,60.622627771602964
2024-06-16,45.732859546998725
2024-06-23,53.177743659300845
2024-06-30,56.3684082788589
2024-07-07,71.25817650346313
2024-07-14,56.3684082788589
2024-07-21,76.57595086939322
2024-07-28,65.94040213753306
2024-08-04,75.5123959962072
2024-08-11,99.97415807948559
2024-08-18,75.5123959962072
2024-08-25,59.55907289841695
2024-09-01,71.25817650346313
2024-09-08,74.44884112302118
2024-09-15,61.686182644788985
2024-09-22,69.1310667570911
2024-09-29,77.63950574257923
2024-10-06,84.02083498169534
2024-10-13,76.57595086939322
2024-10-20,91.46571909399745
2024-10-27,99.97415807948559
2024-11-03,81.8937252353233
2024-11-10,99.97415807948559
2024-11-17,86.14794472806737
2024-11-24,91.46571909399745
2024-12-01,79.76661548895127
2024-12-08,84.02083498169534
2024-12-15,104.22837757222966
2024-12-22,95.71993858674152
2024-12-29,106.35548731860169
2025-01-05,76.57595086939322
2025-01-12,88.2750544744394
2025-01-19,85.08438985488135
2025-01-26,86.14794472806737
2025-02-02,85.08438985488135
2025-02-09,88.2750544744394
2025-02-16,92.52927396718347
2025-02-23,87.2114996012534
2025-03-02,76.57595086939322
2025-03-09,72.32173137664915
2025-03-16,84.02083498169534
2025-03-23,68.06751188390508
2025-03-30,72.32173137664915
2025-04-06,85.08438985488135
2025-04-13,92.52927396718347
2025-04-20,84.02083498169534
2025-04-27,80.83017036213728
2025-05-04,73.38528624983518
2025-05-11,60.622627771602964
2025-05-18,69.1310667570911
2025-05-25,57.431963152044915
2025-06-01,58.49551802523093
2025-06-08,61.686182644788985
2025-06-15,57.431963152044915
2025-06-22,54.241298532486866
2025-06-29,51.05063391292882
2025-07-06,61.686182644788985
2025-07-13,55.30485340567288
2025-07-20,62.749737517975
2025-07-27,58.49551802523093
2025-08-03,55.30485340567288
2025-08-10,72.32173137664915
2025-08-17,62.749737517975
2025-08-24,78.70306061576525
2025-08-31,59.55907289841695
2025-09-07,51.05063391292882
2025-09-14,55.30485340567288
2025-09-21,64.87684726434703
2025-09-28,72.32173137664915
2025-10-05,68.06751188390508
2025-10-12,88.2750544744394
2025-10-19,81.8937252353233
2025-10-26,73.38528624983518
2025-11-02,74.44884112302118
2025-11-09,79.76661548895127
2025-11-16,92.52927396718347
2025-11-23,91.46571909399745
2025-11-30,84.02083498169534
2025-12-07,73.38528624983518
2025-12-14,84.02083498169534
2025-12-21,76.57595086939322
2025-12-28,93.59282884036949
2026-01-04,64.87684726434703
