,Shopping
2018-03-25,76.0
2018-04-01,67.0
2018-04-08,71.0
2018-04-15,70.0
2018-04-22,70.0
2018-04-29,73.0
2018-05-06,73.0
2018-05-13,73.0
2018-05-20,71.0
2018-05-27,76.0
2018-06-03,73.0
2018-06-10,75.0
2018-06-17,76.0
2018-06-24,76.0
2018-07-01,74.0
2018-07-08,81.0
2018-07-15,79.0
2018-07-22,75.0
2018-07-29,82.0
2018-08-05,83.0
2018-08-12,84.0
2018-08-19,83.0
2018-08-26,83.0
2018-09-02,87.0
2018-09-09,82.0
2018-09-16,81.0
2018-09-23,84.0
2018-09-30,83.0
2018-10-07,98.0
2018-10-14,92.0
2018-10-21,95.0
2018-10-28,97.0
2018-11-04,90.0
2018-11-11,88.0
2018-11-18,86.0
2018-11-25,83.0
2018-12-02,88.0
2018-12-09,84.0
2018-12-16,97.0
2018-12-23,94.0
2018-12-30,85.0
2019-01-06,82.0
2019-01-13,82.0
2019-01-20,83.0
2019-01-27,78.0
2019-02-03,77.0
2019-02-10,80.0
2019-02-17,80.0
2019-02-24,77.0
2019-03-03,79.0
2019-03-10,77.0
2019-03-17,80.0
2019-03-24,81.0
2019-03-31,82.0
2019-04-07,78.0
2019-04-14,79.0
2019-04-21,78.0
2019-04-28,79.0
2019-05-05,83.0
2019-05-12,79.0
2019-05-19,78.0
2019-05-26,79.0
2019-06-02,76.0
2019-06-09,79.0
2019-06-16,78.0
2019-06-23,79.0
2019-06-30,74.0
2019-07-07,77.0
2019-07-14,83.0
2019-07-21,82.0
2019-07-28,84.0
2019-08-04,80.0
2019-08-11,82.0
2019-08-18,84.0
2019-08-25,84.0
2019-09-01,85.0
2019-09-08,83.0
2019-09-15,83.0
2019-09-22,85.0
2019-09-29,100.0
2019-10-06,88.0
2019-10-13,85.0
2019-10-20,93.0
2019-10-27,82.0
2019-11-03,87.0
2019-11-10,85.0
2019-11-17,78.0
2019-11-24,78.0
2019-12-01,77.0
2019-12-08,75.0
2019-12-15,78.0
2019-12-22,84.0
2019-12-29,83.0
2020-01-05,78.22657490735838
2020-01-12,77.10905240868183
2020-01-19,81.57914240338803
2020-01-26,79.34409740603493
2020-02-02,72.63896241397565
2020-02-09,74.87400741132875
2020-02-16,73.7564849126522
2020-02-23,71.5214399152991
2020-03-01,70.40391741662255
2020-03-08,67.0513499205929
2020-03-15,69.286394917946
2020-03-22,50.28851244044468
2020-03-29,46.935944944415034
2020-04-05,48.053467443091584
2020-04-12,46.935944944415034
2020-04-19,45.818422445738484
2020-04-26,46.935944944415034
2020-05-03,54.75860243515087
2020-05-10,54.75860243515087
2020-05-17,59.22869242985706
2020-05-24,60.34621492853361
2020-05-31,67.0513499205929
2020-06-07,67.0513499205929
2020-06-14,69.286394917946
2020-06-21,75.9915299100053
2020-06-28,73.7564849126522
2020-07-05,78.22657490735838
2020-07-12,78.22657490735838
2020-07-19,79.34409740603493
2020-07-26,81.57914240338803
2020-08-02,83.81418740074113
2020-08-09,86.04923239809423
2020-08-16,82.69666490206458
2020-08-23,78.22657490735838
2020-08-30,81.57914240338803
2020-09-06,81.57914240338803
2020-09-13,80.46161990471148
2020-09-20,84.93170989941768
2020-09-27,82.69666490206458
2020-10-04,88.28427739544732
2020-10-11,100.57702488088935
2020-10-18,105.04711487559555
2020-10-25,105.04711487559555
2020-11-01,99.4595023822128
2020-11-08,97.2244573848597
2020-11-15,83.81418740074113
2020-11-22,86.04923239809423
2020-11-29,86.04923239809423
2020-12-06,84.93170989941768
2020-12-13,83.81418740074113
2020-12-20,91.63684489147697
2020-12-27,87.16675489677077
2021-01-03,82.69666490206458
2021-01-10,80.46161990471148
2021-01-17,81.57914240338803
2021-01-24,78.22657490735838
2021-01-31,79.34409740603493
2021-02-07,79.34409740603493
2021-02-14,79.34409740603493
2021-02-21,78.22657490735838
2021-02-28,77.10905240868183
2021-03-07,79.34409740603493
2021-03-14,80.46161990471148
2021-03-21,77.10905240868183
2021-03-28,79.34409740603493
2021-04-04,77.10905240868183
2021-04-11,86.04923239809423
2021-04-18,71.5214399152991
2021-04-25,72.63896241397565
2021-05-02,78.22657490735838
2021-05-09,69.286394917946
2021-05-16,74.87400741132875
2021-05-23,70.40391741662255
2021-05-30,79.34409740603493
2021-06-06,79.34409740603493
2021-06-13,79.34409740603493
2021-06-20,88.28427739544732
2021-06-27,86.04923239809423
2021-07-04,84.93170989941768
2021-07-11,81.57914240338803
2021-07-18,90.51932239280042
2021-07-25,84.93170989941768
2021-08-01,80.46161990471148
2021-08-08,86.04923239809423
2021-08-15,89.40179989412387
2021-08-22,84.93170989941768
2021-08-29,81.57914240338803
2021-09-05,80.46161990471148
2021-09-12,80.46161990471148
2021-09-19,81.57914240338803
2021-09-26,84.93170989941768
2021-10-03,93.87188988883007
2021-10-10,82.69666490206458
2021-10-17,101.6945473795659
2021-10-24,80.46161990471148
2021-10-31,90.51932239280042
2021-11-07,81.57914240338803
2021-11-14,80.46161990471148
2021-11-21,80.46161990471148
2021-11-28,105.04711487559555
2021-12-05,78.22657490735838
2021-12-12,84.93170989941768
2021-12-19,94.98941238750662
2021-12-26,80.46161990471148
2022-01-02,88.28427739544732
2022-01-09,80.46161990471148
2022-01-16,83.81418740074113
2022-01-23,82.69666490206458
2022-01-30,92.75436739015352
2022-02-06,86.04923239809423
2022-02-13,89.40179989412387
2022-02-20,90.51932239280042
2022-02-27,86.04923239809423
2022-03-06,84.93170989941768
2022-03-13,82.69666490206458
2022-03-20,88.28427739544732
2022-03-27,90.51932239280042
2022-04-03,88.28427739544732
2022-04-10,98.34197988353625
2022-04-17,94.98941238750662
2022-04-24,96.10693488618317
2022-05-01,98.34197988353625
2022-05-08,99.4595023822128
2022-05-15,96.10693488618317
2022-05-22,90.51932239280042
2022-05-29,89.40179989412387
2022-06-05,89.40179989412387
2022-06-12,92.75436739015352
2022-06-19,93.87188988883007
2022-06-26,91.63684489147697
2022-07-03,96.10693488618317
2022-07-10,97.2244573848597
2022-07-17,96.10693488618317
2022-07-24,99.4595023822128
2022-07-31,101.6945473795659
2022-08-07,97.2244573848597
2022-08-14,98.34197988353625
2022-08-21,94.98941238750662
2022-08-28,98.34197988353625
2022-09-04,93.87188988883007
2022-09-11,97.2244573848597
2022-09-18,106.1646373742721
2022-09-25,107.28215987294865
2022-10-02,100.57702488088935
2022-10-09,100.57702488088935
2022-10-16,100.57702488088935
2022-10-23,94.98941238750662
2022-10-30,97.2244573848597
2022-11-06,97.2244573848597
2022-11-13,99.4595023822128
2022-11-20,93.87188988883007
2022-11-27,91.63684489147697
2022-12-04,94.98941238750662
2022-12-11,96.10693488618317
2022-12-18,102.81206987824245
2022-12-25,105.04711487559555
2023-01-01,100.57702488088935
2023-01-08,93.87188988883007
2023-01-15,98.34197988353625
2023-01-22,96.10693488618317
2023-01-29,100.57702488088935
2023-02-05,98.34197988353625
2023-02-12,96.10693488618317
2023-02-19,97.2244573848597
2023-02-26,94.98941238750662
2023-03-05,86.04923239809423
2023-03-12,92.75436739015352
2023-03-19,93.87188988883007
2023-03-26,92.75436739015352
2023-04-02,96.10693488618317
2023-04-09,97.2244573848597
2023-04-16,94.98941238750662
2023-04-23,93.87188988883007
2023-04-30,98.34197988353625
2023-05-07,100.57702488088935
2023-05-14,97.2244573848597
2023-05-21,94.98941238750662
2023-05-28,94.98941238750662
2023-06-04,92.75436739015352
2023-06-11,97.2244573848597
2023-06-18,99.4595023822128
2023-06-25,102.81206987824245
2023-07-02,99.4595023822128
2023-07-09,97.2244573848597
2023-07-16,100.57702488088935
2023-07-23,97.2244573848597
2023-07-30,99.4595023822128
2023-08-06,98.34197988353625
2023-08-13,103.929592376919
2023-08-20,99.4595023822128
2023-08-27,98.34197988353625
2023-09-03,103.929592376919
2023-09-10,89.40179989412387
2023-09-17,94.98941238750662
2023-09-24,93.87188988883007
2023-10-01,99.4595023822128
2023-10-08,107.28215987294865
2023-10-15,102.81206987824245
2023-10-22,100.57702488088935
2023-10-29,94.98941238750662
2023-11-05,100.57702488088935
2023-11-12,96.10693488618317
2023-11-19,96.10693488618317
2023-11-26,97.2244573848597
2023-12-03,103.929592376919
2023-12-10,97.2244573848597
2023-12-17,111.75224986765484
2023-12-24,107.28215987294865
2023-12-31,99.4595023822128
2024-01-07,97.22445738485969
2024-01-14,94.98941238750659
2024-01-21,89.40179989412385
2024-01-28,86.0492323980942
2024-02-04,92.7543673901535
2024-02-11,87.16675489677075
2024-02-18,84.93170989941765
2024-02-25,84.93170989941765
2024-03-03,86.0492323980942
2024-03-10,86.0492323980942
2024-03-17,86.0492323980942
2024-03-24,89.40179989412385
2024-03-31,88.2842773954473
2024-04-07,90.5193223928004
2024-04-14,90.5193223928004
2024-04-21,87.16675489677075
2024-04-28,88.2842773954473
2024-05-05,90.5193223928004
2024-05-12,84.93170989941765
2024-05-19,94.98941238750659
2024-05-26,89.40179989412385
2024-06-02,84.93170989941765
2024-06-09,87.16675489677075
2024-06-16,89.40179989412385
2024-06-23,88.2842773954473
2024-06-30,89.40179989412385
2024-07-07,90.5193223928004
2024-07-14,97.22445738485969
2024-07-21,92.7543673901535
2024-07-28,92.7543673901535
2024-08-04,94.98941238750659
2024-08-11,98.34197988353624
2024-08-18,91.63684489147695
2024-08-25,92.7543673901535
2024-09-01,90.5193223928004
2024-09-08,88.2842773954473
2024-09-15,89.40179989412385
2024-09-22,92.7543673901535
2024-09-29,94.98941238750659
2024-10-06,93.87188988883005
2024-10-13,91.63684489147695
2024-10-20,90.5193223928004
2024-10-27,92.7543673901535
2024-11-03,84.93170989941765
2024-11-10,88.2842773954473
2024-11-17,89.40179989412385
2024-11-24,90.5193223928004
2024-12-01,86.0492323980942
2024-12-08,90.5193223928004
2024-12-15,87.16675489677075
2024-12-22,98.34197988353624
2024-12-29,90.5193223928004
2025-01-05,84.93170989941765
2025-01-12,82.69666490206457
2025-01-19,81.57914240338802
2025-01-26,82.69666490206457
2025-02-02,81.57914240338802
2025-02-09,84.93170989941765
2025-02-16,81.57914240338802
2025-02-23,81.57914240338802
2025-03-02,83.81418740074112
2025-03-09,80.46161990471147
2025-03-16,86.0492323980942
2025-03-23,89.40179989412385
2025-03-30,84.93170989941765
2025-04-06,87.16675489677075
2025-04-13,92.7543673901535
2025-04-20,88.2842773954473
2025-04-27,89.40179989412385
2025-05-04,84.93170989941765
2025-05-11,78.22657490735837
2025-05-18,86.0492323980942
2025-05-25,84.93170989941765
2025-06-01,84.93170989941765
2025-06-08,84.93170989941765
2025-06-15,84.93170989941765
2025-06-22,87.16675489677075
2025-06-29,82.69666490206457
2025-07-06,88.2842773954473
2025-07-13,89.40179989412385
2025-07-20,87.16675489677075
2025-07-27,88.2842773954473
2025-08-03,88.2842773954473
2025-08-10,89.40179989412385
2025-08-17,82.69666490206457
2025-08-24,83.81418740074112
2025-08-31,82.69666490206457
2025-09-07,92.7543673901535
2025-09-14,91.63684489147695
2025-09-21,105.04711487559553
2025-09-28,98.34197988353624
2025-10-05,101.69454737956589
2025-10-12,98.34197988353624
2025-10-19,83.81418740074112
2025-10-26,82.69666490206457
2025-11-02,86.0492323980942
2025-11-09,83.81418740074112
2025-11-16,87.16675489677075
2025-11-23,86.0492323980942
2025-11-30,88.2842773954473
2025-12-07,88.2842773954473
2025-12-14,89.40179989412385
2025-12-21,92.7543673901535
2025-12-28,92.7543673901535
2026-01-04,87.16675489677075
