,Jobs
2022-05-15,88.89402697495183
2022-05-22,88.89402697495183
2022-05-29,87.67630057803468
2022-06-05,97.41811175337187
2022-06-12,115.6840077071291
2022-06-19,115.6840077071291
2022-06-26,109.59537572254335
2022-07-03,112.03082851637765
2022-07-10,104.72447013487476
2022-07-17,107.15992292870905
2022-07-24,109.59537572254335
2022-07-31,102.28901734104046
2022-08-07,98.63583815028902
2022-08-14,99.85356454720616
2022-08-21,101.07129094412332
2022-08-28,96.20038535645472
2022-09-04,93.76493256262042
2022-09-11,94.98265895953757
2022-09-18,98.63583815028902
2022-09-25,94.98265895953757
2022-10-02,86.45857418111753
2022-10-09,97.41811175337187
2022-10-16,84.02312138728324
2022-10-23,75.4990366088632
2022-10-30,91.32947976878613
2022-11-06,91.32947976878613
2022-11-13,92.54720616570327
2022-11-20,86.45857418111753
2022-11-27,94.98265895953757
2022-12-04,90.11175337186897
2022-12-11,91.32947976878613
2022-12-18,110.8131021194605
2022-12-25,119.33718689788054
2023-01-01,98.63583815028902
2023-01-08,90.11175337186897
2023-01-15,96.20038535645472
2023-01-22,108.37764932562621
2023-01-29,98.63583815028902
2023-02-05,102.28901734104046
2023-02-12,115.6840077071291
2023-02-19,110.8131021194605
2023-02-26,101.07129094412332
2023-03-05,88.89402697495183
2023-03-12,107.15992292870905
2023-03-19,107.15992292870905
2023-03-26,115.6840077071291
2023-04-02,94.98265895953757
2023-04-09,88.89402697495183
2023-04-16,87.67630057803468
2023-04-23,101.07129094412332
2023-04-30,91.32947976878613
2023-05-07,87.67630057803468
2023-05-14,90.11175337186897
2023-05-21,94.98265895953757
2023-05-28,93.76493256262042
2023-06-04,96.20038535645472
2023-06-11,98.63583815028902
2023-06-18,102.28901734104046
2023-06-25,107.15992292870905
2023-07-02,112.03082851637765
2023-07-09,107.15992292870905
2023-07-16,108.37764932562621
2023-07-23,94.98265895953757
2023-07-30,102.28901734104046
2023-08-06,104.72447013487476
2023-08-13,97.41811175337187
2023-08-20,102.28901734104046
2023-08-27,94.98265895953757
2023-09-03,93.76493256262042
2023-09-10,99.85356454720616
2023-09-17,93.76493256262042
2023-09-24,90.11175337186897
2023-10-01,82.80539499036608
2023-10-08,79.15221579961464
2023-10-15,86.45857418111753
2023-10-22,74.28131021194605
2023-10-29,90.11175337186897
2023-11-05,84.02312138728324
2023-11-12,71.84585741811175
2023-11-19,85.24084778420038
2023-11-26,86.45857418111753
2023-12-03,86.45857418111753
2023-12-10,86.45857418111753
2023-12-17,98.63583815028902
2023-12-24,121.77263969171483
2023-12-31,107.15992292870905
2024-01-07,97.41811175337189
2024-01-14,98.63583815028903
2024-01-21,86.45857418111756
2024-01-28,87.6763005780347
2024-02-04,96.20038535645473
2024-02-11,102.28901734104048
2024-02-18,85.2408477842004
2024-02-25,79.15221579961465
2024-03-03,76.71676300578036
2024-03-10,80.36994219653181
2024-03-17,86.45857418111756
2024-03-24,68.19267822736032
2024-03-31,80.36994219653181
2024-04-07,63.32177263969172
2024-04-14,65.75722543352602
2024-04-21,62.10404624277458
2024-04-28,68.19267822736032
2024-05-05,64.53949903660887
2024-05-12,73.06358381502892
2024-05-19,62.10404624277458
2024-05-26,64.53949903660887
2024-06-02,60.88631984585743
2024-06-09,68.19267822736032
2024-06-16,70.62813102119462
2024-06-23,74.28131021194606
2024-06-30,75.49903660886321
2024-07-07,74.28131021194606
2024-07-14,79.15221579961465
2024-07-21,84.02312138728325
2024-07-28,76.71676300578036
2024-08-04,73.06358381502892
2024-08-11,81.58766859344895
2024-08-18,77.93448940269751
2024-08-25,77.93448940269751
2024-09-01,75.49903660886321
2024-09-08,74.28131021194606
2024-09-15,75.49903660886321
2024-09-22,73.06358381502892
2024-09-29,74.28131021194606
2024-10-06,68.19267822736032
2024-10-13,73.06358381502892
2024-10-20,66.97495183044317
2024-10-27,53.57996146435454
2024-11-03,56.015414258188834
2024-11-10,57.233140655105984
2024-11-17,63.32177263969172
2024-11-24,56.015414258188834
2024-12-01,59.66859344894028
2024-12-08,62.10404624277458
2024-12-15,64.53949903660887
2024-12-22,64.53949903660887
2024-12-29,62.10404624277458
2025-01-05,62.10404624277458
2025-01-12,57.233140655105984
2025-01-19,63.32177263969172
2025-01-26,64.53949903660887
2025-02-02,59.66859344894028
2025-02-09,65.75722543352602
2025-02-16,69.41040462427746
2025-02-23,64.53949903660887
2025-03-02,64.53949903660887
2025-03-09,52.36223506743739
2025-03-16,60.88631984585743
2025-03-23,66.97495183044317
2025-03-30,54.79768786127168
2025-04-06,53.57996146435454
2025-04-13,53.57996146435454
2025-04-20,60.88631984585743
2025-04-27,53.57996146435454
2025-05-04,51.14450867052024
2025-05-11,60.88631984585743
2025-05-18,54.79768786127168
2025-05-25,57.233140655105984
2025-06-01,59.66859344894028
