,Business News
2023-07-23,109.2628111273792
2023-07-30,102.25878477306001
2023-08-06,113.4652269399707
2023-08-13,113.4652269399707
2023-08-20,109.2628111273792
2023-08-27,103.65959004392386
2023-09-03,102.25878477306001
2023-09-10,106.46120058565153
2023-09-17,106.46120058565153
2023-09-24,102.25878477306001
2023-10-01,100.85797950219619
2023-10-08,99.45717423133235
2023-10-15,120.46925329428989
2023-10-22,128.8740849194729
2023-10-29,107.86200585651537
2023-11-05,107.86200585651537
2023-11-12,114.86603221083455
2023-11-19,105.0603953147877
2023-11-26,107.86200585651537
2023-12-03,98.05636896046852
2023-12-10,107.86200585651537
2023-12-17,121.87005856515373
2023-12-24,113.4652269399707
2023-12-31,110.66361639824304
2024-01-07,107.25404890936602
2024-01-14,109.44290705037349
2024-01-21,109.44290705037349
2024-01-28,109.44290705037349
2024-02-04,109.44290705037349
2024-02-11,111.63176519138096
2024-02-18,94.1209000633212
2024-02-25,126.95377217843325
2024-03-03,218.88581410074698
2024-03-10,126.95377217843325
2024-03-17,111.63176519138096
2024-03-24,113.82062333238844
2024-03-31,100.68747448634362
2024-04-07,91.93204192231373
2024-04-14,94.1209000633212
2024-04-21,102.87633262735109
2024-04-28,100.68747448634362
2024-05-05,107.25404890936602
2024-05-12,105.06519076835855
2024-05-19,102.87633262735109
2024-05-26,122.57605589641831
2024-06-02,111.63176519138096
2024-06-09,116.00948147339591
2024-06-16,102.87633262735109
2024-06-23,113.82062333238844
2024-06-30,116.00948147339591
2024-07-07,131.33148846044818
2024-07-14,172.91979313959013
2024-07-21,131.33148846044818
2024-07-28,129.1426303194407
2024-08-04,111.63176519138096
2024-08-11,107.25404890936602
2024-08-18,105.06519076835855
2024-08-25,107.25404890936602
2024-09-01,124.76491403742578
2024-09-08,113.82062333238844
2024-09-15,96.30975820432867
2024-09-22,100.68747448634362
2024-09-29,102.87633262735109
2024-10-06,151.03121172951543
2024-10-13,113.82062333238844
2024-10-20,131.33148846044818
2024-10-27,116.00948147339591
2024-11-03,124.76491403742578
2024-11-10,100.68747448634362
2024-11-17,113.82062333238844
2024-11-24,118.19833961440338
2024-12-01,116.00948147339591
2024-12-08,122.57605589641831
2024-12-15,122.57605589641831
2024-12-22,129.1426303194407
2024-12-29,122.57605589641831
2025-01-05,118.19833961440338
2025-01-12,111.63176519138096
2025-01-19,122.57605589641831
2025-01-26,122.57605589641831
2025-02-02,118.19833961440338
2025-02-09,113.82062333238844
2025-02-16,118.19833961440338
2025-02-23,107.25404890936602
2025-03-02,118.19833961440338
2025-03-09,124.76491403742578
2025-03-16,126.95377217843325
2025-03-23,116.00948147339591
2025-03-30,111.63176519138096
2025-04-06,111.63176519138096
2025-04-13,85.36546749929133
2025-04-20,102.87633262735109
2025-04-27,105.06519076835855
2025-05-04,102.87633262735109
2025-05-11,100.68747448634362
2025-05-18,124.76491403742578
2025-05-25,126.95377217843325
2025-06-01,107.25404890936602
2025-06-08,107.25404890936602
2025-06-15,113.82062333238844
2025-06-22,107.25404890936602
2025-06-29,107.25404890936602
2025-07-06,96.30975820432867
2025-07-13,107.25404890936602
2025-07-20,109.44290705037349
2025-07-27,109.44290705037349
2025-08-03,126.95377217843325
2025-08-10,122.57605589641831
2025-08-17,107.25404890936602
2025-08-24,107.25404890936602
2025-08-31,96.30975820432867
2025-09-07,111.63176519138096
2025-09-14,105.06519076835855
2025-09-21,109.44290705037349
2025-09-28,109.44290705037349
2025-10-05,100.68747448634362
2025-10-12,105.06519076835855
2025-10-19,111.63176519138096
2025-10-26,109.44290705037349
2025-11-02,113.82062333238844
2025-11-09,113.82062333238844
2025-11-16,107.25404890936602
2025-11-23,98.49861634533615
2025-11-30,89.74318378130627
2025-12-07,107.25404890936602
2025-12-14,113.82062333238844
2025-12-21,107.25404890936602
2025-12-28,105.06519076835855
