,Computer Security
2022-01-09,76.728320194057
2022-01-16,70.15160703456641
2022-01-23,71.2477258944815
2022-01-30,73.43996361431171
2022-02-06,77.82443905397211
2022-02-13,78.92055791388721
2022-02-20,80.01667677380232
2022-02-27,78.92055791388721
2022-03-06,76.728320194057
2022-03-13,78.92055791388721
2022-03-20,76.728320194057
2022-03-27,73.43996361431171
2022-04-03,75.63220133414191
2022-04-10,67.95936931473621
2022-04-17,87.689508793208
2022-04-24,81.11279563371741
2022-05-01,78.92055791388721
2022-05-08,73.43996361431171
2022-05-15,74.53608247422682
2022-05-22,80.01667677380232
2022-05-29,78.92055791388721
2022-06-05,76.728320194057
2022-06-12,74.53608247422682
2022-06-19,81.11279563371741
2022-06-26,80.01667677380232
2022-07-03,82.2089144936325
2022-07-10,84.40115221346271
2022-07-17,109.61188599151002
2022-07-24,85.49727107337782
2022-07-31,80.01667677380232
2022-08-07,78.92055791388721
2022-08-14,85.49727107337782
2022-08-21,80.01667677380232
2022-08-28,80.01667677380232
2022-09-04,76.728320194057
2022-09-11,73.43996361431171
2022-09-18,82.2089144936325
2022-09-25,76.728320194057
2022-10-02,82.2089144936325
2022-10-09,77.82443905397211
2022-10-16,84.40115221346271
2022-10-23,82.2089144936325
2022-10-30,74.53608247422682
2022-11-06,73.43996361431171
2022-11-13,81.11279563371741
2022-11-20,73.43996361431171
2022-11-27,73.43996361431171
2022-12-04,75.63220133414191
2022-12-11,74.53608247422682
2022-12-18,75.63220133414191
2022-12-25,73.43996361431171
2023-01-01,74.53608247422682
2023-01-08,74.53608247422682
2023-01-15,73.43996361431171
2023-01-22,76.728320194057
2023-01-29,76.728320194057
2023-02-05,74.53608247422682
2023-02-12,77.82443905397211
2023-02-19,77.82443905397211
2023-02-26,73.43996361431171
2023-03-05,72.34384475439661
2023-03-12,72.34384475439661
2023-03-19,75.63220133414191
2023-03-26,73.43996361431171
2023-04-02,69.05548817465132
2023-04-09,58.09429957550031
2023-04-16,69.05548817465132
2023-04-23,72.34384475439661
2023-04-30,66.86325045482111
2023-05-07,73.43996361431171
2023-05-14,73.43996361431171
2023-05-21,72.34384475439661
2023-05-28,70.15160703456641
2023-06-04,74.53608247422682
2023-06-11,73.43996361431171
2023-06-18,82.2089144936325
2023-06-25,87.689508793208
2023-07-02,77.82443905397211
2023-07-09,81.11279563371741
2023-07-16,85.49727107337782
2023-07-23,75.63220133414191
2023-07-30,73.43996361431171
2023-08-06,81.11279563371741
2023-08-13,80.01667677380232
2023-08-20,76.728320194057
2023-08-27,74.53608247422682
2023-09-03,78.92055791388721
2023-09-10,74.53608247422682
2023-09-17,77.82443905397211
2023-09-24,72.34384475439661
2023-10-01,72.34384475439661
2023-10-08,72.34384475439661
2023-10-15,70.15160703456641
2023-10-22,70.15160703456641
2023-10-29,72.34384475439661
2023-11-05,73.43996361431171
2023-11-12,74.53608247422682
2023-11-19,73.43996361431171
2023-11-26,73.43996361431171
2023-12-03,74.53608247422682
2023-12-10,74.53608247422682
2023-12-17,71.2477258944815
2023-12-24,69.05548817465132
2023-12-31,76.728320194057
2024-01-07,77.711047447774
2024-01-14,71.23512682712617
2024-01-21,74.01052137883238
2024-01-28,75.8607844133032
2024-02-04,78.6361789650094
2024-02-11,81.41157351671562
2024-02-18,77.711047447774
2024-02-25,77.711047447774
2024-03-03,78.6361789650094
2024-03-10,78.6361789650094
2024-03-17,74.93565289606778
2024-03-24,80.48644199948022
2024-03-31,75.8607844133032
2024-04-07,65.68433772371374
2024-04-14,67.53460075818455
2024-04-21,72.16025834436157
2024-04-28,73.08538986159698
2024-05-05,73.08538986159698
2024-05-12,77.711047447774
2024-05-19,65.68433772371374
2024-05-26,71.23512682712617
2024-06-02,76.7859159305386
2024-06-09,78.6361789650094
2024-06-16,75.8607844133032
2024-06-23,75.8607844133032
2024-06-30,80.48644199948022
2024-07-07,79.5613104822448
2024-07-14,77.711047447774
2024-07-21,81.41157351671562
2024-07-28,74.01052137883238
2024-08-04,70.30999530989077
2024-08-11,74.93565289606778
2024-08-18,73.08538986159698
2024-08-25,75.8607844133032
2024-09-01,72.16025834436157
2024-09-08,69.38486379265535
2024-09-15,66.60946924094914
2024-09-22,62.908943172007525
2024-09-29,71.23512682712617
2024-10-06,74.01052137883238
2024-10-13,67.53460075818455
2024-10-20,76.7859159305386
2024-10-27,75.8607844133032
2024-11-03,74.93565289606778
2024-11-10,77.711047447774
2024-11-17,74.01052137883238
2024-11-24,78.6361789650094
2024-12-01,78.6361789650094
2024-12-08,86.96236262012805
2024-12-15,79.5613104822448
2024-12-22,82.33670503395102
2024-12-29,86.96236262012805
2025-01-05,86.96236262012805
2025-01-12,80.48644199948022
2025-01-19,84.18696806842183
2025-01-26,80.48644199948022
2025-02-02,80.48644199948022
2025-02-09,70.30999530989077
2025-02-16,80.48644199948022
2025-02-23,77.711047447774
2025-03-02,83.26183655118643
2025-03-09,77.711047447774
2025-03-16,79.5613104822448
2025-03-23,78.6361789650094
