,Mail & Package Delivery
2024-11-10,77.94527207054064
2024-11-17,81.97692407418928
2024-11-24,81.97692407418928
2024-12-01,99.44741609000012
2024-12-08,110.19848809972987
2024-12-15,88.69634408027038
2024-12-22,90.0402280814866
2024-12-29,98.10353208878391
2025-01-05,55.099244049864936
2025-01-12,88.69634408027038
2025-01-19,86.00857607783794
2025-01-26,72.56973606567577
2025-02-02,86.00857607783794
2025-02-09,71.22585206445954
2025-02-16,73.91362006689198
2025-02-23,68.53808406202711
2025-03-02,92.72799608391904
2025-03-09,84.66469207662172
2025-03-16,80.63304007297307
2025-03-23,84.66469207662172
2025-03-30,52.411476047432494
2025-04-06,88.69634408027038
2025-04-13,94.07188008513525
2025-04-20,91.38411208270281
2025-04-27,107.51072009729742
2025-05-04,129.01286411675693
2025-05-11,108.85460409851365
2025-05-18,129.01286411675693
2025-05-25,134.3884001216218
2025-06-01,122.29344411067582
2025-06-08,83.32080807540551
2025-06-15,86.00857607783794
2025-06-22,87.35246007905417
2025-06-29,79.28915607175685
2025-07-06,87.35246007905417
2025-07-13,80.63304007297307
2025-07-20,67.1942000608109
2025-07-27,67.1942000608109
2025-08-03,59.13089605351359
2025-08-10,83.32080807540551
2025-08-17,73.91362006689198
2025-08-24,72.56973606567577
2025-08-31,81.97692407418928
2025-09-07,59.13089605351359
2025-09-14,64.50643205837846
2025-09-21,63.16254805716224
2025-09-28,67.1942000608109
2025-10-05,64.50643205837846
2025-10-12,94.07188008513525
2025-10-19,95.41576408635147
2025-10-26,56.44312805108115
2025-11-02,96.75964808756768
2025-11-09,80.63304007297307
2025-11-16,88.69634408027038
2025-11-23,68.53808406202711
2025-11-30,86.00857607783794
2025-12-07,76.60138806932441
2025-12-14,103.47906809364878
2025-12-21,87.35246007905417
2025-12-28,71.22585206445954
2026-01-04,83.32080807540551
