,Hobbies & Leisure
2021-05-30,42.00508788159111
2021-06-06,43.0296022201665
2021-06-13,46.10314523589268
2021-06-20,50.20120259019426
2021-06-27,49.17668825161886
2021-07-04,47.127659574468076
2021-07-11,50.20120259019426
2021-07-18,56.34828862164662
2021-07-25,49.17668825161886
2021-08-01,47.127659574468076
2021-08-08,47.127659574468076
2021-08-15,45.07863089731729
2021-08-22,42.00508788159111
2021-08-29,42.00508788159111
2021-09-05,44.054116558741896
2021-09-12,44.054116558741896
2021-09-19,45.07863089731729
2021-09-26,49.17668825161886
2021-10-03,58.3973172987974
2021-10-10,47.127659574468076
2021-10-17,44.054116558741896
2021-10-24,45.07863089731729
2021-10-31,48.15217391304347
2021-11-07,47.127659574468076
2021-11-14,44.054116558741896
2021-11-21,44.054116558741896
2021-11-28,47.127659574468076
2021-12-05,52.25023126734504
2021-12-12,53.27474560592044
2021-12-19,74.78954671600368
2021-12-26,95.27983348751155
2022-01-02,59.42183163737279
2022-01-09,55.323774283071224
2022-01-16,47.127659574468076
2022-01-23,53.27474560592044
2022-01-30,52.25023126734504
2022-02-06,56.34828862164662
2022-02-13,63.519888991674364
2022-02-20,56.34828862164662
2022-02-27,56.34828862164662
2022-03-06,54.29925994449583
2022-03-13,53.27474560592044
2022-03-20,51.22571692876965
2022-03-27,46.10314523589268
2022-04-03,48.15217391304347
2022-04-10,57.372802960222
2022-04-17,50.20120259019426
2022-04-24,53.27474560592044
2022-05-01,66.59343200740054
2022-05-08,52.25023126734504
2022-05-15,50.20120259019426
2022-05-22,54.29925994449583
2022-05-29,54.29925994449583
2022-06-05,51.22571692876965
2022-06-12,51.22571692876965
2022-06-19,55.323774283071224
2022-06-26,55.323774283071224
2022-07-03,62.49537465309897
2022-07-10,54.29925994449583
2022-07-17,55.323774283071224
2022-07-24,52.25023126734504
2022-07-31,52.25023126734504
2022-08-07,57.372802960222
2022-08-14,55.323774283071224
2022-08-21,52.25023126734504
2022-08-28,51.22571692876965
2022-09-04,52.25023126734504
2022-09-11,50.20120259019426
2022-09-18,49.17668825161886
2022-09-25,56.34828862164662
2022-10-02,64.54440333024976
2022-10-09,51.22571692876965
2022-10-16,52.25023126734504
2022-10-23,53.27474560592044
2022-10-30,52.25023126734504
2022-11-06,50.20120259019426
2022-11-13,51.22571692876965
2022-11-20,51.22571692876965
2022-11-27,50.20120259019426
2022-12-04,56.34828862164662
2022-12-11,60.446345975948184
2022-12-18,73.7650323774283
2022-12-25,102.4514338575393
2023-01-01,65.56891766882515
2023-01-08,54.29925994449583
2023-01-15,51.22571692876965
2023-01-22,52.25023126734504
2023-01-29,54.29925994449583
2023-02-05,53.27474560592044
2023-02-12,60.446345975948184
2023-02-19,53.27474560592044
2023-02-26,51.22571692876965
2023-03-05,52.25023126734504
2023-03-12,51.22571692876965
2023-03-19,56.34828862164662
2023-03-26,52.25023126734504
2023-04-02,54.29925994449583
2023-04-09,60.446345975948184
2023-04-16,58.3973172987974
2023-04-23,51.22571692876965
2023-04-30,51.22571692876965
2023-05-07,53.27474560592044
2023-05-14,57.372802960222
2023-05-21,51.22571692876965
2023-05-28,51.22571692876965
2023-06-04,55.323774283071224
2023-06-11,57.372802960222
2023-06-18,55.323774283071224
2023-06-25,66.59343200740054
2023-07-02,53.27474560592044
2023-07-09,54.29925994449583
2023-07-16,52.25023126734504
2023-07-23,51.22571692876965
2023-07-30,61.47086031452358
2023-08-06,61.47086031452358
2023-08-13,65.56891766882515
2023-08-20,56.34828862164662
2023-08-27,51.22571692876965
2023-09-03,55.323774283071224
2023-09-10,49.17668825161886
2023-09-17,52.25023126734504
2023-09-24,55.323774283071224
2023-10-01,65.56891766882515
2023-10-08,51.22571692876965
2023-10-15,50.20120259019426
2023-10-22,50.20120259019426
2023-10-29,53.27474560592044
2023-11-05,50.20120259019426
2023-11-12,51.22571692876965
2023-11-19,51.22571692876965
2023-11-26,52.25023126734504
2023-12-03,54.29925994449583
2023-12-10,56.34828862164662
2023-12-17,58.3973172987974
2023-12-24,76.83857539315447
2023-12-31,95.27983348751155
2024-01-07,53.58001850138759
2024-01-14,53.58001850138759
2024-01-21,49.752874322717055
2024-01-28,54.53680454605523
2024-02-04,54.53680454605523
2024-02-11,59.32073476939341
2024-02-18,50.709660367384686
2024-02-25,51.66644641205232
2024-03-03,51.66644641205232
2024-03-10,52.62323245671996
2024-03-17,53.58001850138759
2024-03-24,52.62323245671996
2024-03-31,51.66644641205232
2024-04-07,63.14787894806395
2024-04-14,44.968944099378874
2024-04-21,51.66644641205232
2024-04-28,50.709660367384686
2024-05-05,53.58001850138759
2024-05-12,53.58001850138759
2024-05-19,45.92573014404651
2024-05-26,51.66644641205232
2024-06-02,51.66644641205232
2024-06-09,53.58001850138759
2024-06-16,54.53680454605523
2024-06-23,49.752874322717055
2024-06-30,64.10466499273159
2024-07-07,65.06145103739922
2024-07-14,66.01823708206686
2024-07-21,53.58001850138759
2024-07-28,56.4503766353905
2024-08-04,56.4503766353905
2024-08-11,52.62323245671996
2024-08-18,51.66644641205232
2024-08-25,50.709660367384686
2024-09-01,54.53680454605523
2024-09-08,52.62323245671996
2024-09-15,46.88251618871414
2024-09-22,46.88251618871414
2024-09-29,56.4503766353905
2024-10-06,57.407162680058136
2024-10-13,47.83930223338178
2024-10-20,49.752874322717055
2024-10-27,53.58001850138759
2024-11-03,48.79608827804942
2024-11-10,59.32073476939341
2024-11-17,59.32073476939341
2024-11-24,54.53680454605523
2024-12-01,54.53680454605523
2024-12-08,55.49359059072287
2024-12-15,58.36394872472577
2024-12-22,74.62931148407557
2024-12-29,89.93788819875775
2025-01-05,53.58001850138759
2025-01-12,52.62323245671996
2025-01-19,50.709660367384686
2025-01-26,54.53680454605523
2025-02-02,52.62323245671996
2025-02-09,59.32073476939341
2025-02-16,51.66644641205232
2025-02-23,53.58001850138759
2025-03-02,52.62323245671996
2025-03-09,50.709660367384686
2025-03-16,52.62323245671996
2025-03-23,55.49359059072287
2025-03-30,60.27752081406104
2025-04-06,48.79608827804942
2025-04-13,50.709660367384686
2025-04-20,52.62323245671996
2025-04-27,50.709660367384686
2025-05-04,51.66644641205232
2025-05-11,50.709660367384686
2025-05-18,49.752874322717055
2025-05-25,51.66644641205232
2025-06-01,54.53680454605523
2025-06-08,53.58001850138759
2025-06-15,55.49359059072287
2025-06-22,53.58001850138759
2025-06-29,53.58001850138759
2025-07-06,51.66644641205232
2025-07-13,50.709660367384686
2025-07-20,52.62323245671996
2025-07-27,51.66644641205232
2025-08-03,52.62323245671996
2025-08-10,53.58001850138759
2025-08-17,53.58001850138759
2025-08-24,51.66644641205232
2025-08-31,50.709660367384686
2025-09-07,47.83930223338178
2025-09-14,49.752874322717055
2025-09-21,50.709660367384686
2025-09-28,54.53680454605523
2025-10-05,54.53680454605523
2025-10-12,50.709660367384686
2025-10-19,51.66644641205232
2025-10-26,48.79608827804942
2025-11-02,50.709660367384686
2025-11-09,50.709660367384686
2025-11-16,53.58001850138759
2025-11-23,46.88251618871414
2025-11-30,44.968944099378874
2025-12-07,52.62323245671996
2025-12-14,57.407162680058136
2025-12-21,75.58609752874321
2025-12-28,86.11074402008721
2026-01-04,53.58001850138759
