,Alcoholic Beverages
2022-03-20,101.28915242413672
2022-03-27,77.29961632368328
2022-04-03,75.96686431810254
2022-04-10,86.6288803627485
2022-04-17,75.96686431810254
2022-04-24,87.96163236832925
2022-05-01,90.62713637949075
2022-05-08,91.9598883850715
2022-05-15,74.6341123125218
2022-05-22,86.6288803627485
2022-05-29,90.62713637949075
2022-06-05,85.29612835716776
2022-06-12,95.95814440181373
2022-06-19,83.96337635158702
2022-06-26,82.63062434600627
2022-07-03,82.63062434600627
2022-07-10,81.29787234042553
2022-07-17,78.63236832926403
2022-07-24,78.63236832926403
2022-07-31,101.28915242413672
2022-08-07,90.62713637949075
2022-08-14,91.9598883850715
2022-08-21,86.6288803627485
2022-08-28,79.96512033484477
2022-09-04,93.29264039065224
2022-09-11,73.30136030694105
2022-09-18,83.96337635158702
2022-09-25,83.96337635158702
2022-10-02,82.63062434600627
2022-10-09,86.6288803627485
2022-10-16,75.96686431810254
2022-10-23,87.96163236832925
2022-10-30,94.62539239623298
2022-11-06,86.6288803627485
2022-11-13,90.62713637949075
2022-11-20,85.29612835716776
2022-11-27,94.62539239623298
2022-12-04,98.62364841297523
2022-12-11,101.28915242413672
2022-12-18,106.62016044645969
2022-12-25,105.28740844087895
2023-01-01,94.62539239623298
2023-01-08,91.9598883850715
2023-01-15,89.29438437390999
2023-01-22,89.29438437390999
2023-01-29,90.62713637949075
2023-02-05,74.6341123125218
2023-02-12,83.96337635158702
2023-02-19,98.62364841297523
2023-02-26,93.29264039065224
2023-03-05,89.29438437390999
2023-03-12,83.96337635158702
2023-03-19,70.63585629577955
2023-03-26,86.6288803627485
2023-04-02,83.96337635158702
2023-04-09,93.29264039065224
2023-04-16,82.63062434600627
2023-04-23,79.96512033484477
2023-04-30,89.29438437390999
2023-05-07,86.6288803627485
2023-05-14,82.63062434600627
2023-05-21,82.63062434600627
2023-05-28,85.29612835716776
2023-06-04,77.29961632368328
2023-06-11,85.29612835716776
2023-06-18,78.63236832926403
2023-06-25,78.63236832926403
2023-07-02,79.96512033484477
2023-07-09,89.29438437390999
2023-07-16,74.6341123125218
2023-07-23,82.63062434600627
2023-07-30,74.6341123125218
2023-08-06,94.62539239623298
2023-08-13,98.62364841297523
2023-08-20,89.29438437390999
2023-08-27,93.29264039065224
2023-09-03,97.29089640739447
2023-09-10,93.29264039065224
2023-09-17,103.9546564352982
2023-09-24,99.95640041855597
2023-10-01,103.9546564352982
2023-10-08,102.62190442971746
2023-10-15,103.9546564352982
2023-10-22,93.29264039065224
2023-10-29,109.2856644576212
2023-11-05,111.95116846878268
2023-11-12,119.94768050226716
2023-11-19,114.61667247994417
2023-11-26,103.9546564352982
2023-12-03,113.28392047436343
2023-12-10,133.27520055807463
2023-12-17,130.60969654691314
2023-12-24,129.2769445413324
2023-12-31,117.28217649110567
2024-01-07,110.95035030649902
2024-01-14,112.5130312967314
2024-01-21,109.38766931626664
2024-01-28,121.88911723812569
2024-02-04,110.95035030649902
2024-02-11,107.82498832603426
2024-02-18,118.76375525766093
2024-02-25,121.88911723812569
2024-03-03,110.95035030649902
2024-03-10,98.44890238463998
2024-03-17,107.82498832603426
2024-03-24,115.63839327719616
2024-03-31,103.13694535533712
2024-04-07,115.63839327719616
2024-04-14,120.32643624789331
2024-04-21,95.32354040417522
2024-04-28,115.63839327719616
2024-05-05,109.38766931626664
2024-05-12,101.57426436510474
2024-05-19,79.6967305018514
2024-05-26,96.8862213944076
2024-06-02,101.57426436510474
2024-06-09,100.01158337487236
2024-06-16,93.76085941394284
2024-06-23,98.44890238463998
2024-06-30,107.82498832603426
2024-07-07,98.44890238463998
2024-07-14,118.76375525766093
2024-07-21,104.6996263455695
2024-07-28,114.07571228696378
2024-08-04,110.95035030649902
2024-08-11,106.26230733580188
2024-08-18,117.20107426742855
2024-08-25,104.6996263455695
2024-09-01,101.57426436510474
2024-09-08,98.44890238463998
2024-09-15,95.32354040417522
2024-09-22,98.44890238463998
2024-09-29,103.13694535533712
2024-10-06,96.8862213944076
2024-10-13,104.6996263455695
2024-10-20,110.95035030649902
2024-10-27,121.88911723812569
2024-11-03,100.01158337487236
2024-11-10,120.32643624789331
2024-11-17,117.20107426742855
2024-11-24,120.32643624789331
2024-12-01,131.26520317951997
2024-12-08,118.76375525766093
2024-12-15,125.01447921859045
2024-12-22,156.26809902323805
2024-12-29,146.89201308184377
2025-01-05,125.01447921859045
2025-01-12,129.70252218928758
2025-01-19,107.82498832603426
2025-01-26,117.20107426742855
2025-02-02,118.76375525766093
2025-02-09,121.88911723812569
2025-02-16,104.6996263455695
2025-02-23,98.44890238463998
2025-03-02,93.76085941394284
2025-03-09,103.13694535533712
2025-03-16,123.45179822835807
2025-03-23,106.26230733580188
2025-03-30,103.13694535533712
2025-04-06,107.82498832603426
2025-04-13,98.44890238463998
2025-04-20,103.13694535533712
2025-04-27,109.38766931626664
2025-05-04,87.51013545301332
2025-05-11,96.8862213944076
2025-05-18,90.63549743347808
2025-05-25,87.51013545301332
2025-06-01,103.13694535533712
2025-06-08,87.51013545301332
2025-06-15,109.38766931626664
2025-06-22,92.19817842371046
2025-06-29,98.44890238463998
2025-07-06,106.26230733580188
2025-07-13,103.13694535533712
2025-07-20,100.01158337487236
2025-07-27,93.76085941394284
2025-08-03,82.82209248231617
2025-08-10,96.8862213944076
2025-08-17,85.94745446278094
2025-08-24,107.82498832603426
2025-08-31,87.51013545301332
2025-09-07,95.32354040417522
2025-09-14,92.19817842371046
2025-09-21,78.13404951161903
2025-09-28,100.01158337487236
2025-10-05,100.01158337487236
2025-10-12,103.13694535533712
2025-10-19,104.6996263455695
2025-10-26,109.38766931626664
2025-11-02,103.13694535533712
2025-11-09,115.63839327719616
2025-11-16,109.38766931626664
2025-11-23,100.01158337487236
2025-11-30,103.13694535533712
2025-12-07,121.88911723812569
2025-12-14,118.76375525766093
2025-12-21,117.20107426742855
2025-12-28,134.39056515998473
2026-01-04,114.07571228696378
