,Restaurants
2024-10-27,92.92431677077252
2024-11-03,115.774558599651
2024-11-10,109.68116077861674
2024-11-17,120.34460696542669
2024-11-24,115.774558599651
2024-12-01,114.25120914439243
2024-12-08,109.68116077861674
2024-12-15,100.54106404706535
2024-12-22,126.43800478646097
2024-12-29,131.00805315223667
2025-01-05,112.72785968913387
2025-01-12,115.774558599651
2025-01-19,103.58776295758247
2025-01-26,108.15781132335817
2025-02-02,121.86795642068526
2025-02-09,111.2045102338753
2025-02-16,126.43800478646097
2025-02-23,117.29790805490957
2025-03-02,120.34460696542669
2025-03-09,120.34460696542669
2025-03-16,109.68116077861674
2025-03-23,127.96135424171953
2025-03-30,121.86795642068526
2025-04-06,114.25120914439243
2025-04-13,105.11111241284104
2025-04-20,108.15781132335817
2025-04-27,114.25120914439243
2025-05-04,103.58776295758247
2025-05-11,92.92431677077252
2025-05-18,79.21417167344542
2025-05-25,100.54106404706535
2025-06-01,100.54106404706535
2025-06-08,89.87761786025538
2025-06-15,83.78422003922113
2025-06-22,86.83091894973825
2025-06-29,108.15781132335817
2025-07-06,95.97101568128964
2025-07-13,100.54106404706535
2025-07-20,95.97101568128964
2025-07-27,112.72785968913387
2025-08-03,117.29790805490957
2025-08-10,95.97101568128964
2025-08-17,105.11111241284104
2025-08-24,102.0644135023239
2025-08-31,105.11111241284104
2025-09-07,100.54106404706535
2025-09-14,100.54106404706535
2025-09-21,100.54106404706535
2025-09-28,100.54106404706535
2025-10-05,97.49436513654821
2025-10-12,91.40096731551395
2025-10-19,94.44766622603107
2025-10-26,91.40096731551395
2025-11-02,89.87761786025538
2025-11-09,106.6344618680996
2025-11-16,114.25120914439243
2025-11-23,91.40096731551395
2025-11-30,102.0644135023239
2025-12-07,118.82125751016814
2025-12-14,111.2045102338753
2025-12-21,127.96135424171953
2025-12-28,143.1948487943052
2026-01-04,132.53140260749524
