,Import & Export
2023-12-31,60.88942307692308
2024-01-07,90.08022166512733
2024-01-14,56.30013854070458
2024-01-21,90.08022166512733
2024-01-28,97.1177389827154
2024-02-04,105.56275976382109
2024-02-11,101.34024937326824
2024-02-18,81.63520088402164
2024-02-25,76.00518702995119
2024-03-03,95.71023551919778
2024-03-10,111.19277361789155
2024-03-17,98.52524244623301
2024-03-24,85.85771127457448
2024-03-31,74.59768356643356
2024-04-07,76.00518702995119
2024-04-14,66.15266278532788
2024-04-21,104.15525630030346
2024-04-28,84.45020781105687
2024-05-05,59.11514546773981
2024-05-12,54.892635077186966
2024-05-19,83.04270434753926
2024-05-26,85.85771127457448
2024-06-02,53.48513161366935
2024-06-09,84.45020781105687
2024-06-16,85.85771127457448
2024-06-23,56.30013854070458
2024-06-30,80.22769742050403
2024-07-07,115.41528400844439
2024-07-14,98.52524244623301
2024-07-21,116.822787471962
2024-07-28,88.67271820160971
2024-08-04,91.48772512864494
2024-08-11,114.00778054492677
2024-08-18,88.67271820160971
2024-08-25,98.52524244623301
2024-09-01,84.45020781105687
2024-09-08,90.08022166512733
2024-09-15,80.22769742050403
2024-09-22,112.60027708140916
2024-09-29,74.59768356643356
2024-10-06,95.71023551919778
2024-10-13,111.19277361789155
2024-10-20,64.74515932181026
2024-10-27,92.89522859216255
2024-11-03,61.930152394775035
2024-11-10,73.19018010291595
2024-11-17,104.15525630030346
2024-11-24,91.48772512864494
2024-12-01,80.22769742050403
2024-12-08,64.74515932181026
2024-12-15,71.78267663939833
2024-12-22,101.34024937326824
2024-12-29,90.08022166512733
2025-01-05,114.00778054492677
2025-01-12,87.2652147380921
2025-01-19,71.78267663939833
2025-01-26,116.822787471962
2025-02-02,102.74775283678585
2025-02-09,99.93274590975062
2025-02-16,74.59768356643356
2025-02-23,80.22769742050403
2025-03-02,47.85511775959889
2025-03-09,105.56275976382109
2025-03-16,101.34024937326824
2025-03-23,67.56016624884549
2025-03-30,133.71282903417338
2025-04-06,140.75034635176144
2025-04-13,119.63779439899723
2025-04-20,111.19277361789155
2025-04-27,38.002593514975594
2025-05-04,83.04270434753926
2025-05-11,60.52264893125742
2025-05-18,105.56275976382109
2025-05-25,95.71023551919778
2025-06-01,81.63520088402164
2025-06-08,71.78267663939833
2025-06-15,77.4126904934688
2025-06-22,78.82019395698642
2025-06-29,85.85771127457448
2025-07-06,57.707642004222194
2025-07-13,60.52264893125742
2025-07-20,116.822787471962
2025-07-27,98.52524244623301
2025-08-03,94.30273205568017
2025-08-10,74.59768356643356
2025-08-17,91.48772512864494
2025-08-24,76.00518702995119
2025-08-31,94.30273205568017
2025-09-07,80.22769742050403
2025-09-14,99.93274590975062
2025-09-21,74.59768356643356
2025-09-28,91.48772512864494
2025-10-05,105.56275976382109
2025-10-12,112.60027708140916
2025-10-19,111.19277361789155
2025-10-26,99.93274590975062
2025-11-02,84.45020781105687
2025-11-09,126.6753117165853
2025-11-16,90.08022166512733
2025-11-23,91.48772512864494
2025-11-30,102.74775283678585
2025-12-07,81.63520088402164
2025-12-14,94.30273205568017
2025-12-21,84.45020781105687
2025-12-28,98.52524244623301
2026-01-04,109.78527015437393
