,Printing & Publishing
2023-10-08,81.84046692607005
2023-10-15,77.5330739299611
2023-10-22,70.35408560311285
2023-10-29,71.7898832684825
2023-11-05,70.35408560311285
2023-11-12,61.73929961089495
2023-11-19,73.22568093385215
2023-11-26,74.6614785992218
2023-12-03,77.5330739299611
2023-12-10,81.84046692607005
2023-12-17,142.14396887159535
2023-12-24,134.9649805447471
2023-12-31,99.07003891050586
2024-01-07,92.05047976108874
2024-01-14,79.30502871724569
2024-01-21,76.47270626305834
2024-01-28,86.38583485271405
2024-02-04,82.13735117143304
2024-02-11,84.96967362562037
2024-02-18,84.96967362562037
2024-02-25,82.13735117143304
2024-03-03,77.88886749015201
2024-03-10,76.47270626305834
2024-03-17,76.47270626305834
2024-03-24,75.05654503596467
2024-03-31,79.30502871724569
2024-04-07,76.47270626305834
2024-04-14,70.80806135468364
2024-04-21,73.640383808871
2024-04-28,76.47270626305834
2024-05-05,79.30502871724569
2024-05-12,77.88886749015201
2024-05-19,75.05654503596467
2024-05-26,80.72118994433936
2024-06-02,77.88886749015201
2024-06-09,75.05654503596467
2024-06-16,80.72118994433936
2024-06-23,80.72118994433936
2024-06-30,84.96967362562037
2024-07-07,86.38583485271405
2024-07-14,89.2181573069014
2024-07-21,83.5535123985267
2024-07-28,82.13735117143304
2024-08-04,82.13735117143304
2024-08-11,80.72118994433936
2024-08-18,80.72118994433936
2024-08-25,80.72118994433936
2024-09-01,80.72118994433936
2024-09-08,77.88886749015201
2024-09-15,80.72118994433936
2024-09-22,79.30502871724569
2024-09-29,80.72118994433936
2024-10-06,80.72118994433936
2024-10-13,75.05654503596467
2024-10-20,77.88886749015201
2024-10-27,66.55957767340263
2024-11-03,72.22422258177733
2024-11-10,72.22422258177733
2024-11-17,72.22422258177733
2024-11-24,75.05654503596467
2024-12-01,73.640383808871
2024-12-08,73.640383808871
2024-12-15,75.05654503596467
2024-12-22,80.72118994433936
2024-12-29,80.72118994433936
2025-01-05,80.72118994433936
2025-01-12,72.22422258177733
2025-01-19,77.88886749015201
2025-01-26,77.88886749015201
2025-02-02,76.47270626305834
2025-02-09,80.72118994433936
2025-02-16,75.05654503596467
2025-02-23,75.05654503596467
2025-03-02,73.640383808871
2025-03-09,66.55957767340263
2025-03-16,77.88886749015201
2025-03-23,72.22422258177733
2025-03-30,72.22422258177733
2025-04-06,72.22422258177733
2025-04-13,72.22422258177733
2025-04-20,77.88886749015201
2025-04-27,73.640383808871
2025-05-04,70.80806135468364
2025-05-11,75.05654503596467
2025-05-18,75.05654503596467
2025-05-25,76.47270626305834
2025-06-01,77.88886749015201
2025-06-08,76.47270626305834
2025-06-15,79.30502871724569
2025-06-22,76.47270626305834
2025-06-29,77.88886749015201
2025-07-06,80.72118994433936
2025-07-13,79.30502871724569
2025-07-20,75.05654503596467
2025-07-27,76.47270626305834
2025-08-03,75.05654503596467
2025-08-10,70.80806135468364
2025-08-17,76.47270626305834
2025-08-24,72.22422258177733
2025-08-31,72.22422258177733
2025-09-07,76.47270626305834
2025-09-14,72.22422258177733
2025-09-21,70.80806135468364
2025-09-28,65.14341644630896
2025-10-05,69.39190012758998
2025-10-12,67.97573890049631
2025-10-19,60.89493276502794
2025-10-26,67.97573890049631
2025-11-02,69.39190012758998
2025-11-09,69.39190012758998
2025-11-16,70.80806135468364
2025-11-23,67.97573890049631
2025-11-30,69.39190012758998
2025-12-07,69.39190012758998
2025-12-14,75.05654503596467
2025-12-21,72.22422258177733
2025-12-28,72.22422258177733
2026-01-04,73.640383808871
