,Freight & Trucking
2022-05-29,99.32185430463575
2022-06-05,104.83973509933773
2022-06-12,107.59867549668873
2022-06-19,115.8754966887417
2022-06-26,125.53178807947018
2022-07-03,120.0139072847682
2022-07-10,124.15231788079468
2022-07-17,126.91125827814568
2022-07-24,121.39337748344369
2022-07-31,128.29072847682116
2022-08-07,111.73708609271522
2022-08-14,115.8754966887417
2022-08-21,136.56754966887416
2022-08-28,124.15231788079468
2022-09-04,118.6344370860927
2022-09-11,129.67019867549666
2022-09-18,137.94701986754964
2022-09-25,124.15231788079468
2022-10-02,108.97814569536422
2022-10-09,122.77284768211919
2022-10-16,125.53178807947018
2022-10-23,92.42450331125826
2022-10-30,118.6344370860927
2022-11-06,117.2549668874172
2022-11-13,113.11655629139071
2022-11-20,117.2549668874172
2022-11-27,117.2549668874172
2022-12-04,110.35761589403972
2022-12-11,115.8754966887417
2022-12-18,118.6344370860927
2022-12-25,114.49602649006621
2023-01-01,111.73708609271522
2023-01-08,120.0139072847682
2023-01-15,120.0139072847682
2023-01-22,114.49602649006621
2023-01-29,125.53178807947018
2023-02-05,125.53178807947018
2023-02-12,122.77284768211919
2023-02-19,133.80860927152315
2023-02-26,128.29072847682116
2023-03-05,111.73708609271522
2023-03-12,115.8754966887417
2023-03-19,108.97814569536422
2023-03-26,103.46026490066224
2023-04-02,108.97814569536422
2023-04-09,110.35761589403972
2023-04-16,107.59867549668873
2023-04-23,111.73708609271522
2023-04-30,106.21920529801322
2023-05-07,107.59867549668873
2023-05-14,103.46026490066224
2023-05-21,106.21920529801322
2023-05-28,104.83973509933773
2023-06-04,113.11655629139071
2023-06-11,110.35761589403972
2023-06-18,120.0139072847682
2023-06-25,122.77284768211919
2023-07-02,124.15231788079468
2023-07-09,131.04966887417217
2023-07-16,124.15231788079468
2023-07-23,126.91125827814568
2023-07-30,133.80860927152315
2023-08-06,135.18807947019866
2023-08-13,128.29072847682116
2023-08-20,136.56754966887416
2023-08-27,124.15231788079468
2023-09-03,121.39337748344369
2023-09-10,129.67019867549666
2023-09-17,121.39337748344369
2023-09-24,128.29072847682116
2023-10-01,121.39337748344369
2023-10-08,128.29072847682116
2023-10-15,121.39337748344369
2023-10-22,107.59867549668873
2023-10-29,115.8754966887417
2023-11-05,117.2549668874172
2023-11-12,92.42450331125826
2023-11-19,114.49602649006621
2023-11-26,115.8754966887417
2023-12-03,125.53178807947018
2023-12-10,126.91125827814568
2023-12-17,131.04966887417217
2023-12-24,124.15231788079468
2023-12-31,126.91125827814568
2024-01-07,137.9470198675496
2024-01-14,126.91125827814565
2024-01-21,104.83973509933772
2024-01-28,125.53178807947016
2024-02-04,120.01390728476818
2024-02-11,118.63443708609267
2024-02-18,126.91125827814565
2024-02-25,125.53178807947016
2024-03-03,125.53178807947016
2024-03-10,121.39337748344367
2024-03-17,115.87549668874169
2024-03-24,99.32185430463574
2024-03-31,106.21920529801321
2024-04-07,102.08079470198672
2024-04-14,97.94238410596023
2024-04-21,102.08079470198672
2024-04-28,108.9781456953642
2024-05-05,107.59867549668871
2024-05-12,106.21920529801321
2024-05-19,108.9781456953642
2024-05-26,111.7370860927152
2024-06-02,104.83973509933772
2024-06-09,110.3576158940397
2024-06-16,108.9781456953642
2024-06-23,114.49602649006619
2024-06-30,118.63443708609267
2024-07-07,117.25496688741718
2024-07-14,120.01390728476818
2024-07-21,125.53178807947016
2024-07-28,120.01390728476818
2024-08-04,118.63443708609267
2024-08-11,114.49602649006619
2024-08-18,113.1165562913907
2024-08-25,125.53178807947016
2024-09-01,110.3576158940397
2024-09-08,121.39337748344367
2024-09-15,125.53178807947016
2024-09-22,120.01390728476818
2024-09-29,107.59867549668871
2024-10-06,97.94238410596023
2024-10-13,107.59867549668871
2024-10-20,106.21920529801321
2024-10-27,84.14768211920527
2024-11-03,97.94238410596023
2024-11-10,102.08079470198672
2024-11-17,106.21920529801321
2024-11-24,103.46026490066222
2024-12-01,102.08079470198672
2024-12-08,102.08079470198672
2024-12-15,107.59867549668871
2024-12-22,110.3576158940397
2024-12-29,96.56291390728474
2025-01-05,103.46026490066222
2025-01-12,95.18344370860925
2025-01-19,107.59867549668871
2025-01-26,104.83973509933772
2025-02-02,100.70132450331123
2025-02-09,96.56291390728474
2025-02-16,107.59867549668871
2025-02-23,103.46026490066222
2025-03-02,106.21920529801321
2025-03-09,92.42450331125825
2025-03-16,99.32185430463574
2025-03-23,92.42450331125825
2025-03-30,93.80397350993374
2025-04-06,92.42450331125825
2025-04-13,91.04503311258276
2025-04-20,92.42450331125825
2025-04-27,89.66556291390725
2025-05-04,88.28609271523176
2025-05-11,92.42450331125825
2025-05-18,99.32185430463574
2025-05-25,113.1165562913907
2025-06-01,97.94238410596023
2025-06-08,100.70132450331123
2025-06-15,100.70132450331123
2025-06-22,104.83973509933772
2025-06-29,100.70132450331123
2025-07-06,99.32185430463574
2025-07-13,108.9781456953642
2025-07-20,99.32185430463574
2025-07-27,104.83973509933772
2025-08-03,97.94238410596023
2025-08-10,84.14768211920527
2025-08-17,102.08079470198672
2025-08-24,97.94238410596023
2025-08-31,92.42450331125825
2025-09-07,97.94238410596023
2025-09-14,96.56291390728474
2025-09-21,95.18344370860925
2025-09-28,84.14768211920527
2025-10-05,97.94238410596023
2025-10-12,93.80397350993374
2025-10-19,67.59403973509932
2025-10-26,86.90662251655627
2025-11-02,89.66556291390725
2025-11-09,93.80397350993374
2025-11-16,95.18344370860925
2025-11-23,99.32185430463574
2025-11-30,89.66556291390725
2025-12-07,92.42450331125825
2025-12-14,91.04503311258276
2025-12-21,85.52715231788076
2025-12-28,81.38874172185427
2026-01-04,97.94238410596023
