,Construction & Maintenance
2023-01-08,84.11051592895404
2023-01-15,80.50577953199887
2023-01-22,82.90893712996898
2023-01-29,90.11840992387933
2023-02-05,90.11840992387933
2023-02-12,87.71525232590922
2023-02-19,94.92472511981956
2023-02-26,93.7231463208345
2023-03-05,82.90893712996898
2023-03-12,93.7231463208345
2023-03-19,87.71525232590922
2023-03-26,90.11840992387933
2023-04-02,93.7231463208345
2023-04-09,112.94840710459542
2023-04-16,120.15787989850577
2023-04-23,98.52946151677473
2023-04-30,87.71525232590922
2023-05-07,97.32788271778968
2023-05-14,108.14209190865519
2023-05-21,110.54524950662531
2023-05-28,92.52156752184945
2023-06-04,104.53735551170001
2023-06-11,108.14209190865519
2023-06-18,108.14209190865519
2023-06-25,98.52946151677473
2023-07-02,98.52946151677473
2023-07-09,96.12630391880461
2023-07-16,96.12630391880461
2023-07-23,94.92472511981956
2023-07-30,92.52156752184945
2023-08-06,96.12630391880461
2023-08-13,86.51367352692415
2023-08-20,91.31998872286438
2023-08-27,85.3120947279391
2023-09-03,86.51367352692415
2023-09-10,91.31998872286438
2023-09-17,88.91683112489427
2023-09-24,88.91683112489427
2023-10-01,91.31998872286438
2023-10-08,88.91683112489427
2023-10-15,86.51367352692415
2023-10-22,74.49788553707357
2023-10-29,84.11051592895404
2023-11-05,76.9010431350437
2023-11-12,68.48999154214829
2023-11-19,87.71525232590922
2023-11-26,84.11051592895404
2023-12-03,80.50577953199887
2023-12-10,88.91683112489427
2023-12-17,88.91683112489427
2023-12-24,93.7231463208345
2023-12-31,85.3120947279391
2024-01-07,85.31209472793911
2024-01-14,81.70735833098394
2024-01-21,76.90104313504371
2024-01-28,86.51367352692417
2024-02-04,88.91683112489429
2024-02-11,85.31209472793911
2024-02-18,90.11840992387934
2024-02-25,91.31998872286441
2024-03-03,87.71525232590923
2024-03-10,100.93261911474487
2024-03-17,94.92472511981957
2024-03-24,97.32788271778969
2024-03-31,103.33577671271499
2024-04-07,92.52156752184946
2024-04-14,108.14209190865522
2024-04-21,100.93261911474487
2024-04-28,111.74682830561039
2024-05-05,102.13419791372992
2024-05-12,96.12630391880464
2024-05-19,109.34367070764027
2024-05-26,109.34367070764027
2024-06-02,103.33577671271499
2024-06-09,104.53735551170004
2024-06-16,100.93261911474487
2024-06-23,92.52156752184946
2024-06-30,92.52156752184946
2024-07-07,92.52156752184946
2024-07-14,94.92472511981957
2024-07-21,98.52946151677475
2024-07-28,93.72314632083452
2024-08-04,88.91683112489429
2024-08-11,96.12630391880464
2024-08-18,92.52156752184946
2024-08-25,94.92472511981957
2024-09-01,85.31209472793911
2024-09-08,90.11840992387934
2024-09-15,86.51367352692417
2024-09-22,98.52946151677475
2024-09-29,90.11840992387934
2024-10-06,79.30420073301383
2024-10-13,86.51367352692417
2024-10-20,86.51367352692417
2024-10-27,78.10262193402876
2024-11-03,82.90893712996899
2024-11-10,81.70735833098394
2024-11-17,82.90893712996899
2024-11-24,84.11051592895406
2024-12-01,81.70735833098394
2024-12-08,78.10262193402876
2024-12-15,84.11051592895406
2024-12-22,91.31998872286441
2024-12-29,79.30420073301383
2025-01-05,92.52156752184946
2025-01-12,82.90893712996899
2025-01-19,87.71525232590923
2025-01-26,85.31209472793911
2025-02-02,91.31998872286441
2025-02-09,84.11051592895406
2025-02-16,87.71525232590923
2025-02-23,86.51367352692417
2025-03-02,85.31209472793911
2025-03-09,76.90104313504371
2025-03-16,99.73104031575981
2025-03-23,90.11840992387934
2025-03-30,99.73104031575981
2025-04-06,99.73104031575981
2025-04-13,97.32788271778969
2025-04-20,103.33577671271499
2025-04-27,99.73104031575981
2025-05-04,86.51367352692417
2025-05-11,96.12630391880464
2025-05-18,98.52946151677475
2025-05-25,97.32788271778969
2025-06-01,93.72314632083452
2025-06-08,114.1499859035805
2025-06-15,100.93261911474487
2025-06-22,91.31998872286441
2025-06-29,88.91683112489429
2025-07-06,86.51367352692417
2025-07-13,96.12630391880464
2025-07-20,91.31998872286441
2025-07-27,93.72314632083452
2025-08-03,92.52156752184946
2025-08-10,86.51367352692417
2025-08-17,90.11840992387934
2025-08-24,85.31209472793911
2025-08-31,94.92472511981957
2025-09-07,86.51367352692417
2025-09-14,85.31209472793911
2025-09-21,84.11051592895406
2025-09-28,74.49788553707359
2025-10-05,80.50577953199888
2025-10-12,78.10262193402876
2025-10-19,64.88525514519313
2025-10-26,78.10262193402876
2025-11-02,80.50577953199888
2025-11-09,86.51367352692417
2025-11-16,87.71525232590923
2025-11-23,79.30420073301383
2025-11-30,78.10262193402876
2025-12-07,81.70735833098394
2025-12-14,82.90893712996899
2025-12-21,85.31209472793911
2025-12-28,82.90893712996899
2026-01-04,82.90893712996899
