,Pharmaceuticals & Biotech
2018-08-19,86.0
2018-08-26,92.0
2018-09-02,93.0
2018-09-09,84.0
2018-09-16,82.0
2018-09-23,88.0
2018-09-30,82.0
2018-10-07,86.0
2018-10-14,69.0
2018-10-21,82.0
2018-10-28,91.0
2018-11-04,53.0
2018-11-11,82.0
2018-11-18,78.0
2018-11-25,85.0
2018-12-02,87.0
2018-12-09,83.0
2018-12-16,89.0
2018-12-23,80.0
2018-12-30,78.0
2019-01-06,80.0
2019-01-13,76.0
2019-01-20,81.0
2019-01-27,81.0
2019-02-03,81.0
2019-02-10,86.0
2019-02-17,85.0
2019-02-24,81.0
2019-03-03,82.0
2019-03-10,79.0
2019-03-17,77.0
2019-03-24,83.0
2019-03-31,83.0
2019-04-07,75.0
2019-04-14,73.0
2019-04-21,80.0
2019-04-28,77.0
2019-05-05,87.0
2019-05-12,84.0
2019-05-19,80.0
2019-05-26,88.0
2019-06-02,86.0
2019-06-09,88.0
2019-06-16,86.0
2019-06-23,94.0
2019-06-30,84.0
2019-07-07,88.0
2019-07-14,90.0
2019-07-21,94.0
2019-07-28,100.0
2019-08-04,87.0
2019-08-11,79.0
2019-08-18,91.0
2019-08-25,90.0
2019-09-01,78.0
2019-09-08,88.0
2019-09-15,89.0
2019-09-22,90.0
2019-09-29,78.0
2019-10-06,73.0
2019-10-13,83.0
2019-10-20,67.0
2019-10-27,67.0
2019-11-03,86.0
2019-11-10,85.0
2019-11-17,92.0
2019-11-24,85.0
2019-12-01,81.0
2019-12-08,81.0
2019-12-15,85.0
2019-12-22,81.0
2019-12-29,77.0
2020-01-05,82.25568887050062
2020-01-12,76.8911874224245
2020-01-19,84.04385601985932
2020-01-26,84.04385601985932
2020-02-02,91.19652461729416
2020-02-09,91.19652461729416
2020-02-16,91.19652461729416
2020-02-23,91.19652461729416
2020-03-01,94.77285891601157
2020-03-08,75.10302027306578
2020-03-15,78.6793545717832
2020-03-22,69.73851882498965
2020-03-29,66.16218452627223
2020-04-05,89.40835746793545
2020-04-12,82.25568887050062
2020-04-19,76.8911874224245
2020-04-26,80.4675217211419
2020-05-03,78.6793545717832
2020-05-10,80.4675217211419
2020-05-17,75.10302027306578
2020-05-24,75.10302027306578
2020-05-31,85.83202316921803
2020-06-07,87.62019031857675
2020-06-14,109.07819611088125
2020-06-21,178.8167149358709
2020-06-28,144.84153909805542
2020-07-05,110.86636326023996
2020-07-12,116.23086470831609
2020-07-19,118.01903185767479
2020-07-26,109.07819611088125
2020-08-02,110.86636326023996
2020-08-09,112.65453040959866
2020-08-16,110.86636326023996
2020-08-23,105.50186181216384
2020-08-30,101.92552751344641
2020-09-06,107.29002896152254
2020-09-13,110.86636326023996
2020-09-20,105.50186181216384
2020-09-27,101.92552751344641
2020-10-04,101.92552751344641
2020-10-11,94.77285891601157
2020-10-18,96.56102606537029
2020-10-25,92.98469176665287
2020-11-01,91.19652461729416
2020-11-08,101.92552751344641
2020-11-15,98.349193214729
2020-11-22,103.71369466280512
2020-11-29,110.86636326023996
2020-12-06,107.29002896152254
2020-12-13,101.92552751344641
2020-12-20,109.07819611088125
2020-12-27,103.71369466280512
2021-01-03,119.8071990070335
2021-01-10,100.1373603640877
2021-01-17,107.29002896152254
2021-01-24,98.349193214729
2021-01-31,100.1373603640877
2021-02-07,96.56102606537029
2021-02-14,98.349193214729
2021-02-21,98.349193214729
2021-02-28,100.1373603640877
2021-03-07,103.71369466280512
2021-03-14,114.44269755895738
2021-03-21,103.71369466280512
2021-03-28,96.56102606537029
2021-04-04,105.50186181216384
2021-04-11,116.23086470831609
2021-04-18,150.20604054613156
2021-04-25,148.41787339677285
2021-05-02,141.26520479933802
2021-05-09,150.20604054613156
2021-05-16,132.32436905254445
2021-05-23,135.90070335126188
2021-05-30,139.4770376499793
2021-06-06,126.95986760446834
2021-06-13,126.95986760446834
2021-06-20,126.95986760446834
2021-06-27,126.95986760446834
2021-07-04,119.8071990070335
2021-07-11,126.95986760446834
2021-07-18,121.59536615639222
2021-07-25,144.84153909805542
2021-08-01,146.62970624741413
2021-08-08,134.11253620190317
2021-08-15,125.17170045510963
2021-08-22,121.59536615639222
2021-08-29,116.23086470831609
2021-09-05,103.71369466280512
2021-09-12,112.65453040959866
2021-09-19,105.50186181216384
2021-09-26,101.92552751344641
2021-10-03,105.50186181216384
2021-10-10,94.77285891601157
2021-10-17,103.71369466280512
2021-10-24,101.92552751344641
2021-10-31,75.10302027306578
2021-11-07,92.98469176665287
2021-11-14,94.77285891601157
2021-11-21,91.19652461729416
2021-11-28,94.77285891601157
2021-12-05,94.77285891601157
2021-12-12,101.92552751344641
2021-12-19,101.92552751344641
2021-12-26,100.1373603640877
2022-01-02,119.8071990070335
2022-01-09,116.23086470831609
2022-01-16,114.44269755895738
2022-01-23,116.23086470831609
2022-01-30,123.38353330575092
2022-02-06,114.44269755895738
2022-02-13,125.17170045510963
2022-02-20,123.38353330575092
2022-02-27,121.59536615639222
2022-03-06,118.01903185767479
2022-03-13,112.65453040959866
2022-03-20,114.44269755895738
2022-03-27,110.86636326023996
2022-04-03,118.01903185767479
2022-04-10,107.29002896152254
2022-04-17,116.23086470831609
2022-04-24,118.01903185767479
2022-05-01,121.59536615639222
2022-05-08,119.8071990070335
2022-05-15,110.86636326023996
2022-05-22,118.01903185767479
2022-05-29,116.23086470831609
2022-06-05,119.8071990070335
2022-06-12,123.38353330575092
2022-06-19,126.95986760446834
2022-06-26,125.17170045510963
2022-07-03,125.17170045510963
2022-07-10,123.38353330575092
2022-07-17,128.74803475382706
2022-07-24,132.32436905254445
2022-07-31,126.95986760446834
2022-08-07,112.65453040959866
2022-08-14,116.23086470831609
2022-08-21,130.53620190318577
2022-08-28,118.01903185767479
2022-09-04,116.23086470831609
2022-09-11,130.53620190318577
2022-09-18,128.74803475382706
2022-09-25,119.8071990070335
2022-10-02,110.86636326023996
2022-10-09,119.8071990070335
2022-10-16,112.65453040959866
2022-10-23,91.19652461729416
2022-10-30,119.8071990070335
2022-11-06,119.8071990070335
2022-11-13,132.32436905254445
2022-11-20,119.8071990070335
2022-11-27,121.59536615639222
2022-12-04,114.44269755895738
2022-12-11,121.59536615639222
2022-12-18,132.32436905254445
2022-12-25,130.53620190318577
2023-01-01,126.95986760446834
2023-01-08,123.38353330575092
2023-01-15,128.74803475382706
2023-01-22,126.95986760446834
2023-01-29,130.53620190318577
2023-02-05,125.17170045510963
2023-02-12,123.38353330575092
2023-02-19,128.74803475382706
2023-02-26,126.95986760446834
2023-03-05,109.07819611088125
2023-03-12,123.38353330575092
2023-03-19,125.17170045510963
2023-03-26,121.59536615639222
2023-04-02,123.38353330575092
2023-04-09,119.8071990070335
2023-04-16,125.17170045510963
2023-04-23,132.32436905254445
2023-04-30,119.8071990070335
2023-05-07,130.53620190318577
2023-05-14,123.38353330575092
2023-05-21,126.95986760446834
2023-05-28,132.32436905254445
2023-06-04,132.32436905254445
2023-06-11,132.32436905254445
2023-06-18,135.90070335126188
2023-06-25,130.53620190318577
2023-07-02,143.05337194869674
2023-07-09,139.4770376499793
2023-07-16,135.90070335126188
2023-07-23,143.05337194869674
2023-07-30,144.84153909805542
2023-08-06,141.26520479933802
2023-08-13,128.74803475382706
2023-08-20,132.32436905254445
2023-08-27,119.8071990070335
2023-09-03,132.32436905254445
2023-09-10,126.95986760446834
2023-09-17,121.59536615639222
2023-09-24,132.32436905254445
2023-10-01,123.38353330575092
2023-10-08,126.95986760446834
2023-10-15,123.38353330575092
2023-10-22,109.07819611088125
2023-10-29,126.95986760446834
2023-11-05,116.23086470831609
2023-11-12,96.56102606537029
2023-11-19,128.74803475382706
2023-11-26,132.32436905254445
2023-12-03,126.95986760446834
2023-12-10,137.6888705006206
2023-12-17,137.6888705006206
2023-12-24,135.90070335126188
2023-12-31,135.90070335126188
2024-01-07,131.37193386039257
2024-01-14,121.64067950036349
2024-01-21,108.66567368699138
2024-01-28,126.50630668037803
2024-02-04,129.75005813372104
2024-02-11,124.88443095370651
2024-02-18,126.50630668037803
2024-02-25,126.50630668037803
2024-03-03,111.9094251403344
2024-03-10,121.64067950036349
2024-03-17,118.39692804702045
2024-03-24,107.04379796031986
2024-03-31,113.53130086700592
2024-04-07,103.80004650697684
2024-04-14,105.42192223364836
2024-04-21,118.39692804702045
2024-04-28,129.75005813372104
2024-05-05,120.01880377369197
2024-05-12,124.88443095370651
2024-05-19,121.64067950036349
2024-05-26,121.64067950036349
2024-06-02,113.53130086700592
2024-06-09,115.15317659367743
2024-06-16,116.77505232034895
2024-06-23,131.37193386039257
2024-06-30,162.1875726671513
2024-07-07,152.45631830712225
2024-07-14,134.61568531373558
2024-07-21,136.23756104040712
2024-07-28,160.5656969404798
2024-08-04,132.99380958706408
2024-08-11,120.01880377369197
2024-08-18,129.75005813372104
2024-08-25,132.99380958706408
2024-09-01,134.61568531373558
2024-09-08,129.75005813372104
2024-09-15,118.39692804702045
2024-09-22,131.37193386039257
2024-09-29,115.15317659367743
2024-10-06,100.55629505363382
2024-10-13,115.15317659367743
2024-10-20,116.77505232034895
2024-10-27,85.95941351359019
2024-11-03,103.80004650697684
2024-11-10,116.77505232034895
2024-11-17,110.28754941366289
2024-11-24,116.77505232034895
2024-12-01,113.53130086700592
2024-12-08,110.28754941366289
2024-12-15,115.15317659367743
2024-12-22,128.12818240704954
2024-12-29,110.28754941366289
2025-01-05,111.9094251403344
2025-01-12,95.69066787361928
2025-01-19,115.15317659367743
2025-01-26,108.66567368699138
2025-02-02,107.04379796031986
2025-02-09,107.04379796031986
2025-02-16,111.9094251403344
2025-02-23,107.04379796031986
2025-03-02,110.28754941366289
2025-03-09,92.44691642027625
2025-03-16,115.15317659367743
2025-03-23,105.42192223364836
2025-03-30,108.66567368699138
2025-04-06,108.66567368699138
2025-04-13,105.42192223364836
2025-04-20,110.28754941366289
2025-04-27,103.80004650697684
2025-05-04,105.42192223364836
2025-05-11,111.9094251403344
2025-05-18,111.9094251403344
2025-05-25,113.53130086700592
2025-06-01,108.66567368699138
2025-06-08,115.15317659367743
2025-06-15,120.01880377369197
2025-06-22,121.64067950036349
2025-06-29,113.53130086700592
2025-07-06,115.15317659367743
2025-07-13,126.50630668037803
2025-07-20,116.77505232034895
2025-07-27,116.77505232034895
2025-08-03,110.28754941366289
2025-08-10,100.55629505363382
2025-08-17,118.39692804702045
2025-08-24,110.28754941366289
2025-08-31,105.42192223364836
2025-09-07,111.9094251403344
2025-09-14,107.04379796031986
2025-09-21,102.17817078030532
2025-09-28,82.71566206024717
2025-10-05,107.04379796031986
2025-10-12,95.69066787361928
2025-10-19,72.98440770021809
2025-10-26,95.69066787361928
2025-11-02,108.66567368699138
2025-11-09,107.04379796031986
2025-11-16,103.80004650697684
2025-11-23,98.9344193269623
2025-11-30,105.42192223364836
2025-12-07,102.17817078030532
2025-12-14,105.42192223364836
2025-12-21,100.55629505363382
2025-12-28,95.69066787361928
2026-01-04,100.55629505363382
