,Forestry
2019-11-10,52.0
2019-11-17,58.0
2019-11-24,55.0
2019-12-01,70.0
2019-12-08,72.0
2019-12-15,85.0
2019-12-22,64.0
2019-12-29,80.0
2020-01-05,91.89978213507625
2020-01-12,60.17247639796659
2020-01-19,60.17247639796659
2020-01-26,63.45461147421932
2020-02-02,59.07843137254902
2020-02-09,64.54865649963689
2020-02-16,61.26652142338417
2020-02-23,57.98438634713145
2020-03-01,63.45461147421932
2020-03-08,54.70225127087872
2020-03-15,45.949891067538125
2020-03-22,54.70225127087872
2020-03-29,47.0439360929557
2020-04-05,48.137981118373276
2020-04-12,50.326071169208426
2020-04-19,53.60820624546115
2020-04-26,52.514161220043576
2020-05-03,68.92483660130719
2020-05-10,56.89034132171387
2020-05-17,59.07843137254902
2020-05-24,53.60820624546115
2020-05-31,61.26652142338417
2020-06-07,66.73674655047203
2020-06-14,48.137981118373276
2020-06-21,43.761801016702975
2020-06-28,60.17247639796659
2020-07-05,64.54865649963689
2020-07-12,57.98438634713145
2020-07-19,64.54865649963689
2020-07-26,64.54865649963689
2020-08-02,74.39506172839506
2020-08-09,56.89034132171387
2020-08-16,66.73674655047203
2020-08-23,54.70225127087872
2020-08-30,64.54865649963689
2020-09-06,67.83079157588962
2020-09-13,45.949891067538125
2020-09-20,60.17247639796659
2020-09-27,51.420116194626
2020-10-04,45.949891067538125
2020-10-11,44.855846042120554
2020-10-18,66.73674655047203
2020-10-25,48.137981118373276
2020-11-01,50.326071169208426
2020-11-08,53.60820624546115
2020-11-15,63.45461147421932
2020-11-22,31.72730573710966
2020-11-29,60.17247639796659
2020-12-06,52.514161220043576
2020-12-13,55.7962962962963
2020-12-20,51.420116194626
2020-12-27,50.326071169208426
2021-01-03,55.7962962962963
2021-01-10,54.70225127087872
2021-01-17,59.07843137254902
2021-01-24,65.64270152505446
2021-01-31,43.761801016702975
2021-02-07,55.7962962962963
2021-02-14,47.0439360929557
2021-02-21,49.23202614379085
2021-02-28,59.07843137254902
2021-03-07,67.83079157588962
2021-03-14,72.2069716775599
2021-03-21,75.48910675381264
2021-03-28,66.73674655047203
2021-04-04,45.949891067538125
2021-04-11,35.00944081336238
2021-04-18,49.23202614379085
2021-04-25,55.7962962962963
2021-05-02,53.60820624546115
2021-05-09,60.17247639796659
2021-05-16,60.17247639796659
2021-05-23,51.420116194626
2021-05-30,67.83079157588962
2021-06-06,59.07843137254902
2021-06-13,56.89034132171387
2021-06-20,57.98438634713145
2021-06-27,74.39506172839506
2021-07-04,73.30101670297749
2021-07-11,71.11292665214233
2021-07-18,59.07843137254902
2021-07-25,77.67719680464778
2021-08-01,55.7962962962963
2021-08-08,63.45461147421932
2021-08-15,52.514161220043576
2021-08-22,59.07843137254902
2021-08-29,72.2069716775599
2021-09-05,53.60820624546115
2021-09-12,73.30101670297749
2021-09-19,73.30101670297749
2021-09-26,63.45461147421932
2021-10-03,53.60820624546115
2021-10-10,74.39506172839506
2021-10-17,73.30101670297749
2021-10-24,70.01888162672476
2021-10-31,70.01888162672476
2021-11-07,39.38562091503268
2021-11-14,61.26652142338417
2021-11-21,67.83079157588962
2021-11-28,53.60820624546115
2021-12-05,70.01888162672476
2021-12-12,51.420116194626
2021-12-19,48.137981118373276
2021-12-26,67.83079157588962
2022-01-02,61.26652142338417
2022-01-09,66.73674655047203
2022-01-16,85.33551198257081
2022-01-23,67.83079157588962
2022-01-30,79.86528685548294
2022-02-06,84.24146695715324
2022-02-13,87.52360203340595
2022-02-20,79.86528685548294
2022-02-27,83.14742193173565
2022-03-06,72.2069716775599
2022-03-13,71.11292665214233
2022-03-20,88.61764705882352
2022-03-27,55.7962962962963
2022-04-03,65.64270152505446
2022-04-10,53.60820624546115
2022-04-17,68.92483660130719
2022-04-24,72.2069716775599
2022-05-01,67.83079157588962
2022-05-08,61.26652142338417
2022-05-15,57.98438634713145
2022-05-22,66.73674655047203
2022-05-29,71.11292665214233
2022-06-05,65.64270152505446
2022-06-12,68.92483660130719
2022-06-19,80.9593318809005
2022-06-26,87.52360203340595
2022-07-03,85.33551198257081
2022-07-10,74.39506172839506
2022-07-17,61.26652142338417
2022-07-24,71.11292665214233
2022-07-31,71.11292665214233
2022-08-07,88.61764705882352
2022-08-14,64.54865649963689
2022-08-21,70.01888162672476
2022-08-28,84.24146695715324
2022-09-04,80.9593318809005
2022-09-11,77.67719680464778
2022-09-18,77.67719680464778
2022-09-25,73.30101670297749
2022-10-02,82.05337690631808
2022-10-09,83.14742193173565
2022-10-16,75.48910675381264
2022-10-23,75.48910675381264
2022-10-30,76.5831517792302
2022-11-06,68.92483660130719
2022-11-13,55.7962962962963
2022-11-20,70.01888162672476
2022-11-27,63.45461147421932
2022-12-04,73.30101670297749
2022-12-11,71.11292665214233
2022-12-18,71.11292665214233
2022-12-25,77.67719680464778
2023-01-01,65.64270152505446
2023-01-08,88.61764705882352
2023-01-15,75.48910675381264
2023-01-22,82.05337690631808
2023-01-29,62.36056644880174
2023-02-05,74.39506172839506
2023-02-12,70.01888162672476
2023-02-19,97.37000726216412
2023-02-26,109.40450254175744
2023-03-05,78.77124183006536
2023-03-12,72.2069716775599
2023-03-19,80.9593318809005
2023-03-26,74.39506172839506
2023-04-02,63.45461147421932
2023-04-09,53.60820624546115
2023-04-16,72.2069716775599
2023-04-23,70.01888162672476
2023-04-30,68.92483660130719
2023-05-07,77.67719680464778
2023-05-14,71.11292665214233
2023-05-21,88.61764705882352
2023-05-28,73.30101670297749
2023-06-04,82.05337690631808
2023-06-11,80.9593318809005
2023-06-18,70.01888162672476
2023-06-25,64.54865649963689
2023-07-02,85.33551198257081
2023-07-09,73.30101670297749
2023-07-16,77.67719680464778
2023-07-23,75.48910675381264
2023-07-30,65.64270152505446
2023-08-06,70.01888162672476
2023-08-13,70.01888162672476
2023-08-20,78.77124183006536
2023-08-27,86.42955700798838
2023-09-03,78.77124183006536
2023-09-10,65.64270152505446
2023-09-17,70.01888162672476
2023-09-24,74.39506172839506
2023-10-01,55.7962962962963
2023-10-08,75.48910675381264
2023-10-15,71.11292665214233
2023-10-22,71.11292665214233
2023-10-29,62.36056644880174
2023-11-05,72.2069716775599
2023-11-12,73.30101670297749
2023-11-19,76.5831517792302
2023-11-26,72.2069716775599
2023-12-03,61.26652142338417
2023-12-10,83.14742193173565
2023-12-17,75.48910675381264
2023-12-24,73.30101670297749
2023-12-31,90.80573710965868
2024-01-07,76.58315177923022
2024-01-14,88.61764705882355
2024-01-21,59.07843137254903
2024-01-28,73.3010167029775
2024-02-04,89.71169208424112
2024-02-11,76.58315177923022
2024-02-18,77.6771968046478
2024-02-25,75.48910675381265
2024-03-03,68.9248366013072
2024-03-10,68.9248366013072
2024-03-17,76.58315177923022
2024-03-24,79.86528685548295
2024-03-31,78.77124183006538
2024-04-07,73.3010167029775
2024-04-14,73.3010167029775
2024-04-21,90.8057371096587
2024-04-28,75.48910675381265
2024-05-05,71.11292665214235
2024-05-12,57.984386347131455
2024-05-19,57.984386347131455
2024-05-26,82.05337690631809
2024-06-02,82.05337690631809
2024-06-09,85.33551198257082
2024-06-16,57.984386347131455
2024-06-23,59.07843137254903
2024-06-30,70.01888162672478
2024-07-07,63.45461147421933
2024-07-14,85.33551198257082
2024-07-21,64.5486564996369
2024-07-28,66.73674655047205
2024-08-04,76.58315177923022
2024-08-11,65.64270152505448
2024-08-18,78.77124183006538
2024-08-25,78.77124183006538
2024-09-01,85.33551198257082
2024-09-08,72.20697167755992
2024-09-15,59.07843137254903
2024-09-22,55.796296296296305
2024-09-29,71.11292665214235
2024-10-06,73.3010167029775
2024-10-13,84.24146695715325
2024-10-20,85.33551198257082
2024-10-27,72.20697167755992
2024-11-03,106.12236746550474
2024-11-10,82.05337690631809
2024-11-17,70.01888162672478
2024-11-24,72.20697167755992
2024-12-01,71.11292665214235
2024-12-08,80.95933188090052
2024-12-15,68.9248366013072
2024-12-22,76.58315177923022
2024-12-29,76.58315177923022
2025-01-05,72.20697167755992
2025-01-12,65.64270152505448
2025-01-19,94.08787218591142
2025-01-26,91.89978213507626
2025-02-02,72.20697167755992
2025-02-09,88.61764705882355
2025-02-16,71.11292665214235
2025-02-23,83.14742193173568
2025-03-02,83.14742193173568
2025-03-09,77.6771968046478
2025-03-16,94.08787218591142
2025-03-23,66.73674655047205
2025-03-30,68.9248366013072
2025-04-06,53.608206245461155
2025-04-13,56.89034132171388
2025-04-20,55.796296296296305
2025-04-27,64.5486564996369
2025-05-04,77.6771968046478
2025-05-11,72.20697167755992
2025-05-18,74.39506172839508
2025-05-25,74.39506172839508
2025-06-01,59.07843137254903
2025-06-08,61.26652142338418
2025-06-15,76.58315177923022
2025-06-22,84.24146695715325
2025-06-29,76.58315177923022
2025-07-06,77.6771968046478
2025-07-13,94.08787218591142
2025-07-20,70.01888162672478
2025-07-27,74.39506172839508
2025-08-03,86.4295570079884
2025-08-10,73.3010167029775
2025-08-17,61.26652142338418
2025-08-24,76.58315177923022
2025-08-31,89.71169208424112
2025-09-07,77.6771968046478
2025-09-14,87.52360203340598
2025-09-21,76.58315177923022
2025-09-28,72.20697167755992
2025-10-05,75.48910675381265
2025-10-12,61.26652142338418
2025-10-19,68.9248366013072
2025-10-26,71.11292665214235
2025-11-02,65.64270152505448
2025-11-09,60.172476397966605
2025-11-16,85.33551198257082
2025-11-23,57.984386347131455
2025-11-30,60.172476397966605
2025-12-07,66.73674655047205
2025-12-14,70.01888162672478
2025-12-21,64.5486564996369
2025-12-28,80.95933188090052
