,Pets & Animals
2019-04-14,85.0
2019-04-21,80.0
2019-04-28,81.0
2019-05-05,82.0
2019-05-12,71.0
2019-05-19,81.0
2019-05-26,78.0
2019-06-02,78.0
2019-06-09,85.0
2019-06-16,79.0
2019-06-23,80.0
2019-06-30,81.0
2019-07-07,82.0
2019-07-14,83.0
2019-07-21,83.0
2019-07-28,82.0
2019-08-04,92.0
2019-08-11,94.0
2019-08-18,91.0
2019-08-25,91.0
2019-09-01,81.0
2019-09-08,82.0
2019-09-15,79.0
2019-09-22,78.0
2019-09-29,76.0
2019-10-06,74.0
2019-10-13,82.0
2019-10-20,75.0
2019-10-27,74.0
2019-11-03,74.0
2019-11-10,74.0
2019-11-17,73.0
2019-11-24,75.0
2019-12-01,78.0
2019-12-08,76.0
2019-12-15,83.0
2019-12-22,91.0
2019-12-29,86.0
2020-01-05,80.6854700854701
2020-01-12,79.46296296296298
2020-01-19,89.24301994301996
2020-01-26,91.6880341880342
2020-02-02,92.91054131054132
2020-02-09,90.46552706552708
2020-02-16,85.57549857549859
2020-02-23,85.57549857549859
2020-03-01,86.79800569800571
2020-03-08,83.13048433048434
2020-03-15,89.24301994301996
2020-03-22,80.6854700854701
2020-03-29,86.79800569800571
2020-04-05,85.57549857549859
2020-04-12,90.46552706552708
2020-04-19,90.46552706552708
2020-04-26,91.6880341880342
2020-05-03,89.24301994301996
2020-05-10,89.24301994301996
2020-05-17,96.5780626780627
2020-05-24,99.02307692307694
2020-05-31,106.35811965811968
2020-06-07,97.80056980056982
2020-06-14,97.80056980056982
2020-06-21,99.02307692307694
2020-06-28,92.91054131054132
2020-07-05,91.6880341880342
2020-07-12,100.24558404558405
2020-07-19,100.24558404558405
2020-07-26,96.5780626780627
2020-08-02,95.35555555555557
2020-08-09,89.24301994301996
2020-08-16,89.24301994301996
2020-08-23,83.13048433048434
2020-08-30,91.6880341880342
2020-09-06,85.57549857549859
2020-09-13,89.24301994301996
2020-09-20,72.12792022792024
2020-09-27,74.57293447293448
2020-10-04,89.24301994301996
2020-10-11,94.13304843304844
2020-10-18,99.02307692307694
2020-10-25,100.24558404558405
2020-11-01,92.91054131054132
2020-11-08,102.6905982905983
2020-11-15,102.6905982905983
2020-11-22,100.24558404558405
2020-11-29,99.02307692307694
2020-12-06,100.24558404558405
2020-12-13,101.46809116809118
2020-12-20,103.91310541310543
2020-12-27,100.24558404558405
2021-01-03,101.46809116809118
2021-01-10,92.91054131054132
2021-01-17,94.13304843304844
2021-01-24,96.5780626780627
2021-01-31,95.35555555555557
2021-02-07,94.13304843304844
2021-02-14,97.80056980056982
2021-02-21,99.02307692307694
2021-02-28,96.5780626780627
2021-03-07,88.02051282051283
2021-03-14,92.91054131054132
2021-03-21,94.13304843304844
2021-03-28,99.02307692307694
2021-04-04,79.46296296296298
2021-04-11,81.90797720797723
2021-04-18,92.91054131054132
2021-04-25,101.46809116809118
2021-05-02,103.91310541310543
2021-05-09,108.80313390313391
2021-05-16,117.36068376068377
2021-05-23,95.35555555555557
2021-05-30,111.24814814814816
2021-06-06,113.69316239316241
2021-06-13,117.36068376068377
2021-06-20,116.13817663817666
2021-06-27,113.69316239316241
2021-07-04,114.91566951566953
2021-07-11,117.36068376068377
2021-07-18,122.25071225071227
2021-07-25,107.5806267806268
2021-08-01,105.13561253561255
2021-08-08,111.24814814814816
2021-08-15,111.24814814814816
2021-08-22,111.24814814814816
2021-08-29,112.47065527065529
2021-09-05,113.69316239316241
2021-09-12,118.5831908831909
2021-09-19,116.13817663817666
2021-09-26,110.02564102564104
2021-10-03,111.24814814814816
2021-10-10,110.02564102564104
2021-10-17,106.35811965811968
2021-10-24,103.91310541310543
2021-10-31,102.6905982905983
2021-11-07,100.24558404558405
2021-11-14,95.35555555555557
2021-11-21,91.6880341880342
2021-11-28,89.24301994301996
2021-12-05,92.91054131054132
2021-12-12,89.24301994301996
2021-12-19,90.46552706552708
2021-12-26,96.5780626780627
2022-01-02,113.69316239316241
2022-01-09,111.24814814814816
2022-01-16,97.80056980056982
2022-01-23,108.80313390313391
2022-01-30,108.80313390313391
2022-02-06,111.24814814814816
2022-02-13,117.36068376068377
2022-02-20,118.5831908831909
2022-02-27,112.47065527065529
2022-03-06,110.02564102564104
2022-03-13,110.02564102564104
2022-03-20,99.02307692307694
2022-03-27,84.35299145299146
2022-04-03,92.91054131054132
2022-04-10,100.24558404558405
2022-04-17,102.6905982905983
2022-04-24,103.91310541310543
2022-05-01,107.5806267806268
2022-05-08,100.24558404558405
2022-05-15,96.5780626780627
2022-05-22,103.91310541310543
2022-05-29,111.24814814814816
2022-06-05,101.46809116809118
2022-06-12,102.6905982905983
2022-06-19,112.47065527065529
2022-06-26,105.13561253561255
2022-07-03,107.5806267806268
2022-07-10,110.02564102564104
2022-07-17,111.24814814814816
2022-07-24,107.5806267806268
2022-07-31,113.69316239316241
2022-08-07,119.80569800569802
2022-08-14,110.02564102564104
2022-08-21,108.80313390313391
2022-08-28,101.46809116809118
2022-09-04,108.80313390313391
2022-09-11,97.80056980056982
2022-09-18,97.80056980056982
2022-09-25,96.5780626780627
2022-10-02,96.5780626780627
2022-10-09,96.5780626780627
2022-10-16,94.13304843304844
2022-10-23,97.80056980056982
2022-10-30,94.13304843304844
2022-11-06,95.35555555555557
2022-11-13,95.35555555555557
2022-11-20,92.91054131054132
2022-11-27,88.02051282051283
2022-12-04,84.35299145299146
2022-12-11,94.13304843304844
2022-12-18,100.24558404558405
2022-12-25,108.80313390313391
2023-01-01,105.13561253561255
2023-01-08,103.91310541310543
2023-01-15,99.02307692307694
2023-01-22,103.91310541310543
2023-01-29,103.91310541310543
2023-02-05,108.80313390313391
2023-02-12,110.02564102564104
2023-02-19,110.02564102564104
2023-02-26,102.6905982905983
2023-03-05,102.6905982905983
2023-03-12,107.5806267806268
2023-03-19,111.24814814814816
2023-03-26,106.35811965811968
2023-04-02,107.5806267806268
2023-04-09,99.02307692307694
2023-04-16,105.13561253561255
2023-04-23,103.91310541310543
2023-04-30,101.46809116809118
2023-05-07,106.35811965811968
2023-05-14,108.80313390313391
2023-05-21,112.47065527065529
2023-05-28,111.24814814814816
2023-06-04,113.69316239316241
2023-06-11,113.69316239316241
2023-06-18,116.13817663817666
2023-06-25,111.24814814814816
2023-07-02,117.36068376068377
2023-07-09,114.91566951566953
2023-07-16,113.69316239316241
2023-07-23,111.24814814814816
2023-07-30,110.02564102564104
2023-08-06,110.02564102564104
2023-08-13,111.24814814814816
2023-08-20,110.02564102564104
2023-08-27,108.80313390313391
2023-09-03,101.46809116809118
2023-09-10,103.91310541310543
2023-09-17,110.02564102564104
2023-09-24,106.35811965811968
2023-10-01,101.46809116809118
2023-10-08,100.24558404558405
2023-10-15,100.24558404558405
2023-10-22,105.13561253561255
2023-10-29,96.5780626780627
2023-11-05,102.6905982905983
2023-11-12,107.5806267806268
2023-11-19,102.6905982905983
2023-11-26,100.24558404558405
2023-12-03,102.6905982905983
2023-12-10,106.35811965811968
2023-12-17,105.13561253561255
2023-12-24,107.5806267806268
2023-12-31,111.24814814814816
2024-01-07,106.83559514467706
2024-01-14,108.24132665973859
2024-01-21,108.24132665973859
2024-01-28,111.05278968986167
2024-02-04,112.45852120492322
2024-02-11,111.05278968986167
2024-02-18,109.64705817480014
2024-02-25,111.05278968986167
2024-03-03,116.67571575010783
2024-03-10,112.45852120492322
2024-03-17,112.45852120492322
2024-03-24,118.08144726516937
2024-03-31,109.64705817480014
2024-04-07,99.80693756936935
2024-04-14,104.02413211455396
2024-04-21,109.64705817480014
2024-04-28,109.64705817480014
2024-05-05,111.05278968986167
2024-05-12,116.67571575010783
2024-05-19,105.42986362961551
2024-05-26,109.64705817480014
2024-06-02,113.86425271998475
2024-06-09,115.2699842350463
2024-06-16,112.45852120492322
2024-06-23,113.86425271998475
2024-06-30,116.67571575010783
2024-07-07,122.298641810354
2024-07-14,118.08144726516937
2024-07-21,119.4871787802309
2024-07-28,119.4871787802309
2024-08-04,119.4871787802309
2024-08-11,129.3272993856617
2024-08-18,122.298641810354
2024-08-25,122.298641810354
2024-09-01,118.08144726516937
2024-09-08,119.4871787802309
2024-09-15,119.4871787802309
2024-09-22,115.2699842350463
2024-09-29,111.05278968986167
2024-10-06,115.2699842350463
2024-10-13,116.67571575010783
2024-10-20,113.86425271998475
2024-10-27,116.67571575010783
2024-11-03,116.67571575010783
2024-11-10,122.298641810354
2024-11-17,115.2699842350463
2024-11-24,116.67571575010783
2024-12-01,118.08144726516937
2024-12-08,120.89291029529245
2024-12-15,118.08144726516937
2024-12-22,123.70437332541553
2024-12-29,125.11010484047708
2025-01-05,116.67571575010783
2025-01-12,116.67571575010783
2025-01-19,122.298641810354
2025-01-26,115.2699842350463
2025-02-02,119.4871787802309
2025-02-09,120.89291029529245
2025-02-16,120.89291029529245
2025-02-23,129.3272993856617
2025-03-02,125.11010484047708
2025-03-09,120.89291029529245
2025-03-16,120.89291029529245
2025-03-23,125.11010484047708
2025-03-30,130.73303090072324
2025-04-06,125.11010484047708
2025-04-13,111.05278968986167
2025-04-20,129.3272993856617
2025-04-27,120.89291029529245
2025-05-04,116.67571575010783
2025-05-11,111.05278968986167
2025-05-18,118.08144726516937
2025-05-25,118.08144726516937
2025-06-01,123.70437332541553
2025-06-08,120.89291029529245
2025-06-15,123.70437332541553
2025-06-22,127.92156787060016
2025-06-29,126.51583635553861
2025-07-06,119.4871787802309
2025-07-13,123.70437332541553
2025-07-20,122.298641810354
2025-07-27,120.89291029529245
2025-08-03,130.73303090072324
2025-08-10,133.5444939308463
2025-08-17,122.298641810354
2025-08-24,127.92156787060016
2025-08-31,118.08144726516937
2025-09-07,115.2699842350463
2025-09-14,122.298641810354
2025-09-21,122.298641810354
2025-09-28,115.2699842350463
2025-10-05,116.67571575010783
2025-10-12,115.2699842350463
2025-10-19,119.4871787802309
2025-10-26,113.86425271998475
2025-11-02,118.08144726516937
2025-11-09,119.4871787802309
2025-11-16,129.3272993856617
2025-11-23,108.24132665973859
2025-11-30,108.24132665973859
2025-12-07,120.89291029529245
2025-12-14,125.11010484047708
2025-12-21,140.573151506154
2025-12-28,137.76168847603094
2026-01-04,122.298641810354
